Date,Open,High,Low,Close,Volume
2014-01-02,39.29,39.33,38.81,39.01,1.617
2014-01-03,39.07,39.36,38.86,39.09,1.614
2014-01-06,39.78,40.11,39.27,39.44,5.253
2014-01-07,39.43,39.58,39.2,39.41,2.382
2014-01-08,39.41,39.49,38.95,39.31,2.671
2014-01-09,39.39,39.49,38.83,39.33,1.582
2014-01-10,39.41,39.47,38.99,39.46,1.851
2014-01-13,39.24,39.51,38.79,38.93,2.144
2014-01-14,38.98,39.16,38.69,39.08,2.389
2014-01-15,39.13,39.55,38.91,39.26,2.053
2014-01-16,39.33,39.5,39.13,39.5,1.696
2014-01-17,39.45,39.82,39.33,39.69,2.546
2014-01-21,39.89,40.0,39.32,39.57,1.808
2014-01-22,39.59,39.74,39.27,39.32,1.65
2014-01-23,38.9,39.21,38.8,38.83,2.579
2014-01-24,38.63,38.63,37.47,37.49,3.675
2014-01-27,37.38,38.17,37.09,37.7,3.137
2014-01-28,37.73,38.09,37.37,37.87,1.971
2014-01-29,37.47,38.19,37.25,37.69,2.662
2014-01-30,38.04,38.5,37.57,38.3,3.194
2014-01-31,36.89,38.0,36.75,37.33,5.223
2014-02-03,37.11,38.33,35.9,36.0,4.488
2014-02-04,36.31,36.91,35.73,36.71,7.096
2014-02-05,37.35,37.98,36.97,37.93,9.138
2014-02-06,37.87,39.23,37.81,39.09,4.652
2014-02-07,39.19,39.72,39.06,39.43,3.408
2014-02-10,39.29,39.39,38.82,38.99,2.377
2014-02-11,38.97,39.65,38.91,39.46,2.085
2014-02-12,39.53,39.83,39.33,39.49,2.475
2014-02-13,39.17,39.93,38.9,39.9,3.061
2014-02-14,39.65,41.11,39.65,41.03,5.66
2014-02-18,41.17,41.86,41.13,41.53,4.017
2014-02-19,41.33,41.73,41.12,41.21,3.463
2014-02-20,41.3,41.53,41.1,41.33,2.104
2014-02-21,43.29,43.39,41.23,41.58,3.087
2014-02-24,41.8,43.57,41.69,42.79,6.503
2014-02-25,42.61,43.21,42.31,43.11,3.715
2014-02-26,43.29,43.42,42.73,42.97,2.471
2014-02-27,43.66,43.67,42.8,43.33,2.484
2014-02-28,43.53,44.31,43.21,43.89,3.922
2014-03-03,43.35,43.64,43.13,43.39,2.729
2014-03-04,43.93,44.1,43.57,43.94,3.715
2014-03-05,43.92,44.25,43.37,43.54,3.028
2014-03-06,43.79,43.97,43.59,43.93,1.84
2014-03-07,43.95,44.29,43.75,43.95,1.917
2014-03-10,43.77,43.98,43.38,43.71,1.49
2014-03-11,43.43,44.33,43.43,43.85,2.185
2014-03-12,43.59,44.26,43.45,44.23,2.233
2014-03-13,44.42,44.42,43.21,43.53,3.256
2014-03-14,43.33,43.72,43.21,43.33,2.695
2014-03-17,43.78,44.61,43.72,44.34,2.542
2014-03-18,44.32,44.94,44.11,44.83,2.551
2014-03-19,44.69,44.92,44.02,44.46,2.387
2014-03-20,44.16,44.79,44.07,44.63,1.615
2014-03-21,45.12,45.41,44.62,44.93,4.816
2014-03-24,45.01,45.05,43.99,44.42,3.026
2014-03-25,45.63,45.87,44.71,45.1,4.521
2014-03-26,45.21,45.47,44.33,44.35,2.641
2014-03-27,44.35,44.45,43.73,43.95,3.207
2014-03-28,44.09,44.73,43.99,44.37,2.252
2014-03-31,44.69,45.58,44.55,44.96,3.903
2014-04-01,45.33,45.4,44.97,45.21,3.483
2014-04-02,45.35,45.58,45.19,45.51,2.546
2014-04-03,45.43,45.5,44.77,44.94,3.181
2014-04-04,45.41,45.59,43.62,43.82,5.029
2014-04-07,43.83,43.94,43.01,43.24,3.122
2014-04-08,43.21,43.97,43.05,43.71,2.699
2014-04-09,44.03,44.71,43.78,44.46,3.09
2014-04-10,44.4,44.46,43.17,43.31,3.784
2014-04-11,43.25,43.51,42.57,42.75,3.646
2014-04-14,43.1,43.32,42.59,42.86,2.926
2014-04-15,43.0,43.38,42.32,43.03,2.34
2014-04-16,43.71,43.95,43.11,43.79,2.087
2014-04-17,43.69,43.91,43.46,43.59,1.999
2014-04-21,43.69,44.02,43.45,43.93,1.497
2014-04-22,43.87,44.17,43.76,43.91,1.739
2014-04-23,43.97,44.19,43.84,44.01,1.265
2014-04-24,44.05,44.51,44.05,44.19,1.982
2014-04-25,43.51,44.26,43.51,43.77,2.358
2014-04-28,44.11,44.52,43.2,43.87,3.695
2014-04-29,42.35,43.3,42.03,42.33,6.271
2014-04-30,42.23,42.67,41.88,42.65,4.889
2014-05-01,42.49,42.95,42.47,42.73,2.521
2014-05-02,42.97,43.01,42.1,42.19,3.319
2014-05-05,41.77,42.46,41.68,42.25,2.961
2014-05-06,42.05,42.32,41.71,41.83,1.902
2014-05-07,41.8,42.12,41.45,41.92,1.827
2014-05-08,42.34,42.44,41.6,42.0,2.482
2014-05-09,42.01,42.11,41.5,41.71,2.412
2014-05-12,42.06,42.59,41.92,42.55,1.86
2014-05-13,42.48,42.64,42.15,42.26,1.923
2014-05-14,42.17,42.24,41.26,41.4,3.045
2014-05-15,41.33,41.33,40.29,40.81,3.745
2014-05-16,40.89,40.96,40.14,40.92,2.33
2014-05-19,40.91,41.47,40.71,41.43,3.381
2014-05-20,41.21,41.45,40.74,40.94,2.823
2014-05-21,41.12,41.53,41.0,41.45,1.991
2014-05-22,41.38,41.77,41.29,41.55,1.624
2014-05-23,41.71,42.0,41.49,41.97,1.612
2014-05-27,42.39,43.16,42.17,42.68,2.575
2014-05-28,42.68,42.75,42.4,42.57,1.803
2014-05-29,42.57,42.59,42.13,42.28,2.306
2014-05-30,42.39,42.39,42.04,42.24,1.806
2014-06-02,42.25,42.38,41.75,42.13,1.636
2014-06-03,42.28,42.69,41.73,42.25,3.228
2014-06-04,42.1,42.39,42.03,42.2,1.445
2014-06-05,42.41,42.73,42.14,42.63,1.35
2014-06-06,42.9,43.42,42.67,43.12,2.103
2014-06-09,42.97,43.73,42.87,43.3,2.423
2014-06-10,43.17,43.34,42.93,42.99,1.484
2014-06-11,42.77,42.8,42.45,42.63,1.293
2014-06-12,42.61,42.61,41.79,41.94,1.786
2014-06-13,41.98,42.3,41.82,42.19,1.524
2014-06-16,42.05,42.3,41.76,42.22,2.289
2014-06-17,42.03,42.47,41.85,42.35,2.821
2014-06-18,42.31,42.65,42.03,42.53,2.174
2014-06-19,42.65,42.91,42.37,42.82,2.465
2014-06-20,42.97,43.06,42.69,42.92,3.55
2014-06-23,42.85,43.1,42.62,42.69,1.324
2014-06-24,42.5,43.02,42.35,42.44,2.095
2014-06-25,42.15,42.62,42.11,42.51,1.856
2014-06-26,42.63,42.63,41.89,42.2,2.268
2014-06-27,42.16,42.36,41.89,41.93,9.298
2014-06-30,41.99,42.1,41.74,41.89,1.868
2014-07-01,42.29,42.42,42.05,42.31,2.432
2014-07-02,42.33,42.9,42.33,42.52,1.826
2014-07-03,44.4,45.09,44.34,44.83,5.561
2014-07-07,44.67,44.77,43.95,43.97,3.158
2014-07-08,43.76,44.05,43.59,43.77,2.966
2014-07-09,43.94,44.1,43.54,43.69,1.555
2014-07-10,43.11,43.73,42.89,43.31,2.076
2014-07-11,42.95,43.77,42.95,43.73,1.857
2014-07-14,44.13,44.21,43.74,43.95,1.448
2014-07-15,43.96,44.19,43.61,43.82,1.661
2014-07-16,43.95,44.23,43.87,44.17,1.433
2014-07-17,43.79,44.27,43.51,43.62,1.671
2014-07-18,43.86,44.03,43.51,43.97,1.593
2014-07-21,44.0,44.01,43.58,43.81,1.333
2014-07-22,44.15,44.41,43.95,44.01,1.889
2014-07-23,44.12,44.19,43.68,43.94,2.373
2014-07-24,43.92,43.99,43.65,43.7,1.551
2014-07-25,43.53,43.54,43.17,43.36,1.675
2014-07-28,43.32,43.45,42.69,43.21,2.443
2014-07-29,43.59,44.27,42.26,42.33,3.808
2014-07-30,42.59,42.89,42.01,42.59,2.008
2014-07-31,42.35,42.47,41.47,41.51,2.67
2014-08-01,41.33,41.63,40.77,40.98,3.492
2014-08-04,40.97,41.37,40.65,41.23,1.909
2014-08-05,41.6,41.83,40.73,40.93,3.325
2014-08-06,40.57,41.59,40.46,40.63,2.208
2014-08-07,40.92,41.1,40.34,40.52,2.003
2014-08-08,40.67,41.33,40.6,41.25,2.238
2014-08-11,41.37,41.6,41.11,41.27,1.616
2014-08-12,41.18,41.57,40.94,41.15,1.186
2014-08-13,40.54,41.35,40.54,41.32,1.107
2014-08-14,41.43,41.56,41.33,41.55,1.005
2014-08-15,41.95,41.95,41.17,41.46,1.657
2014-08-18,41.82,42.31,41.47,42.3,1.606
2014-08-19,42.34,42.51,42.22,42.37,1.368
2014-08-20,42.44,42.97,42.4,42.87,1.599
2014-08-21,42.89,42.93,42.17,42.21,1.695
2014-08-22,42.25,42.25,41.6,41.83,1.696
2014-08-25,42.07,42.21,41.9,42.11,1.607
