Date,Open,High,Low,Close,Volume
2014-01-02,31.91,31.93,31.31,31.33,3.323
2014-01-03,31.71,31.72,31.29,31.43,3.899
2014-01-06,31.51,31.65,31.45,31.62,4.653
2014-01-07,31.61,31.72,31.35,31.65,4.838
2014-01-08,31.7,31.72,31.33,31.48,3.505
2014-01-09,31.62,31.92,31.58,31.72,7.099
2014-01-10,31.85,32.45,31.79,31.88,8.894
2014-01-13,31.85,31.92,31.45,31.57,5.637
2014-01-14,31.56,31.65,31.25,31.41,5.199
2014-01-15,31.54,31.69,31.44,31.53,5.236
2014-01-16,31.57,31.73,31.48,31.72,2.57
2014-01-17,31.8,31.87,31.65,31.78,2.163
2014-01-21,31.81,32.21,31.79,32.09,3.05
2014-01-22,32.11,32.43,32.11,32.41,3.244
2014-01-23,32.29,32.89,32.12,32.74,5.691
2014-01-24,32.65,33.4,32.57,33.02,5.91
2014-01-27,32.97,33.38,32.87,33.22,5.45
2014-01-28,33.29,33.33,32.82,32.93,2.961
2014-01-29,32.89,33.08,32.64,32.89,5.094
2014-01-30,33.05,33.4,32.93,33.37,2.374
2014-01-31,32.98,33.5,32.97,33.34,4.354
2014-02-03,33.43,33.89,33.18,33.23,4.27
2014-02-04,33.46,33.54,32.88,33.12,2.926
2014-02-05,33.1,33.12,32.87,33.01,2.948
2014-02-06,33.07,33.62,32.94,33.57,2.939
2014-02-07,33.64,34.15,33.49,33.95,5.972
2014-02-10,33.8,33.96,33.44,33.91,4.144
2014-02-11,33.95,34.42,33.89,34.37,2.673
2014-02-12,34.34,34.6,34.14,34.4,5.402
2014-02-13,34.31,34.55,34.28,34.5,3.529
2014-02-14,34.37,34.7,34.27,34.7,2.691
2014-02-18,34.74,35.15,34.65,35.11,3.95
2014-02-19,35.07,35.3,34.86,34.97,3.376
2014-02-20,35.29,37.07,35.29,36.53,12.224
2014-02-21,36.32,37.34,36.32,36.58,6.387
2014-02-24,36.71,37.05,36.54,36.73,4.708
2014-02-25,36.9,36.96,36.66,36.78,4.738
2014-02-26,36.85,36.96,36.64,36.66,2.795
2014-02-27,36.64,36.83,36.33,36.45,2.385
2014-02-28,36.5,36.77,36.45,36.66,2.313
2014-03-03,36.46,36.61,36.13,36.14,2.745
2014-03-04,36.37,36.46,36.13,36.24,3.185
2014-03-05,35.89,35.95,35.58,35.81,3.356
2014-03-06,35.96,35.96,35.4,35.51,3.725
2014-03-07,35.57,35.61,35.09,35.44,5.65
2014-03-10,35.45,35.78,35.35,35.5,6.331
2014-03-11,35.5,35.59,35.14,35.17,5.006
2014-03-12,35.02,35.79,35.0,35.79,2.622
2014-03-13,35.78,36.4,35.76,36.2,3.333
2014-03-14,36.07,36.71,36.0,36.65,3.738
2014-03-17,36.69,36.85,36.31,36.79,2.438
2014-03-18,36.85,37.06,36.62,36.89,2.608
2014-03-19,36.89,37.13,36.24,36.39,3.55
2014-03-20,36.28,36.39,35.84,36.28,3.262
2014-03-21,36.66,37.27,36.51,36.9,3.659
2014-03-24,36.93,37.18,36.75,36.95,1.913
2014-03-25,37.08,37.09,36.69,36.99,2.453
2014-03-26,37.1,37.41,36.98,37.2,3.108
2014-03-27,37.16,37.3,36.92,37.28,1.69
2014-03-28,37.21,37.39,37.11,37.37,1.35
2014-03-31,37.52,38.44,37.44,38.14,4.167
2014-04-01,38.12,38.12,37.46,37.6,3.225
2014-04-02,37.67,37.68,37.34,37.6,2.259
2014-04-03,37.67,38.2,37.56,38.1,2.577
2014-04-04,38.17,39.12,38.15,38.47,5.424
2014-04-07,38.5,38.8,38.24,38.25,5.524
2014-04-08,38.24,38.5,37.65,38.36,6.598
2014-04-09,38.59,38.93,38.26,38.7,6.714
2014-04-10,38.62,38.85,38.36,38.52,3.76
2014-04-11,38.49,38.99,38.36,38.81,2.99
2014-04-14,38.9,39.31,38.68,39.3,3.329
2014-04-15,39.22,39.87,39.22,39.59,4.445
2014-04-16,39.7,39.78,39.49,39.62,4.889
2014-04-17,39.55,39.96,39.32,39.43,2.28
2014-04-21,39.58,39.68,39.2,39.43,2.62
2014-04-22,39.34,39.43,38.97,39.23,2.661
2014-04-23,39.35,39.91,39.24,39.39,5.412
2014-04-24,39.55,39.84,39.17,39.77,2.733
2014-04-25,39.73,40.26,39.7,40.24,2.446
2014-04-28,40.21,40.65,40.15,40.63,3.19
2014-04-29,40.66,40.88,40.37,40.44,2.877
2014-04-30,40.45,41.38,40.35,40.97,7.874
2014-05-01,41.02,41.35,39.88,40.46,6.236
2014-05-02,39.89,39.97,38.57,38.89,5.484
2014-05-05,38.89,39.67,38.85,39.62,3.928
2014-05-06,39.59,39.72,39.15,39.28,3.487
2014-05-07,39.27,39.94,39.24,39.88,3.056
2014-05-08,39.99,39.99,39.1,39.17,3.255
2014-05-09,39.05,39.3,38.36,38.37,3.908
2014-05-12,38.76,38.77,37.87,38.06,5.928
2014-05-13,38.06,38.35,37.92,38.22,4.205
2014-05-14,38.25,38.6,38.0,38.24,3.045
2014-05-15,38.31,38.49,37.88,37.98,2.57
2014-05-16,37.97,38.02,37.52,37.8,5.062
2014-05-19,37.73,37.8,37.14,37.17,3.392
2014-05-20,37.31,37.55,36.91,37.17,4.39
2014-05-21,37.27,37.32,36.93,37.26,3.783
2014-05-22,37.28,37.78,37.26,37.62,3.01
2014-05-23,37.54,37.7,37.32,37.4,2.682
2014-05-27,37.4,37.72,36.96,37.35,5.955
2014-05-28,37.53,38.21,37.38,38.19,5.514
2014-05-29,38.3,38.5,38.08,38.5,4.686
2014-05-30,38.5,38.98,38.43,38.96,4.251
2014-06-02,38.96,39.24,38.71,39.11,3.179
2014-06-03,39.17,39.24,38.98,39.17,3.264
2014-06-04,38.73,38.76,38.34,38.57,3.379
2014-06-05,38.57,39.08,38.46,39.07,2.782
2014-06-06,39.0,39.16,38.67,38.74,1.941
2014-06-09,38.67,38.81,38.25,38.29,2.013
2014-06-10,38.22,38.37,37.94,38.08,2.496
2014-06-11,38.45,38.45,37.54,37.69,3.505
2014-06-12,37.58,37.76,37.06,37.63,2.112
2014-06-13,37.59,37.95,37.38,37.84,2.197
2014-06-16,37.82,38.41,37.67,37.99,2.472
2014-06-17,38.23,38.41,38.02,38.28,3.799
2014-06-18,38.18,39.3,38.14,39.25,4.116
2014-06-19,39.25,39.94,39.2,39.85,3.446
2014-06-20,39.93,40.06,39.66,39.69,3.184
2014-06-23,39.67,39.78,38.96,39.14,3.308
2014-06-24,39.2,39.57,39.13,39.45,2.487
2014-06-25,39.31,39.68,39.31,39.59,2.436
2014-06-26,39.47,39.93,39.37,39.91,2.836
2014-06-27,39.88,40.31,39.69,40.27,2.394
2014-06-30,40.35,40.93,40.08,40.79,3.983
2014-07-01,40.68,40.68,40.26,40.3,3.693
2014-07-02,40.17,40.24,38.99,39.15,5.013
2014-07-03,39.02,39.05,38.09,38.16,4.696
2014-07-07,38.03,38.56,38.03,38.56,4.099
2014-07-08,38.4,38.86,38.4,38.68,3.3
2014-07-09,38.65,38.8,38.28,38.61,3.016
2014-07-10,38.59,39.01,38.44,38.98,2.61
2014-07-11,38.88,39.0,38.47,38.49,2.045
2014-07-14,38.48,38.55,37.39,37.4,5.815
2014-07-15,37.45,37.68,37.27,37.32,4.066
2014-07-16,37.72,37.78,37.28,37.64,3.453
2014-07-17,37.65,37.83,37.03,37.08,3.841
2014-07-18,37.17,37.26,36.85,37.19,3.394
2014-07-21,37.08,37.33,36.88,37.17,2.498
2014-07-22,37.28,37.41,37.05,37.18,2.224
2014-07-23,37.18,37.25,37.0,37.02,2.548
2014-07-24,37.25,37.35,36.88,37.3,1.643
2014-07-25,37.22,37.47,36.92,36.94,1.37
2014-07-28,36.96,37.91,36.93,37.79,3.19
2014-07-29,37.63,37.87,37.06,37.06,3.505
2014-07-30,37.14,37.19,36.03,36.09,3.957
2014-07-31,35.85,35.9,35.11,35.17,4.995
2014-08-01,35.19,35.79,35.18,35.49,3.792
2014-08-04,35.49,35.52,34.5,35.3,5.596
2014-08-05,35.3,35.42,34.54,34.7,4.647
2014-08-06,34.53,34.57,34.05,34.15,6.704
2014-08-07,34.36,34.81,34.34,34.71,3.718
2014-08-08,34.76,35.56,34.76,35.54,4.117
2014-08-11,35.57,35.8,35.41,35.53,3.07
2014-08-12,35.44,35.68,35.34,35.52,2.147
2014-08-13,35.52,35.72,35.24,35.27,3.422
2014-08-14,35.36,35.68,35.33,35.5,2.531
2014-08-15,35.53,35.9,35.29,35.53,4.321
2014-08-18,35.65,35.87,35.38,35.44,2.624
2014-08-19,35.56,36.03,35.43,35.99,2.905
2014-08-20,36.13,36.25,35.9,36.19,1.85
2014-08-21,36.24,36.57,36.2,36.45,3.457
2014-08-22,36.5,36.61,36.08,36.38,2.312
2014-08-25,36.48,36.89,36.42,36.76,2.296
2014-08-26,36.78,37.0,36.29,36.33,2.41
2014-08-27,36.38,36.88,36.36,36.84,2.702
2014-08-28,36.7,37.05,36.67,37.02,1.607
2014-08-29,37.02,37.41,36.96,37.39,2.267
2014-09-02,37.28,37.36,36.41,36.58,3.751
2014-09-03,36.27,36.72,36.04,36.56,3.608
2014-09-04,36.49,36.73,36.45,36.63,2.139
2014-09-05,36.7,37.21,36.62,37.19,2.026
2014-09-08,37.23,37.23,36.85,37.05,2.59
2014-09-09,36.86,36.98,36.61,36.62,3.816
2014-09-10,36.57,36.66,36.35,36.51,3.164
2014-09-11,36.52,37.26,36.39,37.22,3.393
