Date,Open,High,Low,Close,Volume
2014-01-02,28.91,29.03,28.78,28.9,18.366
2014-01-03,28.83,29.25,28.82,28.96,15.847
2014-01-06,29.19,29.36,28.97,28.98,25.255
2014-01-07,29.28,29.43,29.17,29.17,23.423
2014-01-08,29.2,29.4,29.08,29.36,24.161
2014-01-09,29.49,29.53,29.04,29.35,21.693
2014-01-10,29.26,29.36,28.94,29.12,22.891
2014-01-13,29.28,29.44,28.88,28.98,25.276
2014-01-14,29.01,29.46,28.98,29.41,34.757
2014-01-15,29.46,29.71,29.27,29.58,30.373
2014-01-16,29.58,29.81,29.5,29.57,19.576
2014-01-17,29.65,29.69,29.36,29.5,22.791
2014-01-21,29.72,29.8,29.36,29.63,25.356
2014-01-22,29.71,29.73,29.5,29.67,23.554
2014-01-23,29.43,29.63,29.33,29.42,26.367
2014-01-24,29.28,29.37,28.52,28.55,38.06
2014-01-27,28.5,28.7,28.14,28.14,34.88
2014-01-28,28.88,29.17,28.59,28.86,35.917
2014-01-29,28.69,28.9,28.46,28.57,30.797
2014-01-30,28.84,29.27,28.66,29.24,33.833
2014-01-31,28.99,29.09,28.66,28.84,43.648
2014-02-03,29.44,30.07,29.0,29.03,64.621
2014-02-04,30.02,30.36,29.03,29.83,49.779
2014-02-05,29.4,29.58,29.01,29.08,39.166
2014-02-06,29.14,29.33,29.03,29.26,24.84
2014-02-07,29.26,29.68,29.04,29.62,29.311
2014-02-10,29.66,29.86,29.54,29.86,23.811
2014-02-11,30.16,30.34,29.82,30.25,26.076
2014-02-12,30.24,30.36,29.93,29.99,22.406
2014-02-13,29.89,30.22,29.79,30.08,19.887
2014-02-14,30.25,30.36,30.08,30.3,19.916
2014-02-18,30.18,30.45,30.16,30.25,20.751
2014-02-19,30.28,30.32,29.83,29.87,29.245
2014-02-20,29.73,30.09,29.66,29.93,23.669
2014-02-21,30.06,30.14,29.83,29.85,19.469
2014-02-24,30.35,30.44,29.91,30.35,40.869
2014-02-25,29.93,30.35,29.92,30.26,28.665
2014-02-26,30.11,30.36,30.09,30.35,26.375
2014-02-27,30.24,30.59,30.2,30.58,23.982
2014-02-28,30.47,30.75,30.22,30.46,29.004
2014-03-03,29.91,30.49,29.91,30.34,25.077
2014-03-04,30.68,31.06,30.68,31.02,27.747
2014-03-05,30.98,31.26,30.93,31.07,23.664
2014-03-06,31.12,31.27,30.75,30.8,21.629
