Date,Open,High,Low,Close,Volume
2014-01-02,48.96,49.1,48.35,48.62,1.014
2014-01-03,48.84,49.13,48.72,48.96,0.771
2014-01-06,49.09,49.3,48.67,49.01,1.104
2014-01-07,49.16,49.54,48.92,49.04,1.272
2014-01-08,49.08,49.28,48.85,49.13,1.215
2014-01-09,49.47,49.83,49.19,49.79,1.178
2014-01-10,49.84,49.84,49.17,49.56,0.815
2014-01-13,49.0,49.3,47.64,47.72,1.611
2014-01-14,47.83,48.35,47.64,48.35,1.228
2014-01-15,48.36,48.39,48.08,48.22,1.988
2014-01-16,48.13,48.28,47.76,47.94,1.145
2014-01-17,47.81,48.05,47.41,47.44,1.38
2014-01-21,47.74,47.96,47.19,47.33,1.465
2014-01-22,47.55,47.65,47.01,47.23,1.316
2014-01-23,46.77,46.86,45.46,45.68,1.641
2014-01-24,45.45,45.57,43.97,43.97,1.81
2014-01-27,44.0,44.36,43.53,43.78,2.172
2014-01-28,43.94,44.37,43.94,44.3,1.176
2014-01-29,43.58,43.99,43.21,43.37,1.721
2014-01-30,43.71,44.39,43.71,44.3,1.019
2014-01-31,43.29,44.12,43.25,43.57,1.208
2014-02-03,43.62,43.69,41.55,41.71,2.126
2014-02-04,42.0,42.48,41.2,42.26,2.697
2014-02-05,42.16,42.5,41.62,42.38,1.38
2014-02-06,42.47,42.76,42.17,42.74,1.286
2014-02-07,43.13,43.54,42.85,43.49,1.374
2014-02-10,43.5,43.51,42.76,43.05,1.217
2014-02-11,43.06,43.87,42.98,43.73,1.492
2014-02-12,43.78,44.19,43.65,43.96,0.979
2014-02-13,43.5,44.49,43.26,44.46,1.893
2014-02-14,44.34,44.72,44.12,44.54,1.206
2014-02-18,44.53,44.83,44.31,44.79,1.103
2014-02-19,44.5,45.1,44.14,44.2,1.25
2014-02-20,44.23,44.37,43.69,44.09,0.968
2014-02-21,44.1,44.71,44.02,44.48,1.411
2014-02-24,44.51,45.22,44.51,44.88,1.085
2014-02-25,44.79,44.88,44.22,44.38,1.04
2014-02-26,44.49,44.67,44.11,44.4,0.953
2014-02-27,44.36,44.79,44.17,44.66,0.575
2014-02-28,45.26,46.05,45.0,45.35,1.675
2014-03-03,44.78,44.99,44.4,44.8,1.061
2014-03-04,45.43,46.46,45.43,46.37,1.416
2014-03-05,46.27,46.62,46.17,46.44,1.526
2014-03-06,46.4,46.98,46.09,46.69,1.181
2014-03-07,47.04,47.74,47.01,47.28,1.654
2014-03-10,47.27,47.27,46.59,47.19,1.137
2014-03-11,47.31,47.38,46.57,46.72,0.927
2014-03-12,46.29,46.47,46.02,46.47,1.298
2014-03-13,46.61,46.8,45.7,45.8,0.959
2014-03-14,45.68,46.02,45.29,45.37,1.43
2014-03-17,45.82,46.12,45.56,45.69,1.02
2014-03-18,45.85,46.17,45.78,46.13,0.947
2014-03-19,46.13,46.31,45.66,45.99,0.908
2014-03-20,45.9,46.47,45.79,46.03,1.784
2014-03-21,46.46,47.1,46.23,46.42,2.011
2014-03-24,47.48,47.72,46.77,46.93,2.086
2014-03-25,47.01,47.21,46.19,46.62,1.407
2014-03-26,47.03,47.36,46.5,46.67,2.19
2014-03-27,46.58,46.66,45.22,45.29,2.24
2014-03-28,45.53,46.38,45.36,45.81,1.373
2014-03-31,46.04,46.37,45.81,45.99,1.764
2014-04-01,46.34,46.99,46.24,46.87,1.524
2014-04-02,46.84,47.47,46.78,47.44,1.577
2014-04-03,47.47,47.49,46.71,47.26,1.322
2014-04-04,47.62,47.8,46.65,46.67,2.09
2014-04-07,46.48,46.6,45.41,45.5,1.943
2014-04-08,45.32,45.68,45.01,45.27,1.316
2014-04-09,45.51,46.02,45.05,45.98,0.909
2014-04-10,45.92,46.0,44.31,44.31,1.344
2014-04-11,43.99,44.25,43.25,43.28,1.851
2014-04-14,44.27,44.44,43.56,44.05,1.553
2014-04-15,44.02,44.63,43.4,44.23,1.549
2014-04-16,44.68,44.91,44.25,44.89,1.066
2014-04-17,44.82,45.6,42.9,45.2,1.291
2014-04-21,45.09,45.26,44.84,45.0,1.053
2014-04-22,45.0,45.41,44.87,45.31,1.615
2014-04-23,45.32,45.61,45.01,45.16,1.402
2014-04-24,45.36,45.63,44.44,44.79,1.465
2014-04-25,46.64,47.84,45.3,46.29,3.32
2014-04-28,46.97,47.0,45.64,46.13,1.802
2014-04-29,46.32,46.68,46.26,46.56,1.264
2014-04-30,46.51,46.9,46.07,46.84,1.908
2014-05-01,46.72,46.94,46.29,46.5,1.1
2014-05-02,46.45,47.04,46.4,46.65,1.308
2014-05-05,46.31,46.51,45.77,46.3,1.352
2014-05-06,46.13,46.22,45.57,45.59,1.251
2014-05-07,45.83,46.4,45.43,46.38,1.57
2014-05-08,46.43,47.15,46.32,46.78,1.437
2014-05-09,46.66,46.66,45.99,46.58,0.896
2014-05-12,46.9,47.79,46.61,47.73,1.48
2014-05-13,47.82,47.87,47.38,47.45,1.027
2014-05-14,47.48,47.52,46.42,46.55,0.823
2014-05-15,46.2,46.28,44.66,45.25,2.05
2014-05-16,45.21,45.54,44.88,45.5,1.181
2014-05-19,45.35,45.8,45.35,45.78,0.796
2014-05-20,45.75,45.75,44.94,45.4,1.175
2014-05-21,45.71,46.15,45.63,46.12,0.767
2014-05-22,46.06,46.67,45.94,46.41,1.004
2014-05-23,46.43,46.67,46.29,46.46,0.611
2014-05-27,46.64,46.92,46.55,46.8,0.94
2014-05-28,46.73,46.85,46.4,46.63,0.869
2014-05-29,46.73,47.0,46.31,46.63,0.691
2014-05-30,46.51,46.92,46.45,46.77,0.931
2014-06-02,46.87,47.3,46.57,47.28,0.838
2014-06-03,47.12,47.56,47.03,47.32,0.873
2014-06-04,47.22,48.22,47.22,48.19,1.497
2014-06-05,48.16,48.26,47.49,48.18,1.402
2014-06-06,48.22,48.94,48.18,48.88,1.116
2014-06-09,49.23,49.6,48.96,49.37,1.85
2014-06-10,49.3,49.58,49.24,49.51,0.954
2014-06-11,49.14,49.32,48.76,48.83,0.84
2014-06-12,48.83,49.0,48.38,48.68,0.863
2014-06-13,48.7,48.88,48.45,48.75,0.886
2014-06-16,48.67,48.88,48.42,48.74,0.794
2014-06-17,48.67,49.37,48.67,49.3,1.063
2014-06-18,49.24,49.9,48.95,49.88,1.247
2014-06-19,49.82,49.97,49.51,49.96,0.924
2014-06-20,49.85,50.7,49.85,50.37,1.607
2014-06-23,50.28,50.52,50.11,50.32,0.608
2014-06-24,50.21,50.52,49.97,50.01,0.942
2014-06-25,49.8,50.31,49.68,50.29,0.816
2014-06-26,50.22,50.42,49.65,50.37,1.226
2014-06-27,50.11,50.49,50.0,50.27,0.748
2014-06-30,50.25,50.74,50.07,50.48,1.065
2014-07-01,50.5,51.23,50.5,50.97,0.981
2014-07-02,50.96,51.19,50.68,50.86,0.906
2014-07-03,51.11,51.64,51.09,51.54,0.536
2014-07-07,51.32,51.51,51.11,51.45,1.054
2014-07-08,51.32,51.55,51.1,51.4,1.593
