Date,Open,High,Low,Close,Volume
2014-01-02,81.33,81.36,80.32,80.54,6.982
2014-01-03,80.76,80.85,80.19,80.45,6.926
2014-01-06,80.61,80.98,80.3,80.64,7.208
2014-01-07,80.71,81.58,80.62,81.42,7.158
2014-01-08,80.97,81.15,80.05,80.24,13.459
2014-01-09,80.54,80.8,80.03,80.42,10.834
2014-01-10,80.59,80.89,80.2,80.3,8.448
2014-01-13,80.01,80.5,79.69,80.01,9.361
2014-01-14,80.06,80.92,80.02,80.87,8.737
2014-01-15,80.7,81.18,80.25,80.79,8.222
2014-01-16,80.65,80.83,80.26,80.56,11.673
2014-01-17,80.42,80.64,79.8,79.88,13.63
2014-01-21,80.59,80.72,79.54,80.18,13.216
2014-01-22,79.57,79.88,79.05,79.23,8.456
2014-01-23,78.71,78.97,78.12,78.24,12.668
2014-01-24,79.33,81.7,78.78,79.18,20.163
2014-01-27,79.24,79.3,78.42,78.47,10.395
2014-01-28,78.67,79.52,78.43,79.11,10.061
2014-01-29,78.8,78.8,77.38,77.64,13.443
2014-01-30,78.05,78.05,76.77,76.87,9.45
2014-01-31,76.03,77.19,75.26,76.62,12.989
2014-02-03,76.69,76.76,75.6,75.7,14.293
2014-02-04,76.0,76.39,75.4,76.09,12.055
2014-02-05,75.94,76.8,75.67,76.45,9.734
2014-02-06,76.53,76.99,76.48,76.9,7.82
2014-02-07,76.99,77.39,76.75,77.31,7.259
2014-02-10,77.43,78.09,77.19,78.03,8.96
2014-02-11,78.1,79.11,77.64,78.84,10.501
2014-02-12,78.13,78.53,77.06,77.49,11.02
2014-02-13,77.09,77.92,77.0,77.8,7.421
2014-02-14,77.69,79.75,77.25,79.4,10.792
2014-02-18,79.48,79.63,77.56,77.97,15.751
2014-02-19,77.64,78.96,77.55,78.14,8.74
2014-02-20,77.96,78.44,77.5,77.92,8.275
2014-02-21,78.05,78.89,77.91,77.97,8.089
2014-02-24,78.03,78.77,77.61,77.86,7.839
2014-02-25,77.73,78.31,77.4,78.12,8.178
2014-02-26,78.23,78.77,77.82,77.86,7.765
2014-02-27,77.77,78.23,77.56,78.19,6.55
2014-02-28,78.24,78.91,78.01,78.66,8.49
2014-03-03,78.26,78.41,77.35,77.48,8.599
2014-03-04,78.09,78.72,77.9,78.45,8.307
2014-03-05,78.32,78.41,77.55,77.82,8.542
2014-03-06,78.04,78.44,77.84,78.06,6.476
2014-03-07,78.41,78.6,78.11,78.38,5.865
2014-03-10,78.29,78.57,78.2,78.53,5.23
2014-03-11,78.59,79.39,78.57,78.95,6.596
2014-03-12,78.66,79.45,78.62,79.24,7.469
2014-03-13,79.32,79.76,79.19,79.19,9.677
2014-03-14,79.1,79.23,78.67,78.98,14.851
2014-03-17,79.02,79.95,79.02,79.84,8.452
2014-03-18,79.84,80.08,79.51,79.77,7.703
2014-03-19,79.68,79.91,78.51,78.78,8.607
2014-03-20,78.7,78.93,78.15,78.32,8.66
2014-03-21,79.04,79.75,77.88,77.88,21.244
2014-03-24,78.5,79.83,78.47,79.3,11.222
2014-03-25,79.52,79.99,79.44,79.81,8.892
