Date,Open,High,Low,Close,Volume
2014-01-02,27.29,27.3,26.67,26.72,2.57
2014-01-03,26.7,26.77,26.23,26.34,3.156
2014-01-06,26.42,26.43,25.98,26.17,3.473
2014-01-07,26.15,26.27,25.92,26.03,3.554
2014-01-08,25.54,25.96,25.53,25.72,11.66
2014-01-09,25.83,25.97,25.51,25.9,6.197
2014-01-10,25.88,26.05,25.74,25.94,3.595
2014-01-13,25.91,26.09,25.63,25.7,3.709
2014-01-14,25.76,26.1,25.73,26.06,4.531
2014-01-15,26.06,26.14,25.87,25.99,5.146
2014-01-16,26.0,26.0,25.81,25.85,2.16
2014-01-17,25.9,25.98,25.71,25.73,2.592
2014-01-21,25.87,25.93,25.64,25.93,4.855
2014-01-22,25.86,25.9,25.16,25.41,9.021
2014-01-23,25.26,25.37,25.02,25.19,8.742
2014-01-24,25.01,25.07,24.79,24.8,5.184
2014-01-27,23.41,23.52,23.08,23.18,8.703
2014-01-28,23.15,23.53,23.11,23.46,5.474
2014-01-29,23.26,23.65,23.23,23.45,5.571
2014-01-30,23.54,23.61,23.44,23.56,2.493
2014-01-31,23.35,23.57,23.21,23.24,4.164
2014-02-03,23.1,23.24,22.57,22.59,5.578
2014-02-04,22.69,22.8,22.53,22.62,2.724
2014-02-05,22.57,22.84,22.57,22.6,3.481
2014-02-06,22.65,22.92,22.56,22.9,2.993
2014-02-07,23.08,23.2,22.94,23.13,3.135
2014-02-10,23.08,23.23,23.01,23.18,2.761
2014-02-11,23.17,23.62,23.16,23.49,2.687
2014-02-12,23.37,23.58,23.31,23.56,3.68
2014-02-13,23.42,23.94,23.42,23.85,3.856
2014-02-14,23.8,24.0,23.8,23.98,2.28
2014-02-18,23.93,24.06,23.78,23.87,2.536
2014-02-19,23.73,23.95,23.71,23.75,2.948
2014-02-20,23.78,24.05,23.59,23.97,5.033
2014-02-21,23.99,24.12,23.8,23.92,4.811
2014-02-24,23.89,23.94,23.76,23.76,4.399
2014-02-25,23.78,23.84,23.62,23.7,4.409
2014-02-26,23.77,24.09,23.76,23.9,3.668
2014-02-27,23.86,24.19,23.8,24.18,2.843
2014-02-28,24.21,24.59,24.13,24.49,5.523
2014-03-03,24.32,24.33,24.04,24.12,3.392
2014-03-04,24.38,24.44,24.09,24.22,3.471
2014-03-05,24.19,24.34,24.11,24.3,3.537
2014-03-06,24.31,24.56,24.28,24.45,1.881
2014-03-07,24.56,24.57,24.23,24.45,2.309
2014-03-10,24.38,24.57,24.38,24.5,3.189
2014-03-11,24.54,24.6,24.34,24.52,2.396
2014-03-12,23.97,24.05,23.57,23.58,5.647
2014-03-13,23.6,23.66,23.16,23.4,6.912
2014-03-14,23.38,23.86,23.34,23.7,5.464
2014-03-17,23.8,23.85,23.56,23.73,2.554
2014-03-18,23.69,23.83,23.64,23.65,1.779
2014-03-19,23.66,23.68,23.34,23.44,2.48
2014-03-20,23.38,23.89,23.35,23.82,2.946
2014-03-21,24.69,24.89,24.16,24.22,5.27
2014-03-24,24.3,24.36,24.03,24.11,3.333
2014-03-25,24.16,24.3,24.06,24.16,1.846
2014-03-26,24.3,24.33,23.88,23.9,4.382
2014-03-27,23.84,23.92,23.7,23.77,2.986
2014-03-28,23.86,24.15,23.8,23.98,3.899
2014-03-31,24.07,24.25,24.0,24.22,4.845
2014-04-01,24.32,24.38,23.97,24.09,2.295
2014-04-02,24.15,24.28,24.05,24.11,3.283
2014-04-03,24.21,24.51,24.15,24.5,3.415
2014-04-04,24.58,24.66,24.26,24.27,2.585
2014-04-07,24.28,24.38,24.08,24.11,3.692
2014-04-08,24.07,24.26,23.98,24.16,2.533
2014-04-09,24.28,24.44,24.01,24.06,5.067
2014-04-10,24.08,24.37,23.81,23.81,3.19
2014-04-11,23.7,23.78,23.54,23.66,3.436
2014-04-14,23.87,23.93,23.4,23.92,4.783
2014-04-15,23.82,23.93,23.65,23.83,3.117
2014-04-16,24.02,24.04,23.9,23.99,2.861
2014-04-17,23.96,24.0,23.82,23.96,2.137
2014-04-21,23.64,23.99,23.52,23.84,1.715
2014-04-22,23.86,23.9,23.7,23.76,2.607
2014-04-23,24.23,24.23,23.6,23.69,4.194
2014-04-24,23.85,24.14,23.71,23.94,8.357
2014-04-25,23.86,23.92,23.6,23.79,5.102
2014-04-28,23.92,24.01,23.79,23.99,5.476
2014-04-29,24.06,24.28,23.99,24.06,8.693
2014-04-30,24.07,24.29,23.95,24.25,13.662
2014-05-01,24.25,25.01,24.12,24.98,9.402
2014-05-02,24.93,25.07,24.7,24.8,6.781
2014-05-05,24.7,24.9,24.58,24.86,3.401
2014-05-06,24.75,24.81,24.5,24.58,4.835
2014-05-07,24.61,24.79,24.53,24.61,7.316
2014-05-08,24.58,24.73,24.51,24.62,3.299
2014-05-09,24.6,24.65,24.5,24.64,6.622
2014-05-12,24.75,24.89,24.74,24.84,6.032
2014-05-13,24.91,25.04,24.8,25.03,6.622
2014-05-14,25.25,25.6,25.16,25.44,12.74
2014-05-15,25.37,25.56,25.25,25.31,4.93
2014-05-16,25.41,25.45,25.28,25.36,3.808
2014-05-19,25.5,25.5,25.19,25.34,2.296
2014-05-20,25.36,25.36,25.04,25.15,2.643
2014-05-21,25.25,25.29,25.14,25.27,2.637
2014-05-22,25.29,25.34,25.1,25.16,2.619
2014-05-23,25.21,25.26,25.05,25.1,2.12
2014-05-27,24.59,25.19,24.59,25.06,3.025
2014-05-28,25.14,25.33,25.05,25.26,3.529
2014-05-29,25.34,25.36,25.16,25.17,2.466
2014-05-30,25.21,25.24,24.93,25.03,3.124
2014-06-02,25.06,25.15,24.8,24.91,3.587
2014-06-03,25.09,25.13,24.82,24.89,2.776
2014-06-04,24.88,24.98,24.8,24.91,3.399
2014-06-05,24.69,25.09,24.58,25.08,2.882
2014-06-06,25.15,25.38,25.14,25.25,2.102
2014-06-09,25.24,25.38,25.1,25.17,1.628
