Date,Open,High,Low,Close,Volume
2014-01-02,36.99,37.01,36.55,36.91,1.986
2014-01-03,36.84,37.36,36.83,37.24,1.84
2014-01-06,37.62,37.74,37.15,37.4,3.031
2014-01-07,37.49,37.92,37.4,37.73,2.85
2014-01-08,37.68,37.84,37.28,37.68,2.383
2014-01-09,37.72,37.74,36.77,37.2,2.917
2014-01-10,37.39,37.73,37.29,37.6,1.722
2014-01-13,37.31,37.54,36.59,36.75,2.397
2014-01-14,36.91,37.37,36.82,37.22,1.597
2014-01-15,37.27,37.66,37.19,37.51,1.909
2014-01-16,37.48,37.58,37.14,37.29,2.25
2014-01-17,37.37,37.48,36.81,36.98,2.432
2014-01-21,37.2,37.53,36.86,37.34,1.522
2014-01-22,37.5,37.91,37.43,37.75,1.996
2014-01-23,37.49,37.62,37.21,37.42,2.217
2014-01-24,37.13,37.21,36.51,36.74,2.849
2014-01-27,36.65,36.9,36.33,36.51,3.319
2014-01-28,36.57,37.33,36.49,37.23,2.753
2014-01-29,36.85,37.21,36.53,37.01,3.23
2014-01-30,36.5,39.14,36.5,38.81,4.294
2014-01-31,38.19,39.16,38.06,38.76,4.104
2014-02-03,38.82,38.89,38.01,38.17,2.916
2014-02-04,38.16,38.93,38.06,38.75,3.044
2014-02-05,38.63,39.18,38.41,39.12,3.139
2014-02-06,39.17,39.68,38.99,39.58,3.014
2014-02-07,39.72,40.13,39.46,39.93,2.452
2014-02-10,39.93,40.43,39.75,40.34,1.942
2014-02-11,40.25,40.9,40.09,40.62,2.497
2014-02-12,40.62,40.84,40.47,40.71,1.673
2014-02-13,40.51,41.05,40.45,40.83,1.759
2014-02-14,40.72,40.98,40.62,40.67,2.023
2014-02-18,40.7,40.81,40.29,40.8,2.594
2014-02-19,40.68,41.35,40.57,40.72,2.052
2014-02-20,40.75,40.9,40.19,40.39,2.063
2014-02-21,40.36,40.72,40.21,40.61,2.416
2014-02-24,40.61,41.26,40.56,40.69,3.029
2014-02-25,40.69,41.09,40.65,40.91,1.805
2014-02-26,41.01,41.23,40.78,41.02,2.009
2014-02-27,41.08,41.3,40.58,40.9,1.901
2014-02-28,40.9,41.39,40.82,41.19,3.511
2014-03-03,40.92,41.2,40.48,40.93,2.78
2014-03-04,41.24,42.1,41.24,41.97,3.041
2014-03-05,41.95,42.01,41.46,41.76,2.682
2014-03-06,41.79,41.89,41.15,41.32,2.473
2014-03-07,41.15,41.25,40.58,40.87,2.214
2014-03-10,40.51,40.6,40.09,40.32,2.179
2014-03-11,40.28,40.7,40.28,40.45,1.385
2014-03-12,40.31,40.69,40.27,40.63,1.875
2014-03-13,40.61,40.8,40.31,40.36,1.67
2014-03-14,40.36,40.6,40.16,40.19,1.542
2014-03-17,40.5,40.83,40.37,40.5,1.132
2014-03-18,40.42,40.95,40.4,40.84,1.218
2014-03-19,40.74,41.11,39.83,40.02,2.036
2014-03-20,39.87,40.27,39.6,40.25,3.269
2014-03-21,40.61,40.78,40.33,40.59,2.887
2014-03-24,40.57,40.72,39.99,40.11,1.589
2014-03-25,40.38,40.67,40.11,40.47,2.085
2014-03-26,40.56,40.58,39.9,39.91,1.519
2014-03-27,39.74,40.14,39.59,40.12,1.651
2014-03-28,40.28,40.73,40.22,40.54,1.251
2014-03-31,40.77,41.19,40.32,40.83,1.891
2014-04-01,40.9,40.95,40.45,40.88,2.302
2014-04-02,40.91,41.11,40.69,40.81,2.635
2014-04-03,40.99,41.01,40.6,40.88,2.43
2014-04-04,41.03,41.44,40.81,41.04,1.72
2014-04-07,41.04,41.49,40.93,41.09,1.568
2014-04-08,41.08,41.22,40.82,41.16,1.809
2014-04-09,41.33,41.48,40.98,41.31,3.628
2014-04-10,41.32,41.49,40.18,40.45,3.712
2014-04-11,40.2,40.48,39.96,40.05,2.553
2014-04-14,40.32,40.43,39.72,40.1,2.319
2014-04-15,40.18,40.72,40.04,40.71,3.184
2014-04-16,40.93,40.99,40.53,40.9,2.85
2014-04-17,40.6,41.34,40.58,41.29,3.289
2014-04-21,41.2,41.45,40.99,41.39,2.791
2014-04-22,39.8,41.44,39.8,41.23,3.452
2014-04-23,41.52,41.62,40.69,40.94,3.6
2014-04-24,41.09,41.41,40.86,41.23,2.105
2014-04-25,41.17,41.18,40.6,40.73,2.092
2014-04-28,41.0,41.02,40.3,40.94,3.318
2014-04-29,40.95,41.24,40.65,40.89,2.194
2014-04-30,40.78,40.84,40.36,40.63,2.455
2014-05-01,40.63,40.96,40.36,40.94,1.834
2014-05-02,40.82,41.28,40.63,40.79,2.404
2014-05-05,40.6,41.28,40.45,41.19,2.026
2014-05-06,40.69,41.0,40.44,40.63,2.888
2014-05-07,40.87,41.26,40.59,41.22,2.66
2014-05-08,41.23,41.6,41.18,41.38,3.137
2014-05-09,41.41,41.66,40.98,41.2,2.759
2014-05-12,41.32,41.47,41.09,41.41,2.071
2014-05-13,41.44,41.79,41.21,41.36,1.826
2014-05-14,41.33,41.52,41.03,41.27,1.813
2014-05-15,41.19,41.38,40.5,40.99,2.403
2014-05-16,40.94,41.46,40.8,41.45,2.38
2014-05-19,41.33,41.33,40.94,41.12,3.134
2014-05-20,41.11,41.21,40.78,40.82,2.327
2014-05-21,40.92,41.08,40.58,40.6,1.549
2014-05-22,40.65,40.76,40.42,40.5,2.383
