Date,Open,High,Low,Close,Volume
2014-01-02,76.06,77.22,76.06,76.6,1.742
2014-01-03,76.81,77.23,76.67,76.96,1.362
2014-01-06,77.29,77.94,76.85,76.86,2.966
2014-01-07,76.69,77.75,76.69,77.43,1.998
2014-01-08,77.5,78.83,77.5,78.72,2.929
2014-01-09,78.95,79.29,78.65,79.19,3.018
2014-01-10,79.08,79.14,78.21,78.77,1.976
2014-01-13,78.03,78.35,77.17,77.37,1.543
2014-01-14,77.62,78.19,77.08,78.0,1.674
2014-01-15,78.14,79.12,78.14,78.84,2.356
2014-01-16,80.69,81.28,78.84,80.93,4.538
2014-01-17,82.15,84.41,81.76,82.26,4.84
2014-01-21,82.75,84.28,82.62,84.11,4.35
2014-01-22,84.22,84.43,83.45,84.21,2.68
2014-01-23,83.66,83.78,82.23,82.66,2.986
2014-01-24,82.13,82.29,81.03,81.03,2.325
2014-01-27,81.15,81.66,80.22,80.8,3.383
2014-01-28,81.39,81.54,80.74,81.24,2.296
2014-01-29,80.6,81.3,79.85,79.87,3.148
2014-01-30,80.9,81.72,80.43,81.62,2.029
2014-01-31,80.33,80.8,79.78,79.88,2.235
2014-02-03,79.88,80.38,78.32,78.43,3.093
2014-02-04,78.87,79.45,78.16,78.88,2.494
2014-02-05,78.87,79.13,78.03,78.81,2.453
2014-02-06,78.91,79.87,78.58,79.83,2.214
2014-02-07,80.02,80.8,79.57,79.89,1.981
2014-02-10,80.09,80.37,79.24,79.84,1.702
2014-02-11,79.82,81.27,79.65,81.0,2.198
2014-02-12,81.14,81.77,80.62,81.02,1.396
2014-02-13,80.45,81.24,80.11,81.14,1.59
2014-02-14,81.01,81.8,80.95,81.62,1.833
2014-02-18,83.53,83.53,81.41,81.55,1.552
2014-02-19,81.16,81.46,79.47,79.67,2.626
2014-02-20,79.97,80.3,79.06,79.98,2.148
2014-02-21,80.0,80.77,79.81,80.23,1.859
2014-02-24,80.28,81.82,80.22,81.34,2.519
2014-02-25,81.26,81.34,80.28,80.71,2.009
2014-02-26,81.07,81.34,80.16,81.13,1.186
2014-02-27,80.99,81.35,80.4,81.34,1.643
2014-02-28,81.48,82.65,81.41,81.78,2.453
2014-03-03,80.82,81.21,80.35,80.98,1.748
2014-03-04,80.25,82.22,80.25,82.03,1.992
2014-03-05,82.12,82.98,82.12,82.94,2.427
2014-03-06,83.04,83.59,82.71,82.82,1.95
2014-03-07,83.4,84.65,83.29,83.98,2.369
2014-03-10,83.82,84.11,83.35,84.09,1.698
2014-03-11,84.06,84.06,82.93,83.22,1.236
2014-03-12,82.8,83.53,82.5,83.46,1.534
2014-03-13,83.84,84.05,82.63,82.79,1.703
2014-03-14,82.75,83.55,82.56,82.86,1.588
2014-03-17,83.26,84.28,83.26,84.17,1.594
2014-03-18,84.2,84.7,83.78,84.62,2.13
2014-03-19,84.73,85.8,83.85,85.06,3.084
2014-03-20,84.81,86.88,84.67,86.63,3.301
2014-03-21,87.59,87.8,86.67,86.87,4.325
2014-03-24,87.23,87.64,86.55,86.95,1.799
2014-03-25,87.15,87.16,86.15,86.42,2.331
2014-03-26,86.99,86.99,85.31,85.32,2.211
2014-03-27,85.33,86.1,84.45,85.14,2.376
2014-03-28,85.63,86.17,85.1,85.73,1.895
2014-03-31,86.21,87.29,86.13,87.0,2.728
2014-04-01,87.18,87.47,86.54,87.26,2.419
2014-04-02,87.5,87.78,87.26,87.61,2.558
2014-04-03,87.55,87.67,86.97,87.41,1.58
2014-04-04,87.83,88.03,86.2,86.25,2.329
2014-04-07,86.04,86.39,84.61,84.82,3.579
2014-04-08,84.94,85.05,83.91,84.63,2.302
2014-04-09,84.77,84.9,84.3,84.59,2.487
2014-04-10,84.61,84.89,82.2,82.21,3.505
2014-04-11,80.95,81.93,79.8,81.14,3.194
2014-04-14,81.93,82.19,80.73,81.59,2.073
2014-04-15,81.82,82.3,80.87,82.15,2.363
2014-04-16,83.17,84.65,82.4,84.38,4.32
2014-04-17,83.91,84.24,83.19,83.77,2.486
2014-04-21,84.01,84.63,83.57,83.7,1.733
2014-04-22,83.63,84.78,83.36,84.66,1.938
2014-04-23,84.5,84.92,84.35,84.73,1.696
2014-04-24,85.04,85.09,84.04,84.26,1.716
2014-04-25,84.28,84.73,83.7,83.87,1.788
2014-04-28,84.11,84.19,82.54,82.96,2.649
2014-04-29,83.54,84.02,83.24,83.42,1.666
2014-04-30,83.52,84.23,83.4,84.04,2.306
2014-05-01,83.96,84.36,83.36,83.77,1.735
2014-05-02,84.07,85.88,83.8,84.73,2.95
2014-05-05,84.5,84.5,83.51,84.16,2.007
2014-05-06,83.76,83.83,82.93,82.95,1.565
2014-05-07,83.27,83.96,83.08,83.86,1.67
2014-05-08,83.56,84.41,83.53,83.86,1.53
2014-05-09,83.73,84.21,83.34,84.18,1.255
2014-05-12,84.57,85.68,84.31,85.47,1.904
2014-05-13,85.52,85.68,84.68,84.78,1.31
2014-05-14,84.73,85.05,83.1,83.29,2.679
2014-05-15,83.06,83.2,81.65,82.64,2.185
2014-05-16,82.52,82.95,82.04,82.78,2.185
2014-05-19,82.54,83.37,82.48,83.21,1.548
2014-05-20,83.0,83.21,82.33,82.63,1.646
2014-05-21,82.95,84.24,82.95,83.52,1.593
