Date,Open,High,Low,Close,Volume
2014-01-02,51.95,52.18,51.32,51.63,1.584
2014-01-03,51.63,52.1,51.42,51.46,1.4
2014-01-06,51.74,51.86,51.11,51.14,2.023
2014-01-07,51.37,51.95,51.27,51.69,1.3
2014-01-08,51.58,52.05,51.37,51.89,1.414
2014-01-09,52.01,52.3,51.78,51.92,1.341
2014-01-10,52.05,52.14,51.58,51.73,1.353
2014-01-13,51.46,51.59,50.32,50.42,2.811
2014-01-14,50.57,51.03,50.21,50.91,2.227
2014-01-15,51.09,51.84,51.01,51.84,1.686
2014-01-16,51.68,52.01,51.55,51.83,1.348
2014-01-17,51.83,52.28,51.12,52.12,3.398
2014-01-21,52.35,52.51,51.65,52.22,2.285
2014-01-22,52.41,52.43,51.71,51.97,1.368
2014-01-23,51.66,51.8,50.67,50.85,1.919
2014-01-24,50.51,50.62,48.37,48.5,3.819
2014-01-27,48.86,49.03,47.88,48.36,2.615
2014-01-28,52.24,52.24,49.08,50.24,4.057
2014-01-29,50.23,50.85,49.43,49.68,3.518
2014-01-30,50.15,50.29,49.63,50.19,1.745
2014-01-31,49.94,50.34,49.03,49.92,1.869
2014-02-03,49.92,50.31,48.0,48.07,4.305
2014-02-04,48.39,49.66,47.91,49.6,3.034
2014-02-05,49.41,50.38,49.29,50.24,3.263
2014-02-06,50.11,50.53,49.81,50.33,1.856
2014-02-07,50.54,51.32,50.4,51.29,2.249
2014-02-10,51.29,51.5,50.89,51.41,1.981
2014-02-11,51.29,52.16,51.29,51.92,2.642
2014-02-12,51.95,52.55,51.94,52.16,1.466
2014-02-13,51.76,52.34,51.32,52.34,1.503
2014-02-14,52.28,52.69,51.96,52.64,1.383
2014-02-18,52.98,53.11,52.49,53.09,1.321
2014-02-19,52.98,53.21,52.2,52.27,1.809
2014-02-20,52.4,53.22,52.32,53.05,2.058
2014-02-21,53.2,53.69,52.83,53.17,1.868
2014-02-24,53.26,53.72,53.18,53.4,1.527
2014-02-25,53.45,54.1,53.3,53.85,3.822
2014-02-26,53.92,54.27,53.57,53.99,1.787
2014-02-27,53.98,54.45,53.8,54.36,1.37
2014-02-28,54.49,54.66,53.96,54.27,1.296
2014-03-03,53.79,54.17,53.43,53.92,1.173
2014-03-04,54.64,55.15,54.57,55.02,1.311
2014-03-05,55.01,55.2,54.7,55.01,1.49
2014-03-06,54.95,55.6,54.95,55.55,1.507
2014-03-07,55.76,55.99,55.34,55.61,1.525
2014-03-10,55.47,55.56,55.0,55.33,0.897
2014-03-11,55.31,55.59,54.38,54.63,2.204
2014-03-12,54.22,54.23,53.37,53.89,2.537
2014-03-13,54.07,54.2,52.42,52.77,3.205
2014-03-14,52.77,52.96,51.96,52.0,2.866
2014-03-17,52.53,53.32,52.49,53.11,2.115
2014-03-18,53.29,53.54,53.09,53.36,1.218
2014-03-19,53.39,53.59,52.45,52.79,1.139
2014-03-20,52.61,53.08,52.35,53.07,1.352
2014-03-21,53.55,53.72,52.44,52.55,3.264
2014-03-24,52.87,53.28,52.14,52.55,1.253
2014-03-25,52.88,53.32,52.32,52.81,1.38
2014-03-26,53.11,53.36,51.85,51.87,1.312
2014-03-27,51.89,51.97,51.09,51.39,1.541
2014-03-28,51.48,52.3,51.4,52.16,1.409
2014-03-31,52.57,53.32,52.44,53.28,1.537
2014-04-01,53.3,54.2,53.3,53.89,1.495
2014-04-02,53.99,54.43,53.94,54.1,1.32
2014-04-03,54.18,54.31,53.55,53.73,1.313
2014-04-04,54.28,54.28,52.37,52.54,1.423
2014-04-07,52.25,52.31,51.14,51.52,1.718
2014-04-08,51.66,52.72,51.52,52.69,2.072
2014-04-09,52.85,53.84,52.55,53.79,1.83
2014-04-10,53.77,53.81,52.44,52.47,2.41
2014-04-11,52.16,52.67,51.6,51.75,1.774
2014-04-14,52.2,52.54,51.73,51.99,1.643
2014-04-15,52.2,52.48,51.18,52.2,1.187
2014-04-16,52.81,53.73,52.45,53.72,1.151
2014-04-17,53.96,53.96,53.43,53.43,2.186
2014-04-21,53.46,54.11,53.3,54.05,1.803
2014-04-22,52.38,52.49,50.0,50.34,7.981
2014-04-23,49.17,51.05,49.15,50.49,3.887
2014-04-24,50.79,50.79,50.03,50.26,2.979
2014-04-25,50.13,50.36,49.5,49.58,2.149
2014-04-28,49.76,49.85,48.33,49.1,3.695
2014-04-29,49.3,49.63,48.86,49.43,2.687
2014-04-30,49.39,50.05,49.14,49.89,2.135
2014-05-01,49.89,50.05,49.49,49.84,1.49
