Date,Open,High,Low,Close,Volume
2014-01-02,53.0,53.0,52.04,52.05,1.21
2014-01-03,52.19,52.37,51.84,52.07,0.861
2014-01-06,52.15,52.18,51.89,52.03,0.993
2014-01-07,52.03,52.51,52.01,52.43,0.851
2014-01-08,52.42,52.42,51.94,52.1,0.925
2014-01-09,52.34,52.64,52.05,52.52,0.909
2014-01-10,52.75,53.81,52.75,53.28,0.771
2014-01-13,53.41,53.78,52.88,52.97,0.809
2014-01-14,53.0,53.26,52.63,52.76,0.741
2014-01-15,52.98,53.06,52.53,52.56,0.659
2014-01-16,52.6,52.84,52.5,52.8,0.608
2014-01-17,52.68,52.86,52.3,52.39,0.867
2014-01-21,52.5,53.13,52.4,52.96,0.584
2014-01-22,53.11,53.3,52.96,53.17,0.456
2014-01-23,53.0,53.02,52.36,52.65,1.16
2014-01-24,52.44,52.82,52.01,52.01,0.735
2014-01-27,52.04,52.26,51.9,51.9,0.65
2014-01-28,52.03,52.12,51.75,51.99,0.818
2014-01-29,51.95,52.16,51.57,51.72,0.934
2014-01-30,51.45,52.26,51.37,52.2,0.85
2014-01-31,51.76,52.73,51.71,52.63,1.092
2014-02-03,52.63,53.21,51.15,51.28,1.852
2014-02-04,51.89,52.02,51.2,51.63,1.523
2014-02-05,51.64,51.66,51.17,51.41,0.82
2014-02-06,51.39,52.17,51.3,52.11,0.873
2014-02-07,52.24,52.86,52.19,52.76,1.061
2014-02-10,52.59,53.19,52.36,53.07,0.741
2014-02-11,53.02,53.96,52.92,53.78,0.929
2014-02-12,53.78,54.03,53.64,53.78,0.861
2014-02-13,53.52,54.11,53.51,54.02,1.585
2014-02-14,53.91,54.41,53.78,54.39,1.4
2014-02-18,54.6,54.85,54.35,54.84,1.021
2014-02-19,54.62,54.95,54.32,54.36,0.99
2014-02-20,54.37,55.22,54.37,55.1,0.796
2014-02-21,54.4,55.43,54.4,54.73,1.326
2014-02-24,54.69,55.45,54.42,54.44,0.955
2014-02-25,54.38,55.38,54.34,55.14,1.683
2014-02-26,55.39,55.47,55.01,55.24,1.083
2014-02-27,55.04,55.29,54.8,55.27,1.344
2014-02-28,55.29,55.99,55.21,55.65,0.976
2014-03-03,55.42,55.55,55.03,55.07,0.961
2014-03-04,55.33,55.54,55.16,55.25,1.258
2014-03-05,55.16,55.29,54.48,54.51,1.189
2014-03-06,54.48,54.51,53.88,54.05,1.383
2014-03-07,54.06,54.21,53.69,54.04,0.796
2014-03-10,53.8,54.3,53.8,54.25,1.168
2014-03-11,54.36,54.47,53.63,53.64,1.288
2014-03-12,53.58,54.26,53.51,54.24,0.892
2014-03-13,54.29,55.28,54.2,54.93,1.291
2014-03-14,54.93,55.52,54.76,55.04,1.03
2014-03-17,55.25,55.43,54.92,55.42,0.515
2014-03-18,55.48,55.78,55.38,55.59,0.843
2014-03-19,55.5,55.51,54.06,54.21,0.675
2014-03-20,53.95,54.0,53.29,53.55,0.736
2014-03-21,53.98,54.4,53.59,53.94,1.032
2014-03-24,54.03,54.83,53.87,54.77,1.094
2014-03-25,54.88,55.08,54.1,54.49,0.89
2014-03-26,54.54,54.74,54.15,54.19,0.677
2014-03-27,54.23,54.54,54.05,54.5,0.522
2014-03-28,54.34,54.35,53.82,54.03,1.275
2014-03-31,54.29,54.85,54.14,54.66,0.89
2014-04-01,54.66,54.84,54.12,54.28,0.914
2014-04-02,54.25,54.36,53.71,54.08,1.055
2014-04-03,54.23,54.66,54.0,54.58,0.681
2014-04-04,54.73,55.41,54.63,54.92,0.905
2014-04-07,54.95,55.42,54.81,54.85,0.766
2014-04-08,54.75,55.82,54.34,55.62,0.88
2014-04-09,55.59,55.64,54.64,55.39,0.944
2014-04-10,55.46,55.93,54.9,55.0,1.001
2014-04-11,55.49,55.97,54.72,54.78,1.406
2014-04-14,55.04,55.43,54.8,55.21,1.462
2014-04-15,55.16,55.74,55.03,55.63,1.241
2014-04-16,55.92,56.57,55.65,56.54,0.88
2014-04-17,56.33,56.74,55.78,55.94,0.625
2014-04-21,55.9,56.16,55.51,55.81,0.588
2014-04-22,55.73,55.8,55.41,55.6,0.488
2014-04-23,55.69,56.1,55.55,55.62,0.788
2014-04-24,55.63,56.19,55.23,56.17,0.758
2014-04-25,56.22,57.16,55.97,56.97,1.04
