Date,Open,High,Low,Close,Volume
2014-01-02,37.0,37.31,35.52,35.83,0.511
2014-01-03,35.9,36.96,35.83,36.87,0.906
2014-01-06,37.43,37.44,36.25,36.88,0.482
2014-01-07,36.94,37.4,36.55,37.01,0.328
2014-01-08,36.89,37.11,36.64,36.87,0.285
2014-01-09,36.85,37.1,36.21,36.27,0.523
2014-01-10,36.29,36.71,36.1,36.25,0.338
2014-01-13,36.11,36.48,35.67,35.89,0.464
2014-01-14,36.15,36.93,36.06,36.81,0.278
2014-01-15,37.01,37.03,36.35,36.53,0.321
2014-01-16,36.52,40.45,36.52,40.31,1.274
2014-01-17,40.22,40.92,39.79,40.21,1.471
2014-01-21,40.42,41.26,40.03,41.18,0.632
2014-01-22,41.33,42.02,40.88,41.84,0.497
2014-01-23,41.84,43.21,41.32,42.95,0.953
2014-01-24,42.82,43.61,42.27,43.28,0.695
2014-01-27,44.49,44.61,42.4,43.09,0.956
2014-01-28,42.99,43.8,42.5,43.56,0.646
2014-01-29,43.15,43.45,42.31,42.57,0.395
2014-01-30,43.09,43.78,42.9,43.37,0.359
2014-01-31,42.57,43.76,42.57,43.0,0.331
2014-02-03,42.99,43.59,42.01,42.16,0.72
2014-02-04,42.27,43.31,41.86,42.38,0.764
2014-02-05,42.06,43.21,41.74,42.98,0.311
2014-02-06,43.0,44.02,42.58,43.01,1.104
2014-02-07,43.16,43.59,41.6,42.31,0.9
2014-02-10,42.37,43.34,42.06,43.19,0.382
2014-02-11,43.08,43.87,43.07,43.75,0.328
2014-02-12,43.8,44.55,43.8,44.51,0.315
2014-02-13,44.25,45.22,44.25,44.97,0.436
2014-02-14,45.07,45.44,44.19,44.48,0.385
2014-02-18,44.56,44.94,44.4,44.63,0.546
2014-02-19,44.36,45.13,44.36,44.67,0.434
2014-02-20,44.65,45.6,44.24,45.5,0.242
2014-02-21,44.75,45.91,43.86,44.97,0.376
2014-02-24,44.95,45.85,44.37,45.46,0.299
2014-02-25,45.5,46.21,45.31,45.74,0.259
2014-02-26,45.56,46.3,45.35,45.79,0.388
2014-02-27,45.77,46.0,44.87,45.24,0.752
2014-02-28,47.63,49.95,44.75,47.41,1.558
2014-03-03,47.11,47.44,45.06,47.32,0.653
2014-03-04,47.88,49.77,47.02,49.77,0.846
2014-03-05,49.56,50.3,49.08,50.02,0.496
2014-03-06,49.98,50.43,48.5,48.81,0.961
2014-03-07,49.21,49.59,48.3,48.5,0.684
2014-03-10,48.42,48.78,48.01,48.45,0.583
2014-03-11,48.64,49.19,47.8,48.16,0.363
2014-03-12,47.91,48.68,47.5,48.52,0.724
2014-03-13,48.57,49.03,47.52,48.13,0.459
2014-03-14,48.11,48.8,47.92,48.35,0.542
2014-03-17,48.66,49.5,48.35,48.57,0.396
2014-03-18,48.64,50.34,48.2,50.11,1.165
2014-03-19,49.7,50.04,49.05,49.33,0.577
2014-03-20,49.28,50.24,49.01,50.18,0.302
2014-03-21,50.88,51.31,49.54,49.84,0.482
2014-03-24,49.77,49.95,48.67,48.99,0.914
2014-03-25,49.2,50.71,48.76,49.57,0.482
2014-03-26,50.08,50.23,48.81,49.14,0.526
2014-03-27,49.08,49.47,47.99,48.55,0.493
2014-03-28,48.69,49.66,46.86,47.17,1.032
2014-03-31,47.22,47.59,46.35,47.42,1.188
2014-04-01,47.33,48.37,47.26,48.31,0.548
2014-04-02,48.63,49.53,48.43,49.03,0.622
2014-04-03,48.81,49.18,48.35,49.07,0.493
2014-04-04,49.44,49.55,43.52,44.31,2.054
2014-04-07,43.92,44.05,41.79,41.8,0.916
2014-04-08,41.52,42.21,40.76,41.35,0.708
2014-04-09,41.6,43.08,41.36,42.71,0.822
2014-04-10,42.6,42.82,41.81,42.26,0.968
2014-04-11,41.83,42.37,41.16,41.76,0.75
2014-04-14,42.01,42.67,41.58,42.45,0.646
2014-04-15,42.69,42.87,40.27,42.04,0.789
2014-04-16,42.49,42.65,41.82,42.6,0.497
2014-04-17,42.6,43.75,42.13,43.52,0.323
2014-04-21,43.58,44.01,42.78,43.06,0.276
2014-04-22,43.0,43.4,42.68,42.84,0.379
2014-04-23,42.93,43.24,41.59,41.91,0.429
2014-04-24,42.29,43.6,41.12,41.38,0.389
2014-04-25,41.12,41.41,39.93,40.17,0.54
2014-04-28,40.4,40.75,37.89,38.25,1.143
2014-04-29,38.17,39.0,37.87,38.36,0.897
2014-04-30,38.13,38.36,36.82,37.63,0.714
2014-05-01,37.39,38.87,37.14,37.87,0.491
2014-05-02,38.07,38.22,36.3,36.92,0.52
2014-05-05,36.74,37.65,36.27,37.39,0.508
2014-05-06,37.11,37.7,36.77,36.86,0.685
2014-05-07,37.04,37.04,34.25,35.39,1.527
2014-05-08,34.35,35.0,31.69,31.69,2.118
2014-05-09,31.48,33.13,31.25,32.99,1.053
