Date,Open,High,Low,Close,Volume
2014-01-02,91.5,91.64,90.09,90.76,1.695
2014-01-03,90.06,91.05,90.0,90.21,1.66
2014-01-06,90.42,90.98,90.05,90.5,2.166
2014-01-07,91.14,91.93,90.57,90.84,1.702
2014-01-08,90.91,91.57,90.62,90.93,2.006
2014-01-09,91.19,91.91,90.8,91.23,1.676
2014-01-10,90.97,91.19,89.84,90.73,1.805
2014-01-13,90.43,90.87,88.32,88.53,2.074
2014-01-14,89.21,89.86,88.72,89.67,1.574
2014-01-15,90.03,91.05,89.71,91.03,1.96
2014-01-16,90.52,90.99,89.94,90.36,1.716
2014-01-17,90.28,90.79,89.9,90.23,2.348
2014-01-21,90.58,91.09,89.7,90.13,1.676
2014-01-22,90.05,90.53,89.06,89.51,1.71
2014-01-23,88.63,88.8,87.02,87.51,3.18
2014-01-24,86.82,87.33,84.35,84.36,3.546
2014-01-27,84.43,84.81,82.31,83.39,3.139
2014-01-28,83.83,85.0,83.8,84.46,1.945
2014-01-29,83.63,84.55,83.25,83.82,2.438
2014-01-30,84.78,85.52,84.3,85.21,1.489
2014-01-31,83.74,85.5,83.35,84.39,2.229
2014-02-03,84.42,84.79,80.35,80.45,3.285
2014-02-04,81.17,82.96,81.01,82.52,2.494
2014-02-05,82.2,82.97,81.07,82.72,3.305
2014-02-06,81.72,82.27,79.54,82.25,7.596
2014-02-07,82.54,83.61,81.74,83.41,4.464
2014-02-10,83.34,83.67,82.28,82.79,1.975
2014-02-11,82.95,84.87,82.51,84.53,2.867
2014-02-12,84.53,85.34,83.91,84.34,1.793
2014-02-13,83.56,84.66,83.11,84.62,2.173
2014-02-14,84.38,85.23,84.22,84.99,1.964
2014-02-18,84.87,85.67,84.79,85.41,2.17
2014-02-19,85.16,87.03,84.17,84.28,2.673
2014-02-20,84.31,84.91,83.11,84.49,2.942
2014-02-21,83.96,84.4,83.7,83.93,1.677
2014-02-24,83.87,85.37,83.72,84.96,1.95
2014-02-25,84.58,84.91,83.89,84.12,1.982
2014-02-26,84.26,84.61,83.5,84.16,1.443
2014-02-27,83.98,84.48,83.17,84.16,1.994
2014-02-28,84.39,85.49,83.98,84.58,2.297
2014-03-03,83.52,83.8,82.59,82.99,2.393
2014-03-04,84.19,85.62,84.19,85.33,2.806
2014-03-05,85.34,86.43,85.0,86.0,2.781
2014-03-06,86.39,87.33,86.39,86.77,2.276
2014-03-07,87.95,89.77,87.93,88.58,4.372
2014-03-10,88.09,89.08,87.74,88.35,2.148
2014-03-11,88.54,88.65,87.08,87.45,2.015
2014-03-12,86.71,86.83,85.71,86.4,2.517
2014-03-13,86.85,87.02,84.12,84.37,2.632
2014-03-14,84.17,85.04,83.66,83.73,2.099
2014-03-17,84.22,84.96,83.73,83.92,2.178
2014-03-18,83.96,84.99,83.96,84.88,2.468
2014-03-19,84.96,86.41,84.71,85.61,2.701
2014-03-20,85.47,87.75,85.41,87.69,3.206
2014-03-21,88.49,89.31,86.84,86.84,4.107
2014-03-24,87.34,88.25,86.42,86.91,1.997
2014-03-25,87.39,87.87,86.84,87.2,2.189
2014-03-26,87.63,88.0,85.16,85.18,2.757
2014-03-27,84.92,85.14,82.51,83.31,3.613
2014-03-28,83.83,84.62,82.7,83.59,2.714
2014-03-31,84.34,84.99,84.3,84.65,2.22
2014-04-01,85.04,85.97,84.85,85.82,2.112
2014-04-02,85.85,86.82,85.79,86.32,2.096
2014-04-03,86.48,86.83,85.8,86.5,2.195
2014-04-04,87.37,87.7,84.25,84.33,3.367
2014-04-07,84.15,84.2,81.16,81.17,3.681
2014-04-08,81.12,81.63,80.41,81.11,3.521
2014-04-09,81.62,82.33,80.51,82.22,2.295
2014-04-10,82.25,82.25,79.28,79.43,3.381
2014-04-11,78.51,79.33,77.44,77.61,4.688
2014-04-14,78.1,78.71,77.4,78.4,3.706
2014-04-15,78.72,79.33,77.34,78.61,3.931
2014-04-16,79.47,80.13,78.71,80.09,3.319
2014-04-17,80.0,81.35,80.0,80.92,2.738
2014-04-21,80.79,81.16,80.55,81.0,1.668
2014-04-22,81.06,82.73,80.78,82.28,2.624
