Date,Open,High,Low,Close,Volume
2014-01-02,77.17,77.32,76.36,76.45,2.847
2014-01-03,76.36,76.99,76.15,76.29,1.958
2014-01-06,76.51,77.49,76.4,77.01,2.816
2014-01-07,77.07,77.83,76.67,77.02,4.006
2014-01-08,77.25,77.41,76.15,76.87,4.492
2014-01-09,77.01,78.25,76.88,78.13,4.187
2014-01-10,78.39,79.0,77.24,78.0,3.02
2014-01-13,78.2,78.2,75.49,75.81,3.046
2014-01-14,76.15,76.71,75.8,76.49,3.359
2014-01-15,76.5,76.53,74.75,75.54,3.698
2014-01-16,75.31,75.73,74.67,75.39,3.232
2014-01-17,74.87,76.62,74.85,76.02,3.902
2014-01-21,76.03,77.4,76.03,76.9,2.792
2014-01-22,77.3,77.6,76.09,77.1,2.748
2014-01-23,77.52,78.1,76.04,77.2,4.106
2014-01-24,76.22,76.35,73.6,74.44,4.713
2014-01-27,74.57,75.7,73.78,74.9,3.408
2014-01-28,73.92,75.46,73.92,75.08,2.792
2014-01-29,74.03,76.9,70.81,74.18,5.942
2014-01-30,74.44,74.97,73.37,73.56,4.595
2014-01-31,73.1,74.58,72.75,73.09,5.8
2014-02-03,73.12,73.58,71.14,71.36,5.62
2014-02-04,71.51,71.75,68.78,71.14,4.648
2014-02-05,70.75,71.55,69.11,70.67,6.071
2014-02-06,71.3,73.62,70.89,73.3,5.389
2014-02-07,73.7,74.43,72.91,74.28,3.31
2014-02-10,74.35,74.69,72.03,72.27,3.744
2014-02-11,72.3,74.26,72.24,74.09,3.712
2014-02-12,74.17,74.6,73.36,73.64,3.045
2014-02-13,72.75,74.92,72.63,74.65,3.234
2014-02-14,74.47,75.98,74.26,75.93,2.409
2014-02-18,76.21,76.99,75.27,75.38,2.814
2014-02-19,75.22,76.95,75.02,75.27,3.7
2014-02-20,75.02,75.76,74.75,75.29,3.165
2014-02-21,75.08,75.69,74.81,74.95,3.21
2014-02-24,75.01,77.77,75.01,76.25,3.631
2014-02-25,76.23,78.31,75.9,77.53,4.202
2014-02-26,77.44,77.93,76.45,76.76,3.384
2014-02-27,76.48,76.8,74.33,74.74,5.636
2014-02-28,74.78,78.89,74.38,74.86,4.209
2014-03-03,74.65,75.77,74.37,74.86,2.672
2014-03-04,75.55,76.2,74.9,76.08,2.38
2014-03-05,75.8,76.93,75.45,76.81,2.815
2014-03-06,76.98,78.79,76.95,78.14,3.699
2014-03-07,78.5,78.78,77.35,78.08,2.244
2014-03-10,78.0,79.2,77.82,78.66,2.372
2014-03-11,78.63,79.38,78.01,79.08,3.068
2014-03-12,79.09,80.29,79.06,80.0,3.438
2014-03-13,80.07,80.39,77.72,78.14,3.439
2014-03-14,78.03,79.41,78.0,78.69,2.751
2014-03-17,78.86,79.72,78.74,79.35,2.641
2014-03-18,79.32,80.36,78.91,80.35,3.002
2014-03-19,80.24,80.25,77.92,78.43,2.895
2014-03-20,78.07,78.96,77.53,78.5,3.108
2014-03-21,80.12,80.12,77.82,77.95,4.624
2014-03-24,78.37,78.7,77.02,77.42,3.287
2014-03-25,77.24,78.74,77.24,78.2,3.041
2014-03-26,78.47,78.8,76.92,77.21,2.657
2014-03-27,77.29,77.67,76.73,76.86,3.431
2014-03-28,77.0,77.4,76.51,76.65,3.014
2014-03-31,77.3,77.56,76.87,77.06,3.072
2014-04-01,77.22,79.64,76.93,79.58,4.031
2014-04-02,79.17,79.5,77.89,79.24,3.083
2014-04-03,79.67,80.91,79.67,80.6,3.319
2014-04-04,81.01,81.43,79.15,79.57,3.315
2014-04-07,79.1,79.95,77.88,77.95,3.224
2014-04-08,78.06,78.67,77.01,77.56,3.339
2014-04-09,78.03,78.71,77.23,78.33,2.516
2014-04-10,78.27,79.38,76.67,76.69,3.875
2014-04-11,76.63,78.06,76.18,76.75,5.55
2014-04-14,77.11,78.03,76.64,78.01,2.674
2014-04-15,77.76,78.71,76.74,78.68,3.648
2014-04-16,79.42,81.15,78.63,81.11,3.801
2014-04-17,80.67,81.35,80.0,80.28,4.512
2014-04-21,80.36,82.15,80.19,81.82,2.939
2014-04-22,81.33,82.47,80.73,81.98,2.987
2014-04-23,81.85,82.95,81.5,82.3,2.077
2014-04-24,82.6,83.05,81.76,82.57,2.592
2014-04-25,82.53,83.1,82.03,82.59,2.545
2014-04-28,82.89,84.4,81.87,84.05,3.864
2014-04-29,84.53,84.85,83.34,83.75,2.732
2014-04-30,83.91,84.5,83.11,83.22,2.86
2014-05-01,83.27,84.67,83.09,84.05,2.602
2014-05-02,83.99,84.55,83.43,83.53,2.096
2014-05-05,83.14,83.99,82.65,83.93,2.101
2014-05-06,84.13,85.42,83.66,84.26,2.669
2014-05-07,84.67,85.25,83.47,85.03,2.584
2014-05-08,84.21,84.75,82.49,82.92,3.058
2014-05-09,82.72,83.19,80.82,81.91,3.688
2014-05-12,82.64,84.08,82.56,83.54,3.181
2014-05-13,83.78,84.74,83.47,84.26,2.567
2014-05-14,84.06,84.68,82.96,83.56,3.144
2014-05-15,83.01,83.01,81.29,82.01,11.582
2014-05-16,81.85,82.37,81.23,81.86,2.305
2014-05-19,81.99,83.1,81.86,82.73,2.908
2014-05-20,82.45,83.24,81.86,81.97,2.317
2014-05-21,82.24,82.62,80.9,81.59,6.324
2014-05-22,81.69,82.86,81.59,82.38,2.433
2014-05-23,82.35,82.71,82.03,82.03,2.541
2014-05-27,82.26,82.41,81.46,82.18,3.004
2014-05-28,82.05,83.45,82.04,82.99,3.489
2014-05-29,83.24,84.41,82.82,84.32,2.452
2014-05-30,84.36,85.12,84.17,84.79,4.139
2014-06-02,84.99,85.45,84.41,85.24,2.52
2014-06-03,84.89,85.18,84.38,84.54,2.336
2014-06-04,84.06,84.66,83.55,83.7,2.45
2014-06-05,84.07,84.64,83.42,83.52,3.736
2014-06-06,83.95,84.6,83.55,84.36,2.493
2014-06-09,84.18,84.51,83.34,83.73,2.309
2014-06-10,83.6,83.9,82.44,82.83,2.395
2014-06-11,82.36,83.16,82.19,82.89,2.355
2014-06-12,83.37,83.71,82.43,82.8,2.879
2014-06-13,82.8,83.57,82.4,83.49,4.33
2014-06-16,83.52,83.65,82.94,83.44,2.28
2014-06-17,83.01,84.1,82.5,84.07,2.966
2014-06-18,83.88,84.55,82.93,84.5,2.617
2014-06-19,84.71,85.54,84.62,85.26,2.95
2014-06-20,85.59,86.28,85.25,85.94,7.282
2014-06-23,86.25,86.82,85.92,86.33,2.317
2014-06-24,86.02,87.05,84.67,84.94,2.802
2014-06-25,80.95,82.66,79.16,81.36,10.145
2014-06-26,81.92,82.46,81.09,82.1,5.304
2014-06-27,81.68,82.07,81.02,81.49,5.49
2014-06-30,81.06,81.19,80.05,80.43,3.393
2014-07-01,80.6,80.83,79.94,80.6,3.127
2014-07-02,80.64,81.51,80.6,81.0,2.437
2014-07-03,81.2,81.95,81.0,81.5,1.712
2014-07-07,81.33,81.44,79.94,80.5,2.226
2014-07-08,80.31,80.53,79.03,79.28,3.011
2014-07-09,79.66,80.19,78.53,79.81,3.278
2014-07-10,78.72,80.09,78.69,79.73,2.723
2014-07-11,79.55,80.55,79.51,80.29,2.235
2014-07-14,80.88,80.9,79.63,79.95,8.385
2014-07-15,79.74,81.5,79.42,81.12,8.654
2014-07-16,81.21,81.87,80.41,80.84,2.888
2014-07-17,80.4,80.98,79.4,79.54,2.37
2014-07-18,79.91,81.04,79.45,80.86,3.127
2014-07-21,80.4,80.8,80.0,80.16,2.103
2014-07-22,80.74,81.15,80.24,80.5,2.734
2014-07-23,80.55,81.73,80.45,81.27,2.118
2014-07-24,81.73,82.83,81.3,82.1,3.517
2014-07-25,82.14,82.87,81.83,82.65,2.064
2014-07-28,83.0,83.0,81.66,82.61,2.36
2014-07-29,82.92,83.25,82.47,82.47,3.163
2014-07-30,82.19,83.41,81.31,81.72,2.665
2014-07-31,81.14,82.51,80.56,81.11,3.12
2014-08-01,80.62,81.01,79.25,80.54,4.488
2014-08-04,80.81,82.04,80.24,81.88,2.934
2014-08-05,81.44,81.65,80.58,81.01,2.736
2014-08-06,80.75,82.9,80.75,82.28,2.73
2014-08-07,82.5,83.03,81.17,81.52,2.532
2014-08-08,82.0,83.17,81.31,83.05,2.29
2014-08-11,83.51,83.85,82.3,82.39,2.294
2014-08-12,82.58,82.93,82.14,82.56,2.113
2014-08-13,82.56,82.88,81.97,82.78,2.411
2014-08-14,82.95,83.91,82.55,83.69,2.85
2014-08-15,83.85,84.37,83.5,83.79,4.764
2014-08-18,84.27,86.08,84.27,85.61,3.348
2014-08-19,85.61,86.4,85.34,86.09,2.677
2014-08-20,85.99,86.79,85.65,86.6,2.128
2014-08-21,86.7,86.72,86.01,86.24,1.768
2014-08-22,86.05,86.28,85.47,86.09,1.634
2014-08-25,86.38,87.1,86.12,86.9,1.904
2014-08-26,86.87,87.1,86.26,86.67,1.869
2014-08-27,86.7,87.0,86.03,86.44,1.824
2014-08-28,86.03,86.92,85.82,86.61,1.188
2014-08-29,86.58,87.15,86.45,87.02,2.15
2014-09-02,86.91,87.2,86.02,86.95,2.376
2014-09-03,87.2,87.98,86.8,87.24,2.881
2014-09-04,87.22,87.87,86.54,86.88,3.332
2014-09-05,86.94,87.66,86.06,87.51,2.237
2014-09-08,87.45,87.6,87.02,87.06,2.06
2014-09-09,87.0,87.54,85.95,86.47,2.487
2014-09-10,86.13,86.41,83.9,85.14,4.59
2014-09-11,84.58,85.11,83.57,84.01,3.314
2014-09-12,83.88,84.24,82.55,83.02,2.783
2014-09-15,83.04,84.02,82.69,83.9,2.413
2014-09-16,83.78,86.68,83.5,85.78,5.22
2014-09-17,85.94,86.38,85.29,85.69,4.135
2014-09-18,85.71,86.39,85.37,85.89,3.497
2014-09-19,86.04,86.38,85.58,85.75,3.614
2014-09-22,85.5,85.53,83.69,83.84,2.576
2014-09-23,83.85,84.85,83.14,83.26,2.169
2014-09-24,82.95,83.34,81.61,82.69,2.514
2014-09-25,82.83,82.83,81.74,81.74,2.42
2014-09-26,81.6,82.52,81.6,82.23,3.274
2014-09-29,81.37,82.3,81.08,81.77,2.074
2014-09-30,81.5,81.88,80.68,81.31,5.197
2014-10-01,81.31,82.0,79.56,79.63,4.192
2014-10-02,79.18,79.39,75.94,77.76,8.949
2014-10-03,78.23,78.28,77.04,77.64,4.846
2014-10-06,77.7,78.12,76.7,77.35,2.58
2014-10-07,77.59,78.8,77.15,77.35,3.654
2014-10-08,77.83,79.21,76.52,79.16,4.384
2014-10-09,78.97,79.37,76.56,76.61,3.57
2014-10-10,76.75,77.73,74.81,76.32,4.702
2014-10-13,75.98,77.14,72.85,73.05,5.176
2014-10-14,73.52,74.16,70.11,70.59,9.369
2014-10-15,69.82,70.86,66.24,67.89,11.4
2014-10-16,67.46,70.52,66.12,69.71,8.93
2014-10-17,70.69,73.15,70.19,72.21,8.218
2014-10-20,71.76,72.9,71.66,72.35,3.496
2014-10-21,74.35,77.08,72.93,76.81,6.745
2014-10-22,76.75,77.55,75.35,75.39,5.187
2014-10-23,76.42,77.07,75.96,76.12,3.218
2014-10-24,76.15,76.57,74.85,76.49,2.925
2014-10-27,75.65,76.11,74.53,75.48,4.296
2014-10-28,75.85,77.72,75.17,77.53,7.58
2014-10-29,78.56,78.97,75.61,76.39,4.32
2014-10-30,76.35,77.57,75.63,77.4,3.747
2014-10-31,77.7,78.76,76.65,78.5,3.848
2014-11-03,78.46,78.85,76.38,76.68,5.524
2014-11-04,76.02,76.44,73.48,74.49,6.013
2014-11-05,74.9,76.37,73.68,74.74,5.43
2014-11-06,75.18,75.64,74.32,75.42,4.054
2014-11-07,75.3,75.59,74.28,74.7,5.464
2014-11-10,75.0,75.6,74.38,74.5,3.332
2014-11-11,74.89,75.15,73.23,73.64,3.976
2014-11-12,72.97,74.21,72.85,73.04,3.704
2014-11-13,72.63,72.72,70.22,70.83,5.418
2014-11-14,70.94,71.84,70.8,71.78,7.639
2014-11-17,71.79,73.12,71.79,72.78,4.328
2014-11-18,73.15,74.54,72.82,73.96,4.73
2014-11-19,74.14,76.08,73.79,75.77,4.721
2014-11-20,75.52,77.99,75.5,77.83,4.79
2014-11-21,79.01,80.32,78.22,79.42,5.331
2014-11-24,79.13,79.9,79.06,79.42,2.977
2014-11-25,79.76,80.17,79.02,79.54,3.459
2014-11-26,79.57,79.65,78.7,79.28,4.384
