Date,Open,High,Low,Close,Volume
2014-01-02,35.5,35.5,34.56,34.7,0.882
2014-01-03,34.72,35.06,34.63,34.76,0.431
2014-01-06,34.82,34.98,34.47,34.58,0.507
2014-01-07,34.81,35.09,34.45,34.97,0.592
2014-01-08,34.98,35.08,34.64,35.07,0.697
2014-01-09,35.19,35.4,34.54,34.9,0.386
2014-01-10,34.98,35.32,34.47,35.31,0.442
2014-01-13,35.1,35.48,34.36,34.57,0.447
2014-01-14,34.81,35.36,34.63,35.16,0.522
2014-01-15,35.35,35.7,35.22,35.54,0.511
2014-01-16,35.37,35.8,35.36,35.57,0.382
2014-01-17,35.62,35.8,35.3,35.39,0.28
2014-01-21,35.26,35.92,35.26,35.74,0.573
2014-01-22,35.86,36.03,35.38,35.75,0.843
2014-01-23,37.95,38.5,35.89,36.0,2.118
2014-01-24,35.94,36.17,35.68,35.73,1.04
2014-01-27,35.7,35.88,34.98,35.3,1.041
2014-01-28,35.2,35.6,34.96,35.21,0.821
2014-01-29,34.85,35.34,34.43,35.1,0.872
2014-01-30,36.47,36.79,35.95,36.32,1.477
2014-01-31,35.76,36.0,35.32,35.68,1.057
2014-02-03,35.48,35.64,33.46,34.09,1.661
2014-02-04,34.18,34.93,33.82,34.69,1.026
2014-02-05,34.58,35.69,34.05,35.2,1.098
2014-02-06,35.3,35.56,35.08,35.22,0.849
2014-02-07,35.21,35.71,35.0,35.67,0.706
2014-02-10,35.5,35.86,35.21,35.78,0.731
2014-02-11,35.78,36.63,35.78,36.49,0.929
2014-02-12,36.69,37.51,36.11,37.34,1.708
2014-02-13,37.24,38.01,37.05,37.94,1.397
2014-02-14,38.01,38.1,37.55,37.79,0.633
2014-02-18,37.92,38.52,37.69,38.43,0.843
2014-02-19,38.18,38.41,37.97,38.06,0.957
2014-02-20,38.0,38.79,37.87,38.75,1.144
2014-02-21,38.94,38.94,38.47,38.73,0.649
2014-02-24,38.86,39.2,38.61,38.68,0.794
2014-02-25,38.87,39.29,38.47,39.27,0.879
2014-02-26,39.4,39.65,39.01,39.22,0.705
2014-02-27,39.27,39.87,39.03,39.87,0.637
2014-02-28,39.96,39.99,39.1,39.31,0.624
2014-03-03,39.17,39.17,38.42,38.82,0.671
2014-03-04,39.43,40.4,39.43,40.03,1.6
