Date,Open,High,Low,Close,Volume
2014-01-02,31.37,31.57,31.25,31.29,0.959
2014-01-03,31.29,31.44,31.15,31.35,0.952
2014-01-06,31.42,31.56,30.93,30.96,1.271
2014-01-07,31.03,31.44,30.98,31.21,0.99
2014-01-08,31.29,31.5,31.0,31.32,2.086
2014-01-09,31.49,31.95,31.34,31.79,3.053
2014-01-10,31.84,32.22,31.68,31.7,1.461
2014-01-13,31.76,31.78,31.0,31.15,1.38
2014-01-14,31.44,31.65,31.14,31.57,1.534
2014-01-15,31.65,31.87,31.4,31.48,1.348
2014-01-16,31.46,31.53,31.16,31.36,1.212
2014-01-17,31.35,31.78,31.28,31.64,1.175
2014-01-21,31.9,31.99,31.46,31.97,1.075
2014-01-22,32.03,32.17,31.89,32.14,1.087
2014-01-23,31.94,32.06,31.67,32.02,1.177
2014-01-24,31.75,31.94,31.0,31.07,1.908
2014-01-27,31.06,31.12,30.31,30.72,1.41
2014-01-28,30.78,31.0,30.66,30.83,1.182
2014-01-29,30.6,30.91,30.4,30.46,1.364
2014-01-30,30.76,31.1,30.38,31.0,1.15
2014-01-31,30.58,31.77,30.42,31.17,2.652
2014-02-03,31.2,31.29,29.96,30.03,1.585
2014-02-04,30.18,30.7,29.85,30.6,1.05
2014-02-05,30.41,30.93,30.26,30.65,1.303
2014-02-06,30.7,30.91,30.59,30.71,1.539
2014-02-07,30.94,31.33,30.94,31.24,1.272
2014-02-10,31.16,31.34,30.91,31.32,1.201
2014-02-11,31.29,31.6,31.29,31.44,1.167
2014-02-12,31.54,31.73,31.47,31.62,1.091
2014-02-13,31.35,31.79,31.21,31.77,0.902
2014-02-14,31.67,32.0,31.3,31.99,1.479
2014-02-18,32.0,32.42,31.87,32.35,1.879
2014-02-19,32.35,32.74,32.03,32.1,2.037
2014-02-20,33.99,35.35,33.89,34.54,7.545
2014-02-21,34.63,35.29,34.41,34.5,3.172
2014-02-24,34.57,35.18,34.56,34.78,2.153
2014-02-25,35.06,35.12,34.42,34.49,3.048
2014-02-26,34.5,35.29,34.49,34.76,2.274
2014-02-27,34.76,35.23,34.64,35.01,1.531
2014-02-28,35.01,35.52,34.86,35.21,1.379
2014-03-03,34.83,35.55,34.78,35.37,1.884
2014-03-04,35.76,35.88,35.45,35.86,2.059
2014-03-05,35.8,35.84,35.55,35.8,1.991
2014-03-06,35.8,36.59,35.8,36.43,2.286
2014-03-07,36.77,36.77,36.28,36.51,2.055
2014-03-10,36.55,36.9,36.04,36.15,1.595
2014-03-11,36.21,36.41,35.69,35.94,1.176
2014-03-12,35.75,35.78,35.33,35.46,2.298
2014-03-13,35.63,35.72,34.99,35.27,2.066
2014-03-14,35.24,35.63,35.19,35.35,0.854
2014-03-17,35.54,36.48,35.54,35.83,2.149
2014-03-18,35.94,36.19,35.88,36.15,1.612
2014-03-19,36.15,36.61,35.97,36.12,2.129
2014-03-20,36.12,36.59,35.89,36.57,1.574
2014-03-21,36.8,37.28,36.62,36.78,3.86
2014-03-24,36.99,37.14,36.35,36.47,1.494
2014-03-25,36.61,36.91,36.12,36.35,2.244
2014-03-26,36.53,36.72,36.26,36.3,1.418
2014-03-27,35.95,36.3,35.89,36.1,1.509
2014-03-28,36.28,37.02,36.23,36.86,1.37
2014-03-31,37.23,37.23,36.71,36.9,1.698
2014-04-01,37.0,37.08,36.66,37.04,1.062
2014-04-02,37.07,37.12,36.78,37.0,1.276
2014-04-03,37.12,37.12,36.62,36.83,3.511
2014-04-04,37.03,37.42,36.4,36.45,1.658
2014-04-07,36.47,36.56,35.42,35.58,1.872
2014-04-08,35.62,35.91,35.37,35.74,1.23
2014-04-09,35.91,36.5,35.78,36.48,1.334
2014-04-10,36.44,36.67,35.94,36.08,1.408
2014-04-11,35.91,35.98,35.27,35.28,2.017
2014-04-14,35.54,35.65,34.83,35.15,1.972
2014-04-15,35.26,35.56,34.61,35.32,1.918
2014-04-16,35.64,36.04,35.58,35.83,1.273
2014-04-17,35.75,36.68,35.59,36.64,1.518
2014-04-21,36.67,36.67,35.76,36.23,1.824
2014-04-22,36.22,36.48,36.07,36.08,1.679
2014-04-23,36.08,36.16,35.85,35.94,1.413
2014-04-24,36.07,36.11,35.57,35.7,1.211
2014-04-25,35.67,35.82,35.08,35.2,1.795
2014-04-28,35.54,35.56,34.44,34.89,1.693
2014-04-29,34.96,34.96,34.47,34.74,1.785
2014-04-30,34.82,35.36,34.44,35.28,2.782
2014-05-01,35.28,36.56,34.59,35.17,2.28
2014-05-02,35.14,35.26,34.51,34.63,2.096
2014-05-05,34.44,34.63,34.16,34.6,1.698
2014-05-06,34.43,34.69,34.03,34.04,1.968
2014-05-07,34.2,34.26,33.6,34.19,1.875
2014-05-08,34.16,34.6,33.87,34.01,1.957
2014-05-09,33.97,34.0,33.24,33.55,2.827
2014-05-12,33.81,33.96,33.61,33.78,3.932
2014-05-13,33.88,34.17,33.74,34.11,2.716
2014-05-14,34.0,34.1,33.31,33.35,2.185
2014-05-15,33.3,33.37,32.53,33.01,1.867
2014-05-16,32.99,33.06,32.59,32.81,1.819
2014-05-19,32.68,33.18,32.59,33.14,2.477
2014-05-20,33.13,33.22,32.5,32.6,1.8
2014-05-21,32.7,32.9,32.59,32.74,0.794
2014-05-22,32.75,33.1,32.6,33.0,1.065
2014-05-23,33.07,33.37,32.96,33.2,1.766
2014-05-27,33.33,33.86,33.31,33.66,2.058
2014-05-28,33.76,34.3,33.76,34.12,2.526
2014-05-29,34.13,34.34,33.96,34.09,1.715
2014-05-30,34.02,34.08,33.72,33.95,1.737
2014-06-02,33.65,33.96,33.32,33.43,2.077
2014-06-03,33.31,33.58,33.22,33.57,1.632
2014-06-04,33.53,33.72,33.37,33.56,1.916
2014-06-05,33.65,34.42,33.6,34.4,2.227
2014-06-06,34.48,34.89,34.34,34.6,1.253
2014-06-09,34.57,35.42,34.57,35.39,2.44
2014-06-10,35.27,35.28,34.59,34.7,1.357
2014-06-11,34.56,34.62,34.27,34.45,1.367
2014-06-12,34.38,34.44,33.78,33.83,1.183
2014-06-13,33.83,33.97,33.47,33.91,1.193
2014-06-16,33.89,34.01,33.66,33.78,1.106
2014-06-17,33.69,34.17,33.58,33.95,1.122
2014-06-18,33.94,34.03,33.51,33.98,1.239
2014-06-19,34.2,34.64,33.99,34.54,1.682
2014-06-20,34.52,34.79,34.45,34.78,1.498
2014-06-23,34.76,35.13,34.53,34.62,1.396
2014-06-24,34.5,34.59,33.97,34.03,1.126
2014-06-25,33.9,34.37,33.8,34.33,1.3
2014-06-26,34.36,34.43,34.0,34.37,1.06
2014-06-27,34.29,34.78,34.24,34.76,1.205
2014-06-30,34.75,34.75,34.45,34.58,1.649
2014-07-01,34.72,35.41,34.59,35.11,1.84
2014-07-02,35.1,35.48,35.05,35.36,1.461
2014-07-03,35.49,35.63,35.36,35.47,0.652
2014-07-07,35.37,35.42,34.85,35.05,1.39
2014-07-08,34.93,35.16,34.78,35.11,1.5
2014-07-09,35.17,35.26,34.94,35.06,0.869
2014-07-10,34.61,34.89,34.43,34.67,0.991
2014-07-11,34.64,34.84,34.31,34.83,0.823
2014-07-14,35.1,35.1,34.89,34.96,1.061
2014-07-15,34.81,35.18,34.71,34.88,0.789
2014-07-16,34.98,35.11,34.69,35.01,0.597
2014-07-17,34.84,35.08,34.57,34.65,0.977
2014-07-18,34.73,35.15,34.63,35.1,1.028
2014-07-21,35.01,35.26,34.84,35.18,0.817
2014-07-22,35.27,35.68,35.24,35.54,1.063
2014-07-23,35.5,35.64,35.08,35.34,1.176
2014-07-24,35.33,35.49,34.77,34.97,1.44
2014-07-25,34.81,34.95,34.6,34.89,1.056
2014-07-28,34.86,35.02,34.45,34.95,1.163
2014-07-29,34.95,35.06,34.45,34.45,0.797
2014-07-30,34.6,35.01,34.45,34.97,2.086
2014-07-31,34.59,35.42,33.35,33.49,3.759
2014-08-01,33.52,34.23,33.41,33.83,1.597
2014-08-04,33.82,34.06,33.58,33.94,0.927
2014-08-05,33.81,33.97,33.11,33.18,2.603
2014-08-06,33.04,33.63,32.86,33.59,2.122
2014-08-07,33.82,33.83,33.17,33.36,1.416
2014-08-08,33.35,33.86,33.15,33.77,1.24
2014-08-11,33.97,35.05,33.97,34.64,2.009
2014-08-12,34.65,34.96,34.41,34.6,0.969
2014-08-13,34.8,34.94,34.55,34.86,1.002
2014-08-14,34.99,35.14,34.85,34.96,1.432
2014-08-15,35.11,35.3,34.51,34.59,1.254
2014-08-18,34.81,35.25,34.81,35.15,0.946
2014-08-19,35.18,35.42,35.18,35.32,0.923
2014-08-20,35.31,35.58,35.04,35.17,1.458
2014-08-21,35.28,36.06,35.22,35.99,1.38
2014-08-22,35.96,36.37,35.87,36.2,1.385
2014-08-25,36.33,36.48,35.99,36.08,0.931
2014-08-26,36.1,36.47,36.1,36.32,0.701
2014-08-27,36.28,36.32,35.99,36.16,0.606
2014-08-28,35.98,36.29,35.88,36.23,0.804
2014-08-29,36.22,36.41,36.01,36.34,0.833
2014-09-02,36.61,37.12,36.5,36.96,2.236
2014-09-03,37.22,37.49,37.05,37.2,1.352
2014-09-04,37.2,37.43,36.8,36.92,0.9
2014-09-05,36.87,37.04,36.65,37.03,1.01
2014-09-08,37.0,37.23,36.96,37.12,0.688
2014-09-09,37.03,37.13,36.79,36.89,0.696
2014-09-10,36.86,37.08,36.69,36.91,0.776
2014-09-11,36.78,37.26,36.74,37.11,0.708
2014-09-12,37.01,37.03,36.4,36.54,0.898
2014-09-15,36.53,36.63,36.29,36.54,0.619
2014-09-16,36.48,36.89,36.26,36.79,0.666
2014-09-17,36.81,37.35,36.81,36.98,0.73
2014-09-18,37.01,37.33,36.82,37.05,1.079
