Date,Open,High,Low,Close,Volume
2014-01-02,182.95,182.95,175.0,176.53,2.083
2014-01-03,176.32,178.33,173.9,176.05,1.211
2014-01-06,175.94,175.99,172.7,174.06,1.358
2014-01-07,174.91,177.29,174.33,175.17,1.211
2014-01-08,175.0,177.39,174.0,175.37,1.264
2014-01-09,175.41,176.73,167.85,171.52,2.403
2014-01-10,171.75,172.7,169.05,169.75,1.43
2014-01-13,169.31,170.5,164.46,164.78,1.746
2014-01-14,163.9,172.39,163.9,172.17,2.001
2014-01-15,172.26,175.24,171.27,172.96,1.357
2014-01-16,171.35,175.66,171.18,175.52,1.371
2014-01-17,178.46,179.6,174.08,174.7,2.316
2014-01-21,173.37,179.92,173.37,179.73,2.31
2014-01-22,180.04,184.17,177.83,183.99,1.842
2014-01-23,182.59,184.24,179.0,179.74,1.452
2014-01-24,177.82,178.36,172.73,172.73,1.587
2014-01-27,172.5,174.57,168.11,171.27,1.739
2014-01-28,171.78,175.02,171.06,174.49,1.666
2014-01-29,171.35,171.48,165.9,167.69,2.918
2014-01-30,169.23,174.51,169.23,172.39,1.801
2014-01-31,169.21,172.25,168.75,169.32,1.029
2014-02-03,169.36,172.24,164.1,165.21,2.002
2014-02-04,166.97,173.94,166.25,171.91,2.341
2014-02-05,171.83,175.24,169.37,174.95,2.357
2014-02-06,174.75,181.5,174.75,180.18,2.215
2014-02-07,181.54,185.87,180.76,185.06,2.882
2014-02-10,184.75,188.88,182.44,186.93,2.982
2014-02-11,181.4,185.29,177.19,180.66,5.214
2014-02-12,181.48,182.54,179.31,180.17,2.243
2014-02-13,179.0,181.38,177.89,179.5,1.525
2014-02-14,179.63,186.15,178.78,185.3,1.798
2014-02-18,186.72,190.99,182.71,189.88,1.919
2014-02-19,189.21,191.75,187.68,188.04,1.586
2014-02-20,187.72,191.25,187.61,189.6,2.009
2014-02-21,190.24,190.5,186.43,187.08,1.442
2014-02-24,188.65,197.53,188.17,194.74,2.348
2014-02-25,194.14,194.5,190.79,193.4,1.665
2014-02-26,193.6,194.5,190.93,191.83,1.05
2014-02-27,191.6,196.21,190.79,195.0,1.216
2014-02-28,195.05,204.17,195.0,201.18,2.449
2014-03-03,199.47,205.89,199.44,202.49,1.571
2014-03-04,204.41,205.0,201.61,204.51,1.107
