Date,Open,High,Low,Close,Volume
2014-01-02,47.17,47.38,46.9,47.17,0.814
2014-01-03,47.27,47.47,46.94,47.17,0.698
2014-01-06,47.04,47.14,46.11,46.16,1.52
2014-01-07,46.33,46.68,46.02,46.06,1.334
2014-01-08,46.22,46.66,45.95,46.56,1.721
2014-01-09,46.87,47.81,46.65,47.64,2.4
2014-01-10,47.46,49.11,47.42,49.09,3.482
2014-01-13,48.47,49.33,48.32,48.76,2.541
2014-01-14,48.71,49.19,48.45,49.15,1.08
2014-01-15,49.4,50.24,49.4,49.75,1.895
2014-01-16,49.37,50.0,49.23,49.89,1.58
2014-01-17,49.67,49.98,49.45,49.56,0.84
2014-01-21,49.58,49.65,48.34,48.87,1.806
2014-01-22,49.21,49.72,48.93,49.53,1.755
2014-01-23,49.05,49.06,48.5,48.86,2.595
2014-01-24,48.39,48.4,47.06,47.13,2.881
2014-01-27,48.64,49.3,47.04,48.04,6.706
2014-01-28,48.4,49.8,48.37,49.66,4.003
2014-01-29,49.18,49.76,48.72,48.99,2.75
2014-01-30,49.29,51.0,49.29,50.83,3.445
2014-01-31,49.98,50.5,49.56,49.6,1.814
2014-02-03,49.7,49.84,47.66,48.0,3.665
2014-02-04,48.43,48.75,48.01,48.55,1.735
2014-02-05,48.69,48.91,48.26,48.69,2.405
2014-02-06,49.1,50.68,49.1,50.62,2.358
2014-02-07,50.78,51.18,50.02,50.61,1.747
2014-02-10,50.3,51.24,50.22,50.84,1.724
2014-02-11,51.01,52.61,50.75,52.31,2.776
2014-02-12,52.14,52.9,51.62,51.72,1.812
2014-02-13,50.97,52.3,50.89,52.22,1.329
2014-02-14,51.85,52.35,51.81,52.26,1.131
2014-02-18,52.09,52.35,51.16,51.62,1.861
2014-02-19,51.28,51.85,51.05,51.13,0.986
2014-02-20,51.01,51.43,50.8,51.37,0.919
2014-02-21,51.59,52.06,51.44,51.87,1.263
2014-02-24,51.86,52.64,51.61,52.53,1.261
2014-02-25,53.0,53.42,52.72,53.06,1.941
2014-02-26,52.96,53.4,52.8,53.01,1.076
2014-02-27,52.87,53.35,52.45,53.32,1.228
2014-02-28,52.94,53.13,52.44,52.93,1.637
2014-03-03,51.2,51.5,50.55,51.22,3.263
2014-03-04,51.52,51.89,51.35,51.66,2.646
2014-03-05,51.46,51.59,50.88,50.97,2.104
2014-03-06,51.0,51.54,50.85,51.42,1.878
