Date,Open,High,Low,Close,Volume
2014-01-02,46.28,46.34,45.41,45.97,0.609
2014-01-03,45.93,46.94,45.93,46.79,0.846
2014-01-06,46.82,47.21,46.55,46.84,0.544
2014-01-07,46.89,47.48,46.74,47.05,0.446
2014-01-08,46.8,47.22,46.46,46.85,0.413
2014-01-09,47.01,47.21,46.3,47.05,0.338
2014-01-10,47.25,47.69,47.15,47.61,0.366
2014-01-13,47.45,47.63,46.82,46.95,0.209
2014-01-14,47.09,47.96,46.98,47.88,0.435
2014-01-15,47.81,48.19,47.52,47.78,0.451
2014-01-16,48.26,48.41,47.81,48.36,0.599
2014-01-17,48.18,48.37,48.13,48.27,0.513
2014-01-21,48.62,48.87,48.22,48.48,0.23
2014-01-22,48.67,48.8,48.43,48.75,0.254
2014-01-23,48.48,48.75,48.38,48.53,0.331
2014-01-24,48.22,48.4,47.65,47.82,0.352
2014-01-27,47.89,48.23,47.34,47.44,0.288
2014-01-28,47.46,48.33,47.46,48.07,0.425
2014-01-29,47.77,48.11,47.39,47.43,0.343
2014-01-30,47.7,48.24,47.66,48.05,0.335
2014-01-31,47.38,48.41,47.37,48.14,0.523
2014-02-03,48.12,48.12,46.59,46.77,0.888
2014-02-04,46.98,47.58,46.61,47.34,0.718
2014-02-05,47.18,47.5,46.93,47.47,0.325
2014-02-06,47.56,48.08,47.34,48.08,0.269
2014-02-07,48.24,48.75,48.1,48.51,0.447
2014-02-10,48.5,49.59,48.37,49.52,0.425
2014-02-11,49.41,49.97,49.28,49.82,0.366
2014-02-12,49.9,49.95,49.35,49.64,0.734
2014-02-13,49.99,51.19,49.69,50.22,0.984
2014-02-14,50.03,50.83,49.88,50.78,0.594
2014-02-18,50.75,50.96,50.14,50.83,0.541
2014-02-19,50.73,51.49,50.57,50.75,0.514
2014-02-20,50.37,50.88,49.72,49.95,0.392
2014-02-21,49.99,50.54,49.55,50.07,0.509
2014-02-24,50.29,50.88,50.08,50.2,0.595
2014-02-25,50.33,50.99,50.14,50.44,0.546
2014-02-26,50.49,50.94,50.35,50.45,0.44
2014-02-27,50.53,50.81,50.03,50.35,0.349
2014-02-28,50.22,50.99,50.22,50.77,0.597
2014-03-03,50.46,50.89,50.01,50.6,0.614
2014-03-04,50.6,51.37,50.6,51.27,0.49
2014-03-05,51.33,51.43,50.72,51.15,0.245
2014-03-06,51.13,51.17,50.4,50.57,0.48
2014-03-07,50.57,50.57,49.37,49.62,0.769
2014-03-10,49.68,49.77,49.1,49.48,0.37
2014-03-11,49.54,49.94,49.44,49.89,0.375
2014-03-12,49.82,50.19,49.64,50.18,0.647
2014-03-13,50.19,50.19,49.57,50.02,0.48
2014-03-14,49.84,50.46,49.84,50.37,0.506
2014-03-17,50.6,50.78,50.17,50.4,0.398
2014-03-18,50.39,50.62,50.18,50.58,0.379
2014-03-19,50.61,50.96,48.95,49.02,0.478
2014-03-20,49.0,49.23,48.44,49.21,0.46
2014-03-21,49.28,50.08,49.19,49.92,0.683
2014-03-24,50.19,50.19,49.37,50.04,0.474
2014-03-25,50.39,50.78,49.81,50.7,0.519
2014-03-26,50.96,50.96,49.86,50.15,0.686
2014-03-27,50.03,50.76,49.73,50.73,0.593
2014-03-28,51.0,51.22,50.58,50.77,0.688
2014-03-31,51.01,51.45,50.41,51.06,0.728
2014-04-01,51.07,51.31,50.55,51.31,0.579
2014-04-02,51.3,51.4,50.97,51.32,0.404
2014-04-03,51.27,51.38,50.79,51.07,0.344
2014-04-04,51.44,51.55,50.97,51.26,0.234
2014-04-07,51.19,51.8,51.02,51.41,0.404
2014-04-08,51.41,51.73,51.06,51.68,0.217
2014-04-09,51.69,51.74,51.13,51.62,0.329
2014-04-10,51.63,51.96,51.05,51.19,0.233
2014-04-11,51.05,51.48,50.76,50.96,0.401
2014-04-14,51.32,51.48,50.95,51.41,0.312
2014-04-15,51.36,51.86,51.36,51.7,0.3
2014-04-16,51.91,52.27,51.59,52.19,0.265
2014-04-17,52.24,52.39,51.69,52.34,0.376
2014-04-21,52.35,52.53,52.03,52.4,0.28
