Date,Open,High,Low,Close,Volume
2014-01-02,275.77,277.6,269.74,274.59,0.553
2014-01-03,274.52,276.83,271.21,271.75,0.392
2014-01-06,270.91,273.81,266.5,268.86,0.759
2014-01-07,269.13,275.81,266.06,274.07,0.777
2014-01-08,273.29,277.83,272.01,273.5,0.944
2014-01-09,275.64,275.64,266.41,267.62,0.889
2014-01-10,268.09,274.52,262.97,274.38,0.923
2014-01-13,275.61,281.27,266.43,268.68,0.943
2014-01-14,269.61,304.42,265.3,300.32,2.258
2014-01-15,291.97,295.88,286.02,287.49,1.341
2014-01-16,287.72,292.75,286.12,290.48,0.892
2014-01-17,290.92,299.0,289.22,292.0,1.001
2014-01-21,293.82,296.58,291.0,295.7,0.982
2014-01-22,296.66,298.73,292.0,295.38,0.591
2014-01-23,293.0,293.87,285.61,291.59,0.755
2014-01-24,288.08,288.53,279.01,279.61,0.745
2014-01-27,279.7,281.72,267.56,270.74,1.121
2014-01-28,273.03,280.0,273.0,278.67,0.83
2014-01-29,277.63,286.72,276.05,281.54,1.06
2014-01-30,287.63,294.99,284.62,292.97,0.98
2014-01-31,286.8,294.0,286.11,288.59,0.769
2014-02-03,288.91,292.94,278.58,283.81,1.029
2014-02-04,285.34,288.5,281.45,287.23,0.856
2014-02-05,286.29,288.43,274.02,281.9,1.043
2014-02-06,281.89,288.27,281.89,287.03,0.661
2014-02-07,287.12,300.1,284.32,299.79,1.065
2014-02-10,304.0,307.0,297.49,304.0,1.487
2014-02-11,311.0,327.54,301.08,326.52,3.079
2014-02-12,326.0,331.64,317.23,320.38,2.029
2014-02-13,314.16,327.91,314.11,326.98,1.154
2014-02-14,328.0,328.99,317.6,323.99,1.15
2014-02-18,324.69,334.83,324.34,332.78,1.256
2014-02-19,328.86,331.74,323.02,324.36,0.952
2014-02-20,324.31,328.94,323.15,327.62,0.951
2014-02-21,328.75,340.24,326.7,334.98,1.536
2014-02-24,340.01,348.25,337.0,347.62,1.261
2014-02-25,346.44,347.78,336.75,339.86,1.234
2014-02-26,343.33,343.48,334.59,336.48,0.839
2014-02-27,335.0,342.2,334.05,338.54,0.781
2014-02-28,339.66,343.38,322.58,332.5,1.317
2014-03-03,328.09,341.34,327.02,339.51,1.174
2014-03-04,343.98,348.88,342.24,345.61,0.678
2014-03-05,348.3,350.57,344.1,345.49,0.692
2014-03-06,347.09,352.49,338.01,338.45,1.349
2014-03-07,341.83,343.5,304.2,328.11,4.581
2014-03-10,328.43,332.75,324.7,329.2,0.94
2014-03-11,330.25,337.0,327.98,328.77,0.806
2014-03-12,326.08,340.09,324.04,339.75,1.087
2014-03-13,339.8,342.56,326.5,328.07,0.932
2014-03-14,326.97,333.3,326.0,329.5,0.813
2014-03-17,336.06,337.0,327.06,328.09,1.049
2014-03-18,329.5,335.95,329.02,333.14,1.056
2014-03-19,332.72,334.94,325.82,329.33,0.583
2014-03-20,327.66,331.67,325.58,328.69,0.521
2014-03-21,328.57,334.36,309.89,310.79,2.847
2014-03-24,313.57,314.65,298.48,306.37,1.747
2014-03-25,307.32,317.4,301.58,308.87,1.607
2014-03-26,311.14,317.82,307.11,308.43,1.391
2014-03-27,307.66,316.5,302.87,311.86,1.272
2014-03-28,313.11,316.0,299.51,300.09,1.538
2014-03-31,303.18,306.47,296.61,300.28,1.061
2014-04-01,304.76,313.38,303.06,306.88,1.101
2014-04-02,309.64,316.0,300.37,306.89,0.903
2014-04-03,306.26,306.5,293.5,298.6,1.244
2014-04-04,300.68,301.84,285.22,285.34,1.365
2014-04-07,280.32,292.29,279.04,287.19,1.425
2014-04-08,287.12,289.01,278.26,286.44,1.192
2014-04-09,289.11,306.96,287.01,306.26,1.622
2014-04-10,304.6,304.99,291.67,293.62,1.46
2014-04-11,290.37,299.24,286.67,288.36,1.197
2014-04-14,290.61,297.0,284.11,290.01,0.768
2014-04-15,289.5,293.03,276.9,288.08,1.1
2014-04-16,293.45,301.0,291.75,300.14,0.973
2014-04-17,300.45,304.96,296.02,296.74,0.607
2014-04-21,299.06,302.46,296.03,302.0,0.453
2014-04-22,302.76,313.5,302.15,311.68,0.736
2014-04-23,312.36,312.88,301.87,303.08,0.61
2014-04-24,305.77,306.7,291.36,293.43,1.022
2014-04-25,291.6,293.17,283.46,284.42,1.075
2014-04-28,286.45,288.08,273.23,281.26,1.247
2014-04-29,282.8,300.2,281.79,299.58,1.152
2014-04-30,294.26,300.82,292.02,296.89,0.683
2014-05-01,297.1,300.23,292.46,299.08,0.653
2014-05-02,299.96,300.18,291.88,293.59,0.508
2014-05-05,291.73,299.86,289.73,298.98,0.806
2014-05-06,298.29,299.87,290.5,290.83,0.765
2014-05-07,291.51,294.49,283.56,286.66,1.075
2014-05-08,278.34,291.66,278.0,281.2,1.183
2014-05-09,281.45,283.14,276.01,279.41,0.877
2014-05-12,280.81,292.6,280.16,291.39,0.757
2014-05-13,290.91,290.91,283.03,283.45,0.771
2014-05-14,281.03,291.68,280.07,287.38,0.666
2014-05-15,286.64,291.31,281.31,289.6,0.784
2014-05-16,289.73,296.55,285.65,295.43,0.948
2014-05-19,294.6,303.32,290.12,302.14,0.856
2014-05-20,298.02,299.56,291.73,292.77,0.733
2014-05-21,294.19,296.64,289.7,291.0,0.495
2014-05-22,292.5,302.02,290.35,298.28,0.585
2014-05-23,299.56,299.56,293.63,297.77,0.504
2014-05-27,299.54,308.23,298.65,307.94,0.713
2014-05-28,308.56,311.69,304.16,304.86,0.47
2014-05-29,305.27,308.57,303.7,306.22,0.629
2014-05-30,308.49,308.49,303.55,306.96,0.583
2014-06-02,308.7,313.48,303.56,309.27,0.529
2014-06-03,306.27,311.69,305.35,310.81,0.473
2014-06-04,308.0,312.79,307.51,311.89,0.491
2014-06-05,312.88,314.25,308.17,308.54,0.57
2014-06-06,312.21,312.88,307.0,311.21,0.497
2014-06-09,312.3,320.0,311.61,313.74,0.744
2014-06-10,312.81,316.0,306.93,309.47,0.562
2014-06-11,308.0,313.52,305.8,310.24,0.522
2014-06-12,309.15,315.62,307.92,310.47,0.452
2014-06-13,310.68,311.69,305.66,306.27,0.39
2014-06-16,307.81,311.55,305.96,308.4,0.438
2014-06-17,307.92,309.31,302.5,302.62,0.575
2014-06-18,301.99,305.82,301.21,305.3,0.552
2014-06-19,309.96,309.96,296.01,297.69,0.929
2014-06-20,297.0,297.72,282.52,285.25,2.652
2014-06-23,285.0,285.05,275.02,280.22,1.647
2014-06-24,280.23,287.31,276.72,278.11,1.163
2014-06-25,278.74,285.55,277.7,280.88,1.109
2014-06-26,281.15,281.97,278.51,279.8,1.076
2014-06-27,280.0,281.95,269.5,277.29,1.623
2014-06-30,277.29,284.92,273.98,282.47,1.331
2014-07-01,285.5,304.41,285.06,303.39,1.775
2014-07-02,302.47,312.12,298.29,308.54,1.335
2014-07-03,308.16,313.0,308.16,311.16,0.637
2014-07-07,312.09,315.71,309.66,311.57,0.863
2014-07-08,311.25,315.94,308.68,310.52,1.046
2014-07-09,310.44,313.0,303.6,310.93,1.003
2014-07-10,312.98,315.33,305.06,314.49,1.158
2014-07-11,314.98,318.87,310.75,316.11,0.955
2014-07-14,318.85,320.08,313.83,317.95,0.7
2014-07-15,318.35,319.95,309.73,312.15,1.195
2014-07-16,315.1,315.25,305.1,306.12,0.71
2014-07-17,303.09,305.83,295.76,296.41,0.833
2014-07-18,298.52,306.37,298.52,305.92,0.785
2014-07-21,306.2,307.79,302.46,303.73,0.562
2014-07-22,305.51,309.67,304.66,306.02,0.516
2014-07-23,311.39,314.05,307.22,310.27,0.523
2014-07-24,310.4,311.5,303.02,304.44,0.605
2014-07-25,303.46,305.01,300.22,303.09,0.369
2014-07-28,302.25,303.62,299.73,302.16,0.532
2014-07-29,303.84,307.66,301.68,304.51,0.295
2014-07-30,328.55,336.94,315.0,322.18,2.374
2014-07-31,319.66,320.52,310.69,316.22,1.19
2014-08-01,323.74,329.32,320.43,324.31,1.525
2014-08-04,325.86,328.47,321.09,325.44,1.177
2014-08-05,316.81,337.95,314.0,333.2,1.642
2014-08-06,331.2,341.71,330.5,340.69,1.026
2014-08-07,342.14,342.98,337.25,338.73,0.627
2014-08-08,338.0,341.0,336.05,338.32,0.628
2014-08-11,340.27,341.62,335.89,338.81,0.508
2014-08-12,338.44,339.84,335.24,338.15,0.416
2014-08-13,339.12,344.0,338.22,343.06,0.624
2014-08-14,342.27,348.1,341.86,347.74,0.566
2014-08-15,347.79,351.5,343.85,348.62,0.549
2014-08-18,350.8,353.05,349.07,349.46,0.51
2014-08-19,349.94,351.42,345.09,346.79,0.468
2014-08-20,345.22,349.38,344.09,345.28,0.353
2014-08-21,347.0,347.0,341.11,341.51,0.39
2014-08-22,342.1,344.7,339.1,340.79,0.449
2014-08-25,347.94,349.5,342.22,347.91,0.449
2014-08-26,349.51,354.79,348.44,354.05,0.669
2014-08-27,354.27,354.27,348.39,350.01,0.44
2014-08-28,348.93,351.42,346.47,346.92,0.402
2014-08-29,349.1,350.74,346.2,350.46,0.526
2014-09-02,367.0,369.31,359.23,359.5,1.516
2014-09-03,362.3,364.56,359.81,361.9,0.602
2014-09-04,362.96,362.98,351.23,352.08,0.653
2014-09-05,352.02,353.56,343.47,350.66,0.835
2014-09-08,349.43,351.0,343.18,348.1,0.652
2014-09-09,347.5,347.77,343.4,346.39,0.61
2014-09-10,346.08,355.2,345.07,354.32,0.664
2014-09-11,352.66,353.11,347.01,350.34,0.381
2014-09-12,349.41,349.83,344.05,346.06,0.574
2014-09-15,347.07,347.5,340.39,346.03,0.539
2014-09-16,346.82,356.21,345.0,355.47,0.821
2014-09-17,357.3,360.89,354.29,359.1,0.66
2014-09-18,359.84,362.9,357.25,362.74,0.55
2014-09-19,365.59,365.59,357.29,358.92,2.635
2014-09-22,358.0,360.17,355.38,359.92,0.744
2014-09-23,357.42,361.23,355.33,357.22,0.953
2014-09-24,357.22,365.33,357.06,364.41,0.64
2014-09-25,363.35,364.71,354.0,355.54,0.692
2014-09-26,357.23,359.0,351.48,358.18,0.692
2014-09-29,355.02,358.1,351.55,354.96,0.357
2014-09-30,355.79,361.7,353.11,360.52,1.004
2014-10-01,363.95,363.95,352.91,355.61,0.669
2014-10-02,355.79,358.25,353.05,353.69,0.666
2014-10-03,355.54,362.46,355.54,361.6,0.758
2014-10-06,363.48,365.0,356.6,359.19,0.453
2014-10-07,356.99,359.68,353.1,354.21,0.592
2014-10-08,353.83,361.07,350.79,360.15,0.742
2014-10-09,361.24,361.26,352.0,355.04,0.649
2014-10-10,353.38,357.75,343.28,343.51,0.753
2014-10-13,341.89,344.98,330.89,332.1,0.869
2014-10-14,334.09,335.66,323.8,328.07,1.155
2014-10-15,324.0,337.03,320.06,334.75,1.238
2014-10-16,326.5,344.48,326.09,340.71,0.938
2014-10-17,366.99,376.88,362.02,369.64,2.471
2014-10-20,367.79,369.0,360.1,366.13,1.147
2014-10-21,370.64,381.03,366.14,381.01,1.051
2014-10-22,380.06,384.85,373.34,384.46,1.026
2014-10-23,387.0,397.35,386.5,393.96,0.87
2014-10-24,396.0,404.6,393.21,402.5,0.822
2014-10-27,402.1,407.88,397.5,407.16,0.56
2014-10-28,408.35,410.18,397.12,397.89,1.028
2014-10-29,397.0,397.89,385.02,387.7,1.055
2014-10-30,386.29,394.65,386.27,392.8,0.709
2014-10-31,400.15,400.87,391.2,393.72,0.663
2014-11-03,395.27,397.98,389.12,395.26,0.855
2014-11-04,372.12,384.43,368.45,372.39,1.849
2014-11-05,375.16,377.99,365.25,368.51,0.888
2014-11-06,371.01,377.45,367.78,376.94,0.699
2014-11-07,378.24,381.0,374.68,377.84,0.622
2014-11-10,379.5,386.86,376.54,385.97,0.541
