Date,Open,High,Low,Close,Volume
2014-01-02,41.72,41.9,41.36,41.37,0.749
2014-01-03,41.56,41.99,41.38,41.55,0.903
2014-01-06,41.88,41.88,40.92,40.96,1.07
2014-01-07,41.23,41.65,41.17,41.35,0.815
2014-01-08,41.34,41.38,40.91,41.1,0.946
2014-01-09,41.13,41.28,40.63,40.93,0.852
2014-01-10,41.12,41.89,41.01,41.55,1.108
2014-01-13,41.26,41.55,40.28,40.37,1.023
2014-01-14,40.46,41.22,40.46,41.04,1.043
2014-01-15,41.41,43.06,41.41,42.68,1.502
2014-01-16,42.57,42.94,42.08,42.52,0.887
2014-01-17,42.49,42.6,42.03,42.13,1.026
2014-01-21,42.47,42.7,41.58,41.82,1.159
2014-01-22,41.92,41.95,41.65,41.77,0.78
2014-01-23,41.47,41.6,40.97,41.32,0.782
2014-01-24,41.29,41.29,39.79,40.01,1.269
2014-01-27,40.27,41.48,40.24,41.24,2.431
2014-01-28,41.2,41.62,41.08,41.39,1.428
2014-01-29,41.21,41.82,40.88,41.51,3.431
2014-01-30,41.7,42.24,41.33,42.08,2.64
2014-01-31,40.0,42.32,39.84,41.78,4.978
2014-02-03,41.65,41.88,39.09,39.17,3.131
2014-02-04,39.3,39.95,39.15,39.63,2.639
2014-02-05,39.25,39.55,38.62,39.32,1.402
2014-02-06,39.67,40.17,39.51,40.01,1.537
2014-02-07,40.15,40.7,39.89,40.28,1.274
2014-02-10,40.15,40.17,39.49,39.73,1.221
2014-02-11,39.64,39.74,39.36,39.62,1.386
2014-02-12,39.76,40.06,39.41,40.02,1.228
2014-02-13,39.77,40.54,39.7,40.45,0.694
2014-02-14,40.38,40.59,40.18,40.48,0.551
2014-02-18,40.71,41.39,40.46,41.28,1.515
2014-02-19,41.27,41.39,40.64,40.74,1.017
2014-02-20,40.87,40.89,40.26,40.31,1.247
2014-02-21,40.26,40.35,39.73,40.24,1.46
2014-02-24,40.27,40.68,40.23,40.24,0.684
2014-02-25,40.36,40.5,39.81,39.94,1.039
2014-02-26,40.12,40.51,39.96,40.2,0.812
2014-02-27,40.27,40.58,40.03,40.49,0.835
2014-02-28,40.52,41.04,40.4,40.94,0.847
2014-03-03,40.59,40.72,40.26,40.56,0.802
2014-03-04,40.97,41.53,40.94,41.36,0.898
2014-03-05,41.38,41.71,41.03,41.65,1.349
2014-03-06,41.71,42.3,41.61,42.17,1.462
2014-03-07,42.62,42.95,42.47,42.8,1.309
2014-03-10,42.73,42.93,42.11,42.39,0.831
2014-03-11,42.46,42.67,41.82,41.95,0.804
2014-03-12,41.65,42.01,41.24,42.0,0.755
2014-03-13,42.16,42.25,40.94,41.07,0.645
2014-03-14,40.91,41.39,40.86,41.24,0.698
2014-03-17,41.39,41.84,41.08,41.58,0.673
2014-03-18,41.6,42.21,41.5,42.19,0.612
2014-03-19,42.16,42.38,41.3,41.69,0.599
2014-03-20,41.53,41.81,41.22,41.78,0.576
2014-03-21,42.15,42.87,42.02,42.47,1.255
2014-03-24,42.56,42.73,41.7,42.03,0.744
2014-03-25,42.43,42.48,41.65,42.3,0.722
2014-03-26,42.48,42.61,41.78,41.84,0.746
2014-03-27,41.87,41.87,40.97,41.1,0.873
2014-03-28,41.3,41.65,41.1,41.2,0.687
2014-03-31,41.64,42.09,41.42,41.95,0.782
2014-04-01,42.2,42.69,41.95,42.65,0.948
2014-04-02,42.82,42.83,42.34,42.38,0.903
2014-04-03,42.51,42.83,42.25,42.38,0.929
2014-04-04,42.58,43.1,41.4,41.53,1.123
2014-04-07,41.47,41.57,40.44,41.12,1.011
2014-04-08,41.04,41.97,40.79,41.89,1.183
2014-04-09,42.04,42.05,41.39,41.96,0.736
2014-04-10,41.88,42.0,40.57,40.63,0.581
2014-04-11,40.36,40.62,39.59,39.74,0.955
2014-04-14,40.04,40.25,39.66,40.09,0.902
2014-04-15,40.17,40.68,39.57,40.21,0.856
2014-04-16,40.65,41.51,40.6,41.5,0.766
2014-04-17,41.22,42.27,41.13,42.18,0.702
2014-04-21,42.2,42.61,42.06,42.22,0.899
2014-04-22,42.61,43.33,42.54,42.99,0.913
2014-04-23,43.91,43.91,43.28,43.44,1.714
2014-04-24,44.08,44.9,43.52,44.09,1.574
2014-04-25,44.0,44.0,42.9,43.12,1.067
2014-04-28,43.21,43.7,42.86,43.61,1.206
2014-04-29,43.71,43.94,43.38,43.78,0.504
2014-04-30,43.65,44.84,43.52,44.8,1.123
2014-05-01,44.65,45.18,44.23,44.77,1.053
2014-05-02,44.93,45.01,44.58,44.7,0.612
2014-05-05,44.45,44.51,43.73,44.2,1.502
2014-05-06,44.11,44.5,43.92,44.12,0.587
2014-05-07,44.29,45.25,43.79,45.22,1.296
2014-05-08,45.24,45.54,44.86,45.0,1.138
2014-05-09,44.88,44.96,44.05,44.62,0.667
2014-05-12,44.85,45.63,44.83,45.57,0.82
2014-05-13,45.54,45.68,45.25,45.55,0.822
2014-05-14,45.46,45.47,44.81,44.98,0.518
2014-05-15,44.85,44.9,44.09,44.54,0.914
2014-05-16,44.53,44.58,44.07,44.55,0.708
2014-05-19,44.4,45.0,44.31,44.86,0.403
2014-05-20,44.77,44.8,43.95,44.0,0.868
2014-05-21,44.05,44.79,43.93,44.78,0.581
2014-05-22,44.7,45.2,44.55,45.1,0.619
2014-05-23,45.04,45.47,44.8,45.45,0.437
2014-05-27,45.62,45.85,45.39,45.68,0.873
2014-05-28,45.7,45.99,45.51,45.8,0.594
2014-05-29,46.0,46.13,45.4,46.11,0.686
