Date,Open,High,Low,Close,Volume
2014-01-02,117.62,117.99,116.01,116.38,0.479
2014-01-03,116.61,118.01,116.45,117.83,0.607
2014-01-06,118.2,118.74,116.12,116.52,0.662
2014-01-07,117.57,117.57,115.78,117.04,0.556
2014-01-08,117.28,117.28,115.71,116.47,0.786
2014-01-09,116.75,117.33,115.03,116.43,0.538
2014-01-10,116.82,117.3,115.96,116.96,0.503
2014-01-13,116.46,117.32,114.77,115.07,0.658
2014-01-14,115.43,118.83,115.03,118.24,1.204
2014-01-15,118.32,119.03,118.2,118.86,0.889
2014-01-16,117.68,119.71,117.64,119.66,0.985
2014-01-17,119.66,119.66,118.66,119.23,0.736
2014-01-21,120.18,121.01,118.3,119.83,0.665
2014-01-22,119.37,119.76,118.06,119.06,0.637
2014-01-23,118.22,118.5,116.49,117.01,0.576
2014-01-24,116.61,116.72,112.87,112.99,0.942
2014-01-27,114.21,114.72,111.79,112.96,1.131
2014-01-28,113.7,115.31,113.32,115.01,1.233
2014-01-29,117.03,118.03,114.18,115.09,1.789
2014-01-30,115.5,116.32,114.61,115.1,1.284
2014-01-31,113.1,115.43,113.1,114.84,1.032
2014-02-03,114.9,115.66,111.77,111.97,1.758
2014-02-04,111.94,112.06,110.18,111.18,1.435
2014-02-05,110.82,111.05,108.83,109.91,1.576
2014-02-06,110.28,111.31,110.09,110.64,0.935
2014-02-07,111.38,112.59,110.64,112.35,1.239
2014-02-10,112.58,112.68,111.6,112.04,0.543
2014-02-11,112.44,114.01,112.33,113.48,0.937
2014-02-12,113.5,115.8,113.43,115.56,1.074
2014-02-13,114.32,116.47,113.71,116.45,1.04
2014-02-14,116.37,117.12,115.54,117.0,0.778
2014-02-18,116.89,118.72,116.89,118.5,0.898
2014-02-19,117.99,119.07,117.65,118.0,1.175
2014-02-20,117.96,119.3,117.5,118.99,0.933
2014-02-21,119.04,120.4,118.5,119.32,1.02
2014-02-24,119.35,120.97,119.06,120.56,0.829
2014-02-25,120.38,121.48,119.66,120.85,0.831
2014-02-26,121.03,122.58,120.63,121.73,0.677
2014-02-27,121.5,122.4,121.18,122.18,0.473
2014-02-28,122.18,124.11,121.9,122.84,0.83
2014-03-03,119.9,122.12,119.9,121.59,0.722
2014-03-04,123.31,124.18,123.11,124.0,0.68
2014-03-05,123.81,123.86,123.22,123.49,0.611
2014-03-06,124.11,124.36,122.7,123.46,0.695
2014-03-07,124.18,124.78,123.76,124.72,1.075
2014-03-10,125.2,125.2,123.25,123.74,0.612
2014-03-11,125.6,125.6,121.39,122.07,0.604
2014-03-12,121.22,121.82,120.6,121.8,0.694
2014-03-13,122.29,122.68,119.19,120.25,1.076
2014-03-14,120.14,121.16,119.57,120.0,1.082
2014-03-17,120.94,122.67,120.94,122.25,0.602
2014-03-18,122.52,123.47,122.33,123.28,0.522
2014-03-19,123.18,123.8,121.43,122.23,0.452
2014-03-20,122.03,123.5,121.82,122.8,0.544
2014-03-21,124.22,124.74,122.96,123.04,1.021
2014-03-24,123.7,124.36,121.78,122.13,0.779
2014-03-25,123.27,124.77,122.25,123.67,0.794
2014-03-26,124.46,124.6,122.16,122.17,0.603
2014-03-27,122.02,122.57,121.07,121.78,0.746
2014-03-28,122.12,124.67,121.51,124.25,0.777
2014-03-31,125.42,125.66,124.47,124.55,0.8
2014-04-01,124.79,125.37,124.12,124.84,0.963
2014-04-02,125.19,126.69,124.82,126.1,1.096
2014-04-03,126.22,127.12,125.77,126.88,0.546
2014-04-04,127.73,128.13,124.27,124.51,0.686
2014-04-07,124.17,124.43,121.57,121.99,0.534
2014-04-08,121.99,123.31,121.31,122.97,0.637
2014-04-09,123.39,124.06,122.5,123.94,0.528
2014-04-10,123.88,124.2,121.36,121.57,0.525
2014-04-11,121.12,122.19,120.14,120.8,0.88
2014-04-14,122.09,122.39,120.35,121.45,0.557
2014-04-15,121.54,122.71,119.85,122.43,0.892
2014-04-16,123.59,125.73,122.97,125.7,0.59
2014-04-17,125.95,127.4,125.34,127.02,0.664
2014-04-21,127.0,128.03,125.11,127.75,0.593
2014-04-22,127.85,128.46,127.61,127.67,0.512
2014-04-23,127.79,128.11,126.85,127.16,0.556
2014-04-24,128.19,128.26,126.6,127.64,0.568
2014-04-25,127.47,127.47,124.61,125.1,0.732
2014-04-28,125.51,125.82,122.41,124.53,0.961
2014-04-29,122.11,123.0,115.21,115.63,2.329
2014-04-30,115.83,120.5,115.66,119.18,1.713
