Date,Open,High,Low,Close,Volume
2014-01-02,8.94,8.99,8.72,8.75,0.652
2014-01-03,8.84,8.88,8.78,8.84,0.511
2014-01-06,8.91,8.93,8.79,8.83,0.754
2014-01-07,8.84,8.89,8.79,8.83,0.369
2014-01-08,8.82,8.89,8.74,8.84,0.84
2014-01-09,8.86,8.86,8.73,8.79,0.751
2014-01-10,8.81,8.85,8.73,8.77,0.614
2014-01-13,8.76,8.76,8.61,8.64,0.394
2014-01-14,8.68,8.74,8.61,8.72,0.658
2014-01-15,8.71,8.75,8.7,8.71,0.401
2014-01-16,8.72,8.74,8.66,8.7,0.465
2014-01-17,8.66,8.72,8.62,8.67,0.404
2014-01-21,8.72,8.75,8.65,8.71,0.533
2014-01-22,8.69,8.71,8.63,8.7,0.424
2014-01-23,8.64,8.71,8.6,8.71,0.475
2014-01-24,8.64,8.73,8.58,8.62,0.604
2014-01-27,8.69,8.75,8.6,8.6,0.684
2014-01-28,8.61,8.66,8.49,8.52,2.432
2014-01-29,8.59,8.66,8.45,8.6,1.714
2014-01-30,8.69,8.75,8.61,8.69,0.95
2014-01-31,8.57,8.65,8.52,8.54,0.94
2014-02-03,8.52,8.61,8.04,8.04,2.1
2014-02-04,8.06,8.28,8.0,8.2,1.692
2014-02-05,8.17,8.21,8.11,8.14,0.36
2014-02-06,8.15,8.25,8.09,8.25,0.703
2014-02-07,8.3,8.41,8.29,8.41,0.75
2014-02-10,8.38,8.4,8.34,8.39,0.791
2014-02-11,8.38,8.5,8.36,8.49,0.431
2014-02-12,8.49,8.62,8.49,8.6,0.627
2014-02-13,8.54,8.7,8.54,8.68,0.353
2014-02-14,8.69,8.84,8.69,8.76,0.77
2014-02-18,8.8,8.98,8.77,8.88,1.169
2014-02-19,8.84,8.96,8.82,8.83,0.418
2014-02-20,8.85,8.89,8.74,8.76,0.514
2014-02-21,8.77,8.85,8.75,8.77,0.398
2014-02-24,8.78,8.85,8.75,8.75,0.64
2014-02-25,8.74,8.78,8.68,8.71,0.498
2014-02-26,8.74,8.88,8.71,8.77,0.533
2014-02-27,8.74,8.84,8.71,8.73,0.427
2014-02-28,8.75,8.89,8.73,8.85,0.58
2014-03-03,8.77,8.86,8.72,8.78,0.638
2014-03-04,8.87,8.97,8.84,8.96,0.55
2014-03-05,8.93,8.96,8.88,8.9,0.437
2014-03-06,8.95,8.95,8.82,8.89,0.332
2014-03-07,8.91,9.03,8.88,8.99,0.451
2014-03-10,9.01,9.02,8.88,8.92,0.459
2014-03-11,8.91,8.92,8.79,8.82,0.448
2014-03-12,8.77,8.84,8.74,8.78,0.535
2014-03-13,8.81,8.87,8.66,8.72,0.458
2014-03-14,8.69,8.88,8.69,8.85,0.472
2014-03-17,8.85,9.01,8.85,8.93,0.479
2014-03-18,8.93,9.02,8.92,9.01,0.469
2014-03-19,8.98,9.06,8.89,8.92,0.649
2014-03-20,8.92,8.96,8.88,8.94,0.279
2014-03-21,9.02,9.07,8.95,9.06,1.666
2014-03-24,9.08,9.1,8.88,8.91,0.424
2014-03-25,8.93,8.97,8.86,8.92,0.502
2014-03-26,9.0,9.04,8.86,8.88,0.42
2014-03-27,8.9,8.9,8.8,8.86,0.379
2014-03-28,8.89,9.0,8.84,8.85,0.297
2014-03-31,8.87,9.01,8.84,8.96,0.438
2014-04-01,8.99,9.18,8.94,9.16,0.662
2014-04-02,9.19,9.21,8.97,9.11,0.534
2014-04-03,9.14,9.16,9.05,9.08,0.32
2014-04-04,9.11,9.11,8.81,8.95,0.784
2014-04-07,8.94,9.02,8.86,8.92,0.481
2014-04-08,8.89,9.0,8.82,8.96,0.287
2014-04-09,8.96,9.03,8.89,9.02,0.223
2014-04-10,9.0,9.13,8.75,8.79,0.469
2014-04-11,8.74,8.88,8.69,8.79,0.688
2014-04-14,8.87,8.89,8.73,8.77,0.33
2014-04-15,8.79,8.88,8.7,8.75,0.387
2014-04-16,8.77,8.85,8.76,8.81,0.398
2014-04-17,8.81,8.94,8.81,8.86,0.375
2014-04-21,8.86,8.96,8.86,8.89,0.351
2014-04-22,8.87,9.0,8.87,8.92,0.396
2014-04-23,8.91,9.05,8.84,8.95,0.277
2014-04-24,9.0,9.01,8.82,8.92,0.437
2014-04-25,8.92,8.92,8.82,8.84,0.311
2014-04-28,8.88,8.97,8.83,8.95,0.471
2014-04-29,8.96,9.01,8.84,8.86,0.264
