Date,Open,High,Low,Close,Volume
2014-01-02,37.17,37.67,37.0,37.13,3.027
2014-01-03,37.16,37.42,37.05,37.17,2.203
2014-01-06,37.19,37.6,37.08,37.09,1.987
2014-01-07,37.09,37.56,36.85,36.88,3.816
2014-01-08,36.94,36.99,36.6,36.85,4.706
2014-01-09,36.94,37.34,36.86,37.33,4.387
2014-01-10,37.4,37.6,37.06,37.33,3.253
2014-01-13,37.08,37.18,36.61,36.65,5.265
2014-01-14,36.77,36.9,36.49,36.6,2.087
2014-01-15,36.58,36.78,36.25,36.38,2.956
2014-01-16,36.81,36.81,35.94,36.04,3.292
2014-01-17,36.03,36.03,35.61,35.69,3.519
2014-01-21,35.85,35.92,35.02,35.21,5.007
2014-01-22,35.67,35.67,34.6,34.63,5.956
2014-01-23,34.52,34.53,33.92,34.24,5.469
2014-01-24,33.92,34.31,33.85,33.92,5.053
2014-01-27,33.88,34.47,33.74,34.14,5.756
2014-01-28,34.19,34.52,33.81,33.88,5.255
2014-01-29,33.75,34.06,33.62,33.83,5.231
2014-01-30,34.02,34.1,33.78,33.98,3.578
2014-01-31,33.51,34.22,33.5,33.96,4.57
2014-02-03,34.0,34.1,32.94,32.97,6.107
2014-02-04,33.17,33.38,32.85,32.89,4.891
2014-02-05,32.84,33.22,32.58,33.15,9.345
2014-02-06,33.22,34.68,33.16,34.65,6.052
2014-02-07,34.51,34.8,34.16,34.68,3.38
2014-02-10,35.29,35.29,34.45,34.56,3.262
2014-02-11,34.64,35.0,34.62,34.76,3.332
2014-02-12,35.44,35.44,34.47,34.58,2.838
2014-02-13,35.09,35.09,34.58,34.79,2.635
2014-02-14,34.63,34.88,34.53,34.71,3.809
2014-02-18,34.69,34.73,34.16,34.16,4.484
2014-02-19,34.22,34.31,33.88,33.9,4.498
2014-02-20,33.99,34.32,33.63,33.83,4.574
2014-02-21,34.09,34.22,33.69,33.72,4.674
2014-02-24,33.83,34.74,33.71,34.63,5.954
2014-02-25,34.81,35.21,34.35,35.02,5.077
2014-02-26,35.42,36.0,34.99,35.85,9.246
2014-02-27,36.12,36.26,35.72,36.15,6.018
2014-02-28,36.92,36.95,35.78,36.4,8.432
2014-03-03,36.46,36.46,35.74,36.15,3.297
2014-03-04,36.31,36.64,36.2,36.22,3.305
2014-03-05,36.74,36.74,35.83,35.97,3.758
2014-03-06,35.99,36.04,35.6,35.88,2.678
2014-03-07,36.07,36.13,35.6,36.03,3.537
2014-03-10,35.93,36.25,35.83,36.18,2.53
2014-03-11,36.17,36.31,35.89,36.12,2.913
2014-03-12,36.51,36.51,35.99,36.19,2.661
2014-03-13,36.18,36.28,36.01,36.15,2.425
2014-03-14,36.08,36.66,36.08,36.33,4.182
2014-03-17,36.49,37.07,36.42,37.04,3.954
2014-03-18,37.47,37.47,36.55,36.62,3.025
2014-03-19,36.56,36.9,36.08,36.33,2.075
2014-03-20,36.19,36.54,36.15,36.38,1.984
2014-03-21,36.74,37.01,36.43,36.49,6.136
2014-03-24,37.05,37.21,36.28,36.65,3.691
2014-03-25,36.7,36.86,35.78,35.83,3.806
2014-03-26,35.93,36.15,35.54,35.6,2.637
2014-03-27,35.66,35.86,35.33,35.71,3.715
2014-03-28,35.78,36.28,35.7,36.05,2.951
2014-03-31,36.12,36.3,35.65,35.78,3.186
2014-04-01,36.01,36.47,35.85,36.45,3.144
2014-04-02,36.4,36.92,36.37,36.75,3.742
2014-04-03,36.83,37.14,36.6,36.71,1.939
2014-04-04,36.83,36.89,36.15,36.19,2.317
2014-04-07,36.1,36.28,35.29,35.38,2.635
2014-04-08,35.26,35.9,35.08,35.83,2.443
2014-04-09,35.9,36.0,35.47,35.72,2.279
2014-04-10,35.63,35.78,34.83,34.93,3.712
2014-04-11,34.8,34.81,34.35,34.53,3.353
