Date,Open,High,Low,Close,Volume
2014-01-02,40.99,41.39,40.86,40.94,0.833
2014-01-03,41.14,41.6,41.0,41.21,0.802
2014-01-06,41.8,42.27,41.63,41.69,1.242
2014-01-07,41.73,42.25,41.58,42.11,0.703
2014-01-08,42.18,42.83,42.01,42.7,1.062
2014-01-09,42.95,43.48,42.84,43.43,0.958
2014-01-10,43.37,43.43,42.98,43.18,0.892
2014-01-13,43.21,43.21,42.2,42.35,0.589
2014-01-14,42.54,42.89,42.25,42.75,0.787
2014-01-15,42.91,43.21,42.67,42.98,0.555
2014-01-16,42.94,43.52,42.78,43.23,0.697
2014-01-17,43.33,43.54,42.98,43.01,0.517
2014-01-21,43.36,43.4,42.64,43.12,0.552
2014-01-22,43.15,43.39,42.76,43.04,0.388
2014-01-23,42.91,42.91,42.14,42.49,0.648
2014-01-24,42.25,42.32,41.15,41.18,0.739
2014-01-27,41.53,41.63,40.63,41.06,1.363
2014-01-28,41.48,42.76,41.35,42.71,1.299
2014-01-29,42.3,42.7,42.18,42.6,1.349
2014-01-30,43.09,44.23,42.94,44.04,2.5
2014-01-31,45.84,45.86,43.14,43.6,2.378
2014-02-03,43.85,44.03,42.73,43.03,2.238
2014-02-04,43.15,43.35,42.67,42.84,1.227
2014-02-05,42.78,42.85,41.89,42.67,1.542
2014-02-06,42.73,43.05,42.67,42.86,0.924
2014-02-07,43.0,43.92,42.85,43.78,1.694
2014-02-10,43.8,43.95,43.36,43.54,0.704
2014-02-11,43.6,44.04,43.55,43.99,0.882
2014-02-12,44.19,44.42,43.95,44.17,1.021
2014-02-13,43.9,44.38,43.83,44.27,0.652
2014-02-14,44.14,44.2,43.78,43.98,0.829
2014-02-18,44.07,44.15,43.58,43.67,0.734
2014-02-19,43.57,43.57,42.68,42.99,1.443
2014-02-20,43.17,44.06,42.99,44.05,1.831
2014-02-21,44.13,44.16,43.67,43.72,1.918
2014-02-24,43.86,44.32,43.81,44.15,1.625
2014-02-25,44.2,44.28,43.89,44.27,1.31
2014-02-26,44.3,44.88,44.2,44.63,1.005
2014-02-27,44.61,45.44,44.48,45.3,1.296
2014-02-28,45.46,45.51,45.07,45.32,0.852
2014-03-03,44.83,45.16,44.45,44.78,0.774
2014-03-04,45.25,45.48,45.15,45.4,1.087
