Date,Open,High,Low,Close,Volume
2014-01-02,89.2,89.69,87.66,88.42,1.314
2014-01-03,88.4,88.99,87.78,87.81,0.524
2014-01-06,88.24,88.25,87.29,87.82,0.762
2014-01-07,88.0,88.93,87.66,88.56,0.658
2014-01-08,88.54,89.34,88.01,89.04,1.933
2014-01-09,89.35,89.39,87.67,87.84,0.907
2014-01-10,88.28,88.47,87.42,88.32,1.851
2014-01-13,88.15,89.13,87.59,89.12,1.573
2014-01-14,89.24,90.73,88.96,90.57,1.403
2014-01-15,90.91,91.38,90.25,90.67,1.953
2014-01-16,90.64,90.86,89.98,90.72,0.928
2014-01-17,90.47,90.83,89.91,90.01,0.935
2014-01-21,90.54,90.82,89.69,90.65,0.804
2014-01-22,90.72,92.55,90.69,91.47,1.692
2014-01-23,91.37,92.78,90.5,92.78,2.028
2014-01-24,92.68,92.72,89.9,89.95,1.807
2014-01-27,89.95,90.79,88.81,89.6,1.563
2014-01-28,89.6,90.46,89.54,89.93,1.19
2014-01-29,89.43,91.01,89.04,90.57,1.245
2014-01-30,91.01,92.58,90.58,92.29,1.098
2014-01-31,91.08,93.79,90.18,92.75,0.857
2014-02-03,92.86,93.28,91.31,91.99,1.632
2014-02-04,92.2,92.74,90.06,91.62,1.592
2014-02-05,91.75,91.99,90.82,91.72,0.848
2014-02-06,92.26,93.49,91.08,92.0,0.754
2014-02-07,91.29,93.13,89.82,92.91,1.605
2014-02-10,92.64,93.2,91.86,93.17,0.881
2014-02-11,93.44,95.17,93.04,94.73,0.989
2014-02-12,94.75,94.92,93.53,94.17,0.987
2014-02-13,93.44,95.66,93.44,95.14,0.859
2014-02-14,94.77,96.41,94.77,96.36,0.747
2014-02-18,96.89,96.91,96.21,96.6,0.505
2014-02-19,96.61,97.81,96.0,97.69,0.747
2014-02-20,98.37,99.53,97.78,99.21,1.665
2014-02-21,99.46,99.64,97.08,97.24,1.221
2014-02-24,97.17,98.29,95.87,95.9,1.886
2014-02-25,96.36,96.38,94.93,95.34,1.817
2014-02-26,94.0,95.3,92.0,92.79,2.724
2014-02-27,93.68,96.02,93.25,94.89,1.273
2014-02-28,95.21,96.42,94.13,95.17,1.091
2014-03-03,94.06,95.73,94.05,95.18,1.097
2014-03-04,96.15,96.42,94.73,95.81,1.359
2014-03-05,96.01,96.01,94.48,95.24,1.156
2014-03-06,95.2,95.77,94.91,95.53,0.633
2014-03-07,96.19,96.22,94.77,95.08,0.758
2014-03-10,94.97,95.54,93.97,94.56,0.737
2014-03-11,95.25,96.24,94.55,94.99,1.032
2014-03-12,94.43,95.5,94.24,95.2,0.73
2014-03-13,95.67,96.07,94.4,94.87,0.724
2014-03-14,94.45,96.12,94.03,94.96,0.607
2014-03-17,94.98,95.3,94.45,94.51,0.494
2014-03-18,94.4,95.69,94.21,94.72,0.505
2014-03-19,94.97,95.05,93.04,93.74,0.779
2014-03-20,93.21,94.35,93.16,93.51,0.658
2014-03-21,93.88,94.25,91.78,91.89,1.041
2014-03-24,92.23,92.49,90.19,91.39,0.793
2014-03-25,91.71,91.95,89.95,90.54,0.946
2014-03-26,90.81,91.09,90.16,90.37,0.788
2014-03-27,90.49,93.58,90.16,93.26,6.283
2014-03-28,93.59,93.9,91.97,92.25,0.786
2014-03-31,92.67,93.03,90.72,90.96,1.756
2014-04-01,90.93,91.66,90.76,91.14,1.917
2014-04-02,91.38,91.39,89.48,89.98,2.146
2014-04-03,90.16,90.56,89.97,90.15,1.504
2014-04-04,90.58,90.78,87.03,88.14,2.977
2014-04-07,87.83,88.47,87.23,87.4,1.249
2014-04-08,87.37,88.53,87.25,87.86,1.123
2014-04-09,88.41,90.41,88.02,90.23,1.168
2014-04-10,90.4,91.11,88.87,89.08,1.284
2014-04-11,88.77,89.49,87.85,88.22,1.031
2014-04-14,88.49,89.18,87.78,88.01,1.074
2014-04-15,88.13,88.58,87.11,88.0,0.991
2014-04-16,88.57,90.01,88.37,89.9,1.58
2014-04-17,90.35,91.7,89.78,91.17,1.554
2014-04-21,91.03,92.01,91.03,91.92,1.049
2014-04-22,91.68,92.67,91.6,92.22,0.895
2014-04-23,92.25,92.43,90.89,91.01,0.678
2014-04-24,91.64,92.07,90.17,90.64,0.978
2014-04-25,90.52,90.98,89.72,89.93,0.755
2014-04-28,90.48,90.84,87.98,89.1,1.075
2014-04-29,89.2,90.2,89.09,89.69,0.875
2014-04-30,89.28,89.99,88.74,89.76,1.3
2014-05-01,89.93,91.06,89.35,90.56,1.438
2014-05-02,93.75,98.15,92.0,94.89,3.527
2014-05-05,94.58,97.21,94.24,96.52,2.291
2014-05-06,96.59,97.11,96.03,96.53,1.004
2014-05-07,96.7,97.38,95.87,96.36,1.337
2014-05-08,96.21,97.86,96.05,96.8,0.99
2014-05-09,96.78,97.67,96.31,97.2,0.602
2014-05-12,97.42,98.31,96.95,98.11,1.155
2014-05-13,98.2,100.01,97.99,99.16,1.223
2014-05-14,99.18,101.06,98.71,100.84,1.87
2014-05-15,100.64,100.83,98.7,99.62,2.086
2014-05-16,100.14,100.58,99.23,100.19,1.213
2014-05-19,100.14,100.44,99.44,100.1,1.164
2014-05-20,100.04,100.5,99.53,100.22,1.1
2014-05-21,100.64,101.44,99.9,100.84,1.245
2014-05-22,100.9,101.83,100.61,101.49,0.805
2014-05-23,101.83,101.9,100.43,100.6,0.975
2014-05-27,101.21,101.47,100.09,100.39,1.289
2014-05-28,100.29,100.54,99.74,100.45,1.803
2014-05-29,100.95,101.1,99.83,100.71,0.874
2014-05-30,100.85,101.63,99.84,101.5,1.709
2014-06-02,101.3,101.3,99.65,100.4,0.874
2014-06-03,100.37,100.62,99.4,99.78,0.887
2014-06-04,100.01,100.7,99.59,100.51,0.671
2014-06-05,100.63,100.86,99.18,100.08,0.779
2014-06-06,100.48,101.0,100.03,100.43,0.794
2014-06-09,100.31,101.09,100.07,100.25,0.738
2014-06-10,100.32,100.84,99.72,100.25,0.749
2014-06-11,99.87,100.49,99.7,100.21,0.991
2014-06-12,100.24,100.5,99.45,99.84,0.689
2014-06-13,99.49,99.72,97.93,98.16,0.862
2014-06-16,98.2,98.34,96.64,97.77,0.966
2014-06-17,97.82,98.4,97.29,97.64,0.466
2014-06-18,97.74,97.96,96.65,97.74,0.815
2014-06-19,97.43,98.94,97.36,98.53,0.672
2014-06-20,98.68,98.91,97.34,98.69,1.236
2014-06-23,98.43,98.99,97.79,98.23,0.679
2014-06-24,97.74,99.11,97.62,98.65,0.725
2014-06-25,98.76,101.33,98.42,100.21,0.827
2014-06-26,99.79,100.33,98.52,99.8,0.726
2014-06-27,99.06,101.73,98.8,101.64,1.288
2014-06-30,101.28,102.57,100.46,102.3,1.032
2014-07-01,102.27,102.46,101.28,101.94,0.758
2014-07-02,101.75,101.99,101.18,101.61,0.761
2014-07-03,101.92,101.95,101.0,101.73,0.391
2014-07-07,101.65,101.98,100.96,101.37,0.656
2014-07-08,101.48,101.92,99.7,100.62,1.045
2014-07-09,100.97,103.63,100.63,103.44,1.094
2014-07-10,102.34,105.91,102.34,104.14,1.544
2014-07-11,104.21,104.28,103.13,103.64,0.673
2014-07-14,103.93,104.71,103.73,104.05,0.376
2014-07-15,104.01,104.57,103.13,103.77,0.496
2014-07-16,104.2,104.91,103.45,104.43,0.479
2014-07-17,103.82,104.86,102.92,103.17,0.654
2014-07-18,103.58,104.45,102.91,103.99,1.005
2014-07-21,104.29,104.64,103.37,104.54,0.931
2014-07-22,104.82,106.04,104.26,104.34,0.87
2014-07-23,104.45,104.68,103.89,104.49,1.056
2014-07-24,104.34,104.94,103.19,103.48,1.084
2014-07-25,102.91,106.71,102.56,103.22,2.481
2014-07-28,103.34,107.55,103.34,106.67,1.851
2014-07-29,107.03,107.81,105.8,106.48,1.142
2014-07-30,106.88,109.52,106.8,108.96,1.466
2014-07-31,108.38,108.38,106.78,106.93,1.319
2014-08-01,107.22,107.5,105.23,106.17,0.984
2014-08-04,106.52,106.67,104.95,104.95,1.191
2014-08-05,104.58,105.49,104.38,104.76,0.966
2014-08-06,105.18,108.29,105.05,106.69,1.841
2014-08-07,106.71,107.34,105.79,107.08,1.005
2014-08-08,107.17,111.15,106.85,110.49,1.628
2014-08-11,110.42,111.73,109.45,109.49,1.175
2014-08-12,109.23,109.94,107.99,109.64,0.862
2014-08-13,109.72,110.75,108.54,108.94,0.933
2014-08-14,109.21,109.66,108.44,109.12,0.928
2014-08-15,110.15,110.15,107.95,108.57,0.962
2014-08-18,109.35,109.86,108.6,109.29,1.207
2014-08-19,109.25,109.77,107.65,108.02,1.393
2014-08-20,108.23,109.3,107.32,109.26,1.006
2014-08-21,108.99,109.88,108.03,109.34,1.608
2014-08-22,109.57,109.57,107.83,108.59,0.971
2014-08-25,108.9,110.29,108.9,110.04,0.936
2014-08-26,109.85,110.33,108.86,110.11,0.688
2014-08-27,110.34,111.5,109.65,110.61,1.07
2014-08-28,110.25,110.97,109.88,110.67,0.639
2014-08-29,111.13,111.13,109.93,110.29,0.527
2014-09-02,110.39,110.8,109.7,110.47,0.69
2014-09-03,110.95,111.99,110.53,111.0,1.217
2014-09-04,110.81,112.16,110.75,111.51,0.908
