Date,Open,High,Low,Close,Volume
2014-01-02,25.99,26.05,25.7,25.82,4.619
2014-01-03,25.84,26.04,25.7,25.9,3.368
2014-01-06,26.0,26.14,25.75,25.81,4.293
2014-01-07,25.48,25.92,25.36,25.54,7.476
2014-01-08,25.58,25.94,25.51,25.84,6.541
2014-01-09,25.92,26.06,25.71,25.85,4.103
2014-01-10,25.81,25.85,25.41,25.66,4.839
2014-01-13,25.59,25.59,24.77,24.83,7.914
2014-01-14,24.98,25.66,24.96,25.59,6.765
2014-01-15,25.65,26.05,25.56,26.03,10.043
2014-01-16,26.25,26.84,26.09,26.8,13.422
2014-01-17,26.81,26.9,26.51,26.77,7.12
2014-01-21,26.92,27.11,26.79,26.8,9.555
2014-01-22,26.88,26.95,26.6,26.8,5.316
2014-01-23,26.57,26.57,25.97,26.14,8.47
2014-01-24,26.01,26.04,25.24,25.27,10.304
2014-01-27,25.32,25.51,24.7,24.82,10.278
2014-01-28,24.88,25.32,24.81,25.2,5.881
2014-01-29,24.87,25.19,24.61,24.66,6.202
2014-01-30,24.93,25.37,24.87,25.29,6.331
2014-01-31,24.69,25.06,24.51,24.82,9.444
2014-02-03,24.77,24.99,23.56,23.65,14.9
2014-02-04,23.78,24.33,23.72,24.13,9.013
2014-02-05,24.02,24.1,23.73,23.86,11.444
2014-02-06,23.94,24.46,23.85,24.44,5.914
2014-02-07,24.56,24.89,24.16,24.6,7.696
2014-02-10,24.54,24.81,24.47,24.76,3.266
2014-02-11,24.82,25.56,24.73,25.41,7.612
2014-02-12,25.41,25.82,25.41,25.57,6.446
2014-02-13,25.41,25.82,25.23,25.8,5.434
2014-02-14,25.78,25.78,25.43,25.45,6.102
2014-02-18,25.45,26.23,25.44,26.12,6.721
2014-02-19,25.99,26.16,25.51,25.56,8.035
2014-02-20,25.59,26.23,25.43,26.12,7.571
2014-02-21,26.19,26.45,26.03,26.25,7.362
2014-02-24,26.25,26.7,26.14,26.53,5.814
2014-02-25,26.62,26.62,26.19,26.26,5.133
2014-02-26,26.38,26.44,26.16,26.37,8.543
2014-02-27,26.28,26.48,26.08,26.42,5.69
2014-02-28,26.41,26.73,26.22,26.51,7.215
2014-03-03,26.13,26.15,25.78,25.86,8.284
2014-03-04,26.22,27.05,26.17,26.82,10.699
2014-03-05,26.86,26.98,26.66,26.93,7.663
2014-03-06,27.03,27.21,26.9,26.94,11.975
2014-03-07,27.15,27.31,26.79,27.0,9.253
2014-03-10,26.97,27.27,26.81,27.15,5.516
2014-03-11,27.21,27.25,26.78,26.85,5.689
2014-03-12,26.46,26.7,26.28,26.66,6.222
2014-03-13,26.8,27.07,26.23,26.35,6.578
2014-03-14,26.37,26.42,25.8,26.05,7.037
2014-03-17,26.27,26.66,26.27,26.51,4.539
2014-03-18,26.58,26.77,26.5,26.72,4.233
2014-03-19,26.75,27.75,26.58,27.58,18.778
2014-03-20,27.47,28.5,27.47,28.43,14.528
2014-03-21,28.85,29.13,28.1,28.53,17.799
2014-03-24,28.53,28.7,28.16,28.43,6.558
2014-03-25,28.49,28.57,27.58,27.83,10.762
2014-03-26,28.06,28.34,27.78,27.79,8.123
2014-03-27,27.71,27.94,27.03,27.16,7.582
2014-03-28,27.25,27.49,27.03,27.19,5.686
2014-03-31,27.43,27.49,27.15,27.33,7.189
2014-04-01,27.42,27.72,27.41,27.45,9.194
2014-04-02,27.51,27.96,27.31,27.9,9.824
2014-04-03,27.94,28.04,27.36,27.37,14.086
2014-04-04,27.6,27.62,25.84,26.05,13.587
2014-04-07,25.93,26.29,25.56,25.6,12.53
2014-04-08,25.65,25.9,25.41,25.67,10.194
2014-04-09,25.78,26.44,25.66,26.41,12.946
2014-04-10,26.37,26.43,25.1,25.14,12.095
2014-04-11,24.89,25.24,24.59,24.85,8.652
2014-04-14,25.38,25.6,24.9,25.3,8.455
2014-04-15,26.32,26.41,25.42,26.11,13.436
2014-04-16,26.61,26.87,26.15,26.84,10.653
2014-04-17,26.89,27.17,26.67,27.04,7.389
2014-04-21,27.02,27.19,26.65,27.17,6.008
2014-04-22,27.2,27.56,27.03,27.46,6.806
2014-04-23,27.39,27.47,26.94,27.24,4.002
2014-04-24,27.53,27.53,26.89,27.09,6.327
2014-04-25,26.94,27.07,26.73,26.85,6.756
2014-04-28,26.97,27.18,26.11,26.37,9.037
2014-04-29,26.57,26.72,26.27,26.58,5.112
