Date,Open,High,Low,Close,Volume
2014-01-02,3.46,3.52,3.45,3.5,34.734
2014-01-03,3.59,3.64,3.54,3.57,56.268
2014-01-06,3.84,3.86,3.75,3.83,405.676
2014-01-07,3.86,3.87,3.81,3.86,194.397
2014-01-08,3.86,3.89,3.76,3.77,152.056
2014-01-09,3.76,3.83,3.74,3.79,100.439
2014-01-10,3.82,3.82,3.69,3.7,201.482
2014-01-13,3.76,3.76,3.65,3.67,110.845
2014-01-14,3.68,3.7,3.64,3.67,104.8
2014-01-15,3.68,3.7,3.65,3.69,61.238
2014-01-16,3.68,3.72,3.67,3.67,47.65
2014-01-17,3.67,3.73,3.67,3.72,55.527
2014-01-21,3.75,3.75,3.69,3.71,35.948
2014-01-22,3.72,3.74,3.69,3.74,33.268
2014-01-23,3.71,3.72,3.69,3.72,30.695
2014-01-24,3.7,3.7,3.62,3.64,59.173
2014-01-27,3.65,3.66,3.58,3.66,54.981
2014-01-28,3.65,3.67,3.6,3.63,68.146
2014-01-29,3.59,3.66,3.57,3.59,68.263
2014-01-30,3.6,3.63,3.58,3.6,42.458
2014-01-31,3.55,3.6,3.52,3.58,32.773
2014-02-03,3.59,3.62,3.47,3.55,77.593
2014-02-04,3.5,3.55,3.46,3.52,64.691
2014-02-05,3.48,3.5,3.35,3.43,118.877
2014-02-06,3.42,3.48,3.42,3.45,50.592
2014-02-07,3.46,3.5,3.44,3.49,42.505
2014-02-10,3.48,3.51,3.47,3.49,38.481
2014-02-11,3.5,3.58,3.49,3.57,52.015
2014-02-12,3.59,3.61,3.52,3.56,29.244
2014-02-13,3.42,3.54,3.42,3.51,143.285
2014-02-14,3.5,3.57,3.49,3.56,49.263
2014-02-18,3.56,3.58,3.55,3.58,18.755
2014-02-19,3.56,3.58,3.55,3.57,39.25
2014-02-20,3.56,3.61,3.55,3.6,41.19
2014-02-21,3.61,3.61,3.57,3.61,29.326
2014-02-24,3.61,3.62,3.57,3.59,48.425
2014-02-25,3.59,3.61,3.56,3.58,28.739
2014-02-26,3.59,3.59,3.56,3.57,28.302
2014-02-27,3.56,3.62,3.56,3.61,34.263
2014-02-28,3.62,3.63,3.6,3.61,31.888
2014-03-03,3.59,3.61,3.56,3.57,22.844
2014-03-04,3.59,3.63,3.57,3.59,46.844
2014-03-05,3.61,3.63,3.55,3.55,89.016
2014-03-06,3.55,3.58,3.51,3.56,46.961
2014-03-07,3.59,3.6,3.51,3.51,26.457
2014-03-10,3.51,3.53,3.45,3.47,61.43
2014-03-11,3.49,3.5,3.43,3.43,38.91
2014-03-12,3.43,3.45,3.37,3.39,84.507
2014-03-13,3.41,3.43,3.36,3.37,46.92
2014-03-14,3.36,3.52,3.35,3.44,299.952
2014-03-17,3.49,3.49,3.39,3.42,50.085
2014-03-18,3.43,3.44,3.38,3.39,54.985
2014-03-19,3.39,3.44,3.38,3.4,58.992
2014-03-20,3.4,3.4,3.36,3.36,44.942
2014-03-21,3.38,3.4,3.35,3.35,66.182
2014-03-24,3.36,3.36,3.22,3.26,136.029
2014-03-25,3.27,3.3,3.09,3.17,182.433
2014-03-26,3.22,3.25,3.15,3.16,97.462
2014-03-27,3.15,3.2,3.09,3.13,78.457
2014-03-28,3.16,3.21,3.15,3.16,52.81
2014-03-31,3.18,3.21,3.15,3.2,67.069
2014-04-01,3.2,3.24,3.19,3.24,64.987
2014-04-02,3.27,3.36,3.26,3.34,167.444
2014-04-03,3.36,3.4,3.26,3.28,76.572
2014-04-04,3.32,3.34,3.2,3.2,62.757
