Date,Open,High,Low,Close,Volume
2014-01-02,103.64,103.65,101.83,102.03,0.879
2014-01-03,102.05,102.32,101.37,101.51,0.621
2014-01-06,101.97,101.99,100.61,100.9,0.776
2014-01-07,102.12,102.47,101.26,101.52,0.818
2014-01-08,101.29,101.29,97.89,98.17,1.424
2014-01-09,98.15,98.3,97.67,97.98,1.168
2014-01-10,98.0,98.72,97.7,98.42,0.908
2014-01-13,98.33,98.99,97.12,97.39,1.055
2014-01-14,97.52,99.52,97.42,99.34,0.972
2014-01-15,99.34,99.88,98.39,98.69,0.907
2014-01-16,98.69,98.99,98.11,98.55,0.624
2014-01-17,98.59,98.6,97.07,97.2,0.668
2014-01-21,97.8,97.93,96.37,97.2,0.875
2014-01-22,97.61,98.86,97.42,98.45,0.832
2014-01-23,98.03,98.42,97.6,98.08,0.717
2014-01-24,97.86,98.78,97.19,97.97,1.074
2014-01-27,98.05,99.33,97.81,98.63,0.998
2014-01-28,98.51,99.68,98.43,99.31,0.931
2014-01-29,98.14,98.42,96.6,97.11,1.082
2014-01-30,97.66,98.17,97.3,97.86,0.567
2014-01-31,96.62,97.76,96.3,96.39,0.933
2014-02-03,96.39,96.5,93.78,93.93,1.12
2014-02-04,94.24,94.59,93.36,93.71,0.746
2014-02-05,93.11,93.29,91.94,92.82,1.106
2014-02-06,93.39,93.8,93.17,93.59,0.599
2014-02-07,93.77,94.3,93.02,93.37,0.875
2014-02-10,93.21,94.33,93.08,93.7,0.902
2014-02-11,93.91,94.51,93.14,94.03,1.648
2014-02-12,93.37,93.9,92.63,93.71,1.2
2014-02-13,93.37,95.24,93.21,95.14,1.261
2014-02-14,91.2,92.24,87.1,91.81,4.272
2014-02-18,92.76,96.07,92.61,95.31,1.869
2014-02-19,95.31,96.35,94.87,95.55,1.5
2014-02-20,96.31,98.58,95.91,98.28,2.207
2014-02-21,98.29,98.61,97.67,97.94,1.618
2014-02-24,98.27,99.38,98.12,98.7,1.137
2014-02-25,98.55,99.99,98.51,99.01,1.109
2014-02-26,98.94,99.65,98.56,98.61,1.154
2014-02-27,98.51,99.78,98.47,99.64,1.072
2014-02-28,99.56,100.89,99.44,100.01,1.185
2014-03-03,99.09,99.9,98.64,99.05,1.245
2014-03-04,99.99,100.61,99.02,99.27,1.155
2014-03-05,99.16,99.34,98.25,98.43,0.724
2014-03-06,98.37,98.66,97.56,97.63,0.795
2014-03-07,98.09,98.09,96.85,97.54,0.614
2014-03-10,97.33,97.68,96.8,97.21,0.463
2014-03-11,97.16,97.37,96.29,96.55,0.848
2014-03-12,96.11,98.02,96.08,97.98,0.763
2014-03-13,98.43,98.43,96.74,96.99,0.6
2014-03-14,96.26,96.86,96.08,96.18,1.053
2014-03-17,96.55,96.83,95.98,96.12,0.532
2014-03-18,96.11,97.97,96.02,97.72,0.806
2014-03-19,97.56,97.56,95.45,96.14,0.673
2014-03-20,95.69,96.78,95.38,96.7,0.625
2014-03-21,97.61,97.76,95.87,96.02,1.214
2014-03-24,96.46,97.15,95.88,96.21,0.664
2014-03-25,95.97,96.92,95.71,95.94,0.496
2014-03-26,96.12,96.61,95.48,95.93,0.457
2014-03-27,96.12,96.48,95.6,96.07,0.5
2014-03-28,96.6,96.83,96.22,96.48,0.344
2014-03-31,96.87,97.25,96.17,97.24,0.791
2014-04-01,97.28,97.49,96.51,97.14,0.742
2014-04-02,97.14,97.9,96.63,97.79,0.573
2014-04-03,97.48,98.03,97.17,97.9,0.469
2014-04-04,98.06,98.36,97.37,97.55,0.616
2014-04-07,97.45,98.55,97.45,97.9,0.891
2014-04-08,97.92,97.99,96.52,97.11,0.744
2014-04-09,97.25,97.37,96.73,97.23,0.6
2014-04-10,97.23,97.66,95.49,95.5,0.582
2014-04-11,95.0,96.0,94.12,94.33,0.771
2014-04-14,95.08,95.82,94.46,95.39,0.576
2014-04-15,95.76,95.76,94.48,95.08,0.483
2014-04-16,96.0,96.9,95.52,96.83,0.522
2014-04-17,96.58,96.86,96.15,96.7,0.429
2014-04-21,96.74,96.87,96.03,96.73,0.307
2014-04-22,96.81,97.1,96.53,96.93,0.443
2014-04-23,96.84,97.11,96.35,96.42,0.397
2014-04-24,96.54,97.07,95.87,96.99,0.613
2014-04-25,96.86,97.02,95.83,96.02,0.406
2014-04-28,96.17,97.58,96.04,97.46,0.584
2014-04-29,97.62,97.94,96.66,96.73,0.508
2014-04-30,96.65,96.95,96.07,96.68,0.58
2014-05-01,96.8,97.23,95.89,97.17,0.455
2014-05-02,97.29,97.34,96.56,96.94,0.305
2014-05-05,96.54,97.22,96.05,97.2,0.333
2014-05-06,97.05,97.23,96.37,96.45,0.403
2014-05-07,96.84,98.66,96.84,98.61,0.784
2014-05-08,98.62,100.13,98.58,99.19,0.709
2014-05-09,99.06,100.17,98.65,100.15,0.54
2014-05-12,100.4,100.66,99.74,100.61,0.629
2014-05-13,100.57,100.57,99.6,100.4,0.451
2014-05-14,100.11,100.11,98.57,98.59,0.539
2014-05-15,98.31,98.58,97.3,97.51,0.484
2014-05-16,97.63,98.59,97.5,98.56,0.459
2014-05-19,98.32,98.54,98.02,98.28,0.401
2014-05-20,98.09,98.49,97.91,98.07,0.534
2014-05-21,98.27,99.13,97.84,99.05,0.556
2014-05-22,98.8,98.97,97.99,98.75,0.389
2014-05-23,98.73,99.28,98.49,99.12,0.25
2014-05-27,99.53,100.62,99.53,100.44,0.524
2014-05-28,100.27,100.72,99.96,100.62,0.563
2014-05-29,101.07,103.09,101.07,103.0,1.085
2014-05-30,102.68,103.21,102.26,102.6,1.013
2014-06-02,102.69,102.83,102.16,102.47,0.539
2014-06-03,102.45,102.95,102.12,102.94,0.658
2014-06-04,102.69,103.18,102.36,102.83,0.95
2014-06-05,102.95,105.42,102.85,104.31,0.932
2014-06-06,104.31,105.7,104.11,105.69,0.654
2014-06-09,105.94,106.68,104.85,105.66,0.752
2014-06-10,105.2,105.39,104.68,105.1,0.454
2014-06-11,104.98,105.58,104.6,104.8,0.579
2014-06-12,104.65,105.17,104.26,104.93,0.527
2014-06-13,104.8,105.26,104.02,105.24,0.593
2014-06-16,104.74,105.88,104.63,105.83,0.642
2014-06-17,105.33,106.54,104.89,106.1,0.681
2014-06-18,105.32,106.65,105.21,106.63,0.59
2014-06-19,106.72,106.98,105.62,106.6,0.64
2014-06-20,107.26,107.26,106.05,106.46,0.884
2014-06-23,106.5,106.75,106.06,106.71,0.718
2014-06-24,106.34,106.64,105.9,106.34,0.47
2014-06-25,105.47,106.11,105.21,105.79,0.694
