Date,Open,High,Low,Close,Volume
2014-01-02,89.48,90.12,88.61,88.82,4.958
2014-01-03,88.94,89.35,88.21,88.35,4.212
2014-01-06,88.88,88.92,87.3,88.02,6.37
2014-01-07,88.05,88.46,86.77,87.51,6.424
2014-01-08,87.36,87.66,86.38,86.98,8.527
2014-01-09,87.52,87.65,86.05,86.48,6.559
2014-01-10,86.08,88.2,85.77,88.17,8.417
2014-01-13,88.4,88.54,87.29,87.46,6.824
2014-01-14,87.91,88.93,87.37,88.87,5.524
2014-01-15,88.91,89.3,87.9,88.89,6.805
2014-01-16,88.88,89.39,88.14,88.61,6.931
2014-01-17,89.81,90.41,88.0,90.21,11.924
2014-01-21,91.2,92.11,90.38,91.09,8.312
2014-01-22,91.32,91.36,90.28,91.21,5.124
2014-01-23,90.64,91.19,89.98,90.26,6.604
2014-01-24,89.23,89.34,87.82,88.15,8.402
2014-01-27,88.3,88.62,86.9,87.91,6.073
2014-01-28,88.22,88.52,87.19,87.76,4.678
2014-01-29,87.08,87.52,86.43,87.3,6.662
2014-01-30,87.9,89.49,87.89,88.81,5.614
2014-01-31,87.87,88.59,87.3,87.57,6.338
2014-02-03,87.8,88.0,85.89,86.23,7.207
2014-02-04,86.35,87.83,86.21,87.19,6.288
2014-02-05,87.15,87.64,86.0,86.16,6.651
2014-02-06,86.55,88.77,86.49,88.51,5.384
2014-02-07,88.99,89.74,88.33,89.5,5.985
2014-02-10,89.46,89.48,88.39,89.04,5.187
2014-02-11,89.03,90.65,89.01,90.37,5.925
2014-02-12,90.42,91.06,89.96,90.03,4.285
2014-02-13,89.55,90.71,89.15,90.26,5.061
2014-02-14,90.06,91.19,89.95,90.45,4.662
2014-02-18,90.46,90.77,89.7,90.63,5.336
2014-02-19,90.28,91.68,90.28,90.48,5.99
2014-02-20,90.41,91.13,90.3,91.03,4.917
2014-02-21,91.25,91.48,90.06,90.07,6.323
2014-02-24,90.42,93.67,90.39,92.72,8.869
2014-02-25,92.24,92.75,91.44,92.56,5.254
2014-02-26,93.29,93.47,92.11,92.35,4.338
2014-02-27,91.98,92.7,91.48,92.57,3.947
2014-02-28,93.17,93.84,92.67,93.0,5.967
2014-03-03,92.26,92.88,90.6,91.26,7.741
2014-03-04,92.5,93.01,91.88,92.49,6.768
2014-03-05,92.14,92.6,91.58,92.01,3.996
2014-03-06,92.23,93.06,91.89,92.75,4.612
2014-03-07,93.23,93.35,92.5,92.98,4.69
2014-03-10,92.67,93.0,92.06,92.87,3.302
2014-03-11,93.28,93.62,91.56,91.95,5.302
2014-03-12,91.19,91.41,90.39,91.17,4.993
2014-03-13,91.57,91.73,89.6,90.27,6.466
2014-03-14,90.21,90.59,88.88,89.09,7.657
2014-03-17,89.15,89.97,89.15,89.78,8.925
2014-03-18,90.2,90.99,89.95,90.5,4.377
2014-03-19,90.58,91.1,89.86,90.36,4.16
2014-03-20,90.35,91.44,89.91,91.11,4.29
2014-03-21,91.91,93.4,90.95,92.67,11.149
2014-03-24,93.1,94.8,93.02,93.23,7.382
2014-03-25,94.49,95.88,94.41,95.56,9.652
2014-03-26,95.84,96.43,95.36,95.43,6.516
