Date,Open,High,Low,Close,Volume
2014-01-02,109.28,109.67,108.14,108.55,0.252
2014-01-03,108.73,109.29,108.47,108.76,0.155
2014-01-06,109.07,109.57,107.27,107.63,0.151
2014-01-07,108.19,108.36,107.42,107.88,0.164
2014-01-08,107.83,108.18,107.0,107.76,0.188
2014-01-09,108.09,108.49,107.11,107.5,0.26
2014-01-10,108.15,108.3,107.13,107.53,0.23
2014-01-13,106.99,107.8,105.67,105.99,0.206
2014-01-14,106.31,107.93,106.09,107.91,0.164
2014-01-15,107.99,108.3,107.65,107.98,0.152
2014-01-16,107.51,108.52,107.51,107.9,0.191
2014-01-17,108.01,108.4,107.32,107.67,0.209
2014-01-21,108.12,108.41,105.79,105.99,0.302
2014-01-22,106.08,106.27,105.38,105.49,0.287
2014-01-23,105.01,105.33,103.53,103.81,0.349
2014-01-24,102.73,103.17,100.0,100.01,0.546
2014-01-27,100.3,100.33,98.48,99.42,0.463
2014-01-28,99.6,100.42,98.6,100.33,0.37
2014-01-29,99.31,100.65,99.17,100.07,0.392
2014-01-30,100.9,101.38,100.14,100.73,0.297
2014-01-31,99.23,101.38,99.15,100.15,0.402
2014-02-03,99.67,100.55,96.93,97.23,0.668
2014-02-04,97.5,98.65,96.24,98.08,0.454
2014-02-05,97.77,98.6,96.76,97.56,0.437
2014-02-06,100.1,105.24,100.1,105.13,0.784
2014-02-07,106.19,108.79,105.32,108.66,0.656
2014-02-10,107.53,108.19,106.31,107.7,0.65
2014-02-11,107.45,109.73,107.05,109.15,0.64
2014-02-12,109.5,109.89,108.88,109.01,0.425
2014-02-13,108.03,109.52,107.7,109.43,0.291
2014-02-14,108.69,109.9,108.47,109.57,0.306
2014-02-18,109.43,109.89,108.9,109.41,0.296
2014-02-19,109.25,110.12,108.33,108.43,0.27
2014-02-20,108.36,109.26,107.82,108.99,0.268
2014-02-21,109.29,109.45,108.62,108.77,0.237
2014-02-24,109.07,109.97,108.5,109.27,0.4
2014-02-25,109.04,109.61,108.27,108.52,0.294
2014-02-26,108.85,110.54,108.84,109.68,0.433
2014-02-27,109.56,111.3,109.44,111.09,0.385
2014-02-28,111.25,112.61,110.83,112.17,0.453
2014-03-03,110.62,112.0,110.2,111.55,0.376
2014-03-04,113.05,113.59,112.41,112.9,0.392
2014-03-05,112.87,113.25,112.44,112.85,0.253
2014-03-06,113.08,113.78,112.77,113.42,0.232
2014-03-07,113.91,114.37,113.48,114.18,0.2
2014-03-10,113.84,113.92,112.64,113.19,0.166
2014-03-11,113.64,114.07,112.31,112.6,0.227
2014-03-12,111.55,112.37,111.38,111.95,0.186
2014-03-13,112.55,112.57,109.91,110.17,0.223
2014-03-14,110.17,111.55,110.17,111.06,0.202
2014-03-17,111.67,112.65,111.23,111.68,0.157
2014-03-18,111.74,112.86,111.74,112.77,0.185
2014-03-19,112.64,113.34,111.72,112.11,0.273
2014-03-20,111.7,112.5,111.34,112.45,0.152
2014-03-21,113.32,115.29,112.48,112.48,0.731
2014-03-24,112.76,113.7,109.95,110.5,0.308
2014-03-25,111.38,113.02,110.97,112.98,0.316
2014-03-26,113.78,114.34,111.0,111.04,0.384
2014-03-27,110.55,110.86,109.55,110.39,0.192
2014-03-28,110.82,112.73,110.24,112.2,0.208
2014-03-31,113.51,115.51,112.73,113.48,0.334
2014-04-01,113.88,114.04,113.15,113.95,0.297
2014-04-02,114.14,114.68,113.37,113.54,0.329
2014-04-03,114.18,114.37,113.16,113.8,0.257
2014-04-04,114.71,115.26,111.67,111.8,0.274
2014-04-07,111.79,111.87,109.15,109.88,0.34
2014-04-08,109.83,110.74,108.82,110.33,0.298
2014-04-09,110.68,112.32,110.4,112.23,0.193
2014-04-10,112.11,112.41,109.78,110.01,0.235
2014-04-11,109.55,110.38,109.33,109.36,0.231
2014-04-14,110.32,110.43,109.21,109.89,0.237
2014-04-15,109.92,110.89,108.94,110.53,0.252
2014-04-16,111.27,112.61,111.17,112.56,0.23
2014-04-17,113.75,116.17,112.82,115.94,0.404
2014-04-21,115.75,116.61,114.78,116.37,0.338
2014-04-22,116.84,117.52,116.27,117.0,0.312
2014-04-23,116.84,117.89,116.63,116.91,0.262
2014-04-24,117.64,117.75,116.24,117.06,0.308
2014-04-25,116.61,116.84,115.21,115.47,0.259
2014-04-28,116.34,116.57,113.47,115.08,0.409
2014-04-29,115.83,115.92,114.25,115.0,0.391
2014-04-30,115.09,116.55,114.64,116.0,0.34
2014-05-01,115.84,116.17,114.99,116.01,0.46
2014-05-02,115.96,116.9,115.3,115.37,0.33
2014-05-05,115.5,116.7,115.46,116.01,0.331
2014-05-06,115.61,116.48,115.11,115.27,0.396
2014-05-07,115.47,116.18,114.56,115.76,0.375
2014-05-08,115.77,116.68,114.96,115.29,0.325
2014-05-09,115.11,115.28,113.7,114.79,0.434
2014-05-12,115.49,116.97,115.48,116.68,0.284
2014-05-13,117.03,117.35,116.17,116.3,0.337
2014-05-14,116.37,116.39,115.26,115.53,0.222
2014-05-15,115.12,115.12,112.71,113.96,0.357
2014-05-16,116.84,116.92,113.47,114.96,0.383
2014-05-19,114.34,115.79,114.14,115.52,0.217
2014-05-20,115.86,115.93,112.63,113.25,0.26
2014-05-21,113.61,115.6,113.26,115.3,0.349
2014-05-22,115.31,115.86,114.78,114.85,0.203
2014-05-23,114.89,115.95,114.49,115.83,0.193
2014-05-27,116.07,117.18,116.02,116.32,0.206
