Date,Open,High,Low,Close,Volume
2014-01-02,41.13,41.13,40.59,40.69,5.512
2014-01-03,40.67,40.76,40.27,40.47,4.198
2014-01-06,40.55,40.69,40.28,40.4,4.527
2014-01-07,40.48,40.78,40.42,40.76,4.706
2014-01-08,40.72,40.78,40.3,40.4,4.268
2014-01-09,40.5,40.64,40.29,40.62,3.899
2014-01-10,40.79,41.69,40.65,41.39,6.171
2014-01-13,41.36,41.48,41.18,41.27,4.845
2014-01-14,41.32,41.43,41.07,41.1,5.058
2014-01-15,41.12,41.22,40.96,41.08,3.803
2014-01-16,41.08,41.25,40.93,41.24,3.273
2014-01-17,41.26,41.37,41.09,41.16,3.314
2014-01-21,41.35,41.68,41.33,41.65,3.515
2014-01-22,41.62,41.8,41.54,41.6,2.76
2014-01-23,41.46,41.56,41.27,41.43,4.226
2014-01-24,41.34,41.82,41.17,41.22,6.492
2014-01-27,41.25,41.48,41.1,41.25,6.051
2014-01-28,41.3,41.41,41.05,41.25,5.49
2014-01-29,41.48,41.87,40.5,40.89,11.949
2014-01-30,40.36,40.92,40.3,40.89,5.008
2014-01-31,40.77,41.38,40.55,41.24,7.338
2014-02-03,41.28,41.96,41.11,41.25,8.761
2014-02-04,41.38,41.38,40.79,41.0,5.192
2014-02-05,40.9,41.05,40.76,40.82,3.812
2014-02-06,40.83,41.06,40.7,40.91,3.104
2014-02-07,41.05,41.3,40.95,41.1,4.295
2014-02-10,41.0,41.43,40.89,41.28,2.841
2014-02-11,41.28,41.77,41.27,41.69,3.454
2014-02-12,41.65,41.75,41.45,41.61,2.473
2014-02-13,41.53,42.31,41.5,42.23,4.589
2014-02-14,42.13,42.55,42.05,42.52,3.178
2014-02-18,42.49,42.72,42.44,42.54,3.396
2014-02-19,42.43,42.7,42.1,42.17,2.899
2014-02-20,42.24,42.58,42.06,42.4,2.924
2014-02-21,42.43,42.74,42.3,42.35,3.286
2014-02-24,42.38,42.7,42.1,42.12,3.582
2014-02-25,42.13,42.5,42.03,42.17,3.228
2014-02-26,42.29,42.31,41.99,42.0,2.756
2014-02-27,41.98,42.13,41.67,42.01,3.689
2014-02-28,42.04,42.41,41.92,42.35,4.81
2014-03-03,42.22,42.5,42.03,42.05,3.505
2014-03-04,42.32,42.44,42.17,42.33,4.069
2014-03-05,42.34,42.51,42.16,42.22,3.43
2014-03-06,42.41,42.48,41.86,42.04,3.667
2014-03-07,41.91,42.13,41.59,42.1,3.858
2014-03-10,42.09,42.33,41.91,42.16,3.896
2014-03-11,42.24,42.28,41.9,42.05,2.749
2014-03-12,42.0,42.64,41.99,42.63,3.778
2014-03-13,42.7,43.29,42.63,43.16,5.032
2014-03-14,43.12,43.65,43.01,43.49,5.979
2014-03-17,43.55,43.7,43.35,43.52,3.866
2014-03-18,43.58,43.65,43.35,43.45,2.893
2014-03-19,43.44,43.55,42.54,42.79,5.774
2014-03-20,42.66,42.79,42.19,42.79,4.829
2014-03-21,42.9,43.28,42.81,42.92,7.029
2014-03-24,42.96,43.24,42.95,43.18,2.943
2014-03-25,43.25,43.5,42.98,43.43,3.121
2014-03-26,43.47,43.55,43.15,43.15,4.589
2014-03-27,43.05,43.44,42.95,43.4,6.179
2014-03-28,43.4,43.45,43.17,43.37,3.256
2014-03-31,43.55,44.0,43.5,43.94,4.633
2014-04-01,43.88,43.91,43.47,43.5,3.818
2014-04-02,43.52,43.57,43.18,43.29,4.237
2014-04-03,43.38,43.52,43.2,43.31,3.691
2014-04-04,43.49,44.09,43.4,43.7,5.013
2014-04-07,43.66,44.34,43.56,44.21,6.346
2014-04-08,44.17,44.73,43.83,44.71,5.82
2014-04-09,44.66,44.66,43.92,44.37,4.493
2014-04-10,44.39,44.75,44.19,44.3,3.988
2014-04-11,44.3,44.74,44.27,44.57,4.596
2014-04-14,44.69,44.82,44.46,44.65,3.607
2014-04-15,44.72,45.56,44.72,45.25,7.221
2014-04-16,45.36,45.83,45.29,45.82,4.996
2014-04-17,45.37,45.7,45.02,45.12,4.944
2014-04-21,45.16,45.43,44.84,45.16,3.822
2014-04-22,45.25,45.4,45.03,45.34,4.151
2014-04-23,45.44,45.61,45.16,45.22,3.459
2014-04-24,45.15,45.7,44.97,45.68,4.305
2014-04-25,45.69,46.32,45.69,46.26,5.438
2014-04-28,46.27,46.7,46.24,46.68,8.448
2014-04-29,46.62,46.81,46.26,46.36,6.164
2014-04-30,46.5,46.79,45.65,45.83,8.738
2014-05-01,45.1,45.45,44.87,45.22,5.998
2014-05-02,45.01,45.15,44.05,44.18,7.54
2014-05-05,44.16,44.51,44.06,44.49,4.846
2014-05-06,44.43,44.58,44.29,44.35,2.9
2014-05-07,44.41,45.0,44.4,44.86,5.183
2014-05-08,44.89,44.92,44.15,44.2,5.38
2014-05-09,44.15,44.47,43.65,43.67,6.578
2014-05-12,43.77,43.82,43.2,43.26,4.941
2014-05-13,43.42,43.67,43.08,43.31,4.464
2014-05-14,43.36,44.0,43.32,43.73,4.692
2014-05-15,43.65,44.04,43.43,43.44,4.268
2014-05-16,43.35,43.66,43.27,43.51,4.053
2014-05-19,43.46,43.5,42.81,42.82,4.718
2014-05-20,42.89,43.15,42.55,42.77,3.485
2014-05-21,42.88,42.93,42.64,42.84,2.638
