Date,Open,High,Low,Close,Volume
2014-01-02,44.78,44.83,44.06,44.22,2.654
2014-01-03,44.21,44.58,44.06,44.4,2.354
2014-01-06,43.51,44.62,43.37,44.58,3.228
2014-01-07,44.56,45.31,44.56,45.25,2.945
2014-01-08,45.18,45.32,44.78,44.87,4.276
2014-01-09,44.96,45.17,44.88,45.17,2.551
2014-01-10,45.46,46.49,45.44,45.97,2.699
2014-01-13,45.78,46.08,45.33,45.43,1.746
2014-01-14,45.45,45.85,45.26,45.83,1.992
2014-01-15,45.94,46.38,45.89,46.0,2.974
2014-01-16,46.03,46.1,45.66,46.07,1.344
2014-01-17,46.17,46.22,45.87,45.97,1.302
2014-01-21,46.14,46.49,45.89,46.47,1.402
2014-01-22,46.4,46.76,46.33,46.4,1.762
2014-01-23,46.22,46.3,45.75,46.1,1.624
2014-01-24,45.74,46.1,45.13,45.14,2.98
2014-01-27,45.26,45.42,44.97,45.03,2.434
2014-01-28,45.1,45.4,44.97,45.1,2.969
2014-01-29,44.97,45.26,44.97,45.11,4.165
2014-01-30,45.35,45.9,45.26,45.75,1.937
2014-01-31,45.42,46.47,45.35,46.35,3.913
2014-02-03,46.44,47.22,45.85,45.97,3.028
2014-02-04,46.17,46.17,45.42,45.58,2.629
2014-02-05,45.35,45.42,45.03,45.24,2.998
2014-02-06,45.19,45.72,44.94,45.62,2.109
2014-02-07,45.78,46.3,45.43,46.12,2.009
2014-02-10,46.01,46.44,45.77,46.34,2.425
2014-02-11,46.34,47.17,46.31,46.75,4.936
2014-02-12,46.46,46.72,46.06,46.22,5.207
2014-02-13,46.01,46.47,45.89,46.45,3.313
2014-02-14,46.47,46.6,46.17,46.58,2.006
2014-02-18,46.61,46.94,46.61,46.71,2.124
2014-02-19,46.72,47.27,46.31,46.31,2.846
2014-02-20,46.4,46.72,46.22,46.47,1.922
2014-02-21,46.59,46.88,46.48,46.5,2.303
2014-02-24,46.62,47.12,46.28,46.28,2.206
2014-02-25,46.4,46.97,46.27,46.54,2.249
2014-02-26,46.58,46.81,45.51,46.15,2.824
2014-02-27,46.28,47.92,46.0,47.05,5.585
2014-02-28,47.13,47.38,46.94,47.24,2.114
2014-03-03,47.06,47.38,46.97,47.04,2.188
2014-03-04,47.41,47.61,47.24,47.47,1.866
2014-03-05,47.18,47.3,46.69,46.83,2.237
2014-03-06,47.02,47.08,46.69,46.81,2.056
2014-03-07,46.72,46.84,46.4,46.83,1.761
2014-03-10,46.66,47.09,46.54,47.08,2.619
2014-03-11,47.08,47.19,46.5,46.98,2.769
2014-03-12,46.81,47.31,46.8,47.29,1.72
2014-03-13,47.33,48.1,47.31,47.77,3.483
2014-03-14,47.72,48.25,47.62,47.96,4.745
2014-03-17,48.04,48.36,47.83,48.19,1.643
2014-03-18,48.19,48.24,47.88,48.22,2.244
2014-03-19,48.22,48.49,47.62,47.83,3.499
2014-03-20,47.65,48.11,47.28,48.08,2.783
2014-03-21,48.51,48.74,48.08,48.15,2.65
2014-03-24,48.24,48.71,47.85,48.07,2.54
2014-03-25,47.88,48.17,47.72,48.06,2.315
2014-03-26,48.35,48.6,47.92,47.96,2.997
2014-03-27,48.01,48.47,47.72,48.1,2.548
2014-03-28,48.1,48.12,47.47,47.88,2.388
2014-03-31,48.21,48.56,47.81,48.38,2.116
2014-04-01,48.38,48.4,47.77,48.23,2.191
2014-04-02,48.22,48.33,47.87,48.03,2.119
2014-04-03,48.19,48.31,47.97,48.04,1.995
2014-04-04,48.28,48.94,48.04,48.22,1.924
2014-04-07,48.17,48.31,47.76,47.78,2.702
2014-04-08,47.73,48.45,47.58,48.14,2.761
2014-04-09,48.21,48.46,47.74,48.41,2.01
2014-04-10,48.43,49.1,48.18,48.37,2.388
2014-04-11,48.31,48.77,48.1,48.21,3.58
2014-04-14,48.61,48.62,48.15,48.31,3.185
2014-04-15,48.47,48.55,47.94,48.42,4.033
2014-04-16,48.53,49.26,48.37,49.18,3.26
2014-04-17,48.91,49.28,48.49,48.56,2.352
2014-04-21,48.56,48.81,48.28,48.45,1.519
2014-04-22,48.44,48.66,48.23,48.33,1.896
2014-04-23,48.44,48.9,48.38,48.49,2.653
2014-04-24,48.53,48.74,48.24,48.6,1.557
2014-04-25,48.65,49.37,48.65,49.33,2.217
2014-04-28,49.38,49.81,49.08,49.72,2.621
2014-04-29,49.72,49.9,49.19,49.35,2.018
2014-04-30,49.4,49.76,49.19,49.31,1.842
2014-05-01,49.32,49.58,48.94,49.36,1.643
2014-05-02,48.93,49.56,48.29,49.04,3.14
2014-05-05,48.99,49.55,48.81,49.3,1.737
2014-05-06,49.27,49.54,49.18,49.38,1.501
2014-05-07,49.47,50.24,49.38,50.21,2.151
2014-05-08,50.15,50.33,49.79,49.81,2.413
2014-05-09,49.74,49.81,49.15,49.17,2.611
2014-05-12,49.38,49.4,48.92,48.94,1.796
2014-05-13,49.13,49.31,48.71,48.85,1.634
2014-05-14,48.83,49.47,48.83,49.24,2.213
2014-05-15,49.31,49.44,48.85,48.92,1.61
2014-05-16,48.99,49.13,48.78,49.1,2.19
2014-05-19,49.13,49.17,48.53,48.54,1.625
2014-05-20,48.53,48.88,48.29,48.58,1.704
2014-05-21,48.74,49.21,48.62,49.08,2.22
2014-05-22,49.04,49.44,48.97,49.25,1.126
2014-05-23,49.25,49.74,49.09,49.57,1.465
2014-05-27,49.85,49.94,49.49,49.53,1.277
2014-05-28,49.56,49.88,49.53,49.85,1.446
2014-05-29,49.81,50.06,49.62,50.03,1.921
2014-05-30,49.93,50.35,49.93,50.17,2.352
2014-06-02,50.05,50.37,49.95,50.24,1.439
2014-06-03,50.17,50.31,50.01,50.26,1.373
2014-06-04,50.06,50.27,49.88,50.12,3.219
2014-06-05,50.12,50.68,50.01,50.56,1.589
2014-06-06,50.62,50.83,50.31,50.35,1.812
2014-06-09,50.49,50.99,50.33,50.51,1.867
2014-06-10,50.38,50.46,50.03,50.08,1.03
2014-06-11,49.99,50.02,49.34,49.6,2.051
2014-06-12,49.58,49.94,49.16,49.87,1.977
2014-06-13,49.88,50.56,49.64,50.56,2.879
2014-06-16,50.56,51.14,50.37,50.83,2.256
2014-06-17,50.6,50.76,50.35,50.71,1.726
2014-06-18,50.71,52.1,50.69,52.06,2.524
2014-06-19,52.06,52.62,51.82,52.33,2.816
2014-06-20,52.53,52.55,51.95,51.98,2.464
2014-06-23,52.09,52.22,51.67,51.84,1.089
2014-06-24,51.9,52.24,51.78,52.08,1.731
2014-06-25,52.0,52.49,51.97,52.36,1.279
2014-06-26,52.26,52.35,52.02,52.26,1.295
2014-06-27,51.75,52.18,51.39,52.01,2.065
2014-06-30,51.87,52.4,51.76,52.35,2.092
2014-07-01,52.26,52.3,51.72,51.75,1.568
2014-07-02,51.65,51.67,50.88,51.08,1.695
2014-07-03,50.92,50.93,50.22,50.37,1.55
2014-07-07,50.51,50.79,50.29,50.73,2.519
2014-07-08,50.65,51.19,50.65,50.99,2.235
2014-07-09,50.98,51.26,50.51,51.12,2.27
2014-07-10,50.96,51.4,50.96,51.22,1.182
2014-07-11,51.13,51.4,51.02,51.12,1.631
2014-07-14,51.15,51.38,50.56,50.58,1.683
2014-07-15,50.67,51.01,50.61,50.9,2.453
2014-07-16,51.1,51.21,50.56,51.12,1.7
2014-07-17,50.99,51.28,50.78,50.79,1.817
2014-07-18,51.04,51.29,50.67,51.26,1.675
2014-07-21,50.99,51.19,50.76,51.06,1.459
2014-07-22,51.11,51.17,50.94,51.11,1.501
2014-07-23,51.1,51.19,50.96,51.03,1.381
2014-07-24,51.18,51.42,50.82,51.04,1.936
2014-07-25,50.9,51.11,50.69,50.77,1.354
2014-07-28,50.74,51.64,50.72,51.54,1.564
2014-07-29,51.5,51.74,51.21,51.47,2.04
2014-07-30,51.53,51.75,50.53,50.71,1.83
2014-07-31,50.49,50.71,49.8,49.85,2.12
2014-08-01,49.77,50.31,49.72,49.88,1.898
2014-08-04,49.83,49.9,48.97,49.8,4.069
2014-08-05,49.56,49.8,48.76,48.9,2.419
2014-08-06,48.63,48.7,48.06,48.62,5.328
2014-08-07,48.88,50.4,48.65,49.76,4.411
2014-08-08,49.97,50.59,49.77,50.47,2.292
2014-08-11,50.5,50.92,50.4,50.47,1.501
2014-08-12,50.45,50.71,50.28,50.4,1.724
2014-08-13,50.4,50.78,50.39,50.62,0.992
2014-08-14,50.63,51.31,50.63,51.19,1.369
2014-08-15,51.44,51.86,51.33,51.52,2.374
2014-08-18,51.57,51.79,51.34,51.4,1.108
2014-08-19,51.45,51.97,51.4,51.96,1.188
2014-08-20,51.96,52.06,51.63,51.92,1.554
2014-08-21,51.69,52.31,51.69,52.01,1.236
2014-08-22,52.0,52.19,51.51,51.69,1.47
2014-08-25,52.1,52.1,51.64,51.81,1.519
2014-08-26,51.9,52.0,51.21,51.24,1.216
2014-08-27,51.44,52.02,51.22,51.97,1.702
2014-08-28,51.92,52.66,51.83,52.44,1.613
2014-08-29,52.38,53.04,52.38,52.99,1.837
2014-09-02,53.14,53.22,52.58,52.78,2.876
2014-09-03,52.89,53.26,52.81,53.03,1.214
2014-09-04,52.9,53.23,52.81,53.06,1.815
2014-09-05,53.04,53.69,53.04,53.68,1.294
2014-09-08,53.78,53.9,53.4,53.6,1.579
2014-09-09,53.33,53.44,52.78,52.85,1.523
2014-09-10,52.67,52.85,52.24,52.44,1.91
2014-09-11,52.47,53.02,52.22,52.99,1.307
2014-09-12,52.85,52.87,51.7,51.81,1.68
2014-09-15,51.92,52.33,51.85,52.15,1.275
2014-09-16,52.11,52.72,52.04,52.57,1.053
2014-09-17,53.03,53.34,52.44,52.67,2.97
2014-09-18,52.71,52.99,52.47,52.67,1.672
2014-09-19,52.97,53.05,52.67,53.0,2.588
2014-09-22,52.9,52.92,52.4,52.66,1.458
2014-09-23,52.12,52.31,52.01,52.08,1.327
2014-09-24,52.15,52.35,51.72,52.1,1.204
2014-09-25,52.1,52.38,51.58,51.62,1.845
2014-09-26,51.67,52.02,51.17,51.88,1.782
2014-09-29,51.67,52.47,51.58,52.42,1.838
2014-09-30,52.48,53.08,52.28,52.69,2.289
2014-10-01,52.76,53.08,52.4,52.53,2.256
2014-10-02,52.46,52.79,52.3,52.44,1.553
2014-10-03,52.69,53.47,52.27,53.39,2.018
2014-10-06,53.4,53.67,53.13,53.49,2.322
2014-10-07,53.42,53.64,53.14,53.18,1.982
2014-10-08,53.08,54.06,52.99,54.02,2.312
2014-10-09,54.06,54.33,52.81,52.85,2.948
2014-10-10,53.08,53.76,52.78,52.85,2.631
2014-10-13,52.81,53.15,51.19,51.33,4.602
2014-10-14,51.49,51.63,49.66,51.0,8.669
2014-10-15,50.71,50.9,49.17,50.12,5.426
2014-10-16,49.63,50.99,49.43,50.81,4.224
2014-10-17,51.04,51.78,50.98,51.68,2.476
2014-10-20,51.72,52.35,51.56,52.3,1.825
2014-10-21,52.55,52.97,52.38,52.91,2.176
2014-10-22,52.92,53.69,52.79,52.92,1.867
2014-10-23,53.4,53.71,53.1,53.32,1.909
2014-10-24,53.51,53.98,53.35,53.93,1.533
2014-10-27,53.95,54.2,53.62,53.88,1.645
2014-10-28,54.02,54.53,53.76,54.52,1.689
2014-10-29,54.46,54.85,53.72,54.26,1.449
2014-10-30,54.5,55.44,54.08,55.24,2.823
2014-10-31,55.49,55.68,54.88,55.0,2.674
2014-11-03,55.12,55.72,54.88,55.42,1.81
2014-11-04,55.38,55.94,54.92,55.45,1.745
2014-11-05,55.62,56.79,54.82,56.72,3.372
2014-11-06,56.62,57.25,55.85,56.42,3.409
2014-11-07,56.53,56.62,56.11,56.24,2.185
2014-11-10,56.19,56.46,56.1,56.3,2.926
2014-11-11,56.42,56.62,56.03,56.24,1.726
2014-11-12,55.67,55.92,54.88,55.33,2.409
2014-11-13,55.26,55.48,54.62,54.76,1.948
2014-11-14,54.58,54.81,54.29,54.33,2.329
2014-11-17,54.31,55.08,54.11,54.99,1.166
2014-11-18,54.98,55.56,54.76,55.24,1.216
2014-11-19,55.02,55.25,54.76,55.06,1.034
2014-11-20,54.85,55.32,54.64,55.13,1.061
2014-11-21,55.38,55.71,54.71,55.17,1.718
2014-11-24,55.19,55.49,55.03,55.08,2.498
2014-11-25,55.28,55.76,55.12,55.58,1.898
2014-11-26,55.5,56.04,55.5,55.83,1.231
2014-11-28,55.85,56.47,55.78,55.87,1.328
2014-12-01,55.69,55.81,54.6,54.63,3.91
2014-12-02,54.43,55.52,54.2,55.35,3.002
2014-12-03,55.27,55.49,55.12,55.38,1.937
2014-12-04,55.26,55.65,55.04,55.55,1.346
2014-12-05,55.02,55.51,54.87,55.08,1.877
2014-12-08,55.13,55.47,54.65,54.75,1.895
2014-12-09,54.58,55.2,54.38,54.9,2.209
2014-12-10,54.94,55.1,54.12,54.17,1.904
2014-12-11,54.65,55.35,54.55,54.72,2.44
2014-12-12,54.56,54.94,53.99,54.04,2.135
2014-12-15,53.55,54.28,52.76,53.06,3.473
2014-12-16,52.98,53.88,52.38,52.62,2.424
