Date,Open,High,Low,Close,Volume
2014-01-02,73.35,73.56,72.92,73.16,1.733
2014-01-03,73.17,74.99,73.17,74.7,2.06
2014-01-06,74.99,76.24,74.53,74.69,2.521
2014-01-07,75.19,75.66,74.92,75.24,1.522
2014-01-08,75.18,75.2,74.34,75.05,1.509
2014-01-09,75.39,75.66,74.83,75.35,1.299
2014-01-10,75.32,75.46,74.68,74.88,1.392
2014-01-13,74.8,74.89,72.79,72.93,2.043
2014-01-14,73.27,73.64,72.87,73.47,1.514
2014-01-15,73.73,74.46,73.42,74.32,2.085
2014-01-16,74.05,74.24,73.49,73.72,1.282
2014-01-17,73.75,74.61,73.38,73.5,2.354
2014-01-21,73.78,74.66,73.71,74.17,1.866
2014-01-22,74.43,75.34,74.43,75.15,1.868
2014-01-23,74.56,74.56,72.54,72.76,2.607
2014-01-24,67.82,70.6,66.66,69.52,5.337
2014-01-27,69.36,69.81,68.12,68.3,4.251
2014-01-28,69.53,69.53,68.15,68.88,3.583
2014-01-29,68.04,68.48,67.38,67.6,4.066
2014-01-30,68.34,68.65,68.03,68.24,3.082
2014-01-31,67.07,67.64,66.74,66.95,3.858
2014-02-03,66.94,67.24,64.49,64.6,5.548
2014-02-04,65.01,66.04,64.56,65.46,2.955
2014-02-05,65.4,65.67,64.3,64.34,3.961
2014-02-06,64.56,66.04,64.45,65.92,2.327
2014-02-07,66.34,68.3,66.3,68.23,3.716
2014-02-10,68.12,68.32,67.74,68.16,2.665
2014-02-11,68.14,69.07,67.88,68.75,1.651
2014-02-12,68.84,69.31,68.57,68.8,1.67
2014-02-13,68.15,68.92,68.03,68.5,2.54
2014-02-14,68.4,68.87,68.25,68.81,2.638
2014-02-18,67.92,68.44,67.92,68.22,3.031
2014-02-19,67.71,68.93,67.58,68.05,2.938
2014-02-20,68.13,68.22,67.03,67.82,1.868
2014-02-21,68.95,69.03,67.75,68.52,2.971
2014-02-24,67.19,69.73,67.06,69.07,2.34
2014-02-25,69.01,69.02,67.73,67.87,2.246
2014-02-26,67.99,68.46,67.27,67.41,3.216
2014-02-27,67.31,68.4,67.05,67.39,3.414
2014-02-28,65.37,66.53,65.37,65.67,7.47
2014-03-03,65.09,65.38,64.43,65.2,2.822
2014-03-04,65.97,66.78,65.93,66.41,2.621
2014-03-05,66.59,66.81,66.03,66.5,2.1
2014-03-06,66.89,68.16,66.63,67.73,3.307
2014-03-07,68.11,68.78,68.11,68.14,2.834
2014-03-10,68.05,68.45,67.97,68.2,1.427
2014-03-11,67.93,68.16,66.66,66.83,2.629
2014-03-12,66.2,66.62,65.97,66.16,2.357
2014-03-13,66.54,66.59,64.42,64.48,4.027
2014-03-14,64.5,65.13,64.21,64.73,2.164
2014-03-17,65.22,66.09,65.22,65.44,2.013
2014-03-18,65.45,65.84,65.16,65.34,2.288
