Date,Open,High,Low,Close,Volume
2014-01-02,55.93,55.93,55.08,55.41,3.024
2014-01-03,55.61,57.14,55.31,56.82,3.049
2014-01-06,56.74,57.57,56.55,56.95,3.258
2014-01-07,57.08,59.16,56.82,58.8,4.676
2014-01-08,58.78,60.8,58.71,59.63,4.52
2014-01-09,59.7,59.71,57.56,58.01,3.897
2014-01-10,58.35,58.68,57.7,58.39,2.045
2014-01-13,58.65,60.16,58.39,58.54,3.507
2014-01-14,59.0,60.5,58.56,60.33,3.113
2014-01-15,60.38,61.32,60.21,60.84,2.683
2014-01-16,61.01,61.1,60.41,60.66,2.213
2014-01-17,60.35,61.39,59.7,61.2,3.437
2014-01-21,62.1,62.76,61.04,61.24,2.87
2014-01-22,61.61,62.05,60.93,61.0,3.302
2014-01-23,59.78,60.87,59.69,60.74,3.986
2014-01-24,60.41,60.44,58.46,58.57,3.499
2014-01-27,58.57,58.87,57.87,58.05,4.236
2014-01-28,53.72,54.6,50.5,51.52,17.575
2014-01-29,51.5,53.96,51.35,53.65,5.861
2014-01-30,53.65,54.28,52.94,53.1,4.392
2014-01-31,52.5,53.33,52.12,52.86,3.403
2014-02-03,53.01,53.41,50.53,51.09,4.609
2014-02-04,51.18,51.5,49.3,49.99,4.808
2014-02-05,49.77,50.47,48.21,49.11,6.074
2014-02-06,48.69,49.71,48.69,49.19,3.545
2014-02-07,49.49,50.17,48.89,49.52,3.576
2014-02-10,49.52,50.06,48.94,49.89,3.161
2014-02-11,49.81,50.0,49.29,49.37,2.92
2014-02-12,49.73,50.27,49.17,49.21,3.548
2014-02-13,49.11,50.0,48.71,49.6,3.32
2014-02-14,49.45,50.42,49.43,50.14,2.69
2014-02-18,50.51,50.97,49.7,49.71,2.94
2014-02-19,49.65,49.92,49.01,49.03,2.39
2014-02-20,49.28,50.36,49.03,50.02,3.0
2014-02-21,51.55,51.8,50.74,50.75,3.687
2014-02-24,50.93,51.68,50.5,51.16,2.698
2014-02-25,51.51,51.51,50.36,50.69,1.958
2014-02-26,50.8,52.48,50.58,51.73,2.697
2014-02-27,51.69,52.03,51.04,51.92,2.034
2014-02-28,52.0,52.67,51.32,52.19,4.163
2014-03-03,51.75,52.41,51.34,52.29,2.555
2014-03-04,52.67,53.37,52.48,53.18,3.122
2014-03-05,52.93,53.44,52.31,52.56,2.591
2014-03-06,52.55,52.55,49.53,50.1,6.315
2014-03-07,50.3,50.62,48.6,49.29,5.124
2014-03-10,49.47,50.73,49.35,50.14,3.593
2014-03-11,50.41,50.81,49.37,49.88,3.18
2014-03-12,49.56,51.0,49.43,50.75,2.911
2014-03-13,50.68,50.95,49.54,49.77,3.384
2014-03-14,49.61,50.77,49.61,50.15,2.067
2014-03-17,50.32,51.83,50.3,50.72,3.092
2014-03-18,50.53,52.02,50.45,51.93,3.275
2014-03-19,51.72,52.56,51.35,51.67,3.186
2014-03-20,51.75,53.66,51.52,53.1,3.514
2014-03-21,53.93,54.74,53.11,53.49,6.307
2014-03-24,53.53,53.71,52.15,53.0,3.427
2014-03-25,53.24,55.73,53.02,55.13,4.556
2014-03-26,55.4,56.75,55.4,55.55,4.493
2014-03-27,56.22,56.3,54.46,54.81,3.485
2014-03-28,54.96,55.92,54.56,54.92,2.009
2014-03-31,55.19,56.67,54.62,56.16,2.227
2014-04-01,56.68,57.62,56.4,57.0,3.07
2014-04-02,57.03,57.4,56.29,57.16,2.981
2014-04-03,57.27,57.53,56.51,57.39,2.626
2014-04-04,57.75,58.35,56.01,56.06,4.256
2014-04-07,56.06,56.43,54.43,54.96,3.445
2014-04-08,55.12,55.94,54.76,55.54,2.864
2014-04-09,55.8,55.9,54.92,55.69,3.054
2014-04-10,55.74,55.99,53.93,53.95,3.246
2014-04-11,53.51,54.53,53.05,53.39,2.622
2014-04-14,55.0,55.45,54.06,54.82,2.807
2014-04-15,54.84,55.08,53.55,54.88,2.627
2014-04-16,55.48,55.84,54.68,55.67,1.674
2014-04-17,56.07,56.07,55.15,55.57,1.916
