Date,Open,High,Low,Close,Volume
2014-01-02,70.02,70.22,68.84,69.24,1.07
2014-01-03,69.55,70.09,69.2,69.39,0.742
2014-01-06,69.59,69.72,68.54,68.61,1.402
2014-01-07,69.0,70.43,68.78,69.93,1.858
2014-01-08,74.81,78.4,74.61,76.61,8.368
2014-01-09,76.95,78.06,76.62,77.45,2.75
2014-01-10,77.6,80.13,76.93,80.05,3.212
2014-01-13,80.19,81.51,79.8,80.06,2.025
2014-01-14,80.45,81.56,80.0,80.93,1.534
2014-01-15,80.99,81.25,80.1,80.77,1.016
2014-01-16,80.61,81.05,80.18,80.47,0.934
2014-01-17,80.48,80.64,79.32,79.54,1.581
2014-01-21,80.96,81.01,79.32,79.36,1.614
2014-01-22,79.81,80.0,78.06,78.14,2.114
2014-01-23,78.01,78.49,77.18,77.24,2.023
2014-01-24,76.7,77.02,75.79,75.8,2.093
2014-01-27,76.01,76.84,75.44,75.77,1.7
2014-01-28,75.81,78.35,75.81,78.23,2.251
2014-01-29,77.45,78.32,76.7,77.82,1.919
2014-01-30,78.19,78.39,77.0,77.59,1.45
2014-01-31,76.04,77.08,75.33,76.67,1.842
2014-02-03,76.3,76.97,75.41,75.56,1.598
2014-02-04,75.69,76.83,75.56,76.48,1.215
2014-02-05,75.94,75.96,74.69,75.47,1.455
2014-02-06,75.73,77.69,75.61,77.59,1.163
2014-02-07,77.98,78.04,76.74,77.5,1.24
2014-02-10,77.84,77.89,76.29,77.07,1.051
2014-02-11,77.42,78.83,77.24,78.78,1.322
2014-02-12,78.76,79.43,78.4,79.0,1.194
2014-02-13,78.6,79.64,78.41,79.44,1.563
2014-02-14,79.64,80.22,78.92,79.37,1.384
2014-02-18,79.7,80.68,79.51,80.17,1.242
2014-02-19,80.15,80.94,79.71,80.02,1.084
2014-02-20,80.17,81.0,80.06,80.6,1.016
2014-02-21,80.63,81.0,79.97,80.35,1.026
2014-02-24,80.54,81.83,80.52,81.08,1.07
2014-02-25,81.09,82.54,81.02,82.07,1.272
2014-02-26,82.2,82.84,81.34,81.88,1.284
2014-02-27,81.94,82.01,81.18,81.39,0.912
2014-02-28,81.59,82.21,80.67,81.03,1.252
2014-03-03,80.77,81.24,80.22,81.15,1.752
2014-03-04,81.69,82.74,81.68,82.51,1.221
2014-03-05,82.31,83.21,82.12,82.73,2.196
2014-03-06,82.96,83.92,82.66,83.85,1.102
2014-03-07,83.85,83.92,83.25,83.91,0.975
2014-03-10,83.84,84.33,83.26,83.95,1.112
2014-03-11,84.14,84.19,82.33,82.54,0.987
2014-03-12,82.08,83.42,81.74,83.11,0.899
2014-03-13,83.36,83.48,81.92,82.27,0.985
2014-03-14,82.07,83.51,82.07,82.5,1.302
2014-03-17,81.69,82.16,81.51,81.86,1.001
2014-03-18,82.11,83.01,81.79,82.77,1.217
2014-03-19,82.8,83.09,81.37,81.68,1.229
2014-03-20,81.59,82.7,80.85,82.47,0.884
2014-03-21,83.03,84.22,82.67,83.06,2.451
2014-03-24,83.48,83.71,80.95,81.21,1.312
2014-03-25,82.1,82.99,81.81,82.43,1.161
2014-03-26,82.62,83.52,82.25,82.28,0.96
2014-03-27,82.36,82.75,81.79,82.06,1.176
2014-03-28,82.35,83.6,82.19,83.21,0.971
2014-03-31,83.8,85.2,83.46,84.97,1.834
2014-04-01,85.4,85.91,84.82,85.35,1.604
2014-04-02,85.52,85.58,84.62,84.9,1.023
2014-04-03,85.04,85.24,83.98,84.89,1.197
2014-04-04,85.16,85.55,83.61,84.33,1.405
2014-04-07,84.0,84.09,80.71,80.8,2.121
2014-04-08,81.13,81.85,80.61,81.48,2.75
2014-04-09,85.0,85.4,77.66,80.64,6.8
2014-04-10,80.78,81.99,79.31,80.11,2.138
2014-04-11,79.7,79.93,77.56,78.03,3.041
2014-04-14,78.9,78.9,77.1,78.0,1.497
2014-04-15,78.05,78.15,76.26,77.97,1.651
2014-04-16,78.47,79.76,78.22,79.75,1.535
2014-04-17,79.43,81.0,78.71,80.78,1.788
2014-04-21,79.86,81.07,79.7,81.01,1.255
2014-04-22,80.96,81.57,80.15,80.89,1.26
2014-04-23,80.86,81.08,80.23,80.25,0.817
2014-04-24,80.53,80.61,79.26,79.46,0.974
2014-04-25,79.41,80.26,78.45,79.04,1.257
2014-04-28,79.33,80.1,78.79,79.61,1.085
2014-04-29,79.88,81.11,79.63,79.75,1.054
2014-04-30,79.44,79.92,78.63,79.84,1.318
2014-05-01,79.9,81.45,79.48,81.26,1.042
2014-05-02,81.1,81.35,80.17,81.13,1.154
2014-05-05,80.64,82.17,80.55,81.82,0.923
2014-05-06,81.5,81.84,80.55,80.66,1.116
2014-05-07,81.07,81.07,78.43,79.12,1.437
2014-05-08,79.04,80.36,78.89,79.27,1.009
2014-05-09,79.26,79.59,78.54,79.32,1.165
2014-05-12,79.82,80.61,79.73,80.13,0.962
2014-05-13,80.22,81.18,80.18,80.85,0.633
2014-05-14,80.86,81.21,79.77,79.86,0.762
2014-05-15,79.81,80.1,78.49,79.86,1.288
2014-05-16,80.07,83.19,80.07,82.95,2.265
2014-05-19,82.75,83.51,82.44,82.67,1.125
2014-05-20,82.5,82.81,81.67,81.87,0.662
2014-05-21,82.04,82.71,81.81,82.57,0.696
2014-05-22,82.65,83.21,82.51,82.83,0.574
2014-05-23,82.76,82.99,82.13,82.51,0.76
2014-05-27,83.14,83.92,83.08,83.45,1.189
2014-05-28,83.51,83.99,82.66,83.15,1.201
2014-05-29,83.21,84.1,83.18,83.78,0.797
2014-05-30,83.66,84.32,83.66,84.13,1.045
2014-06-02,83.81,84.07,83.16,83.94,0.832
2014-06-03,83.74,84.48,83.7,83.99,0.798
2014-06-04,83.98,84.48,83.73,83.99,0.603
2014-06-05,84.05,84.31,83.4,83.52,0.633
2014-06-06,83.6,83.67,82.91,82.99,1.292
2014-06-09,82.93,83.41,82.28,82.61,1.494
2014-06-10,82.19,83.07,82.19,82.95,1.398
2014-06-11,82.52,83.63,82.34,83.38,0.933
2014-06-12,83.35,84.26,82.47,82.79,0.867
2014-06-13,82.64,83.17,82.29,82.58,0.604
2014-06-16,82.58,83.63,82.42,83.39,1.146
2014-06-17,83.38,84.11,82.86,83.87,0.906
2014-06-18,83.97,85.99,83.79,85.96,1.538
2014-06-19,86.61,87.59,86.36,86.53,1.775
2014-06-20,86.84,87.64,86.7,87.48,1.893
2014-06-23,87.86,88.5,87.25,88.1,1.6
2014-06-24,87.79,88.31,87.21,88.05,1.323
2014-06-25,87.75,88.6,87.3,88.55,1.579
2014-06-26,88.42,88.5,87.0,88.1,1.388
2014-06-27,87.84,88.49,87.22,87.98,0.972
2014-06-30,88.37,88.57,87.89,88.13,1.651
2014-07-01,88.27,88.94,87.76,88.38,1.971
2014-07-02,94.53,94.77,89.47,90.45,5.7
2014-07-03,91.1,91.59,90.5,91.15,1.998
2014-07-07,91.01,91.1,90.32,90.75,1.363
2014-07-08,90.83,90.83,89.69,90.27,1.54
2014-07-09,90.39,90.55,89.84,90.12,1.184
2014-07-10,88.92,90.29,88.8,89.92,1.392
2014-07-11,90.09,90.32,89.13,89.47,0.856
2014-07-14,89.95,90.11,89.57,89.9,0.892
2014-07-15,89.77,90.15,88.5,88.61,1.456
2014-07-16,88.78,88.89,86.05,87.24,2.676
2014-07-17,86.95,87.24,86.13,86.21,0.999
2014-07-18,86.43,87.81,86.26,87.57,0.944
2014-07-21,87.13,87.52,86.69,87.18,0.704
2014-07-22,87.37,88.04,87.34,87.57,0.664
2014-07-23,87.86,88.03,87.09,87.13,0.7
2014-07-24,87.27,87.41,86.49,87.25,0.949
2014-07-25,86.95,87.04,86.08,86.56,0.625
2014-07-28,86.52,86.53,85.19,86.07,0.859
2014-07-29,86.22,87.1,86.12,86.14,0.842
2014-07-30,86.2,86.56,84.6,84.64,1.207
2014-07-31,84.3,84.48,82.97,83.26,1.473
2014-08-01,82.87,84.09,82.03,83.59,1.262
2014-08-04,83.5,84.02,82.62,83.88,1.07
2014-08-05,83.6,84.08,83.0,83.19,0.741
2014-08-06,82.87,84.33,82.66,83.93,1.061
2014-08-07,84.1,84.33,83.07,83.31,0.589
2014-08-08,83.18,84.45,82.93,84.39,0.578
2014-08-11,84.55,85.27,84.06,85.05,0.833
2014-08-12,84.98,85.89,84.85,85.73,0.9
2014-08-13,85.96,86.22,85.36,85.88,0.793
2014-08-14,85.58,85.92,85.07,85.57,0.507
2014-08-15,86.22,87.72,85.82,87.47,1.114
2014-08-18,87.68,87.8,86.8,87.0,0.782
2014-08-19,87.25,88.17,87.08,87.95,0.743
2014-08-20,87.66,88.0,87.33,87.63,0.532
2014-08-21,87.88,87.9,87.35,87.46,0.502
2014-08-22,87.25,87.52,86.78,87.23,0.496
2014-08-25,87.25,87.29,85.85,87.24,1.06
2014-08-26,87.47,87.84,87.0,87.23,0.504
2014-08-27,87.47,87.73,87.12,87.29,0.421
2014-08-28,87.2,87.3,86.67,87.08,0.442
2014-08-29,87.04,87.19,86.16,87.09,0.532
2014-09-02,87.29,88.5,87.13,87.8,1.073
2014-09-03,88.04,88.32,86.84,86.85,1.11
2014-09-04,86.73,87.48,86.43,87.07,1.035
2014-09-05,86.58,86.9,86.02,86.88,0.877
2014-09-08,86.47,86.86,85.81,86.41,0.873
2014-09-09,86.27,86.41,84.95,85.16,1.098
2014-09-10,85.26,86.3,84.8,86.19,0.593
2014-09-11,86.04,86.48,85.5,86.41,0.749
2014-09-12,86.33,86.65,85.76,85.9,0.447
2014-09-15,86.36,87.15,86.0,86.95,1.141
2014-09-16,86.69,87.49,86.28,87.14,1.357
2014-09-17,86.89,87.63,86.74,87.15,0.72
2014-09-18,87.55,87.88,87.15,87.78,0.459
2014-09-19,88.11,88.31,87.43,87.98,1.037
2014-09-22,87.53,88.43,87.19,87.4,0.67
2014-09-23,87.0,87.39,86.11,86.41,0.791
2014-09-24,86.2,88.3,86.1,87.96,1.284
2014-09-25,87.7,88.08,86.76,86.76,0.853
2014-09-26,86.74,87.04,85.91,86.5,1.359
2014-09-29,85.81,86.55,85.5,86.35,1.045
2014-09-30,86.46,87.37,85.41,87.16,1.232
2014-10-01,86.66,86.83,84.22,85.26,2.694
2014-10-02,83.81,85.93,82.34,84.4,5.602
2014-10-03,84.83,87.03,84.79,86.91,2.147
2014-10-06,87.25,87.38,85.77,86.38,1.822
2014-10-07,86.27,86.59,85.02,85.02,1.202
2014-10-08,85.29,87.82,85.13,87.7,2.177
2014-10-09,87.28,87.73,86.29,86.38,2.745
2014-10-10,86.48,86.83,85.37,85.83,2.156
2014-10-13,85.64,85.78,84.19,84.24,1.204
2014-10-14,84.41,84.85,83.74,84.36,1.037
2014-10-15,83.03,84.16,80.8,83.05,2.328
2014-10-16,81.53,82.86,80.7,82.08,1.973
2014-10-17,82.95,84.43,82.65,84.05,1.476
2014-10-20,84.62,85.16,84.08,85.07,1.149
2014-10-21,85.16,86.66,84.9,86.66,1.304
2014-10-22,86.76,87.39,86.54,86.91,1.0
2014-10-23,87.4,87.95,86.95,87.2,1.056
2014-10-24,87.34,88.38,87.11,88.28,0.937
2014-10-27,88.25,89.4,88.13,88.29,1.133
2014-10-28,88.44,90.11,88.44,89.85,1.322
2014-10-29,90.06,90.77,88.54,89.17,1.239
2014-10-30,89.06,89.62,88.75,89.41,0.596
2014-10-31,90.53,91.6,90.1,91.54,1.226
2014-11-03,91.62,92.6,91.62,91.94,1.042
2014-11-04,91.97,92.73,91.84,92.35,0.984
2014-11-05,92.82,93.42,92.07,92.6,0.728
2014-11-06,92.45,93.57,92.35,93.53,0.778
2014-11-07,93.53,93.69,93.05,93.56,0.868
2014-11-10,93.49,93.89,92.92,93.87,0.725
2014-11-11,93.87,94.62,93.4,93.84,0.694
2014-11-12,93.36,95.09,92.92,94.02,1.456
2014-11-13,94.2,94.69,92.87,93.37,0.95
2014-11-14,93.13,93.28,92.39,92.88,0.823
2014-11-17,92.5,94.28,92.5,94.26,0.623
2014-11-18,94.26,94.26,93.38,93.78,0.904
2014-11-19,93.89,94.34,93.48,94.3,0.734
2014-11-20,93.88,94.42,93.42,93.88,0.702
2014-11-21,94.87,95.22,93.68,93.76,1.252
2014-11-24,94.18,94.84,93.98,94.23,0.894
2014-11-25,94.13,94.67,93.2,94.13,1.149
2014-11-26,94.26,94.81,93.72,94.76,0.681
2014-11-28,95.21,96.6,95.17,96.4,0.456
2014-12-01,95.82,96.2,94.7,94.73,0.924
2014-12-02,94.93,95.15,94.25,94.52,0.847
2014-12-03,94.26,94.72,92.96,93.73,0.973
2014-12-04,94.01,94.53,93.69,94.18,0.656
2014-12-05,94.25,95.22,93.88,95.09,0.708
2014-12-08,94.95,95.23,94.24,94.69,0.731
2014-12-09,93.61,94.13,92.51,93.45,0.998
2014-12-10,93.51,93.77,92.31,92.46,0.969
2014-12-11,92.57,93.62,92.18,92.46,0.684
2014-12-12,91.66,92.65,90.75,90.78,0.882
2014-12-15,91.35,92.51,89.6,90.38,1.127
2014-12-16,89.62,91.75,89.48,89.7,1.009
2014-12-17,89.78,93.54,89.34,93.16,1.569
2014-12-18,94.28,95.41,93.89,95.41,1.221
2014-12-19,95.62,95.81,94.59,94.8,1.633
2014-12-22,95.42,96.9,95.42,96.9,1.001
2014-12-23,97.5,99.26,96.82,99.14,1.775
2014-12-24,99.37,100.77,99.37,100.09,0.746
2014-12-26,100.06,100.64,99.31,99.94,0.663
2014-12-29,99.62,99.83,98.78,99.22,0.878
2014-12-30,99.08,99.43,98.38,98.84,0.909
2014-12-31,99.19,99.25,98.1,98.17,1.042
2015-01-02,98.17,98.86,96.53,97.5,1.992
2015-01-05,97.38,100.25,96.59,99.82,2.422
2015-01-06,102.21,105.35,99.22,100.46,3.279
2015-01-07,101.06,103.78,100.86,103.05,2.156
2015-01-08,108.34,109.24,106.59,107.64,3.614
2015-01-09,106.93,107.74,106.45,107.34,1.56
2015-01-12,107.39,108.52,106.53,106.97,1.25
2015-01-13,107.62,108.57,105.3,106.3,1.623
2015-01-14,105.8,108.49,105.21,108.43,2.007
2015-01-15,109.36,109.38,107.7,108.18,1.056
2015-01-16,108.17,111.73,108.16,111.6,2.052
2015-01-20,112.0,112.0,110.52,111.0,1.289
2015-01-21,110.78,111.25,109.91,110.53,2.221
2015-01-22,111.19,111.5,109.6,111.4,2.454
2015-01-23,111.0,111.21,110.14,110.61,0.858
2015-01-26,110.4,111.86,109.9,111.72,0.922
2015-01-27,110.67,111.76,110.18,111.29,0.707
2015-01-28,111.45,112.39,110.19,110.29,0.773
2015-01-29,110.79,111.87,110.15,111.78,1.17
2015-01-30,110.94,111.49,110.0,110.45,1.058
2015-02-02,110.45,111.36,109.47,111.3,0.845
2015-02-03,111.67,111.8,110.24,111.32,1.039
2015-02-04,111.12,113.11,110.75,112.06,1.356
2015-02-05,112.5,112.96,112.0,112.66,0.811
2015-02-06,112.33,113.59,111.5,112.91,1.125
2015-02-09,112.11,112.6,111.49,111.86,0.947
2015-02-10,112.38,113.74,112.26,113.4,0.87
2015-02-11,113.45,114.19,112.07,113.53,0.826
2015-02-12,113.57,114.45,112.89,113.51,0.966
2015-02-13,113.3,113.48,112.2,113.03,0.683
2015-02-17,113.02,114.35,112.51,114.13,0.732
2015-02-18,113.72,114.81,113.29,114.68,0.64
2015-02-19,114.66,115.01,114.24,114.78,0.583
2015-02-20,114.7,115.98,113.81,115.75,1.011
2015-02-23,115.25,115.77,114.81,114.95,0.86
2015-02-24,115.15,116.23,115.02,115.71,1.15
2015-02-25,115.95,116.05,113.59,114.14,1.154
2015-02-26,114.14,115.95,114.05,115.78,0.615
2015-02-27,116.05,116.29,114.41,114.72,0.718
2015-03-02,114.43,115.99,114.08,115.98,0.668
2015-03-03,115.85,115.96,114.69,115.15,0.74
2015-03-04,115.07,115.36,114.37,114.43,0.513
2015-03-05,114.57,115.07,113.4,113.82,0.572
2015-03-06,112.55,112.74,110.45,110.91,1.154
2015-03-09,111.85,115.36,111.54,115.23,1.608
2015-03-10,114.07,115.15,113.55,114.56,1.146
2015-03-11,114.59,116.19,114.17,115.61,1.044
2015-03-12,115.99,118.15,115.72,117.99,1.286
2015-03-13,117.76,117.99,115.85,116.44,0.917
2015-03-16,116.49,118.5,116.23,117.38,1.271
2015-03-17,116.63,117.3,114.78,115.49,0.774
2015-03-18,115.42,117.88,114.6,117.24,1.391
2015-03-19,117.0,117.01,115.54,116.04,0.623
2015-03-20,116.24,118.4,116.01,118.25,1.532
2015-03-23,118.05,118.19,116.97,117.0,0.691
2015-03-24,117.05,118.43,116.6,117.87,0.913
2015-03-25,118.38,118.46,115.09,115.4,1.003
2015-03-26,114.81,115.74,114.08,114.81,0.631
2015-03-27,114.74,115.2,114.25,114.48,1.01
2015-03-30,115.15,117.43,114.57,116.93,0.992
2015-03-31,116.4,116.97,115.47,116.21,1.162
2015-04-01,116.14,116.37,114.75,116.22,1.334
2015-04-02,116.56,118.06,115.93,117.75,0.967
2015-04-06,117.47,120.24,117.44,119.38,1.435
2015-04-07,119.38,119.74,118.14,118.27,0.908
2015-04-08,118.66,119.85,118.47,119.17,1.483
2015-04-09,119.19,121.88,118.5,120.06,1.954
2015-04-10,120.88,121.79,119.42,121.7,1.465
2015-04-13,121.8,121.92,119.81,119.92,0.958
2015-04-14,118.99,119.42,117.7,118.02,1.072
2015-04-15,118.19,118.67,117.25,117.52,0.716
2015-04-16,117.54,118.24,117.08,117.36,0.64
2015-04-17,116.55,116.94,115.43,115.98,0.679
2015-04-20,116.65,117.09,116.12,116.46,0.538
2015-04-21,115.87,118.13,115.52,117.29,1.017
2015-04-22,117.0,117.35,115.9,115.99,0.968
2015-04-23,115.46,116.87,115.25,116.0,0.844
2015-04-24,115.92,116.2,115.26,115.64,0.685
2015-04-27,115.96,116.55,115.57,116.36,0.821
2015-04-28,116.0,117.92,116.0,117.12,0.812
2015-04-29,116.45,116.77,115.88,116.26,0.851
2015-04-30,116.13,116.93,115.74,115.94,1.315
2015-05-01,116.47,117.33,115.85,117.19,1.142
2015-05-04,117.08,118.24,116.78,117.32,0.99
2015-05-05,116.78,116.96,115.73,116.04,1.314
2015-05-06,116.51,116.55,114.77,115.08,0.813
2015-05-07,114.9,116.0,114.65,115.31,1.286
2015-05-08,115.85,116.86,115.85,116.32,0.853
2015-05-11,115.92,118.58,115.92,117.22,1.242
2015-05-12,116.59,116.7,114.98,115.68,1.03
2015-05-13,115.6,116.53,115.12,115.61,0.771
2015-05-14,116.5,117.58,116.19,117.51,1.038
2015-05-15,117.72,118.51,117.15,118.45,0.802
2015-05-18,118.63,119.42,118.33,119.01,0.719
2015-05-19,119.12,120.34,118.89,119.51,0.944
2015-05-20,119.56,120.48,119.15,119.52,0.647
2015-05-21,119.26,119.99,118.43,119.01,0.596
2015-05-22,118.95,119.26,117.93,118.28,0.551
2015-05-26,118.14,118.58,117.33,117.49,0.82
2015-05-27,117.78,118.46,117.28,118.24,0.499
2015-05-28,118.24,119.31,117.91,119.03,0.502
2015-05-29,119.03,119.19,117.34,117.89,0.776
2015-06-01,118.79,120.73,118.79,119.84,0.837
2015-06-02,119.18,120.42,118.33,120.02,0.658
2015-06-03,120.77,121.41,119.73,121.39,0.828
2015-06-04,121.17,121.37,119.33,119.55,0.71
2015-06-05,119.14,119.49,118.01,118.87,0.704
2015-06-08,119.6,121.1,119.03,119.89,0.943
2015-06-09,120.06,120.49,118.88,120.31,0.692
2015-06-10,120.48,121.95,120.22,121.75,0.791
2015-06-11,122.08,122.13,120.82,121.03,0.681
2015-06-12,120.26,120.75,119.84,120.52,0.545
2015-06-15,119.9,119.9,116.57,117.03,2.334
2015-06-16,117.03,118.54,116.41,117.75,1.133
2015-06-17,118.23,119.45,118.18,119.08,1.213
2015-06-18,120.32,120.74,119.38,120.27,1.247
2015-06-19,119.96,120.11,119.1,119.5,1.261
2015-06-22,120.42,120.42,119.29,119.56,1.04
2015-06-23,120.17,120.22,119.32,119.42,0.965
2015-06-24,119.41,119.71,117.63,117.74,1.085
2015-06-25,118.18,118.75,117.59,117.67,1.149
2015-06-26,118.07,118.27,116.91,117.4,1.438
2015-06-29,116.63,117.21,115.53,115.6,0.874
2015-06-30,116.7,117.07,115.88,116.02,1.32
2015-07-01,120.37,120.54,116.0,116.0,2.579
2015-07-02,116.88,118.74,116.32,117.09,1.635
2015-07-06,116.14,116.63,115.6,116.22,1.484
2015-07-07,116.3,117.73,114.67,117.5,1.18
2015-07-08,116.85,117.18,115.65,115.88,0.915
2015-07-09,117.39,117.76,115.45,115.54,0.813
2015-07-10,116.87,117.3,115.78,116.04,0.63
2015-07-13,116.49,117.1,116.21,117.04,0.692
2015-07-14,116.9,117.8,116.59,117.65,0.96
2015-07-15,117.66,117.83,116.35,116.44,0.84
2015-07-16,117.28,117.79,116.75,117.54,0.762
2015-07-17,117.2,117.99,117.14,117.78,0.726
2015-07-20,117.8,118.25,117.44,117.92,0.481
2015-07-21,117.73,118.08,116.46,116.99,0.477
2015-07-22,116.89,119.41,116.49,119.37,1.052
2015-07-23,119.36,119.58,117.35,117.56,0.642
2015-07-24,117.43,118.13,116.32,116.43,0.668
2015-07-27,116.01,117.4,115.41,117.34,0.998
2015-07-28,118.0,118.0,116.55,117.74,0.752
2015-07-29,118.03,118.99,117.72,118.63,0.692
2015-07-30,117.73,119.61,116.56,119.0,0.754
2015-07-31,119.43,120.16,118.92,120.02,1.389
2015-08-03,120.61,121.67,120.32,121.03,1.233
2015-08-04,120.95,121.45,120.64,121.24,0.989
2015-08-05,121.7,123.44,121.26,123.35,0.838
2015-08-06,123.98,124.5,123.43,124.18,1.255
2015-08-07,123.77,123.98,122.81,123.53,0.865
2015-08-10,124.3,124.98,123.76,123.99,0.972
2015-08-11,123.1,125.18,122.74,125.07,0.959
2015-08-12,123.99,125.36,123.02,125.25,1.473
2015-08-13,125.67,128.04,125.11,127.53,1.891
2015-08-14,127.33,128.13,126.97,128.01,1.162
2015-08-17,127.47,128.63,126.98,128.51,0.963
2015-08-18,128.58,130.42,128.58,129.7,1.352
2015-08-19,129.32,130.08,128.06,129.73,1.198
2015-08-20,128.59,129.8,128.29,128.67,1.342
2015-08-21,127.9,127.9,122.85,123.11,1.955
2015-08-24,115.27,122.61,114.49,119.28,3.02
2015-08-25,123.23,123.56,119.47,120.01,1.636
2015-08-26,121.88,125.34,120.12,124.88,3.342
2015-08-27,126.11,127.82,125.02,127.04,1.718
2015-08-28,126.49,128.03,126.0,127.94,1.213
2015-08-31,127.77,128.37,126.76,128.0,1.584
2015-09-01,127.0,128.71,126.55,127.72,2.725
2015-09-02,129.07,129.09,127.54,129.0,1.609
2015-09-03,129.44,130.29,128.64,129.0,1.372
2015-09-04,127.22,128.3,126.83,127.52,1.447
2015-09-08,128.96,129.17,127.24,129.16,1.314
2015-09-09,129.96,129.99,125.55,125.91,1.508
2015-09-10,125.88,127.84,125.73,127.41,0.883
2015-09-11,125.81,127.46,125.53,127.41,1.264
2015-09-14,127.75,128.15,126.9,127.9,0.778
2015-09-15,128.31,128.93,127.64,128.54,1.224
2015-09-16,129.56,131.38,128.87,131.16,2.018
2015-09-17,131.19,132.2,130.13,130.41,1.411
2015-09-18,129.01,130.5,127.35,127.35,3.865
