Date,Open,High,Low,Close,Volume
2014-01-02,80.57,80.79,79.68,80.18,0.716
2014-01-03,80.37,80.9,80.21,80.38,0.874
2014-01-06,80.75,80.85,79.55,79.64,1.124
2014-01-07,79.64,80.26,79.01,79.98,1.485
2014-01-08,80.03,80.77,79.84,80.08,1.728
2014-01-09,80.3,80.88,79.75,80.3,1.643
2014-01-10,80.32,81.67,80.06,81.42,1.567
2014-01-13,81.05,81.29,80.02,80.15,1.289
2014-01-14,81.35,82.66,81.21,82.2,2.173
2014-01-15,82.01,83.22,81.96,82.54,1.271
2014-01-16,82.56,82.94,82.29,82.39,1.806
2014-01-17,82.16,82.39,80.82,81.17,2.186
2014-01-21,81.42,81.66,80.57,81.0,2.068
2014-01-22,80.97,81.3,80.77,80.93,1.129
2014-01-23,80.5,80.78,79.83,80.41,1.932
2014-01-24,80.95,82.76,77.5,77.81,4.31
2014-01-27,78.06,78.25,76.2,77.35,2.365
2014-01-28,77.34,78.0,77.19,77.93,1.704
2014-01-29,77.45,78.82,77.2,78.03,1.966
2014-01-30,78.37,78.58,77.51,77.87,1.105
2014-01-31,76.69,77.93,76.18,77.4,2.217
2014-02-03,78.0,78.56,75.59,75.64,1.936
2014-02-04,75.94,76.33,75.35,76.11,1.379
2014-02-05,75.96,76.4,75.0,75.65,1.876
2014-02-06,75.93,76.79,75.76,76.46,1.174
2014-02-07,76.8,78.91,76.76,78.8,1.572
2014-02-10,78.86,79.35,78.78,78.96,1.372
2014-02-11,78.86,80.46,78.86,80.01,1.469
2014-02-12,80.12,80.99,80.11,80.62,1.331
2014-02-13,80.15,80.81,79.85,80.59,1.337
2014-02-14,80.69,81.53,80.47,81.32,0.715
2014-02-18,81.35,81.6,80.61,81.28,1.252
2014-02-19,81.01,81.82,80.61,80.66,0.904
2014-02-20,80.89,81.68,80.52,81.43,1.078
2014-02-21,81.49,81.96,81.16,81.74,1.326
2014-02-24,81.95,82.69,81.85,82.08,1.137
2014-02-25,81.96,82.52,81.61,81.71,0.936
2014-02-26,81.71,82.5,81.61,82.0,0.872
2014-02-27,81.81,83.15,81.71,82.95,1.264
2014-02-28,83.12,83.76,82.54,83.04,1.331
2014-03-03,81.62,82.28,81.3,81.75,1.03
2014-03-04,82.56,82.82,81.7,82.0,1.147
2014-03-05,82.03,82.14,81.4,81.54,1.174
2014-03-06,81.76,82.1,81.64,81.88,0.611
2014-03-07,82.07,82.68,81.72,82.51,1.225
2014-03-10,82.19,82.4,81.34,81.9,0.74
2014-03-11,82.74,82.96,81.38,81.47,1.259
2014-03-12,81.0,81.27,80.13,80.56,1.735
2014-03-13,80.36,80.99,78.73,79.09,1.464
2014-03-14,78.97,79.83,78.88,79.02,1.516
2014-03-17,79.55,80.52,79.4,80.37,1.248
2014-03-18,80.44,80.62,80.03,80.16,0.938
2014-03-19,80.59,80.71,79.05,79.54,1.079
2014-03-20,79.26,80.03,78.69,79.96,1.268
2014-03-21,80.66,80.75,79.34,79.71,2.231
2014-03-24,79.67,80.17,78.9,79.34,0.711
2014-03-25,79.7,80.5,79.49,80.33,0.944
2014-03-26,80.79,81.0,79.39,79.41,0.714
2014-03-27,79.41,79.56,78.5,79.08,0.672
2014-03-28,79.24,80.75,79.12,80.69,1.158
2014-03-31,81.0,81.34,80.57,81.24,1.04
2014-04-01,81.12,82.02,81.12,81.78,1.4
2014-04-02,81.94,82.24,81.69,81.83,1.243
2014-04-03,82.09,82.17,81.51,81.61,0.835
2014-04-04,81.69,82.16,80.53,80.75,1.066
2014-04-07,80.51,80.72,78.77,79.1,1.201
2014-04-08,79.01,79.53,78.36,78.87,1.743
2014-04-09,79.04,80.45,78.89,80.29,1.618
2014-04-10,80.0,80.67,78.39,78.39,0.948
2014-04-11,77.92,78.31,75.9,77.58,1.289
2014-04-14,78.34,78.44,77.72,78.3,1.114
2014-04-15,78.44,80.28,78.42,80.22,1.763
2014-04-16,80.83,81.52,80.11,81.48,1.67
2014-04-17,81.73,82.3,81.45,81.92,1.782
2014-04-21,81.53,81.88,81.12,81.62,0.84
2014-04-22,81.79,82.5,81.34,81.73,1.338
2014-04-23,82.56,82.8,81.93,82.44,2.482
2014-04-24,84.0,86.01,83.83,85.53,4.08
2014-04-25,85.58,85.59,84.13,85.23,1.965
2014-04-28,85.52,85.85,83.46,84.26,2.227
2014-04-29,84.84,85.05,83.94,84.82,1.543
2014-04-30,84.83,86.0,84.41,85.89,1.177
2014-05-01,85.69,86.51,85.5,85.99,1.191
2014-05-02,86.18,86.7,85.7,85.93,0.837
2014-05-05,85.52,86.03,85.1,85.73,0.823
2014-05-06,85.5,85.75,85.06,85.19,0.506
2014-05-07,85.55,86.22,85.0,86.15,1.194
2014-05-08,85.86,87.1,85.68,86.4,0.81
2014-05-09,86.28,86.4,85.57,86.33,0.565
2014-05-12,86.65,87.76,86.65,87.37,1.072
2014-05-13,87.37,87.5,86.92,87.0,0.684
2014-05-14,86.89,87.14,85.76,85.78,0.76
2014-05-15,85.54,85.72,84.19,84.99,1.023
2014-05-16,85.12,85.77,84.57,85.7,0.817
2014-05-19,85.58,86.57,85.32,86.46,0.826
2014-05-20,86.17,86.38,84.31,84.87,1.196
2014-05-21,85.23,86.23,85.18,86.19,0.889
