Date,Open,High,Low,Close,Volume
2014-01-02,28.3,28.34,27.2,27.4,3.534
2014-01-03,27.4,27.75,27.4,27.72,1.974
2014-01-06,27.87,27.93,27.35,27.63,2.18
2014-01-07,27.65,28.0,27.61,27.79,1.799
2014-01-08,27.95,28.04,27.76,27.92,2.73
2014-01-09,28.06,28.06,27.53,27.72,2.92
2014-01-10,27.66,27.84,27.4,27.75,1.956
2014-01-13,28.38,29.21,28.14,28.44,4.978
2014-01-14,28.64,29.17,28.61,28.92,2.493
2014-01-15,29.14,29.3,28.9,29.11,2.792
2014-01-16,29.11,29.15,28.38,28.62,6.59
2014-01-17,31.55,31.8,30.27,30.53,13.657
2014-01-21,30.61,31.32,30.56,31.22,6.947
2014-01-22,31.37,31.69,31.32,31.59,4.009
2014-01-23,31.55,31.67,31.02,31.43,3.103
2014-01-24,31.27,31.35,30.66,30.77,2.991
2014-01-27,30.98,31.16,30.22,30.38,3.015
2014-01-28,29.51,30.11,29.02,30.05,6.464
2014-01-29,29.95,30.28,29.61,30.14,4.446
2014-01-30,30.64,30.69,30.15,30.56,1.865
2014-01-31,30.21,30.68,30.2,30.25,1.937
2014-02-03,30.15,30.29,29.29,29.57,4.866
2014-02-04,29.76,29.84,29.34,29.71,2.782
2014-02-05,29.53,30.14,29.25,29.86,2.348
2014-02-06,30.11,30.73,30.0,30.26,2.566
2014-02-07,30.41,30.69,30.35,30.47,1.615
2014-02-10,30.57,31.06,30.5,30.7,2.132
2014-02-11,30.81,31.59,30.66,31.09,3.382
2014-02-12,31.31,32.14,31.3,32.12,3.846
2014-02-13,31.99,32.19,31.75,32.11,2.928
2014-02-14,32.1,32.2,31.83,32.0,1.813
2014-02-18,32.14,32.15,31.57,31.8,2.682
2014-02-19,31.68,31.8,31.27,31.32,2.468
2014-02-20,32.0,33.4,31.9,33.32,8.257
2014-02-21,33.44,33.44,32.69,32.72,3.553
2014-02-24,33.7,34.45,33.3,34.4,7.784
2014-02-25,34.49,34.6,33.58,33.76,4.151
