Date,Open,High,Low,Close,Volume
2014-01-02,75.12,75.12,74.4,74.63,1.204
2014-01-03,74.02,75.18,74.02,74.84,0.72
2014-01-06,75.48,75.6,74.92,75.35,2.302
2014-01-07,74.87,75.92,74.87,75.78,1.576
2014-01-08,76.22,77.21,76.11,77.02,2.146
2014-01-09,77.23,77.35,76.65,76.99,2.129
2014-01-10,77.17,78.53,76.89,78.15,1.88
2014-01-13,77.83,78.29,77.36,77.43,1.482
2014-01-14,77.75,78.4,77.48,78.16,1.574
2014-01-15,78.26,78.49,77.67,78.25,1.166
2014-01-16,78.23,78.87,78.09,78.68,0.952
2014-01-17,78.82,78.89,78.08,78.2,1.633
2014-01-21,78.62,79.0,78.26,78.59,1.286
2014-01-22,78.59,79.24,78.49,78.58,2.042
2014-01-23,77.54,79.0,76.14,77.78,2.333
2014-01-24,77.66,78.15,76.11,76.13,1.789
2014-01-27,76.13,76.78,75.79,76.32,1.236
2014-01-28,76.75,77.46,76.53,77.44,1.244
2014-01-29,77.24,77.37,76.48,76.9,2.156
2014-01-30,77.28,78.45,77.21,78.14,2.097
2014-01-31,76.96,77.85,76.94,77.6,1.564
2014-02-03,77.84,77.84,76.31,76.47,3.528
2014-02-04,76.85,77.28,76.23,76.75,3.908
2014-02-05,76.45,77.42,76.21,77.0,1.794
2014-02-06,77.28,78.33,77.17,78.21,2.302
2014-02-07,78.45,79.54,78.28,79.43,1.34
2014-02-10,79.43,80.44,79.08,80.42,2.736
2014-02-11,80.34,81.28,80.17,81.14,1.229
2014-02-12,81.18,81.42,80.69,80.95,1.34
2014-02-13,80.52,82.93,80.45,82.75,2.446
2014-02-14,83.08,83.86,82.47,83.35,2.557
2014-02-18,83.81,83.82,82.55,82.62,1.806
2014-02-19,82.2,82.6,81.57,81.64,1.757
2014-02-20,81.59,82.85,81.18,82.65,1.428
2014-02-21,82.59,83.12,82.0,82.1,1.602
2014-02-24,82.15,83.06,82.1,82.61,1.746
2014-02-25,82.32,82.68,81.46,81.59,1.595
