Date,Open,High,Low,Close,Volume
2014-01-02,91.79,91.88,89.57,90.06,0.129
2014-01-03,90.4,90.99,89.83,90.07,0.094
2014-01-06,90.21,90.7,89.26,89.58,0.087
2014-01-07,89.99,90.64,89.51,90.49,0.097
2014-01-08,90.25,90.97,89.16,90.5,0.101
2014-01-09,90.71,92.01,90.71,92.0,0.134
2014-01-10,92.22,92.5,91.64,92.41,0.074
2014-01-13,92.08,92.89,91.36,92.01,0.106
2014-01-14,92.22,92.44,91.56,92.24,0.101
2014-01-15,92.16,94.36,92.16,93.84,0.097
2014-01-16,93.84,94.48,92.86,93.22,0.095
2014-01-17,92.98,93.65,92.03,93.06,0.12
2014-01-21,93.26,94.44,92.97,94.4,0.211
2014-01-22,94.7,96.44,93.79,96.2,0.188
2014-01-23,95.87,96.49,93.35,94.95,0.439
2014-01-24,94.59,94.59,91.98,92.8,0.386
2014-01-27,93.05,93.5,91.77,92.32,0.367
2014-01-28,92.47,92.84,91.54,92.61,0.226
2014-01-29,90.78,92.61,90.78,92.01,0.167
2014-01-30,92.93,93.82,92.42,92.66,0.139
2014-01-31,91.16,92.54,91.16,91.87,0.158
2014-02-03,91.87,92.39,87.88,88.6,0.282
2014-02-04,89.18,89.62,87.57,89.2,0.197
2014-02-05,88.68,88.99,87.5,88.48,0.157
2014-02-06,88.74,90.12,88.74,89.82,0.156
2014-02-07,90.08,91.51,89.63,90.5,0.158
2014-02-10,90.15,90.92,89.02,90.53,0.188
2014-02-11,90.27,92.03,90.08,91.58,0.126
2014-02-12,91.64,93.35,90.4,92.85,0.172
2014-02-13,92.02,93.99,91.41,93.6,0.113
2014-02-14,93.61,94.57,93.03,94.19,0.135
2014-02-18,94.32,95.35,94.1,94.81,0.14
2014-02-19,94.76,95.96,93.44,93.46,0.205
2014-02-20,93.67,95.27,93.57,95.18,0.1
2014-02-21,95.64,96.94,94.66,96.74,0.283
2014-02-24,96.82,99.36,96.41,97.65,0.372
2014-02-25,97.6,97.6,95.77,96.82,0.136
2014-02-26,96.7,97.97,96.35,96.89,0.126
2014-02-27,96.62,97.52,96.28,96.84,0.119
2014-02-28,97.11,98.63,96.77,97.98,0.136
2014-03-03,97.3,97.57,95.86,97.05,0.212
2014-03-04,98.17,101.69,97.77,101.11,0.315
2014-03-05,100.66,101.2,100.48,100.78,0.164
2014-03-06,100.74,101.34,100.47,101.14,0.094
2014-03-07,101.57,102.19,100.91,101.6,0.12
2014-03-10,101.63,102.0,100.51,101.39,0.283
2014-03-11,101.65,102.4,100.23,100.31,0.158
2014-03-12,99.66,100.61,98.66,99.31,0.154
2014-03-13,99.33,100.02,97.52,97.88,0.205
2014-03-14,97.48,98.59,97.26,97.79,0.115
2014-03-17,98.51,99.12,97.93,98.45,0.143
2014-03-18,98.7,99.31,98.04,99.31,0.104
2014-03-19,98.92,99.72,97.99,98.65,0.097
2014-03-20,98.45,99.42,98.13,98.55,0.088
2014-03-21,99.29,99.3,97.75,98.0,0.24
2014-03-24,98.53,98.83,96.57,97.58,0.116
2014-03-25,98.08,98.69,97.11,97.45,0.113
2014-03-26,98.14,98.5,95.74,95.77,0.136
2014-03-27,95.7,96.26,94.96,95.39,0.087
2014-03-28,95.44,96.59,94.87,95.14,0.118
2014-03-31,95.89,98.11,95.75,97.33,0.144
2014-04-01,97.85,99.27,97.43,99.13,0.129
2014-04-02,99.33,99.88,98.32,99.27,0.085
2014-04-03,99.3,99.6,98.22,98.51,0.101
2014-04-04,98.57,98.94,95.5,95.63,0.114
2014-04-07,95.45,95.74,94.2,94.77,0.104
2014-04-08,94.74,95.65,94.26,94.6,0.113
2014-04-09,95.13,95.27,94.15,95.04,0.112
2014-04-10,95.22,95.42,92.57,92.78,0.134
2014-04-11,91.71,92.98,91.71,92.44,0.123
2014-04-14,93.71,93.71,92.43,92.86,0.122
2014-04-15,93.14,94.5,91.54,93.27,0.12
2014-04-16,94.0,94.62,93.38,94.34,0.066
2014-04-17,94.37,96.25,93.66,95.53,0.075
2014-04-21,95.51,96.27,94.89,96.26,0.068
2014-04-22,96.64,97.1,95.73,96.5,0.127
2014-04-23,95.95,98.23,93.73,94.24,0.252
2014-04-24,94.49,94.51,92.34,94.29,0.121
2014-04-25,93.68,94.01,91.87,92.58,0.118
2014-04-28,92.73,93.6,91.63,92.87,0.179
2014-04-29,93.24,93.68,92.12,92.3,0.084
2014-04-30,91.95,92.9,91.46,92.86,0.163
2014-05-01,92.62,93.97,91.56,92.93,0.162
2014-05-02,93.3,94.3,92.77,93.67,0.165
2014-05-05,92.8,95.66,92.54,94.78,0.168
2014-05-06,94.49,94.98,93.39,94.0,0.14
2014-05-07,93.83,94.96,92.98,94.95,0.131
2014-05-08,94.97,95.87,93.99,94.67,0.108
2014-05-09,93.99,95.23,93.5,95.14,0.103
2014-05-12,95.36,98.51,95.36,98.01,0.2
2014-05-13,97.76,98.24,97.1,97.14,0.219
2014-05-14,96.74,96.74,95.34,95.67,0.194
2014-05-15,95.14,95.77,93.57,94.81,0.147
2014-05-16,94.59,94.95,93.25,94.77,0.115
2014-05-19,94.67,95.82,94.67,95.3,0.088
2014-05-20,94.75,94.75,91.96,92.79,0.202
2014-05-21,93.41,94.1,91.99,93.08,0.081
2014-05-22,93.01,93.82,92.66,93.31,0.083
2014-05-23,93.55,95.02,93.5,94.78,0.11
2014-05-27,95.54,96.24,94.93,95.81,0.08
2014-05-28,95.34,95.73,94.74,94.74,0.09
2014-05-29,95.13,95.92,94.29,95.61,0.092
2014-05-30,95.88,95.88,94.43,94.77,0.104
2014-06-02,94.88,95.3,93.72,94.99,0.071
2014-06-03,94.83,95.09,93.45,94.62,0.141
2014-06-04,94.48,94.98,93.85,94.89,0.149
2014-06-05,94.95,97.44,94.46,97.38,0.145
2014-06-06,98.12,98.94,98.12,98.71,0.13
2014-06-09,98.42,101.43,98.35,101.01,0.177
2014-06-10,100.23,100.57,99.11,100.29,0.117
2014-06-11,99.51,100.04,99.11,99.49,0.165
2014-06-12,99.07,99.19,97.84,98.48,0.135
2014-06-13,99.05,99.4,97.85,98.29,0.21
2014-06-16,98.23,98.56,96.92,97.38,0.176
2014-06-17,97.14,97.96,96.4,97.71,0.244
2014-06-18,97.74,98.51,96.82,97.78,0.126
2014-06-19,98.18,98.32,97.14,97.62,0.118
2014-06-20,97.42,98.34,97.17,97.87,0.244
2014-06-23,97.77,97.77,95.55,96.56,0.166
2014-06-24,96.28,97.51,95.51,95.55,0.153
2014-06-25,95.09,96.58,95.0,96.33,0.138
2014-06-26,96.43,96.53,95.51,96.2,0.082
2014-06-27,95.43,97.03,95.43,97.01,0.21
2014-06-30,96.85,97.25,95.75,97.17,0.153
2014-07-01,97.59,98.64,97.2,97.97,0.222
2014-07-02,97.56,97.96,96.19,96.35,0.096
2014-07-03,96.77,97.09,96.16,96.86,0.126
2014-07-07,96.57,97.44,95.57,95.74,0.172
2014-07-08,95.54,96.11,94.62,95.52,0.148
2014-07-09,95.89,96.49,95.05,95.69,0.074
2014-07-10,94.0,95.25,93.23,94.64,0.09
2014-07-11,94.42,94.94,93.98,94.64,0.081
2014-07-14,95.62,95.86,95.11,95.47,0.072
2014-07-15,95.65,95.83,93.89,95.33,0.164
2014-07-16,95.35,95.93,94.39,94.97,0.105
2014-07-17,94.34,95.58,93.78,94.24,0.147
2014-07-18,94.13,96.0,94.13,95.66,0.151
2014-07-21,95.25,95.57,94.17,95.17,0.11
2014-07-22,95.84,96.07,94.74,95.28,0.1
2014-07-23,95.59,95.87,94.34,95.27,0.123
2014-07-24,98.05,98.36,93.32,94.59,0.153
2014-07-25,94.01,94.07,92.48,93.47,0.183
2014-07-28,93.47,94.25,92.89,93.96,0.139
2014-07-29,94.14,94.37,92.5,92.85,0.114
2014-07-30,93.77,93.79,92.42,93.27,0.159
2014-07-31,92.34,92.45,91.11,91.2,0.159
2014-08-01,91.37,92.23,90.54,91.2,0.109
2014-08-04,91.5,92.31,91.25,92.21,0.165
2014-08-05,91.73,93.23,91.68,92.12,0.095
2014-08-06,91.97,92.93,91.61,91.88,0.092
2014-08-07,92.1,92.71,91.14,91.52,0.081
2014-08-08,91.42,93.24,91.19,93.08,0.084
2014-08-11,93.57,94.48,93.32,93.36,0.08
2014-08-12,92.86,93.99,92.21,92.82,0.075
2014-08-13,93.28,94.42,93.19,93.92,0.096
2014-08-14,94.05,94.28,93.66,93.76,0.075
2014-08-15,94.7,94.7,92.37,93.39,0.136
