Date,Open,High,Low,Close,Volume
2014-01-02,23.26,23.65,23.12,23.55,1.357
2014-01-03,23.67,23.83,23.45,23.67,0.958
2014-01-06,23.72,23.79,23.42,23.65,1.344
2014-01-07,23.75,23.76,23.54,23.67,1.262
2014-01-08,23.62,23.9,23.45,23.87,0.861
2014-01-09,23.96,24.24,23.67,23.86,1.163
2014-01-10,23.84,24.06,23.73,23.89,1.227
2014-01-13,23.77,23.87,23.57,23.67,1.138
2014-01-14,23.72,24.01,23.61,24.0,0.634
2014-01-15,24.07,24.21,23.88,24.02,1.112
2014-01-16,23.94,24.08,23.83,24.0,1.127
2014-01-17,24.03,24.03,23.74,23.84,0.758
2014-01-21,24.04,24.04,23.78,23.82,0.867
2014-01-22,23.81,23.86,23.39,23.53,1.053
2014-01-23,23.41,23.67,22.98,23.2,0.97
2014-01-24,23.05,23.19,22.57,22.61,0.905
2014-01-27,22.29,23.6,22.24,22.42,0.942
2014-01-28,22.45,22.94,22.45,22.9,0.803
2014-01-29,22.62,22.76,22.22,22.23,0.93
2014-01-30,22.48,23.13,22.0,23.06,1.142
2014-01-31,22.69,22.86,22.34,22.72,1.096
2014-02-03,22.77,22.9,21.78,21.9,2.368
2014-02-04,21.62,21.82,20.76,21.27,3.576
2014-02-05,21.22,21.22,20.63,20.93,2.041
2014-02-06,21.0,21.34,20.7,21.2,1.374
2014-02-07,21.3,21.59,21.2,21.45,1.553
2014-02-10,22.17,22.22,21.7,22.14,1.623
2014-02-11,22.39,22.55,22.22,22.26,0.838
2014-02-12,22.24,22.32,21.89,21.92,0.932
2014-02-13,21.75,22.29,21.73,22.25,0.616
2014-02-14,22.24,22.33,22.09,22.33,0.47
2014-02-18,22.42,22.95,22.3,22.84,0.879
2014-02-19,22.74,23.16,22.38,22.42,1.033
2014-02-20,22.44,22.53,22.03,22.4,0.843
2014-02-21,22.41,22.41,22.08,22.22,0.762
2014-02-24,22.3,22.57,22.18,22.3,0.601
2014-02-25,22.38,22.38,22.07,22.35,0.771
2014-02-26,22.44,22.52,22.04,22.25,1.511
2014-02-27,22.2,22.29,22.05,22.24,0.872
2014-02-28,22.28,22.45,21.82,22.21,2.112
2014-03-03,22.06,22.39,21.85,22.12,0.783
2014-03-04,22.42,22.61,22.23,22.38,0.759
2014-03-05,22.41,22.62,22.1,22.33,0.357
2014-03-06,22.41,22.54,22.0,22.17,1.01
2014-03-07,22.2,22.48,21.82,22.26,1.248
2014-03-10,22.24,22.69,22.05,22.58,0.681
2014-03-11,22.56,22.72,22.26,22.41,0.65
2014-03-12,22.34,22.57,22.06,22.49,0.515
2014-03-13,22.53,22.58,21.65,21.73,0.575
2014-03-14,21.67,21.94,21.42,21.72,0.469
2014-03-17,21.87,22.39,21.73,22.2,0.554
2014-03-18,22.28,22.6,22.19,22.26,0.562
2014-03-19,22.34,22.4,21.91,22.06,0.398
2014-03-20,22.08,22.27,21.76,21.8,0.402
2014-03-21,21.89,22.01,21.5,21.59,1.313
2014-03-24,21.6,21.74,21.46,21.65,0.971
2014-03-25,21.74,22.06,21.64,21.8,0.979
2014-03-26,21.95,22.11,21.61,21.62,0.979
2014-03-27,21.67,21.91,21.39,21.77,0.933
2014-03-28,21.83,22.12,21.13,21.16,0.904
2014-03-31,21.38,21.58,21.19,21.34,1.146
2014-04-01,21.48,21.66,21.22,21.56,0.889
2014-04-02,21.58,21.84,21.36,21.78,1.144
2014-04-03,21.75,21.91,21.49,21.78,1.931
2014-04-04,21.92,22.02,21.32,21.33,1.974
2014-04-07,21.21,21.33,20.99,21.26,1.085
2014-04-08,21.3,21.54,21.09,21.43,1.086
2014-04-09,21.46,21.86,21.34,21.85,1.0
2014-04-10,21.67,21.84,21.47,21.54,1.295
2014-04-11,21.34,21.74,21.04,21.05,0.954
2014-04-14,21.23,21.41,20.9,21.18,0.673
2014-04-15,21.2,21.31,20.66,21.26,0.646
2014-04-16,21.47,21.55,21.23,21.48,0.646
2014-04-17,21.39,21.53,21.32,21.46,0.755
2014-04-21,21.47,21.5,21.28,21.39,0.598
2014-04-22,21.38,21.77,21.38,21.55,0.702
2014-04-23,21.52,21.64,21.33,21.42,0.698
2014-04-24,21.48,21.48,21.08,21.33,0.696
2014-04-25,21.23,21.39,20.97,20.97,0.995
2014-04-28,21.23,23.15,20.96,22.71,1.804
2014-04-29,22.79,23.01,22.03,22.67,0.976
2014-04-30,22.7,22.88,22.27,22.33,0.684
2014-05-01,22.38,22.41,22.15,22.22,0.888
2014-05-02,22.24,22.25,21.95,22.17,1.409
2014-05-05,21.98,22.69,21.9,22.66,1.788
2014-05-06,22.56,22.91,22.51,22.56,2.263
2014-05-07,22.65,22.86,22.49,22.86,0.981
2014-05-08,22.8,23.11,22.54,22.55,0.65
2014-05-09,22.52,22.8,22.3,22.76,0.508
2014-05-12,22.91,23.23,22.76,23.11,0.584
2014-05-13,23.14,23.26,22.62,22.66,0.474
2014-05-14,22.67,22.79,22.49,22.59,0.305
2014-05-15,22.55,22.55,21.77,21.96,0.776
2014-05-16,21.96,22.15,21.8,22.0,0.332
2014-05-19,21.96,22.28,21.91,22.16,0.637
2014-05-20,22.18,22.19,21.75,21.97,0.519
2014-05-21,22.0,22.21,21.81,21.99,0.463
2014-05-22,21.99,22.31,21.95,22.14,0.403
2014-05-23,22.12,22.19,21.92,22.08,0.601
2014-05-27,22.22,22.64,22.08,22.61,0.814
2014-05-28,22.67,22.73,22.45,22.57,0.742
2014-05-29,22.67,22.74,22.12,22.17,0.782
2014-05-30,22.12,22.15,21.77,21.95,0.577
2014-06-02,22.06,22.07,21.63,21.83,0.752
2014-06-03,21.82,21.82,21.49,21.74,0.848
2014-06-04,21.75,21.92,21.52,21.7,0.621
2014-06-05,21.76,21.82,21.53,21.78,0.345
2014-06-06,21.81,22.17,21.59,21.64,0.471
2014-06-09,21.64,21.89,21.51,21.67,0.463
2014-06-10,21.67,21.94,21.58,21.92,0.542
2014-06-11,21.89,22.01,21.77,21.89,0.408
2014-06-12,21.87,22.2,21.75,22.08,0.851
2014-06-13,22.1,22.41,22.1,22.36,0.734
2014-06-16,22.36,22.72,22.15,22.18,0.76
2014-06-17,22.38,22.97,22.29,22.64,0.797
2014-06-18,22.68,22.73,22.39,22.58,0.54
2014-06-19,22.67,22.71,22.43,22.54,0.672
2014-06-20,22.59,23.02,22.57,23.01,1.227
2014-06-23,22.94,23.17,22.75,22.94,0.375
2014-06-24,22.86,23.03,22.76,22.79,0.437
2014-06-25,22.74,23.04,22.65,22.77,0.878
2014-06-26,22.76,22.9,22.53,22.83,0.391
2014-06-27,22.83,23.05,22.68,23.04,0.586
2014-06-30,23.03,23.17,22.86,23.14,0.783
2014-07-01,23.17,23.66,23.09,23.56,0.852
2014-07-02,23.41,23.57,23.24,23.41,0.627
2014-07-03,23.5,23.5,23.24,23.32,0.445
2014-07-07,23.29,23.41,22.86,22.9,0.497
2014-07-08,22.91,22.91,22.59,22.8,0.574
2014-07-09,22.9,23.03,22.68,22.79,0.438
2014-07-10,22.51,22.92,22.31,22.82,0.399
2014-07-11,22.82,22.95,22.58,22.79,0.262
2014-07-14,22.98,22.98,22.71,22.83,0.345
2014-07-15,22.71,22.87,22.41,22.77,0.758
2014-07-16,22.88,22.9,22.33,22.42,0.996
2014-07-17,22.35,22.56,22.26,22.31,0.731
2014-07-18,22.41,22.81,22.29,22.79,0.56
2014-07-21,22.68,22.76,22.39,22.62,0.488
2014-07-22,22.72,22.86,22.42,22.81,0.375
2014-07-23,22.93,23.09,22.76,23.07,0.345
2014-07-24,23.12,23.19,22.8,23.01,0.632
2014-07-25,22.99,23.19,22.78,23.16,0.468
2014-07-28,23.15,23.39,23.08,23.38,0.548
2014-07-29,23.33,23.62,23.24,23.45,0.644
2014-07-30,23.57,23.72,23.33,23.47,0.36
2014-07-31,23.24,23.42,23.08,23.33,0.856
2014-08-01,23.24,23.85,23.05,23.27,1.1
2014-08-04,23.32,23.32,22.84,23.29,0.378
2014-08-05,23.17,23.32,22.99,23.22,0.579
2014-08-06,23.12,23.34,23.06,23.28,0.321
2014-08-07,23.27,23.66,23.19,23.42,0.49
2014-08-08,23.51,23.69,23.28,23.54,0.442
2014-08-11,23.56,23.79,23.3,23.67,0.52
2014-08-12,23.71,23.82,23.42,23.59,0.758
2014-08-13,23.7,24.03,23.7,24.01,0.848
2014-08-14,23.89,24.18,23.88,24.17,0.494
2014-08-15,24.25,24.25,23.83,24.05,0.737
2014-08-18,24.21,24.23,24.0,24.15,0.637
2014-08-19,24.2,24.29,23.97,24.06,0.631
2014-08-20,24.0,24.08,23.78,23.84,0.346
2014-08-21,23.88,23.95,23.67,23.91,0.515
2014-08-22,23.97,24.15,23.86,23.91,0.379
2014-08-25,24.09,24.18,23.84,24.0,0.426
2014-08-26,24.11,24.22,23.84,23.88,0.612
2014-08-27,23.85,24.12,23.44,23.62,0.699
2014-08-28,23.59,23.81,23.39,23.76,0.355
2014-08-29,23.87,24.03,23.77,23.88,0.438
