Date,Open,High,Low,Close,Volume
2014-01-02,37.18,37.18,36.7,36.77,3.185
2014-01-03,36.87,37.08,36.75,36.93,2.176
2014-01-06,37.36,37.58,37.26,37.43,4.863
2014-01-07,37.72,38.07,37.72,38.03,7.04
2014-01-08,37.73,38.19,37.67,38.14,5.537
2014-01-09,38.25,38.56,38.19,38.4,4.481
2014-01-10,38.43,38.78,38.3,38.66,6.802
2014-01-13,38.57,38.77,38.34,38.54,8.288
2014-01-14,38.63,38.63,38.19,38.44,5.714
2014-01-15,38.53,38.95,38.52,38.78,5.083
2014-01-16,38.39,38.74,38.03,38.73,6.084
2014-01-17,39.04,39.12,38.66,38.78,4.858
2014-01-21,38.85,39.34,38.77,39.31,5.778
2014-01-22,39.25,39.31,39.05,39.26,4.391
2014-01-23,38.93,38.93,38.48,38.76,4.772
2014-01-24,38.48,38.64,38.2,38.26,4.785
2014-01-27,38.26,38.41,37.77,37.79,5.37
2014-01-28,37.36,37.92,37.35,37.88,4.852
2014-01-29,37.5,37.83,37.11,37.38,3.729
2014-01-30,37.72,37.96,37.43,37.87,2.715
2014-01-31,37.4,37.76,37.14,37.41,3.1
2014-02-03,37.45,37.48,36.35,36.41,4.341
2014-02-04,36.62,36.9,36.28,36.77,2.761
2014-02-05,36.63,36.83,36.42,36.65,2.545
2014-02-06,36.72,37.13,36.58,37.09,2.368
2014-02-07,37.28,37.44,36.92,37.29,2.283
2014-02-10,37.21,37.58,37.03,37.55,2.759
2014-02-11,37.5,37.73,37.35,37.62,3.537
2014-02-12,37.37,37.66,37.03,37.24,3.191
2014-02-13,36.89,37.47,36.89,37.43,2.834
2014-02-14,37.4,37.7,37.28,37.6,2.204
2014-02-18,37.56,37.7,37.4,37.56,1.786
2014-02-19,37.44,37.59,36.73,36.81,3.926
2014-02-20,36.88,37.29,36.57,37.18,2.703
2014-02-21,37.24,37.4,37.05,37.22,3.958
2014-02-24,37.03,37.86,37.02,37.7,3.577
2014-02-25,37.63,37.79,37.49,37.55,2.19
2014-02-26,37.62,37.89,37.55,37.81,1.904
2014-02-27,37.33,37.72,37.21,37.51,4.075
2014-02-28,37.54,38.21,37.5,37.8,3.996
2014-03-03,37.19,37.47,37.12,37.39,2.547
2014-03-04,37.82,38.03,37.65,37.94,2.653
2014-03-05,38.0,38.51,37.9,38.39,2.964
2014-03-06,38.52,38.98,38.52,38.77,3.413
2014-03-07,38.92,39.35,38.92,39.18,3.936
2014-03-10,38.96,39.23,38.8,39.23,2.874
2014-03-11,39.2,39.27,38.77,38.99,2.703
2014-03-12,38.77,39.02,38.76,39.02,2.69
2014-03-13,38.99,39.21,38.51,38.59,4.414
2014-03-14,38.49,38.83,38.42,38.47,2.284
2014-03-17,38.67,38.91,38.61,38.86,2.398
2014-03-18,38.86,39.1,38.76,39.06,2.326
2014-03-19,38.95,39.49,38.87,39.19,3.327
2014-03-20,39.08,39.95,39.06,39.78,3.763
2014-03-21,40.1,40.6,39.92,40.19,8.293
2014-03-24,40.2,40.53,40.01,40.18,5.048
