Date,Open,High,Low,Close,Volume
2014-01-02,93.65,93.65,92.39,92.75,0.216
2014-01-03,93.59,93.73,92.51,92.85,0.23
2014-01-06,93.35,93.45,92.69,92.92,0.275
2014-01-07,93.07,94.35,92.88,94.12,0.236
2014-01-08,94.12,95.45,94.12,94.65,0.239
2014-01-09,94.75,97.0,94.59,97.0,0.35
2014-01-10,96.87,97.49,96.19,97.09,0.434
2014-01-13,96.84,97.1,96.17,96.37,0.196
2014-01-14,96.56,96.95,95.86,96.88,0.218
2014-01-15,96.91,97.25,96.08,96.8,0.236
2014-01-16,96.5,97.3,96.28,97.0,0.185
2014-01-17,96.95,97.42,96.33,96.45,0.116
2014-01-21,96.78,96.84,95.39,96.63,0.219
2014-01-22,96.8,96.84,96.31,96.64,0.279
2014-01-23,96.23,96.74,95.72,96.46,0.155
2014-01-24,96.09,96.09,93.12,94.37,0.382
2014-01-27,94.36,94.5,93.09,93.09,0.214
2014-01-28,93.32,94.14,93.24,93.6,0.158
2014-01-29,92.84,93.77,92.5,93.5,0.201
2014-01-30,93.89,94.65,93.11,94.31,0.202
2014-01-31,93.84,93.99,92.99,93.64,0.225
2014-02-03,93.64,93.95,90.15,90.94,0.447
2014-02-04,91.23,91.79,90.48,91.18,0.366
2014-02-05,91.02,93.01,90.75,91.85,0.283
2014-02-06,92.07,92.83,91.33,91.48,0.226
2014-02-07,91.75,92.8,91.49,92.77,0.146
2014-02-10,92.6,93.24,92.24,92.64,0.279
2014-02-11,92.86,94.11,92.16,94.1,0.303
2014-02-12,94.1,94.7,93.68,94.63,0.322
2014-02-13,94.34,96.55,93.88,96.41,0.254
2014-02-14,96.44,97.11,95.96,96.12,0.228
2014-02-18,96.27,97.63,95.65,97.14,0.248
2014-02-19,96.85,97.84,96.48,96.61,0.199
2014-02-20,96.69,97.82,96.04,97.67,0.293
2014-02-21,100.83,103.51,97.67,101.19,0.992
2014-02-24,101.47,102.51,100.49,100.57,0.562
2014-02-25,100.87,102.48,100.21,102.13,0.521
2014-02-26,102.16,102.81,100.88,101.12,0.316
2014-02-27,101.12,102.08,100.36,101.96,0.206
2014-02-28,101.55,102.92,101.01,101.99,0.171
2014-03-03,101.19,101.94,100.19,100.44,0.426
2014-03-04,101.06,101.58,100.5,100.83,0.624
2014-03-05,100.83,102.12,100.29,101.32,0.508
2014-03-06,101.07,102.96,101.07,102.39,0.273
2014-03-07,102.8,103.33,101.89,102.89,0.202
2014-03-10,102.89,103.8,102.1,102.21,0.213
2014-03-11,102.01,103.54,101.73,102.05,0.443
2014-03-12,101.72,102.84,101.29,102.82,0.3
2014-03-13,103.0,103.69,102.08,102.31,0.266
2014-03-14,102.18,103.34,102.14,102.94,0.162
2014-03-17,103.38,104.33,103.37,103.9,0.153
2014-03-18,104.24,104.46,103.83,104.02,0.306
2014-03-19,104.93,105.17,103.95,104.48,0.253
2014-03-20,104.41,104.46,103.6,103.98,0.563
2014-03-21,104.67,106.22,104.14,105.32,0.745
2014-03-24,106.07,106.21,104.43,105.49,0.422
2014-03-25,105.66,106.59,105.04,105.4,0.506
2014-03-26,105.79,106.7,105.55,106.1,0.344
2014-03-27,106.37,106.37,104.18,105.18,0.437
2014-03-28,105.32,106.35,104.7,105.66,0.246
2014-03-31,106.12,107.43,105.69,107.24,0.27
2014-04-01,107.45,108.0,106.39,107.47,0.458
2014-04-02,107.49,108.97,107.07,108.4,0.401
2014-04-03,108.59,108.99,107.55,108.69,0.334
2014-04-04,109.52,109.73,106.51,106.66,0.262
2014-04-07,106.16,106.69,104.92,105.47,0.31
2014-04-08,105.28,105.57,104.05,104.93,0.236
2014-04-09,105.08,105.74,104.47,105.24,0.216
2014-04-10,104.89,105.12,102.13,102.41,0.364
2014-04-11,102.05,102.97,101.79,102.05,0.249
2014-04-14,102.14,103.14,101.63,102.4,0.2
2014-04-15,102.42,103.09,101.03,102.4,0.349
2014-04-16,103.41,103.44,102.05,102.18,0.193
2014-04-17,102.07,102.61,101.52,101.84,0.285
2014-04-21,102.11,103.31,101.88,103.23,0.228
2014-04-22,103.29,104.21,102.55,102.71,0.223
