Date,Open,High,Low,Close,Volume
2014-01-02,31.68,32.17,31.59,31.74,4.197
2014-01-03,31.63,32.07,31.62,31.8,3.303
2014-01-06,31.91,32.01,31.43,31.45,6.277
2014-01-07,31.5,32.0,31.48,31.59,6.294
2014-01-08,31.64,31.78,31.45,31.75,6.096
2014-01-09,31.8,31.9,31.61,31.66,5.041
2014-01-10,31.83,32.03,31.75,32.03,5.76
2014-01-13,31.95,32.19,31.38,31.45,7.287
2014-01-14,31.5,31.6,31.19,31.43,6.886
2014-01-15,31.46,31.52,31.19,31.27,5.226
2014-01-16,31.24,31.36,31.01,31.07,6.137
2014-01-17,31.11,31.21,30.88,30.93,9.638
2014-01-21,30.68,30.92,29.75,30.1,14.197
2014-01-22,30.15,30.16,29.57,29.59,14.671
2014-01-23,29.43,29.54,29.15,29.2,10.951
2014-01-24,29.02,29.24,28.88,28.88,7.864
2014-01-27,28.82,29.17,28.31,29.05,11.261
2014-01-28,29.08,29.38,29.03,29.08,8.299
2014-01-29,28.75,29.0,28.56,28.62,9.02
2014-01-30,28.85,28.92,28.59,28.75,7.107
2014-01-31,28.4,28.86,28.24,28.68,8.626
2014-02-03,28.67,28.67,28.02,28.12,11.441
2014-02-04,28.26,28.29,27.97,28.01,7.023
2014-02-05,28.0,28.97,27.91,28.9,15.307
2014-02-06,28.98,29.75,28.83,29.69,12.073
2014-02-07,29.81,30.01,29.53,29.72,7.684
2014-02-10,29.77,29.77,29.35,29.63,6.071
2014-02-11,29.64,30.08,29.54,29.98,6.794
2014-02-12,30.05,30.32,29.95,30.07,5.275
2014-02-13,29.94,30.26,29.86,30.08,6.521
2014-02-14,29.95,30.08,29.74,29.9,6.807
2014-02-18,30.0,30.19,29.89,30.11,7.623
2014-02-19,30.09,30.33,29.9,29.92,6.238
2014-02-20,30.01,30.17,29.66,30.01,6.859
2014-02-21,30.07,30.24,29.88,30.04,8.188
2014-02-24,30.06,30.5,29.99,30.19,7.88
2014-02-25,30.18,30.63,29.95,30.5,11.732
2014-02-26,30.77,31.11,30.08,30.15,16.109
2014-02-27,30.13,30.5,30.0,30.36,12.394
2014-02-28,30.4,30.77,30.2,30.73,10.412
2014-03-03,30.42,30.61,30.23,30.44,7.38
2014-03-04,30.66,30.86,30.66,30.77,4.887
2014-03-05,30.82,31.0,30.76,30.86,6.284
2014-03-06,30.88,30.88,30.34,30.57,7.691
2014-03-07,30.66,30.91,30.58,30.85,5.317
2014-03-10,30.76,31.15,30.73,31.11,6.081
2014-03-11,31.14,31.18,30.84,30.92,4.999
2014-03-12,30.75,30.83,30.53,30.75,6.256
2014-03-13,30.86,30.91,30.45,30.53,4.429
2014-03-14,30.5,30.88,30.47,30.67,4.787
2014-03-17,30.77,31.08,30.63,31.02,6.083
2014-03-18,31.0,31.0,30.39,30.4,7.593
2014-03-19,30.39,30.56,30.1,30.25,6.877
2014-03-20,30.17,30.46,30.17,30.34,5.668
2014-03-21,30.57,30.96,30.47,30.88,14.882
2014-03-24,30.9,31.01,30.28,30.28,6.217
2014-03-25,30.47,30.5,29.98,30.03,7.265
2014-03-26,30.1,30.13,29.75,29.83,8.142
2014-03-27,29.82,30.0,29.65,29.7,5.865
2014-03-28,29.75,30.08,29.72,30.05,5.17
2014-03-31,30.22,30.36,30.07,30.33,6.589
2014-04-01,30.42,30.62,30.38,30.59,5.03
2014-04-02,30.68,31.11,30.67,31.08,5.918
2014-04-03,31.09,31.18,30.67,30.77,6.231
2014-04-04,30.97,31.04,30.56,30.59,5.605
2014-04-07,30.56,30.58,29.78,29.94,6.152
2014-04-08,29.82,30.25,29.64,30.23,4.702
2014-04-09,30.25,30.26,29.66,30.12,6.689
2014-04-10,30.08,30.19,29.42,29.44,5.517
2014-04-11,29.22,29.25,28.81,28.92,8.204
2014-04-14,29.12,29.22,28.85,29.15,11.824
2014-04-15,29.2,29.41,28.98,29.34,8.205
2014-04-16,29.57,29.67,29.3,29.51,4.579
2014-04-17,29.44,29.56,29.27,29.35,4.326
2014-04-21,29.35,29.72,29.35,29.69,6.273
2014-04-22,29.67,29.92,29.5,29.85,5.558
2014-04-23,29.82,29.92,29.41,29.42,5.259
2014-04-24,29.51,29.55,29.01,29.12,6.373
2014-04-25,29.1,29.29,28.92,29.07,4.651
2014-04-28,29.22,29.52,28.97,29.27,5.869
2014-04-29,29.41,29.43,29.15,29.23,5.227
2014-04-30,29.27,29.38,29.02,29.09,5.331
2014-05-01,29.07,29.39,28.98,29.13,5.229
2014-05-02,29.1,29.52,29.1,29.19,3.279
2014-05-05,29.11,29.33,28.98,29.05,3.709
2014-05-06,28.92,28.94,28.49,28.51,6.462
2014-05-07,28.56,28.64,28.33,28.6,5.791
2014-05-08,28.67,29.11,28.56,28.91,6.733
2014-05-09,28.95,29.25,28.84,29.24,5.798
2014-05-12,29.35,29.98,29.35,29.93,7.884
2014-05-13,29.86,29.88,29.48,29.54,5.338
2014-05-14,29.54,29.86,29.52,29.57,6.725
2014-05-15,29.38,29.42,28.88,29.06,9.938
2014-05-16,29.06,29.36,29.01,29.28,7.907
2014-05-19,29.18,29.27,28.92,29.2,6.826
2014-05-20,28.02,28.45,26.93,26.98,34.689
2014-05-21,27.17,28.37,27.16,28.3,23.771
2014-05-22,28.31,28.45,27.64,27.74,12.434
2014-05-23,27.75,28.05,27.57,27.58,8.313
2014-05-27,27.67,27.75,27.29,27.33,10.449
2014-05-28,27.31,27.35,27.05,27.15,14.402
2014-05-29,27.33,27.34,27.06,27.23,8.502
2014-05-30,27.2,27.32,27.08,27.23,10.84
2014-06-02,27.32,27.36,27.03,27.07,8.277
2014-06-03,27.0,27.15,26.93,27.11,11.394
2014-06-04,27.11,27.8,27.07,27.76,15.005
2014-06-05,27.75,28.03,27.58,28.01,13.11
2014-06-06,28.07,28.42,28.04,28.21,9.559
2014-06-09,28.11,28.44,28.08,28.11,6.541
2014-06-10,28.03,28.12,27.91,28.03,6.426
2014-06-11,27.92,27.92,27.67,27.74,8.14
2014-06-12,27.67,27.7,27.28,27.34,8.485
2014-06-13,27.36,27.44,27.23,27.4,6.212
2014-06-16,27.41,27.42,27.2,27.35,6.109
2014-06-17,27.38,27.44,27.17,27.37,6.49
2014-06-18,27.36,27.8,27.34,27.78,6.242
2014-06-19,27.79,27.79,27.53,27.56,6.171
2014-06-20,27.69,27.73,27.44,27.48,10.736
2014-06-23,27.4,27.52,27.27,27.41,6.991
2014-06-24,27.4,27.42,26.91,26.92,9.82
2014-06-25,26.9,26.95,26.48,26.57,16.925
2014-06-26,26.59,26.64,25.99,26.41,14.411
2014-06-27,26.34,26.54,26.32,26.39,10.695
2014-06-30,26.42,26.61,26.42,26.58,9.696
2014-07-01,26.53,26.81,26.51,26.75,7.022
2014-07-02,26.71,26.98,26.7,26.85,6.302
2014-07-03,26.88,27.0,26.84,26.9,4.373
2014-07-07,26.82,26.92,26.64,26.7,10.55
2014-07-08,26.7,26.98,26.57,26.92,8.979
2014-07-09,26.97,27.36,26.95,27.24,8.228
2014-07-10,26.95,27.12,26.8,26.89,8.083
2014-07-11,26.81,26.9,26.66,26.77,5.606
2014-07-14,26.98,26.98,26.62,26.73,6.319
2014-07-15,26.64,27.0,26.59,26.97,9.552
2014-07-16,26.97,26.97,26.26,26.29,16.763
2014-07-17,26.18,26.33,26.07,26.11,11.956
2014-07-18,26.23,26.5,25.95,26.49,7.33
2014-07-21,26.42,26.43,26.0,26.19,7.181
2014-07-22,26.4,26.42,26.21,26.24,5.841
2014-07-23,26.33,26.62,26.32,26.55,7.342
2014-07-24,26.72,26.87,26.59,26.6,7.017
2014-07-25,26.51,26.64,26.27,26.27,6.185
2014-07-28,26.43,26.53,26.3,26.32,7.754
2014-07-29,26.37,26.52,26.25,26.25,5.757
2014-07-30,26.39,26.9,26.34,26.84,8.472
2014-07-31,26.5,26.82,26.46,26.65,10.464
2014-08-01,26.49,26.71,26.46,26.56,7.261
2014-08-04,26.94,26.94,26.51,26.85,5.41
2014-08-05,26.85,26.85,26.5,26.57,6.823
2014-08-06,26.38,27.17,26.38,26.95,7.894
2014-08-07,27.06,27.18,26.7,26.75,4.337
2014-08-08,26.82,27.47,26.81,27.45,7.938
2014-08-11,27.51,27.58,27.19,27.23,5.758
2014-08-12,27.17,27.32,27.06,27.1,6.502
2014-08-13,27.05,27.07,26.64,26.67,10.504
2014-08-14,26.83,27.05,26.68,26.98,7.804
2014-08-15,27.01,27.01,26.5,26.57,8.466
2014-08-18,26.8,27.17,26.72,26.95,10.665
2014-08-19,28.36,29.75,28.25,29.28,31.835
2014-08-20,29.12,29.85,28.97,29.7,16.508
2014-08-21,29.7,29.75,29.31,29.45,9.184
2014-08-22,29.5,29.74,29.49,29.68,7.538
2014-08-25,29.75,29.82,29.48,29.49,7.185
2014-08-26,29.51,29.84,29.47,29.75,11.123
2014-08-27,29.75,29.85,29.66,29.77,6.657
2014-08-28,29.52,30.02,29.39,29.89,7.72
2014-08-29,29.93,29.94,29.7,29.81,4.94
2014-09-02,29.94,30.33,29.92,30.22,8.996
2014-09-03,30.32,30.38,30.08,30.18,5.38
2014-09-04,30.2,30.62,30.18,30.44,6.77
2014-09-05,30.34,30.59,30.0,30.58,6.553
2014-09-08,30.37,30.5,30.16,30.26,6.12
2014-09-09,30.11,30.12,29.75,29.86,8.539
2014-09-10,29.92,30.02,29.73,29.85,5.853
2014-09-11,29.83,30.17,29.79,30.09,5.626
2014-09-12,30.17,30.18,29.76,29.94,4.706
2014-09-15,29.89,29.98,29.79,29.85,3.867
2014-09-16,29.85,30.33,29.75,30.11,6.214
2014-09-17,30.13,30.15,29.8,29.96,4.407
2014-09-18,30.07,30.26,30.02,30.11,4.251
2014-09-19,30.25,30.28,29.82,29.83,8.706
2014-09-22,29.83,29.88,29.47,29.59,5.375
2014-09-23,29.52,29.59,29.29,29.38,7.807
2014-09-24,29.44,30.25,29.39,30.18,9.994
2014-09-25,30.0,30.18,29.58,29.65,9.948
2014-09-26,29.73,30.12,29.67,29.96,8.248
2014-09-29,29.67,30.07,29.57,29.9,6.171
2014-09-30,29.8,29.84,29.58,29.58,6.829
2014-10-01,29.64,29.9,29.48,29.61,6.827
2014-10-02,29.7,30.05,29.58,29.98,6.247
2014-10-03,30.12,30.71,30.12,30.54,7.775
2014-10-06,30.58,30.62,30.12,30.15,4.75
2014-10-07,29.97,30.21,29.84,29.84,6.054
2014-10-08,29.93,30.52,29.8,30.5,7.541
2014-10-09,30.33,30.66,30.19,30.25,9.961
2014-10-10,30.33,31.09,30.32,30.78,10.787
2014-10-13,30.75,30.83,30.28,30.32,7.789
2014-10-14,30.51,30.81,30.43,30.7,9.267
2014-10-15,30.33,30.61,29.72,30.05,13.506
2014-10-16,29.63,30.12,29.61,29.81,14.241
2014-10-17,30.17,30.32,29.83,30.2,14.117
2014-10-20,30.08,30.47,30.08,30.33,14.14
2014-10-21,30.5,31.31,30.22,31.08,9.48
2014-10-22,30.87,31.45,30.74,30.81,11.141
2014-10-23,31.04,31.42,30.99,31.17,6.645
2014-10-24,31.06,31.23,30.85,31.04,6.324
2014-10-27,31.04,31.45,31.04,31.42,5.003
2014-10-28,31.33,31.41,31.01,31.35,5.572
2014-10-29,31.3,31.63,31.14,31.36,5.736
2014-10-30,31.15,31.68,31.12,31.62,5.513
2014-10-31,31.99,32.1,31.47,31.66,6.802
2014-11-03,32.05,32.06,31.61,31.95,7.074
2014-11-04,31.91,32.04,31.76,31.93,5.553
2014-11-05,32.0,32.14,31.77,31.86,6.21
2014-11-06,31.9,32.31,31.73,32.28,7.295
2014-11-07,32.25,32.41,31.98,32.0,5.834
2014-11-10,31.89,31.98,31.68,31.96,6.253
2014-11-11,32.01,32.09,31.58,31.62,8.778
2014-11-12,31.67,31.93,31.66,31.86,11.916
2014-11-13,31.98,32.08,31.59,31.75,7.615
2014-11-14,30.92,31.28,30.91,31.16,13.362
2014-11-17,31.17,31.4,30.75,30.77,12.266
2014-11-18,30.49,31.0,29.84,30.82,31.855
2014-11-19,30.97,31.44,30.67,31.07,10.445
2014-11-20,31.0,31.76,30.97,31.68,12.682
2014-11-21,31.94,32.12,31.7,31.78,10.334
2014-11-24,31.79,31.93,31.66,31.75,7.992
2014-11-25,32.22,32.47,31.98,31.98,16.97
2014-11-26,32.12,32.35,32.12,32.26,6.912
2014-11-28,32.42,33.24,32.42,33.08,6.48
2014-12-01,32.8,32.92,32.36,32.62,8.91
2014-12-02,32.65,32.85,32.36,32.62,5.403
2014-12-03,33.04,33.19,32.74,32.93,7.24
2014-12-04,32.81,32.96,32.57,32.96,5.342
2014-12-05,32.96,33.12,32.7,32.79,4.67
2014-12-08,32.66,32.97,32.62,32.65,5.405
2014-12-09,32.33,32.81,32.3,32.71,4.39
2014-12-10,32.65,32.99,32.12,32.15,6.449
2014-12-11,32.31,33.22,32.31,32.8,9.644
2014-12-12,32.63,33.24,32.6,32.81,6.753
2014-12-15,32.87,33.37,32.77,33.15,9.2
2014-12-16,32.94,33.37,32.51,32.51,11.266
2014-12-17,32.76,32.87,32.2,32.68,7.809
2014-12-18,33.06,33.55,32.71,33.54,9.164
2014-12-19,33.65,33.67,32.74,33.04,10.204
2014-12-22,33.12,33.74,33.06,33.63,5.83
2014-12-23,33.82,34.22,33.7,34.06,4.491
2014-12-24,34.1,34.23,33.9,33.94,2.337
2014-12-26,33.97,34.23,33.9,34.03,2.94
2014-12-29,33.92,34.45,33.92,34.19,4.504
2014-12-30,34.08,34.3,33.91,34.22,3.645
2014-12-31,34.41,34.92,34.26,34.29,5.824
2015-01-02,34.33,34.56,33.76,33.98,5.289
2015-01-05,33.72,33.97,33.51,33.6,6.354
2015-01-06,33.75,34.16,33.15,33.44,6.146
2015-01-07,33.55,34.19,33.51,34.12,6.153
2015-01-08,34.25,34.49,34.14,34.3,8.306
2015-01-09,34.4,34.4,33.49,33.88,8.004
2015-01-12,33.95,34.12,33.69,33.7,7.213
2015-01-13,33.99,34.22,33.46,33.58,8.838
2015-01-14,32.97,33.32,32.79,33.12,7.31
2015-01-15,33.3,33.52,32.63,32.64,7.404
2015-01-16,32.66,33.44,32.55,33.38,6.533
2015-01-20,33.56,33.6,32.85,33.11,5.663
2015-01-21,33.04,33.41,32.91,33.01,6.088
2015-01-22,33.24,33.87,33.01,33.75,5.114
2015-01-23,33.81,33.97,33.6,33.81,4.292
2015-01-26,33.67,34.12,33.63,34.07,5.423
2015-01-27,33.82,34.33,33.71,34.12,5.991
2015-01-28,34.38,34.68,33.6,33.63,6.187
2015-01-29,33.62,33.83,33.24,33.81,5.677
2015-01-30,33.52,33.67,32.94,32.97,6.132
2015-02-02,32.96,33.09,32.15,32.94,6.824
2015-02-03,33.05,33.7,33.04,33.65,5.001
2015-02-04,33.7,34.1,33.5,33.94,7.275
2015-02-05,34.14,34.33,33.97,34.22,5.53
2015-02-06,34.26,34.44,33.99,34.12,4.458
2015-02-09,33.99,34.06,33.7,33.75,3.887
2015-02-10,34.06,34.21,33.96,34.15,6.111
2015-02-11,34.14,34.31,34.04,34.18,5.02
2015-02-12,34.33,34.46,34.03,34.44,6.49
2015-02-13,34.42,34.62,34.28,34.62,5.436
2015-02-17,34.71,34.71,34.21,34.29,6.018
2015-02-18,34.19,34.26,33.81,33.83,6.956
2015-02-19,33.87,34.03,33.83,33.91,4.491
2015-02-20,33.9,34.4,33.82,34.37,5.31
2015-02-23,34.46,34.53,34.08,34.2,6.119
2015-02-24,34.26,34.5,33.54,33.58,12.497
2015-02-25,33.1,34.94,32.76,34.69,18.383
2015-02-26,34.28,34.49,33.96,34.03,10.851
2015-02-27,34.14,34.58,34.1,34.32,7.854
2015-03-02,34.38,34.83,34.31,34.74,8.809
2015-03-03,34.56,34.6,33.99,34.31,5.903
2015-03-04,34.24,34.38,33.87,34.15,4.883
2015-03-05,34.16,34.46,34.16,34.36,4.97
2015-03-06,34.15,34.49,33.97,34.01,4.393
2015-03-09,34.06,34.26,33.93,34.12,3.594
2015-03-10,33.99,34.12,33.75,33.81,4.728
2015-03-11,33.77,33.99,33.51,33.58,5.172
2015-03-12,33.76,34.38,33.76,34.35,5.225
2015-03-13,34.32,34.32,33.74,33.99,5.318
2015-03-16,34.03,34.47,34.03,34.33,5.434
2015-03-17,34.13,34.41,34.03,34.15,5.781
2015-03-18,34.15,34.15,33.36,33.97,7.05
2015-03-19,34.03,34.13,33.86,34.08,5.653
2015-03-20,34.15,34.76,34.13,34.74,11.652
2015-03-23,34.65,35.13,34.54,34.74,9.092
2015-03-24,34.62,35.17,34.51,35.04,9.193
2015-03-25,35.0,35.08,34.71,34.77,10.545
2015-03-26,34.59,34.63,34.2,34.51,8.842
2015-03-27,34.44,34.81,34.38,34.79,6.045
2015-03-30,35.0,35.51,34.81,35.24,7.149
2015-03-31,35.18,35.49,35.01,35.03,6.421
2015-04-01,35.04,35.06,34.38,34.47,6.497
2015-04-02,34.63,34.85,34.46,34.66,3.459
2015-04-06,34.46,34.94,34.38,34.65,3.172
2015-04-07,34.6,34.76,34.28,34.33,3.272
2015-04-08,34.43,34.72,34.29,34.67,4.023
2015-04-09,34.69,34.92,34.13,34.31,6.446
2015-04-10,34.47,34.47,34.22,34.26,4.254
2015-04-13,34.28,34.35,34.03,34.07,4.983
2015-04-14,34.04,34.19,33.61,33.64,7.628
2015-04-15,33.72,33.79,33.33,33.37,7.976
2015-04-16,33.42,33.46,33.2,33.24,6.094
2015-04-17,33.01,33.01,32.53,32.62,10.465
2015-04-20,32.62,33.13,32.56,32.99,12.647
2015-04-21,33.08,33.31,33.03,33.15,6.664
2015-04-22,33.12,33.3,32.9,33.21,6.651
2015-04-23,33.15,33.3,33.04,33.17,5.035
2015-04-24,33.18,33.24,33.03,33.15,4.655
2015-04-27,33.13,33.18,32.64,32.65,6.334
2015-04-28,32.73,32.73,32.28,32.46,5.666
2015-04-29,32.39,32.4,31.83,32.12,6.633
2015-04-30,31.99,32.54,31.95,32.27,8.33
2015-05-01,32.42,32.83,32.31,32.78,8.369
2015-05-04,32.8,32.94,32.72,32.77,6.933
2015-05-05,32.61,32.9,32.58,32.81,6.829
2015-05-06,32.85,32.94,32.71,32.92,6.979
2015-05-07,32.98,33.15,32.81,33.1,5.062
2015-05-08,33.29,33.77,33.28,33.66,5.936
2015-05-11,33.68,33.76,33.35,33.42,5.075
2015-05-12,33.24,33.32,32.92,33.19,4.82
2015-05-13,33.27,33.37,32.81,32.94,5.892
2015-05-14,33.08,33.12,32.62,32.83,6.501
2015-05-15,32.89,33.03,32.67,32.97,5.518
2015-05-18,33.06,33.67,33.06,33.63,6.467
2015-05-19,34.96,35.26,34.55,34.6,13.578
2015-05-20,34.62,34.72,34.0,34.23,8.512
2015-05-21,34.11,34.12,33.86,33.94,6.36
2015-05-22,33.83,34.15,33.56,33.58,5.46
2015-05-26,33.46,33.56,32.99,33.08,6.603
2015-05-27,33.22,33.34,33.01,33.25,4.631
2015-05-28,33.26,33.28,32.94,32.99,3.851
2015-05-29,32.99,32.99,32.19,32.19,12.8
2015-06-01,32.19,32.72,32.15,32.54,6.235
2015-06-02,32.52,32.75,32.35,32.44,5.129
2015-06-03,32.6,33.1,32.47,33.01,5.165
2015-06-04,32.33,33.1,32.33,32.81,4.973
2015-06-05,32.78,32.99,32.67,32.81,4.543
2015-06-08,32.71,32.87,32.62,32.63,3.382
2015-06-09,32.62,32.7,32.26,32.35,4.808
2015-06-10,32.53,32.81,32.45,32.76,4.631
2015-06-11,32.92,33.08,32.72,32.76,4.098
2015-06-12,32.71,32.83,32.58,32.69,3.085
2015-06-15,32.43,32.59,32.36,32.53,4.624
2015-06-16,32.5,32.75,32.42,32.68,3.987
2015-06-17,32.75,32.97,32.6,32.85,3.549
2015-06-18,32.97,33.6,32.85,33.58,6.477
2015-06-19,33.44,33.63,33.28,33.31,6.041
2015-06-22,33.51,33.58,33.24,33.27,3.051
2015-06-23,33.38,33.78,33.28,33.76,4.431
2015-06-24,33.83,33.96,33.78,33.79,5.696
2015-06-25,33.85,33.94,33.63,33.65,5.233
2015-06-26,33.67,34.12,33.67,34.01,5.971
2015-06-29,33.74,33.88,33.01,33.04,6.716
2015-06-30,33.37,33.4,32.95,33.08,6.358
2015-07-01,33.25,33.74,33.11,33.71,5.57
2015-07-02,33.65,33.88,33.33,33.4,4.297
2015-07-06,33.08,33.69,33.01,33.46,6.857
2015-07-07,33.56,34.15,33.47,34.11,6.177
2015-07-08,33.88,34.09,33.69,33.69,4.319
2015-07-09,34.09,34.13,33.83,33.83,5.032
2015-07-10,34.24,34.24,33.85,34.06,4.691
2015-07-13,34.35,34.6,34.17,34.58,4.59
2015-07-14,34.58,34.65,34.3,34.56,4.066
2015-07-15,34.54,34.56,34.29,34.36,4.788
2015-07-16,34.5,34.78,34.31,34.69,4.218
2015-07-17,34.63,34.65,34.31,34.37,4.002
2015-07-20,34.47,34.61,34.35,34.55,3.378
2015-07-21,34.46,34.62,34.22,34.26,4.356
2015-07-22,34.28,34.58,34.2,34.31,4.098
2015-07-23,34.4,34.42,34.09,34.12,2.965
2015-07-24,34.2,34.21,33.68,33.72,3.865
2015-07-27,33.7,33.81,33.52,33.67,3.593
2015-07-28,33.82,33.99,33.52,33.93,3.37
2015-07-29,34.01,34.78,33.94,34.73,7.641
2015-07-30,34.67,34.84,34.45,34.81,5.88
2015-07-31,34.92,34.99,34.76,34.91,5.733
2015-08-03,35.0,35.14,34.51,34.68,5.597
2015-08-04,34.66,34.92,34.62,34.78,3.329
2015-08-05,34.97,35.29,34.94,35.09,2.574
2015-08-06,35.04,35.18,34.47,34.74,4.347
2015-08-07,34.78,34.85,34.44,34.81,3.491
2015-08-10,35.03,35.26,34.98,35.08,4.053
2015-08-11,34.82,35.1,34.76,34.99,4.018
2015-08-12,34.82,35.16,34.3,35.03,5.759
2015-08-13,35.0,35.65,34.81,35.28,6.963
2015-08-14,35.26,35.35,35.02,35.3,4.873
2015-08-17,35.26,35.92,35.08,35.81,8.894
2015-08-18,37.39,38.47,37.38,38.39,19.305
2015-08-19,37.59,38.0,37.01,37.44,13.701
2015-08-20,37.07,37.63,37.0,37.17,7.377
2015-08-21,36.76,36.99,35.74,35.78,10.143
2015-08-24,33.79,35.86,33.62,34.72,13.724
2015-08-25,35.6,35.65,34.4,34.42,10.426
2015-08-26,35.17,35.43,34.2,35.4,10.247
2015-08-27,35.65,35.81,35.01,35.72,6.746
2015-08-28,35.53,35.85,35.17,35.36,8.965
2015-08-31,35.31,35.51,35.02,35.16,5.481
2015-09-01,34.53,35.15,34.5,34.69,6.976
2015-09-02,35.21,35.43,34.82,35.42,6.096
2015-09-03,35.5,36.09,35.35,35.72,6.054
2015-09-04,35.26,35.59,35.15,35.38,4.437
2015-09-08,35.95,36.19,35.47,36.17,5.828
2015-09-09,36.28,36.44,35.44,35.53,4.606
2015-09-10,35.42,35.97,35.4,35.74,4.672
2015-09-11,35.59,35.92,35.42,35.9,4.587
2015-09-14,35.88,35.98,35.51,35.6,4.048
2015-09-15,35.63,35.69,35.26,35.49,6.335
2015-09-16,35.46,35.83,35.16,35.78,5.727
2015-09-17,36.2,36.74,36.03,36.27,9.501
2015-09-18,35.93,36.13,35.56,35.68,9.746
2015-09-21,35.85,36.15,35.73,35.99,4.033
2015-09-22,35.65,35.72,35.28,35.61,6.277
2015-09-23,35.58,35.79,35.44,35.58,3.492
2015-09-24,35.2,35.77,35.19,35.62,4.16
2015-09-25,35.9,35.95,35.22,35.48,5.21
2015-09-28,35.29,35.47,34.5,34.54,4.742
2015-09-29,34.5,34.81,34.26,34.74,7.243
2015-09-30,35.05,35.77,34.81,35.71,9.315
2015-10-01,35.71,35.81,34.94,35.4,6.407
2015-10-02,34.97,35.69,34.65,35.69,5.861
2015-10-05,35.9,35.99,35.17,35.76,7.552
2015-10-06,35.92,36.03,35.22,35.38,4.704
2015-10-07,35.62,36.0,35.42,35.95,7.98
2015-10-08,35.79,36.37,35.67,36.12,4.787
2015-10-09,36.03,36.46,35.79,36.39,4.756
2015-10-12,36.5,36.97,36.44,36.79,4.885
2015-10-13,36.71,36.9,36.26,36.37,4.457
2015-10-14,36.42,36.72,35.71,35.88,5.891
2015-10-15,35.93,35.99,35.27,35.87,7.18
2015-10-16,36.04,36.45,35.87,36.22,5.345
2015-10-19,36.21,36.47,36.1,36.46,4.422
2015-10-20,36.46,36.65,36.35,36.51,4.485
2015-10-21,36.67,36.69,36.1,36.21,3.668
2015-10-22,36.44,37.01,36.19,36.95,5.613
2015-10-23,37.31,37.31,35.54,35.88,7.455
2015-10-26,35.83,36.38,35.72,36.22,4.727
2015-10-27,36.15,36.24,35.58,35.92,4.348
2015-10-28,36.02,36.72,35.92,36.62,4.718
2015-10-29,36.69,36.73,36.22,36.54,3.843
2015-10-30,36.49,36.97,36.44,36.6,5.485
