Date,Open,High,Low,Close,Volume
2014-01-02,110.69,111.16,109.29,109.63,2.559
2014-01-03,109.96,110.48,109.67,110.05,1.486
2014-01-06,110.57,111.2,109.63,110.06,1.891
2014-01-07,111.09,112.48,110.75,112.31,2.247
2014-01-08,112.33,114.14,112.28,114.04,2.842
2014-01-09,114.17,114.81,113.49,114.0,2.196
2014-01-10,113.58,114.61,113.57,114.46,1.492
2014-01-13,114.02,114.59,112.68,112.99,2.049
2014-01-14,113.9,114.89,112.72,114.76,1.694
2014-01-15,115.12,115.71,114.59,115.52,1.537
2014-01-16,114.85,116.16,114.85,116.11,1.848
2014-01-17,115.76,116.5,115.59,115.89,2.55
2014-01-21,116.29,116.5,114.6,114.95,2.202
2014-01-22,115.07,115.36,114.38,114.7,2.01
2014-01-23,114.41,114.54,111.99,112.81,3.4
2014-01-24,113.14,113.14,109.93,109.95,3.893
2014-01-27,109.9,111.3,109.08,109.87,2.484
2014-01-28,110.59,112.43,110.59,112.32,2.526
2014-01-29,111.18,112.14,110.34,111.75,2.904
2014-01-30,115.92,117.68,113.81,114.99,5.156
2014-01-31,114.61,115.54,113.53,115.14,3.0
2014-02-03,115.17,115.87,112.9,113.13,3.776
2014-02-04,113.73,114.42,112.48,112.96,3.164
2014-02-05,112.99,113.27,111.21,113.2,2.826
2014-02-06,113.57,114.78,113.27,114.43,2.484
2014-02-07,115.23,117.91,115.04,117.77,3.162
2014-02-10,117.32,119.0,117.25,118.61,4.233
2014-02-11,119.76,121.21,118.75,121.0,3.767
2014-02-12,121.07,121.93,120.74,121.52,3.606
2014-02-13,120.87,123.43,120.61,122.9,2.541
2014-02-14,122.79,123.99,122.63,123.74,7.586
2014-02-18,123.76,124.17,122.67,123.55,2.846
2014-02-19,123.55,124.37,121.6,121.81,2.884
2014-02-20,124.33,125.01,122.49,124.71,3.457
2014-02-21,124.71,124.85,123.08,123.18,2.646
2014-02-24,123.05,124.9,123.05,123.37,2.878
2014-02-25,123.48,124.3,123.09,123.81,2.626
2014-02-26,123.87,125.18,123.43,124.28,2.62
2014-02-27,124.23,125.21,123.81,124.91,2.214
2014-02-28,125.29,125.82,123.61,124.54,3.148
2014-03-03,123.07,123.98,122.14,123.35,2.107
2014-03-04,124.59,125.58,124.59,125.35,2.355
2014-03-05,124.87,126.24,124.19,125.91,2.184
