Date,Open,High,Low,Close,Volume
2014-01-02,33.03,33.48,32.74,33.37,6.512
2014-01-03,32.42,32.57,31.9,32.28,8.686
2014-01-06,32.26,33.52,32.02,33.48,9.332
2014-01-07,33.89,33.92,32.78,33.22,7.008
2014-01-08,33.23,33.71,32.76,33.31,5.314
2014-01-09,33.5,33.9,32.85,33.03,7.224
2014-01-10,32.9,33.1,32.64,33.02,3.708
2014-01-13,33.06,33.23,32.47,32.49,4.333
2014-01-14,32.66,33.03,32.5,32.94,3.432
2014-01-15,33.0,33.2,32.49,32.53,5.347
2014-01-16,32.5,33.02,32.5,32.6,6.942
2014-01-17,33.52,33.56,32.5,32.51,5.353
2014-01-21,32.99,33.27,32.43,33.17,6.273
2014-01-22,33.25,33.5,32.91,33.44,3.868
2014-01-23,33.14,33.29,32.61,32.74,3.526
2014-01-24,32.5,32.58,31.43,31.68,6.803
2014-01-27,31.58,32.17,30.97,31.82,6.265
2014-01-28,31.8,32.46,31.8,32.31,4.383
2014-01-29,31.29,31.77,30.98,31.05,5.818
2014-01-30,32.17,32.17,30.34,30.73,8.108
2014-01-31,30.42,30.69,29.9,30.57,9.149
2014-02-03,30.45,30.77,29.4,29.53,9.266
2014-02-04,29.78,30.2,29.06,30.13,4.245
2014-02-05,29.97,32.0,29.39,31.75,14.457
2014-02-06,31.24,31.34,29.23,29.55,16.985
2014-02-07,29.75,30.56,29.67,30.43,7.761
2014-02-10,30.3,30.46,29.62,30.07,8.295
2014-02-11,30.23,30.54,30.08,30.31,3.677
2014-02-12,30.42,30.78,30.35,30.7,3.476
2014-02-13,30.26,31.28,30.06,30.89,4.609
2014-02-14,30.93,31.42,30.7,31.29,2.959
2014-02-18,31.39,31.52,31.05,31.2,3.336
2014-02-19,30.93,31.74,30.86,31.25,2.865
2014-02-20,31.2,31.66,31.08,31.57,2.678
2014-02-21,31.89,32.48,31.54,32.03,6.953
2014-02-24,32.18,32.7,31.28,32.31,8.053
2014-02-25,32.2,32.7,30.15,30.47,9.852
2014-02-26,30.51,30.83,29.96,30.33,5.02
2014-02-27,30.47,31.15,30.45,30.9,5.271
2014-02-28,30.81,30.81,30.18,30.5,3.241
2014-03-03,30.26,30.5,30.01,30.5,3.578
2014-03-04,30.98,31.84,30.83,31.79,6.049
2014-03-05,31.75,32.4,31.0,31.82,8.843
2014-03-06,31.92,32.37,30.94,31.31,5.093
2014-03-07,31.52,31.53,30.34,30.79,4.598
2014-03-10,30.75,31.0,30.3,30.97,3.359
2014-03-11,31.3,32.17,30.93,31.43,7.459
2014-03-12,31.11,31.89,31.03,31.62,3.078
2014-03-13,31.87,31.97,31.08,31.42,3.324
2014-03-14,31.19,31.49,30.97,31.32,2.974
2014-03-17,31.38,31.7,30.55,30.71,3.628
2014-03-18,30.74,31.47,30.72,31.2,3.937
2014-03-19,31.24,31.32,30.81,31.11,3.548
2014-03-20,31.03,32.47,30.98,32.17,5.235
2014-03-21,32.39,33.08,32.23,32.71,7.256
2014-03-24,32.66,32.92,32.18,32.7,3.398
2014-03-25,32.81,32.95,32.32,32.7,3.691
2014-03-26,32.78,32.83,31.98,32.01,3.118
