Date,Open,High,Low,Close,Volume
2014-01-02,56.15,56.65,55.64,55.91,3.447
2014-01-03,56.0,56.72,55.82,56.24,2.006
2014-01-06,56.41,56.64,55.8,55.86,2.268
2014-01-07,56.27,56.59,55.03,56.38,4.075
2014-01-08,56.3,56.3,55.57,55.71,3.304
2014-01-09,55.58,55.67,55.05,55.65,2.505
2014-01-10,55.65,56.16,55.33,56.08,2.505
2014-01-13,55.75,55.98,53.93,54.3,5.553
2014-01-14,54.16,54.39,53.7,53.88,3.585
2014-01-15,53.89,54.44,53.0,54.13,3.677
2014-01-16,53.54,54.13,52.05,52.63,7.1
2014-01-17,52.12,53.2,52.01,52.56,5.611
2014-01-21,52.76,53.15,52.46,52.55,5.951
2014-01-22,48.86,49.88,48.4,49.38,23.413
2014-01-23,48.98,49.52,48.38,49.35,10.833
2014-01-24,48.72,49.3,48.7,48.81,6.744
2014-01-27,48.82,49.07,48.3,48.3,5.138
2014-01-28,48.44,49.29,48.35,48.8,5.265
2014-01-29,48.69,49.25,47.78,47.93,5.724
2014-01-30,48.33,48.54,48.1,48.29,3.52
2014-01-31,47.82,48.08,47.43,47.89,5.603
2014-02-03,47.89,47.9,46.22,46.5,5.958
2014-02-04,46.61,46.61,45.36,45.63,9.302
2014-02-05,45.65,45.65,44.31,45.41,9.09
2014-02-06,45.62,46.56,45.45,46.42,5.194
2014-02-07,46.85,47.7,46.7,47.56,6.449
2014-02-10,47.59,47.67,46.97,47.2,3.701
2014-02-11,47.32,47.52,46.95,47.34,3.878
2014-02-12,47.56,47.8,46.86,46.94,3.688
2014-02-13,46.83,47.97,46.83,47.9,4.622
2014-02-14,47.82,48.47,47.51,48.08,3.728
2014-02-18,48.63,48.63,47.95,48.13,3.016
2014-02-19,48.12,48.35,47.75,47.84,3.052
2014-02-20,47.84,48.1,47.5,47.64,2.386
2014-02-21,47.64,48.26,47.58,47.65,2.44
2014-02-24,47.82,48.36,47.69,47.95,2.468
2014-02-25,47.89,48.39,47.8,48.27,2.769
2014-02-26,48.33,48.88,48.29,48.46,2.515
2014-02-27,48.5,48.94,48.35,48.82,2.725
2014-02-28,48.9,49.13,48.46,48.81,3.0
2014-03-03,48.29,48.6,47.67,48.08,2.764
2014-03-04,48.48,48.66,48.13,48.41,3.409
2014-03-05,47.97,48.26,47.51,48.11,2.648
2014-03-06,47.99,48.56,47.99,48.34,2.344
2014-03-07,48.41,49.24,48.4,48.82,3.331
2014-03-10,48.82,49.1,48.51,48.93,3.11
2014-03-11,48.99,49.84,48.93,49.17,3.603
2014-03-12,48.98,49.07,48.61,49.03,2.534
2014-03-13,49.06,49.15,48.01,48.19,4.965
2014-03-14,48.55,49.95,48.55,49.11,6.106
2014-03-17,49.28,49.64,48.91,49.44,3.56
2014-03-18,50.2,50.29,49.6,50.23,3.595
2014-03-19,50.18,50.43,49.88,50.25,2.67
2014-03-20,50.21,50.31,49.91,49.99,2.257
2014-03-21,50.41,51.0,50.13,50.24,3.76
2014-03-24,50.49,50.74,49.77,49.79,2.406
2014-03-25,49.95,50.12,49.16,49.5,2.94
2014-03-26,49.83,50.1,49.11,49.11,2.58
