Date,Open,High,Low,Close,Volume
2014-01-02,88.03,88.1,86.48,86.98,0.29
2014-01-03,87.37,87.91,86.53,86.63,0.245
2014-01-06,87.1,87.11,85.65,86.44,0.307
2014-01-07,86.49,86.96,84.17,85.34,0.532
2014-01-08,87.88,91.5,86.78,89.42,0.861
2014-01-09,89.89,89.89,86.61,87.47,0.4
2014-01-10,87.64,89.11,87.59,87.84,0.448
2014-01-13,87.5,87.8,86.47,86.81,0.288
2014-01-14,86.99,88.49,86.41,88.13,0.172
2014-01-15,88.7,89.54,88.45,88.97,0.227
2014-01-16,89.01,89.32,87.43,88.9,0.228
2014-01-17,88.54,89.3,87.63,88.25,0.239
2014-01-21,89.14,90.77,88.66,90.35,0.247
2014-01-22,89.44,90.4,88.55,88.9,0.545
2014-01-23,88.12,89.59,87.53,89.54,0.212
2014-01-24,89.17,89.46,88.08,88.13,0.279
2014-01-27,88.4,89.17,87.0,87.78,0.248
2014-01-28,87.71,89.81,87.4,89.35,0.23
2014-01-29,88.84,90.54,87.84,89.25,0.3
2014-01-30,90.14,90.96,89.29,90.03,0.177
2014-01-31,89.41,91.39,89.11,90.29,0.211
2014-02-03,90.3,90.72,88.02,89.2,0.357
2014-02-04,89.17,89.58,88.55,89.19,0.237
2014-02-05,88.92,89.7,87.54,89.02,0.301
2014-02-06,89.32,91.79,89.32,91.29,0.209
2014-02-07,91.45,93.48,91.28,92.94,0.242
2014-02-10,93.07,93.7,91.48,92.03,0.173
2014-02-11,92.34,94.42,91.86,94.0,0.192
2014-02-12,94.16,95.11,93.93,94.42,0.313
2014-02-13,94.73,98.64,93.17,96.31,0.328
2014-02-14,94.55,97.06,94.25,96.52,0.296
2014-02-18,97.67,98.23,96.54,97.16,0.414
2014-02-19,96.21,97.79,95.32,96.11,0.469
2014-02-20,96.0,96.91,95.8,96.48,0.264
2014-02-21,96.95,96.95,95.82,95.99,0.362
2014-02-24,96.0,97.25,95.68,96.21,0.275
2014-02-25,96.27,96.73,95.4,96.17,0.309
2014-02-26,96.17,97.14,95.63,97.09,0.247
2014-02-27,97.06,97.58,96.69,97.46,0.193
2014-02-28,97.65,98.08,96.38,96.76,0.288
2014-03-03,96.42,97.42,96.19,96.69,0.255
2014-03-04,97.85,98.68,97.64,98.5,0.291
2014-03-05,98.57,99.35,98.23,98.77,0.192
2014-03-06,98.78,99.2,98.28,98.66,0.252
2014-03-07,99.02,99.28,98.12,98.37,0.161
2014-03-10,98.54,98.54,97.47,97.94,0.373
2014-03-11,97.77,97.95,96.37,97.12,0.301
2014-03-12,96.66,97.48,96.22,97.3,0.162
2014-03-13,97.3,97.73,95.79,96.7,0.186
2014-03-14,96.7,98.04,96.7,97.87,0.231
2014-03-17,98.17,98.38,96.97,97.89,0.185
2014-03-18,98.24,98.6,97.23,97.49,0.547
2014-03-19,97.64,98.2,97.1,97.73,0.236
2014-03-20,97.52,98.88,97.15,98.69,0.221
2014-03-21,99.17,99.92,98.43,98.54,0.509
2014-03-24,99.08,99.47,96.46,97.62,0.217
2014-03-25,97.92,98.42,96.72,97.08,0.281
2014-03-26,97.77,98.35,97.19,97.23,0.185
2014-03-27,97.28,97.98,96.56,97.6,0.141
