Date,Open,High,Low,Close,Volume
2014-01-02,34.57,34.76,34.17,34.44,0.912
2014-01-03,34.56,34.82,34.28,34.57,0.821
2014-01-06,33.7,34.05,33.56,33.97,1.49
2014-01-07,34.31,34.32,33.39,33.95,1.188
2014-01-08,34.02,34.19,33.17,33.51,1.516
2014-01-09,33.7,33.91,33.21,33.58,0.685
2014-01-10,33.58,33.74,33.28,33.63,0.863
2014-01-13,33.47,34.16,33.4,33.67,1.16
2014-01-14,33.9,34.6,33.52,34.36,0.744
2014-01-15,34.21,34.88,34.2,34.7,0.777
2014-01-16,34.69,34.86,34.48,34.7,0.754
2014-01-17,34.53,34.75,34.07,34.08,0.953
2014-01-21,34.0,34.43,33.87,34.32,1.605
2014-01-22,34.43,34.59,34.1,34.46,1.597
2014-01-23,34.2,34.29,33.8,33.85,1.08
2014-01-24,33.69,33.91,32.45,32.52,1.758
2014-01-27,32.67,32.8,32.19,32.34,1.427
2014-01-28,32.31,32.68,32.2,32.67,1.335
2014-01-29,32.35,32.97,32.35,32.42,1.413
2014-01-30,32.57,33.12,32.42,33.05,1.535
2014-01-31,32.55,32.85,32.1,32.33,1.723
2014-02-03,32.37,32.45,30.66,30.78,3.309
2014-02-04,30.96,31.23,30.75,31.19,2.231
2014-02-05,31.08,31.38,31.0,31.09,1.819
2014-02-06,31.21,31.76,31.01,31.29,1.593
2014-02-07,31.53,32.12,31.46,31.98,1.189
2014-02-10,31.9,32.19,31.72,32.02,1.631
2014-02-11,32.02,32.95,32.02,32.62,2.261
2014-02-12,34.61,37.42,34.36,37.19,6.883
2014-02-13,36.11,37.32,36.07,36.92,2.538
2014-02-14,36.53,37.42,36.53,37.17,1.304
2014-02-18,37.09,37.37,36.8,37.33,1.462
2014-02-19,37.3,38.46,37.25,38.16,2.41
2014-02-20,38.16,38.67,37.95,38.64,1.064
2014-02-21,38.5,38.71,38.28,38.41,1.459
2014-02-24,38.36,38.77,38.28,38.44,1.312
2014-02-25,38.39,38.54,37.85,37.97,1.375
2014-02-26,38.14,38.45,37.84,38.2,0.893
2014-02-27,38.2,38.29,37.93,38.17,0.86
2014-02-28,38.04,38.59,38.04,38.15,1.277
2014-03-03,37.96,38.39,37.67,38.25,1.95
