Date,Open,High,Low,Close,Volume
2014-01-02,83.58,83.76,82.19,82.56,1.114
2014-01-03,82.66,83.67,82.46,83.3,0.777
2014-01-06,83.67,83.97,82.87,83.17,0.848
2014-01-07,83.81,84.34,83.09,83.87,0.946
2014-01-08,84.05,84.15,83.52,83.92,1.132
2014-01-09,84.0,84.22,82.86,83.29,1.135
2014-01-10,83.59,83.79,82.94,83.43,0.761
2014-01-13,82.94,83.29,82.06,82.35,1.216
2014-01-14,82.76,83.33,82.27,83.19,1.094
2014-01-15,83.3,83.99,83.05,83.92,1.027
2014-01-16,84.41,84.41,83.05,83.81,0.872
2014-01-17,83.87,83.94,82.03,82.28,3.914
2014-01-21,81.43,82.34,81.09,81.78,2.032
2014-01-22,82.11,82.38,80.94,81.52,1.653
2014-01-23,80.76,81.1,79.59,79.92,2.152
2014-01-24,79.23,79.41,77.21,77.38,3.163
2014-01-27,77.4,78.15,76.5,76.51,2.279
2014-01-28,80.16,81.4,78.61,80.7,3.469
2014-01-29,80.66,80.66,78.54,78.96,2.611
2014-01-30,79.59,80.03,78.97,79.55,1.572
2014-01-31,78.32,79.52,77.68,78.44,1.833
2014-02-03,78.48,78.62,75.57,75.67,2.122
2014-02-04,76.21,78.54,75.81,77.68,2.285
2014-02-05,77.29,77.86,76.29,76.8,1.512
2014-02-06,76.99,77.54,76.9,77.42,1.019
2014-02-07,78.1,79.54,77.53,79.34,2.069
2014-02-10,79.46,79.73,78.83,79.45,1.333
2014-02-11,79.32,80.51,79.01,80.18,1.243
2014-02-12,80.08,81.07,79.9,80.71,1.518
2014-02-13,80.2,80.89,79.6,80.62,1.08
2014-02-14,80.58,81.05,80.28,80.83,1.099
2014-02-18,80.69,81.07,80.11,80.66,0.876
2014-02-19,80.14,81.51,79.81,79.89,1.014
2014-02-20,80.23,80.46,79.31,80.1,0.852
2014-02-21,80.27,80.66,79.71,80.0,0.875
2014-02-24,80.02,81.39,80.02,80.86,1.008
2014-02-25,80.93,81.06,80.02,80.1,0.932
2014-02-26,80.1,80.6,79.3,79.52,1.314
2014-02-27,79.36,80.6,78.89,80.42,1.167
2014-02-28,80.56,81.69,80.12,81.17,1.511
2014-03-03,80.1,80.3,79.22,79.83,1.226
2014-03-04,80.98,81.85,80.68,81.68,1.064
2014-03-05,81.72,81.86,81.31,81.54,0.95
2014-03-06,81.16,82.94,81.16,82.37,1.448
2014-03-07,82.93,83.68,82.33,83.0,1.182
2014-03-10,83.37,83.73,82.71,83.71,1.296
2014-03-11,83.9,83.95,82.44,82.7,1.381
2014-03-12,81.94,82.24,81.19,81.83,1.488
2014-03-13,82.38,83.08,80.43,80.76,1.334
2014-03-14,80.81,81.73,79.95,80.28,1.471
2014-03-17,81.1,81.96,80.89,81.58,0.996
2014-03-18,81.59,82.11,81.21,81.73,0.959
2014-03-19,81.71,82.0,80.58,80.93,1.506
2014-03-20,80.84,82.66,80.65,82.52,2.124
2014-03-21,83.59,84.4,82.5,82.92,3.24
2014-03-24,83.15,83.51,81.94,82.31,1.165
2014-03-25,83.04,83.77,81.59,82.4,1.023
2014-03-26,82.8,83.05,81.48,81.5,1.112
2014-03-27,81.35,81.76,80.69,81.0,1.494
2014-03-28,81.17,82.55,80.63,81.67,0.917
