Date,Open,High,Low,Close,Volume
2014-01-02,9.99,10.17,9.77,10.01,92.826
2014-01-03,10.0,10.15,9.91,9.97,70.425
2014-01-06,10.0,10.03,9.68,9.8,80.416
2014-01-07,9.84,10.03,9.68,9.96,75.512
2014-01-08,9.92,10.25,9.92,10.09,92.448
2014-01-09,10.17,10.23,9.79,9.84,80.73
2014-01-10,9.9,9.93,9.48,9.71,111.692
2014-01-13,9.72,9.8,9.19,9.29,94.742
2014-01-14,9.37,10.8,9.11,10.75,414.105
2014-01-15,11.23,11.48,10.81,10.94,306.984
2014-01-16,10.83,11.51,10.83,11.4,179.391
2014-01-17,11.35,11.55,11.2,11.33,138.093
2014-01-21,11.42,11.82,11.39,11.78,146.02
2014-01-22,11.85,12.02,11.65,11.9,105.339
2014-01-23,11.82,12.16,11.56,12.1,118.011
2014-01-24,11.86,12.03,11.57,11.64,114.964
2014-01-27,11.68,11.86,10.98,11.31,130.746
2014-01-28,11.43,11.93,11.4,11.89,91.401
2014-01-29,11.69,11.94,11.54,11.68,89.032
2014-01-30,11.87,12.32,11.8,12.19,128.475
2014-01-31,11.92,12.4,11.9,12.09,97.632
2014-02-03,12.19,12.33,11.68,11.81,101.474
2014-02-04,12.05,12.11,11.75,11.92,70.294
2014-02-05,11.89,12.04,11.29,11.63,109.02
2014-02-06,11.75,12.01,11.73,11.89,87.624
2014-02-07,12.07,12.44,11.97,12.44,133.928
2014-02-10,12.62,13.29,12.62,13.1,194.56
2014-02-11,13.26,13.48,12.85,13.11,160.648
2014-02-12,13.05,13.22,12.95,13.02,77.606
2014-02-13,12.89,13.51,12.88,13.31,120.44
2014-02-14,13.21,13.46,13.13,13.22,92.37
2014-02-18,13.68,13.73,13.42,13.58,139.992
2014-02-19,13.58,13.58,12.89,12.91,242.535
2014-02-20,14.33,14.35,13.75,14.0,270.034
2014-02-21,14.11,14.27,13.95,13.97,117.282
2014-02-24,13.92,14.56,13.89,14.51,124.176
2014-02-25,15.33,17.28,15.23,16.53,490.226
2014-02-26,17.24,17.67,16.5,16.87,369.069
2014-02-27,17.42,17.46,16.56,16.84,269.187
2014-02-28,16.64,16.85,16.17,16.32,218.847
2014-03-03,15.82,16.78,15.67,16.7,196.34
2014-03-04,17.23,17.33,16.86,16.99,131.184
2014-03-05,17.11,17.13,16.79,16.84,89.036
2014-03-06,16.94,17.17,16.63,16.86,110.416
2014-03-07,16.86,16.99,16.29,16.41,117.184
2014-03-10,16.18,16.2,15.74,15.92,115.922
2014-03-11,15.77,16.31,15.5,15.63,132.152
2014-03-12,15.43,16.5,15.41,16.1,146.316
2014-03-13,16.25,16.28,15.6,15.85,93.544
2014-03-14,15.69,15.8,15.22,15.4,124.346
2014-03-17,15.66,15.86,15.37,15.6,88.689
2014-03-18,15.8,16.1,15.67,16.0,93.634
2014-03-19,16.09,16.1,15.57,15.72,76.07
2014-03-20,15.74,15.95,15.56,15.66,57.268
2014-03-21,15.73,15.75,15.17,15.26,123.254
2014-03-24,15.32,15.33,14.02,14.68,169.932
2014-03-25,14.94,15.14,14.53,14.7,117.981
2014-03-26,14.8,14.84,14.09,14.2,103.61
2014-03-27,14.16,14.24,13.53,13.82,142.436
2014-03-28,14.19,14.45,14.02,14.16,145.272
2014-03-31,14.43,14.45,13.76,13.9,125.7
2014-04-01,13.93,14.54,13.91,14.46,110.571
2014-04-02,14.67,15.39,14.54,15.35,161.734
2014-04-03,15.35,15.72,14.8,15.03,163.856
2014-04-04,15.07,15.22,14.08,14.15,170.184
2014-04-07,13.72,14.41,13.57,13.83,147.832
2014-04-08,14.0,14.43,13.76,14.36,103.34
2014-04-09,14.45,14.56,14.06,14.46,77.368
2014-04-10,14.45,14.5,13.59,13.61,108.172
2014-04-11,13.37,13.8,13.24,13.59,136.008
2014-04-14,13.84,13.9,12.96,13.21,115.545
2014-04-15,13.27,13.29,12.29,12.93,204.89
2014-04-16,13.13,13.33,12.72,13.27,108.033
2014-04-17,13.31,13.49,12.94,13.21,88.902
2014-04-21,13.14,13.75,12.93,13.63,78.873
2014-04-22,13.76,14.62,13.67,14.58,147.07
2014-04-23,14.42,14.45,13.8,13.87,109.434
2014-04-24,14.05,14.19,13.55,13.86,82.428
2014-04-25,13.47,13.78,13.18,13.32,104.95
2014-04-28,13.33,13.59,12.7,13.23,105.63
2014-04-29,13.21,13.81,13.04,13.79,86.686
2014-04-30,13.57,13.88,13.42,13.86,66.609
2014-05-01,13.81,14.27,13.71,13.85,81.598
2014-05-02,13.91,14.09,13.77,14.06,61.302
2014-05-05,13.97,14.51,13.9,14.44,77.205
2014-05-06,14.44,14.58,13.79,13.82,84.55
2014-05-07,13.98,14.01,13.15,13.42,152.69
2014-05-08,12.13,12.96,11.87,11.91,300.849
2014-05-09,11.99,12.23,11.81,12.15,127.428
2014-05-12,12.26,12.48,11.99,12.31,105.034
2014-05-13,12.25,12.76,12.2,12.68,106.458
2014-05-14,12.6,12.9,12.47,12.71,81.1
2014-05-15,12.67,12.84,12.35,12.57,90.606
2014-05-16,12.6,12.8,12.51,12.77,67.316
2014-05-19,12.71,13.13,12.67,13.07,68.576
2014-05-20,13.13,13.29,12.87,13.02,83.192
2014-05-21,13.08,13.32,12.99,13.3,79.281
2014-05-22,13.36,13.79,13.3,13.66,93.218
2014-05-23,13.64,13.85,13.5,13.82,60.102
2014-05-27,13.9,14.26,13.85,14.1,80.116
2014-05-28,14.0,14.18,13.68,14.02,82.426
2014-05-29,14.04,14.17,13.85,14.02,55.388
2014-05-30,14.02,14.32,13.8,13.85,83.716
2014-06-02,13.82,13.96,13.44,13.65,70.022
2014-06-03,13.57,13.87,13.51,13.66,57.912
2014-06-04,13.62,13.75,13.36,13.6,51.411
2014-06-05,13.63,13.95,13.6,13.79,60.819
2014-06-06,13.98,14.05,13.81,13.88,46.107
2014-06-09,13.86,14.0,13.61,13.69,42.086
2014-06-10,13.63,13.8,13.44,13.49,52.72
2014-06-11,13.43,13.67,13.28,13.63,59.662
2014-06-12,13.67,13.99,13.51,13.57,89.906
2014-06-13,13.65,13.79,13.44,13.76,53.164
2014-06-16,13.78,15.03,13.75,14.97,198.696
2014-06-17,14.94,15.7,14.86,15.44,199.574
2014-06-18,15.43,15.45,15.07,15.14,104.103
2014-06-19,15.26,15.69,15.13,15.19,131.896
2014-06-20,15.23,15.42,15.08,15.31,73.558
2014-06-23,15.3,15.93,15.21,15.81,116.866
2014-06-24,15.93,16.13,15.44,15.5,121.138
2014-06-25,15.54,15.84,15.35,15.79,87.024
2014-06-26,15.81,16.03,15.61,15.71,76.821
2014-06-27,15.65,16.0,15.63,15.94,84.525
2014-06-30,15.97,16.3,15.93,16.0,72.429
2014-07-01,16.16,16.23,15.91,15.98,65.042
2014-07-02,16.04,16.16,15.14,15.3,120.411
2014-07-03,15.42,15.46,14.93,15.28,77.5
2014-07-07,15.17,15.32,14.69,14.84,88.406
2014-07-08,14.58,14.73,14.28,14.6,117.543
2014-07-09,14.75,14.95,14.61,14.87,61.731
2014-07-10,14.48,14.81,14.4,14.63,72.958
2014-07-11,14.71,14.77,14.51,14.54,49.534
2014-07-14,14.67,15.25,14.36,15.11,108.048
2014-07-15,15.12,15.18,14.54,14.64,85.778
2014-07-16,14.79,14.99,14.45,14.48,60.668
2014-07-17,14.41,14.7,14.24,14.36,69.741
2014-07-18,14.4,14.75,14.4,14.67,63.806
2014-07-21,14.48,14.88,14.45,14.7,57.333
2014-07-22,14.81,14.89,14.61,14.64,40.95
2014-07-23,14.67,14.98,14.63,14.83,46.25
2014-07-24,14.88,15.01,14.72,14.9,48.682
2014-07-25,14.85,15.13,14.78,14.9,46.306
2014-07-28,14.95,15.47,14.76,14.99,97.714
2014-07-29,15.11,15.22,14.99,15.0,50.736
2014-07-30,14.79,15.31,14.74,15.26,73.917
2014-07-31,15.28,15.43,14.77,14.89,116.236
2014-08-01,15.07,15.83,15.07,15.55,178.437
2014-08-04,15.63,16.03,15.55,15.9,89.396
2014-08-05,15.83,16.2,15.71,15.9,80.829
2014-08-06,15.93,16.76,15.91,16.6,138.74
2014-08-07,16.67,17.11,16.61,16.83,112.184
2014-08-08,16.74,16.78,16.43,16.54,76.352
2014-08-11,17.03,17.58,17.0,17.29,121.52
2014-08-12,17.21,17.35,16.97,17.33,95.734
2014-08-13,17.47,17.71,17.31,17.35,103.989
2014-08-14,17.5,17.53,17.1,17.43,61.899
2014-08-15,17.43,17.47,17.23,17.47,58.018
2014-08-18,17.55,17.82,17.32,17.33,87.738
2014-08-19,17.26,17.29,16.77,17.12,80.022
2014-08-20,16.98,17.25,16.87,17.05,45.418
2014-08-21,17.1,17.25,16.88,16.96,43.734
2014-08-22,16.97,17.13,16.84,17.12,42.501
2014-08-25,17.21,17.58,17.21,17.5,64.772
2014-08-26,17.67,17.7,17.44,17.45,57.27
2014-08-27,17.57,17.62,17.35,17.55,44.776
2014-08-28,17.46,17.63,17.44,17.59,42.674
2014-08-29,17.91,18.13,17.83,17.98,96.706
2014-09-02,18.37,18.99,18.29,18.94,147.786
2014-09-03,19.18,19.2,18.67,18.75,101.584
2014-09-04,18.93,19.43,18.69,19.07,125.126
2014-09-05,18.84,18.86,18.17,18.49,167.548
2014-09-08,18.51,18.99,18.5,18.81,82.524
2014-09-09,18.87,19.03,18.47,18.57,68.382
2014-09-10,18.63,18.76,18.24,18.74,56.72
2014-09-11,18.7,18.99,18.58,18.69,56.492
2014-09-12,18.7,18.83,18.47,18.61,49.869
2014-09-15,18.29,18.29,16.61,16.92,246.831
2014-09-16,17.01,17.5,16.83,17.38,124.502
2014-09-17,17.49,17.65,17.3,17.43,77.666
2014-09-18,17.56,17.71,17.49,17.59,55.389
2014-09-19,17.2,17.43,17.02,17.29,102.164
2014-09-22,17.0,17.07,16.31,16.67,123.212
2014-09-23,16.35,16.92,16.33,16.69,84.88
2014-09-24,16.74,16.86,16.47,16.81,56.242
2014-09-25,16.83,17.0,16.41,16.46,72.513
2014-09-26,16.55,16.65,16.4,16.44,56.931
2014-09-29,16.27,16.58,16.09,16.35,72.79
2014-09-30,16.46,16.51,16.01,16.18,63.574
2014-10-01,16.15,16.18,15.71,16.02,89.126
2014-10-02,16.68,16.85,16.36,16.76,134.973
2014-10-03,16.87,17.1,16.74,17.01,81.094
2014-10-06,17.28,17.5,17.19,17.37,115.7
2014-10-07,17.24,17.43,17.05,17.3,67.282
2014-10-08,17.34,17.53,16.84,17.29,75.826
2014-10-09,17.48,17.7,16.96,17.13,110.42
2014-10-10,16.31,16.39,15.68,15.79,193.324
2014-10-13,15.9,15.93,14.73,14.97,169.03
2014-10-14,15.22,15.5,14.87,15.14,106.58
2014-10-15,14.67,15.4,14.49,15.31,137.21
2014-10-16,14.65,15.33,14.61,15.09,80.99
2014-10-17,15.56,15.65,15.1,15.17,158.241
2014-10-20,15.11,15.49,15.03,15.36,52.416
2014-10-21,15.62,15.69,15.39,15.69,61.954
2014-10-22,15.55,15.83,15.37,15.41,61.749
2014-10-23,15.64,15.75,15.47,15.69,52.386
2014-10-24,15.75,15.85,15.41,15.68,51.95
2014-10-27,15.62,15.64,14.69,14.78,143.3
2014-10-28,15.31,16.31,15.22,16.18,157.744
2014-10-29,16.08,16.1,15.71,15.87,74.438
2014-10-30,15.88,16.03,15.67,15.91,48.426
2014-10-31,16.17,16.21,15.92,16.11,56.63
2014-11-03,16.2,16.5,16.09,16.17,63.057
2014-11-04,16.03,16.16,15.77,15.93,55.239
2014-11-05,16.07,16.09,15.37,15.4,135.688
2014-11-06,15.63,16.45,15.23,16.08,230.32
2014-11-07,16.15,16.19,15.81,16.01,77.415
2014-11-10,15.94,16.19,15.79,16.13,68.658
2014-11-11,16.17,16.79,16.13,16.74,119.232
2014-11-12,16.65,16.82,16.37,16.61,88.062
2014-11-13,16.71,17.05,16.68,16.78,93.54
2014-11-14,16.67,17.26,16.57,17.25,91.516
2014-11-17,17.17,17.27,16.8,16.93,60.386
2014-11-18,17.06,17.33,17.03,17.18,67.095
2014-11-19,16.71,16.79,16.37,16.52,118.778
2014-11-20,16.53,16.73,16.4,16.58,53.808
2014-11-21,16.81,16.85,16.14,16.19,112.276
2014-11-24,16.35,16.51,16.04,16.45,71.846
2014-11-25,16.49,16.65,16.41,16.54,47.397
2014-11-26,16.56,16.6,16.44,16.56,29.718
2014-11-28,16.36,16.45,16.17,16.3,31.796
2014-12-01,16.08,16.16,15.27,15.44,129.291
2014-12-02,15.64,15.66,15.2,15.43,88.305
