Date,Open,High,Low,Close,Volume
2014-01-02,33.52,33.53,33.09,33.17,2.001
2014-01-03,33.28,33.67,33.03,33.42,1.519
2014-01-06,33.65,33.73,33.18,33.2,3.024
2014-01-07,33.38,33.62,33.21,33.31,4.331
2014-01-08,33.35,34.38,33.19,33.92,5.028
2014-01-09,33.97,34.92,33.9,34.6,4.758
2014-01-10,34.61,34.9,34.15,34.84,5.313
2014-01-13,34.65,34.73,33.83,33.9,3.133
2014-01-14,33.91,34.64,33.91,34.47,3.135
2014-01-15,34.63,34.79,34.44,34.78,2.326
2014-01-16,34.76,35.74,34.26,35.04,6.106
2014-01-17,34.98,35.09,34.48,35.04,2.505
2014-01-21,35.43,35.48,34.92,34.99,4.647
2014-01-22,35.17,35.67,35.07,35.58,2.204
2014-01-23,35.32,35.49,35.12,35.46,2.558
2014-01-24,35.21,35.21,34.59,34.77,4.411
2014-01-27,34.9,34.98,34.27,34.65,3.238
2014-01-28,34.8,35.01,34.46,34.66,3.083
2014-01-29,34.53,34.73,34.15,34.39,3.003
2014-01-30,34.52,34.61,34.26,34.49,3.77
2014-01-31,35.68,38.25,35.61,37.4,12.041
2014-02-03,37.35,37.79,35.94,36.02,6.871
2014-02-04,36.26,36.52,35.21,35.47,6.792
2014-02-05,35.44,35.86,35.25,35.59,3.978
2014-02-06,35.65,35.97,35.38,35.7,3.299
2014-02-07,35.74,36.3,35.54,36.09,3.702
2014-02-10,36.09,36.62,35.99,36.5,3.592
2014-02-11,36.45,36.77,36.15,36.76,4.236
2014-02-12,36.73,37.16,36.49,36.89,3.858
2014-02-13,36.78,37.62,36.73,37.47,3.052
2014-02-14,37.47,37.73,37.23,37.73,2.406
2014-02-18,37.88,38.53,37.88,38.34,3.084
2014-02-19,38.25,38.41,37.94,38.29,3.18
2014-02-20,38.31,39.31,38.31,39.17,3.759
2014-02-21,39.3,39.32,38.48,38.91,3.838
2014-02-24,39.0,39.19,38.51,38.86,2.77
2014-02-25,39.02,39.54,38.87,38.93,3.85
2014-02-26,38.96,39.45,38.89,39.11,2.961
2014-02-27,39.05,39.25,38.58,38.91,3.93
2014-02-28,38.92,39.55,38.9,39.45,3.366
2014-03-03,39.05,39.05,38.3,38.81,4.368
2014-03-04,39.24,39.73,39.17,39.6,4.431
2014-03-05,39.73,40.8,39.63,40.42,5.06
2014-03-06,40.42,40.49,40.02,40.17,3.237
2014-03-07,40.27,40.36,39.92,40.27,1.96
2014-03-10,40.23,40.6,39.91,40.19,3.023
2014-03-11,40.28,40.39,39.65,39.74,2.914
2014-03-12,39.65,40.48,39.62,40.47,2.326
2014-03-13,40.5,40.8,40.29,40.47,2.349
2014-03-14,40.36,41.5,40.36,41.48,3.978
2014-03-17,41.56,41.91,41.44,41.67,3.384
2014-03-18,41.75,42.38,41.75,42.33,3.345
2014-03-19,42.4,42.49,41.58,41.91,4.495
2014-03-20,41.88,42.34,41.5,42.29,2.027
2014-03-21,42.63,42.86,42.29,42.37,3.905
2014-03-24,42.5,42.76,42.12,42.37,1.974
2014-03-25,42.39,42.64,42.16,42.43,2.84
2014-03-26,42.54,42.99,42.19,42.87,3.316
2014-03-27,42.82,42.97,42.36,42.87,2.391
2014-03-28,42.9,43.45,42.86,43.15,1.986
2014-03-31,43.8,44.22,43.28,44.01,3.313
2014-04-01,44.13,44.24,43.32,43.45,4.027
2014-04-02,43.47,43.48,41.35,41.44,8.327
2014-04-03,41.42,42.0,41.36,41.99,5.031
2014-04-04,42.16,42.28,41.19,41.22,3.63
2014-04-07,41.22,41.73,40.92,41.02,3.286
2014-04-08,41.05,41.74,40.79,41.59,4.118
2014-04-09,41.66,42.44,41.61,42.29,3.414
2014-04-10,42.25,42.54,41.24,41.32,4.584
2014-04-11,41.31,42.05,41.28,41.67,3.037
2014-04-14,41.92,42.4,41.72,42.38,2.68
2014-04-15,42.46,42.83,41.6,42.44,3.231
2014-04-16,42.73,43.36,42.06,42.75,4.069
2014-04-17,42.64,42.95,42.44,42.65,2.07
2014-04-21,42.74,43.11,42.68,43.03,3.408
2014-04-22,43.2,43.33,42.81,43.2,2.166
2014-04-23,43.17,43.44,43.1,43.25,2.376
2014-04-24,43.29,43.29,41.88,42.5,4.3
2014-04-25,42.54,43.0,42.26,42.43,2.75
2014-04-28,42.68,42.87,42.11,42.52,3.156
2014-04-29,42.36,42.72,41.75,41.8,3.043
2014-04-30,41.79,42.1,41.7,41.97,3.41
2014-05-01,42.24,42.5,41.64,42.41,2.629
2014-05-02,42.34,42.85,42.12,42.65,2.456
2014-05-05,40.53,40.71,38.31,38.44,10.992
2014-05-06,38.56,38.69,38.0,38.25,5.312
2014-05-07,38.36,39.26,38.31,39.23,3.891
2014-05-08,39.21,39.77,38.91,39.16,4.024
2014-05-09,39.1,39.48,39.03,39.43,2.722
2014-05-12,39.68,39.85,39.6,39.83,2.866
2014-05-13,39.86,40.5,39.86,40.1,2.45
2014-05-14,40.05,40.45,39.82,40.15,1.957
