Date,Open,High,Low,Close,Volume
2014-01-02,47.52,47.87,47.42,47.51,2.47
2014-01-03,47.46,47.82,47.35,47.57,1.937
2014-01-06,47.8,48.04,47.32,47.42,2.135
2014-01-07,47.42,48.06,47.42,47.86,2.002
2014-01-08,47.77,48.16,47.59,47.98,3.133
2014-01-09,48.01,48.56,47.84,48.14,2.769
2014-01-10,48.23,48.79,48.05,48.6,3.173
2014-01-13,48.32,49.2,47.81,47.89,2.928
2014-01-14,48.08,48.44,47.96,48.29,2.207
2014-01-15,48.49,48.9,48.29,48.75,2.536
2014-01-16,48.74,49.17,48.67,48.78,2.556
2014-01-17,48.81,49.01,48.2,48.35,2.51
2014-01-21,48.63,48.8,47.91,48.15,2.334
2014-01-22,48.4,48.47,47.95,47.95,3.616
2014-01-23,47.59,47.73,46.68,47.07,2.93
2014-01-24,46.67,46.69,45.07,45.08,3.931
2014-01-27,45.14,45.94,44.73,45.59,3.9
2014-01-28,45.61,46.18,45.61,45.83,2.063
2014-01-29,45.45,45.97,45.22,45.34,2.625
2014-01-30,45.78,45.96,45.4,45.8,2.111
2014-01-31,45.02,45.92,44.86,45.61,3.218
2014-02-03,45.45,45.83,44.02,44.1,4.393
2014-02-04,44.06,44.79,43.54,44.44,3.296
2014-02-05,45.87,45.87,44.45,44.76,5.045
2014-02-06,44.79,45.32,44.78,45.04,3.15
2014-02-07,45.33,46.45,45.31,46.36,3.276
2014-02-10,46.31,46.45,45.68,45.83,3.357
2014-02-11,45.06,47.04,44.31,44.42,9.863
2014-02-12,44.41,45.24,44.38,45.15,8.025
2014-02-13,44.86,45.38,44.61,45.09,3.681
2014-02-14,45.12,45.65,45.07,45.33,3.014
2014-02-18,45.48,46.19,45.17,46.07,4.144
2014-02-19,45.97,46.69,45.52,45.56,3.151
2014-02-20,45.61,46.49,45.61,46.33,2.383
2014-02-21,46.41,46.52,46.03,46.09,2.238
2014-02-24,46.11,47.19,46.11,46.52,2.628
2014-02-25,46.53,46.66,46.16,46.28,1.873
2014-02-26,46.35,47.16,46.35,46.78,3.281
2014-02-27,46.78,46.97,46.51,46.96,2.433
2014-02-28,47.1,47.77,46.96,47.43,3.682
