Date,Open,High,Low,Close,Volume
2014-01-02,17.27,17.54,17.15,17.53,0.976
2014-01-03,17.5,17.75,17.5,17.63,0.857
2014-01-06,17.67,17.75,17.42,17.6,1.19
2014-01-07,17.64,18.27,17.52,18.11,2.812
2014-01-08,17.95,18.17,17.73,17.8,1.452
2014-01-09,17.91,17.98,17.64,17.67,1.007
2014-01-10,17.66,17.74,17.5,17.64,1.022
2014-01-13,17.61,17.7,17.37,17.46,1.506
2014-01-14,17.35,17.49,17.05,17.17,2.375
2014-01-15,17.16,17.39,16.92,16.96,2.798
2014-01-16,16.95,17.0,16.66,16.68,3.231
2014-01-17,16.95,17.22,16.87,17.05,3.254
2014-01-21,17.3,17.41,17.06,17.39,2.3
2014-01-22,17.37,18.68,17.33,18.65,7.058
2014-01-23,18.44,19.04,18.3,18.52,4.714
2014-01-24,18.36,18.59,18.04,18.46,2.723
2014-01-27,18.62,18.78,18.16,18.24,1.844
2014-01-28,18.47,19.02,18.44,18.62,2.657
2014-01-29,18.25,18.7,18.15,18.36,2.373
2014-01-30,18.37,19.11,18.36,19.05,4.693
2014-01-31,18.75,19.46,18.63,19.18,4.745
2014-02-03,19.49,19.67,18.61,18.9,6.408
2014-02-04,17.25,17.77,16.4,17.06,21.547
2014-02-05,17.11,18.33,17.02,18.0,8.933
2014-02-06,18.0,18.25,17.8,18.24,3.01
2014-02-07,18.3,18.85,18.28,18.65,4.625
2014-02-10,18.66,18.96,18.63,18.93,3.222
2014-02-11,18.86,19.58,18.7,19.21,5.358
2014-02-12,19.18,19.39,18.76,19.22,3.627
2014-02-13,19.11,19.35,18.87,19.21,2.01
2014-02-14,19.13,19.41,19.05,19.11,2.073
2014-02-18,19.28,20.42,19.25,20.4,6.423
2014-02-19,20.4,20.49,19.51,19.57,3.752
2014-02-20,19.5,19.74,19.35,19.59,1.447
2014-02-21,19.69,19.85,19.24,19.29,2.005
2014-02-24,19.24,19.64,19.22,19.61,2.45
2014-02-25,19.51,20.22,19.43,19.59,3.676
2014-02-26,19.59,20.0,19.4,19.78,1.67
2014-02-27,19.85,20.08,19.66,20.02,1.261
2014-02-28,20.09,20.15,19.58,19.77,2.405
2014-03-03,19.55,20.0,19.38,20.0,1.824
2014-03-04,20.2,20.53,20.09,20.43,3.557
2014-03-05,20.31,20.8,20.31,20.8,2.354
