Date,Open,High,Low,Close,Volume
2014-01-02,36.75,36.75,36.19,36.29,1.467
2014-01-03,36.34,36.94,35.89,36.31,2.38
2014-01-06,36.5,36.78,36.16,36.16,3.899
2014-01-07,35.5,36.06,35.21,35.76,3.003
2014-01-08,35.84,36.05,35.52,35.78,1.962
2014-01-09,35.99,36.1,35.6,35.82,1.224
2014-01-10,35.84,36.0,35.53,35.67,1.524
2014-01-13,35.46,35.61,34.66,34.75,2.817
2014-01-14,34.73,35.27,34.7,35.2,2.212
2014-01-15,35.24,35.81,35.03,35.61,2.034
2014-01-16,35.51,35.79,35.41,35.65,1.772
2014-01-17,35.56,36.24,35.51,36.1,3.247
2014-01-21,36.47,36.49,35.68,36.1,4.929
2014-01-22,36.59,39.24,36.59,38.0,6.858
2014-01-23,37.72,38.09,37.46,37.79,3.568
2014-01-24,37.29,37.39,36.31,36.41,3.31
2014-01-27,36.49,37.21,35.92,36.77,3.277
2014-01-28,36.89,37.11,36.55,36.83,2.213
2014-01-29,36.35,36.75,35.96,36.1,2.258
2014-01-30,36.56,36.87,36.15,36.39,1.699
2014-01-31,35.71,35.88,35.44,35.5,4.007
2014-02-03,35.56,35.76,34.21,34.28,3.191
2014-02-04,34.37,35.24,33.82,35.1,2.257
2014-02-05,34.68,35.14,34.15,34.83,1.696
2014-02-06,34.44,35.36,34.44,35.27,1.025
2014-02-07,35.39,36.01,35.36,35.82,1.68
2014-02-10,35.74,35.85,35.13,35.22,2.045
2014-02-11,35.25,36.16,35.25,36.15,1.778
2014-02-12,36.15,36.99,36.15,36.83,2.074
2014-02-13,36.46,36.88,36.19,36.84,0.933
2014-02-14,36.77,37.38,36.47,37.33,1.111
2014-02-18,37.48,37.88,37.34,37.83,1.791
2014-02-19,37.56,37.87,37.17,37.27,1.872
2014-02-20,37.36,38.56,37.32,38.53,2.668
2014-02-21,38.24,38.54,38.03,38.31,4.0
2014-02-24,38.46,39.58,38.41,39.19,2.464
2014-02-25,39.14,39.36,38.79,38.8,2.289
2014-02-26,38.93,39.3,38.71,38.8,2.513
2014-02-27,38.87,39.93,38.86,39.89,2.596
2014-02-28,39.9,40.08,39.27,39.7,1.915
2014-03-03,39.1,39.35,38.7,39.11,1.24
2014-03-04,39.67,40.12,39.66,39.89,1.437
2014-03-05,39.95,40.38,39.7,39.97,1.561
2014-03-06,40.05,40.4,39.99,40.11,1.262
2014-03-07,40.35,40.55,39.72,40.18,1.657
2014-03-10,39.93,39.93,38.97,39.63,2.608
2014-03-11,39.66,39.79,39.06,39.22,1.849
2014-03-12,38.83,39.06,38.57,38.79,1.6
2014-03-13,38.99,39.13,37.6,37.82,1.966
2014-03-14,37.79,38.25,37.7,37.75,1.341
2014-03-17,38.18,38.78,38.13,38.4,1.509
2014-03-18,38.41,38.88,38.38,38.79,1.049
2014-03-19,38.98,39.32,38.23,38.56,1.685
2014-03-20,38.56,38.84,38.31,38.47,1.245
2014-03-21,38.85,39.05,38.2,38.41,3.762
2014-03-24,38.56,38.57,37.45,37.89,2.312
2014-03-25,38.24,39.11,38.15,38.9,2.743
2014-03-26,39.06,39.14,37.99,38.02,1.974
2014-03-27,37.97,38.09,37.5,37.78,1.083
2014-03-28,37.93,38.76,37.93,38.53,0.809
2014-03-31,38.84,39.42,38.79,39.29,1.094
2014-04-01,39.45,39.92,39.36,39.89,1.202
2014-04-02,40.45,40.55,40.08,40.43,1.56
2014-04-03,40.42,40.65,39.71,40.1,1.622
2014-04-04,40.48,40.66,38.94,39.08,1.357
2014-04-07,39.01,39.29,37.95,38.22,2.076
2014-04-08,38.29,38.59,38.02,38.17,2.223
2014-04-09,38.49,39.3,38.21,39.29,1.123
2014-04-10,39.28,39.28,37.96,37.97,1.892
2014-04-11,37.69,37.69,36.93,36.96,2.173
2014-04-14,37.4,37.78,36.93,37.37,1.151
2014-04-15,37.47,37.87,36.76,37.71,1.03
2014-04-16,38.19,38.93,37.91,38.89,2.052
2014-04-17,38.96,39.82,38.78,39.54,1.74
2014-04-21,39.6,39.69,39.24,39.44,1.478
2014-04-22,39.57,40.27,39.57,40.06,2.172
2014-04-23,40.1,40.38,40.02,40.15,1.363
2014-04-24,40.74,40.74,39.39,39.73,1.879
2014-04-25,39.65,39.65,39.0,39.26,1.042
2014-04-28,39.53,39.79,38.64,39.26,1.684
2014-04-29,39.54,40.01,39.39,39.99,1.475
2014-04-30,39.87,40.9,39.64,40.9,3.069
2014-05-01,38.82,40.15,38.5,38.98,5.342
2014-05-02,39.07,39.73,38.85,39.05,2.616
2014-05-05,39.51,39.53,38.68,39.38,1.744
2014-05-06,39.21,39.32,38.92,38.95,1.552
2014-05-07,39.0,39.15,38.52,38.95,1.456
2014-05-08,38.94,39.59,38.67,38.7,2.05
2014-05-09,38.67,38.78,38.23,38.46,1.732
2014-05-12,38.73,39.97,38.63,39.86,2.834
2014-05-13,40.0,40.37,39.85,39.99,1.626
2014-05-14,39.99,39.99,39.46,39.7,1.126
2014-05-15,39.48,39.62,38.94,39.17,1.907
2014-05-16,39.14,39.25,38.57,39.22,1.709
2014-05-19,39.05,39.64,38.94,39.25,1.652
2014-05-20,39.2,39.27,37.92,38.09,2.79
2014-05-21,38.2,38.6,37.93,38.1,2.515
2014-05-22,38.15,38.35,37.97,38.08,2.151
2014-05-23,38.32,38.89,38.2,38.78,1.473
2014-05-27,38.87,39.06,38.76,39.01,0.672
2014-05-28,39.09,39.43,39.03,39.09,1.048
2014-05-29,39.2,39.38,38.95,39.27,0.814
2014-05-30,39.15,39.27,38.9,39.22,1.062
2014-06-02,39.21,39.41,38.93,39.27,1.042
2014-06-03,39.2,39.5,38.81,39.24,0.744
2014-06-04,39.06,39.27,38.93,39.16,0.505
2014-06-05,39.26,39.62,39.19,39.58,2.064
2014-06-06,39.72,40.32,39.72,40.18,1.298
2014-06-09,40.24,41.15,40.19,40.93,1.513
2014-06-10,40.73,40.88,40.33,40.78,1.049
2014-06-11,40.55,40.61,40.1,40.19,0.895
2014-06-12,40.05,40.08,39.25,39.38,1.047
2014-06-13,39.38,39.64,39.06,39.4,0.923
2014-06-16,39.32,39.38,38.91,39.35,0.957
2014-06-17,39.35,39.76,39.12,39.56,0.896
2014-06-18,39.58,39.83,39.2,39.69,0.992
2014-06-19,39.65,39.9,39.24,39.49,1.003
2014-06-20,39.69,40.0,39.64,39.72,1.769
2014-06-23,39.76,39.77,38.98,39.18,1.046
2014-06-24,39.13,39.18,37.83,37.85,2.75
2014-06-25,37.75,38.16,37.57,38.05,2.086
2014-06-26,38.17,38.27,37.54,38.05,1.021
2014-06-27,37.96,38.85,37.89,38.81,1.752
2014-06-30,38.65,38.73,38.21,38.29,1.447
2014-07-01,38.39,39.03,38.29,38.48,1.37
2014-07-02,38.43,38.69,38.1,38.17,1.574
2014-07-03,38.39,38.46,38.25,38.33,1.362
2014-07-07,38.31,38.31,37.54,37.71,1.667
2014-07-08,37.7,37.94,37.14,37.18,1.878
2014-07-09,37.46,37.6,37.19,37.34,1.604
2014-07-10,36.98,37.59,36.61,37.34,2.082
2014-07-11,37.29,37.9,37.22,37.89,1.571
2014-07-14,38.13,38.57,38.03,38.56,1.661
2014-07-15,38.52,39.18,38.1,38.37,2.126
2014-07-16,39.7,40.25,38.73,39.0,3.328
2014-07-17,38.83,39.35,38.32,38.32,2.398
2014-07-18,38.51,38.88,38.48,38.76,3.189
2014-07-21,38.68,38.98,38.18,38.81,2.365
2014-07-22,39.22,39.27,38.87,38.89,1.972
2014-07-23,38.84,38.93,38.02,38.2,2.797
2014-07-24,38.32,38.53,37.95,37.99,1.91
2014-07-25,37.86,38.0,37.55,37.63,2.12
2014-07-28,37.63,37.67,36.95,37.01,2.399
2014-07-29,37.06,37.24,36.66,36.7,1.824
2014-07-30,36.93,37.16,36.55,36.88,1.654
2014-07-31,36.58,36.78,36.29,36.37,2.124
2014-08-01,36.19,36.66,35.82,36.2,1.738
2014-08-04,36.25,36.34,35.78,36.24,1.405
2014-08-05,36.05,36.91,36.02,36.53,2.155
2014-08-06,36.18,36.48,35.89,36.16,1.39
2014-08-07,36.38,36.65,36.1,36.15,1.248
2014-08-08,36.18,37.32,36.12,37.31,1.553
2014-08-11,37.53,37.99,37.47,37.8,1.959
2014-08-12,37.79,38.19,37.46,37.57,1.659
2014-08-13,37.76,38.43,37.75,38.22,1.417
2014-08-14,38.25,38.33,37.6,37.74,2.308
2014-08-15,37.95,38.04,37.06,37.49,1.767
2014-08-18,37.92,38.08,37.74,37.97,1.414
2014-08-19,38.04,38.3,37.8,38.29,1.779
2014-08-20,38.31,38.97,38.25,38.94,1.338
2014-08-21,38.92,39.09,38.59,39.03,1.778
2014-08-22,38.98,39.14,38.71,38.85,1.229
2014-08-25,39.06,39.2,38.88,38.93,1.582
2014-08-26,38.91,39.15,38.73,38.76,0.746
2014-08-27,38.72,38.85,38.33,38.5,0.797
2014-08-28,38.22,38.26,37.89,38.01,1.519
2014-08-29,38.06,38.23,37.9,38.0,1.13
2014-09-02,38.09,38.54,38.01,38.43,1.365
2014-09-03,38.58,38.77,37.9,38.02,1.068
2014-09-04,38.02,38.4,37.6,37.72,1.251
2014-09-05,37.74,38.37,37.44,38.34,1.646
2014-09-08,38.3,38.38,37.94,38.05,0.82
2014-09-09,38.07,38.16,37.29,37.42,2.131
2014-09-10,37.49,37.89,37.2,37.8,2.142
2014-09-11,37.53,37.76,37.32,37.49,1.517
2014-09-12,37.37,37.42,36.34,36.46,2.69
2014-09-15,36.42,36.49,35.93,36.36,1.86
2014-09-16,36.43,37.09,36.22,36.92,1.603
2014-09-17,36.95,37.05,36.53,36.78,1.808
2014-09-18,36.91,36.94,36.61,36.74,1.224
2014-09-19,36.93,37.07,36.59,36.81,2.511
2014-09-22,36.65,36.7,36.26,36.45,2.504
2014-09-23,36.26,36.54,36.05,36.11,1.488
2014-09-24,36.1,36.44,35.94,36.14,1.826
2014-09-25,36.02,36.02,35.54,35.54,1.766
2014-09-26,36.02,36.85,35.82,36.71,2.746
2014-09-29,36.37,36.86,36.24,36.36,1.532
2014-09-30,36.45,36.57,35.81,35.99,1.456
2014-10-01,35.92,35.94,35.31,35.48,1.649
2014-10-02,35.35,35.49,34.72,35.38,1.565
2014-10-03,35.7,36.14,35.56,35.89,1.629
2014-10-06,36.0,36.13,35.34,35.4,0.98
2014-10-07,35.02,35.07,34.17,34.19,1.778
2014-10-08,34.11,34.73,33.84,34.72,2.531
2014-10-09,34.66,34.67,33.44,33.51,1.686
2014-10-10,33.52,33.95,33.03,33.19,2.608
2014-10-13,33.19,33.69,32.22,32.28,2.012
2014-10-14,32.6,34.13,32.59,33.83,2.972
2014-10-15,33.26,33.97,32.82,33.75,3.171
2014-10-16,32.94,34.05,32.67,33.66,2.857
2014-10-17,36.26,38.54,36.24,36.65,9.532
2014-10-20,36.65,36.85,36.19,36.45,3.137
2014-10-21,37.04,37.62,36.92,37.54,3.422
2014-10-22,37.59,37.63,36.59,36.6,2.076
2014-10-23,37.31,38.54,37.29,38.16,2.947
2014-10-24,38.24,38.8,37.88,38.76,2.027
2014-10-27,38.63,38.93,38.28,38.89,1.3
2014-10-28,39.0,40.49,38.89,40.49,2.562
2014-10-29,40.49,40.69,40.27,40.66,2.836
2014-10-30,40.44,41.25,40.3,41.07,3.301
2014-10-31,41.68,41.87,41.4,41.53,2.455
2014-11-03,41.53,41.84,41.31,41.41,1.38
2014-11-04,41.38,41.78,41.13,41.37,1.228
2014-11-05,41.71,42.19,41.46,42.05,1.895
2014-11-06,42.09,42.37,41.86,42.23,1.311
2014-11-07,42.23,42.3,41.56,41.89,2.45
2014-11-10,41.91,42.15,41.8,42.09,1.484
2014-11-11,42.0,42.22,41.62,41.8,1.302
2014-11-12,41.41,42.2,41.41,42.09,1.476
2014-11-13,42.1,42.5,41.97,42.15,1.729
2014-11-14,41.99,42.1,41.68,41.74,1.784
2014-11-17,41.74,41.92,41.56,41.8,2.059
2014-11-18,41.9,42.68,41.76,42.45,1.446
2014-11-19,42.38,42.89,42.22,42.83,1.752
2014-11-20,42.7,43.24,42.52,42.99,1.704
2014-11-21,43.55,43.9,43.47,43.58,2.246
2014-11-24,43.88,44.32,43.69,44.23,2.033
2014-11-25,44.34,44.47,43.63,43.69,2.783
2014-11-26,43.65,43.8,43.23,43.29,1.334
2014-11-28,43.45,43.52,43.19,43.32,0.858
2014-12-01,42.98,42.99,42.32,42.53,1.408
2014-12-02,42.55,42.84,41.94,42.16,3.352
2014-12-03,42.25,43.32,42.06,43.22,4.359
2014-12-04,43.3,43.42,42.36,42.47,1.592
2014-12-05,42.53,42.86,42.24,42.32,1.316
2014-12-08,42.33,42.53,41.4,41.61,1.271
2014-12-09,41.02,42.05,40.9,41.84,2.163
2014-12-10,41.8,41.82,40.49,40.52,1.543
2014-12-11,40.65,41.25,40.51,40.59,1.844
2014-12-12,40.15,40.21,39.3,39.33,2.172
2014-12-15,39.62,39.91,39.2,39.67,1.791
2014-12-16,39.6,40.56,39.45,39.49,2.012
2014-12-17,39.51,40.78,39.2,40.65,2.353
2014-12-18,41.37,42.01,41.35,41.99,1.909
2014-12-19,42.03,42.94,41.87,42.71,4.038
2014-12-22,42.74,43.0,42.53,42.9,1.392
2014-12-23,43.05,43.57,43.0,43.28,1.492
2014-12-24,43.41,43.41,42.96,43.0,0.795
2014-12-26,43.32,43.39,43.04,43.05,0.363
2014-12-29,42.86,43.22,42.71,43.1,0.977
2014-12-30,42.91,43.08,42.69,42.69,0.756
2014-12-31,42.71,43.05,42.1,42.11,0.897
2015-01-02,42.35,42.55,41.7,42.17,0.993
2015-01-05,41.82,42.18,41.09,41.36,1.285
2015-01-06,41.52,42.05,40.97,41.18,2.53
2015-01-07,41.64,41.9,41.27,41.45,2.544
2015-01-08,41.86,43.33,41.85,43.32,2.939
2015-01-09,43.42,43.43,42.44,42.58,1.324
2015-01-12,42.56,42.72,41.59,42.14,1.18
2015-01-13,42.58,43.24,41.8,42.43,1.34
2015-01-14,41.69,42.41,41.59,42.19,1.426
2015-01-15,42.49,42.71,41.9,42.33,3.081
2015-01-16,42.17,42.91,41.87,42.87,2.073
2015-01-20,43.13,43.35,41.97,42.56,1.627
2015-01-21,42.5,42.93,42.17,42.46,1.208
2015-01-22,42.85,43.69,42.44,43.46,1.838
2015-01-23,43.39,43.39,42.36,42.37,2.337
2015-01-26,42.28,42.74,42.1,42.45,1.655
2015-01-27,41.71,41.83,41.22,41.37,4.287
2015-01-28,41.88,43.86,41.79,41.99,4.59
2015-01-29,41.99,42.83,40.95,42.56,4.937
2015-01-30,42.8,43.26,42.51,42.56,4.116
