Date,Open,High,Low,Close,Volume
2014-01-02,102.09,102.44,99.78,101.29,0.13
2014-01-03,101.28,102.37,100.95,102.29,0.088
2014-01-06,102.81,103.41,101.13,101.73,0.099
2014-01-07,101.82,103.94,101.82,102.39,0.1
2014-01-08,102.34,103.07,99.82,101.48,0.338
2014-01-09,101.55,103.2,101.0,102.05,0.138
2014-01-10,102.33,102.8,101.44,102.65,0.145
2014-01-13,102.3,103.41,99.83,100.55,0.16
2014-01-14,100.76,104.03,100.76,104.02,0.151
2014-01-15,104.52,107.99,104.52,107.61,0.265
2014-01-16,103.6,107.75,103.6,106.07,0.152
2014-01-17,105.67,106.01,104.15,104.69,0.11
2014-01-21,105.85,106.06,103.96,104.14,0.126
2014-01-22,103.64,105.91,103.4,105.32,0.135
2014-01-23,104.75,104.96,103.55,104.86,0.108
2014-01-24,103.87,104.13,101.66,102.26,0.099
2014-01-27,103.67,107.04,103.27,103.8,0.261
2014-01-28,104.0,106.11,103.56,106.07,0.216
2014-01-29,104.9,107.0,103.82,104.19,0.161
2014-01-30,105.08,107.5,104.55,106.04,0.159
2014-01-31,103.57,106.37,103.57,105.45,0.126
2014-02-03,105.46,106.31,100.73,102.24,0.208
2014-02-04,102.9,103.75,101.13,101.89,0.185
2014-02-05,101.65,103.07,99.51,102.55,0.215
2014-02-06,96.56,97.49,87.22,93.11,1.384
2014-02-07,93.32,93.98,91.98,92.01,0.342
2014-02-10,91.77,91.77,89.44,90.19,0.471
2014-02-11,90.0,90.86,89.02,90.05,0.293
2014-02-12,90.4,92.71,89.8,91.94,0.41
2014-02-13,91.8,94.6,91.56,94.57,0.235
2014-02-14,94.58,95.04,93.76,94.2,0.177
2014-02-18,94.05,96.5,94.05,95.75,0.194
2014-02-19,95.23,96.81,95.12,95.6,0.226
2014-02-20,95.6,97.91,94.58,97.41,0.167
2014-02-21,97.85,98.62,97.48,98.04,0.211
2014-02-24,98.0,99.71,97.8,97.8,0.224
2014-02-25,97.64,97.7,94.38,94.57,0.196
2014-02-26,94.27,95.6,94.05,94.48,0.185
2014-02-27,94.05,94.5,92.38,94.5,0.289
2014-02-28,94.81,95.85,92.73,93.78,0.266
2014-03-03,93.73,93.73,90.6,92.83,0.181
2014-03-04,94.72,97.0,94.18,94.81,0.319
2014-03-05,94.29,94.78,93.78,94.26,0.126
2014-03-06,94.26,94.26,92.99,93.19,0.123
2014-03-07,93.57,93.6,92.18,92.5,0.138
2014-03-10,92.31,93.15,91.26,91.92,0.168
2014-03-11,91.83,92.18,89.66,90.19,0.189
2014-03-12,90.04,90.56,88.23,90.07,0.253
2014-03-13,90.29,90.29,89.07,89.66,0.204
2014-03-14,89.32,90.75,88.76,89.87,0.127
2014-03-17,90.83,91.58,90.08,91.01,0.099
2014-03-18,90.9,93.0,90.53,92.17,0.118
2014-03-19,92.19,92.98,89.81,90.83,0.087
2014-03-20,90.66,92.13,90.28,91.63,0.111
2014-03-21,92.0,92.5,90.54,91.15,0.326
2014-03-24,91.27,91.27,87.95,88.69,0.309
2014-03-25,89.61,90.58,88.1,88.81,0.157
2014-03-26,89.67,89.97,87.35,87.37,0.156
2014-03-27,87.05,87.5,84.65,86.24,0.288
2014-03-28,86.25,86.77,82.51,82.77,0.352
2014-03-31,82.87,84.69,81.54,83.68,0.399
2014-04-01,83.72,86.44,82.61,86.35,0.284
2014-04-02,86.78,86.78,85.06,85.63,0.166
2014-04-03,85.55,86.09,83.98,84.26,0.184
2014-04-04,85.16,85.16,79.7,80.0,0.392
