Date,Open,High,Low,Close,Volume
2014-01-02,23.31,23.57,23.1,23.27,1.428
2014-01-03,23.23,23.75,23.2,23.68,1.43
2014-01-06,23.75,23.88,23.57,23.85,1.666
2014-01-07,23.99,24.0,23.72,23.73,1.799
2014-01-08,23.44,23.56,23.25,23.33,1.571
2014-01-09,23.46,23.55,23.14,23.46,1.579
2014-01-10,23.24,23.61,23.24,23.56,1.521
2014-01-13,23.47,23.59,23.25,23.36,1.523
2014-01-14,23.43,23.74,23.34,23.6,1.21
2014-01-15,23.69,24.0,23.64,23.83,1.394
2014-01-16,23.85,24.07,23.83,23.97,1.804
2014-01-17,23.93,24.0,23.79,23.91,1.735
2014-01-21,23.98,24.17,23.98,24.17,1.335
2014-01-22,24.23,24.41,24.16,24.22,1.641
2014-01-23,24.1,24.16,23.92,23.97,1.409
2014-01-24,23.85,24.14,23.63,23.72,1.278
2014-01-27,23.69,23.83,23.38,23.4,1.632
2014-01-28,23.4,23.83,23.4,23.78,1.741
2014-01-29,23.67,23.86,23.57,23.73,1.397
2014-01-30,23.84,24.65,23.77,24.4,2.397
2014-01-31,24.14,24.5,24.06,24.34,2.608
2014-02-03,24.27,24.39,23.92,24.05,3.97
2014-02-04,24.04,24.64,23.75,24.21,4.794
2014-02-05,24.25,24.86,24.21,24.74,2.903
2014-02-06,24.84,25.34,24.72,25.26,2.737
2014-02-07,25.36,25.79,25.31,25.59,2.327
2014-02-10,25.59,25.96,25.54,25.83,2.179
2014-02-11,25.93,26.52,25.75,26.05,2.385
2014-02-12,26.1,26.13,25.82,25.86,1.504
2014-02-13,25.82,26.11,25.75,25.89,1.953
2014-02-14,25.85,25.94,25.76,25.92,0.836
2014-02-18,26.0,26.02,25.67,25.94,1.054
2014-02-19,25.9,26.26,25.9,25.95,1.458
2014-02-20,25.92,26.11,25.69,25.77,1.105
2014-02-21,25.8,25.87,25.6,25.69,1.979
2014-02-24,25.78,25.97,25.62,25.65,1.568
2014-02-25,25.7,26.02,25.61,25.87,1.922
2014-02-26,26.01,26.04,25.74,25.82,1.976
2014-02-27,25.85,25.96,25.65,25.77,1.117
2014-02-28,25.73,26.0,25.65,25.81,3.432
2014-03-03,25.65,26.3,25.64,26.15,1.65
2014-03-04,26.38,26.61,26.31,26.56,1.853
2014-03-05,26.58,26.77,26.34,26.63,1.771
2014-03-06,26.62,26.64,26.15,26.32,1.173
2014-03-07,26.23,26.3,25.82,26.1,1.369
2014-03-10,26.03,26.13,25.58,25.66,1.607
2014-03-11,25.69,25.83,25.63,25.8,1.87
2014-03-12,25.7,25.98,25.67,25.87,1.23
2014-03-13,25.95,25.95,25.45,25.65,1.117
2014-03-14,25.63,26.0,25.63,25.72,1.249
2014-03-17,25.85,26.02,25.68,25.79,0.723
2014-03-18,25.8,25.93,25.65,25.82,0.833
2014-03-19,25.8,26.06,25.13,25.17,1.688
2014-03-20,25.17,25.47,25.07,25.46,1.086
2014-03-21,25.55,25.68,25.28,25.31,3.068
2014-03-24,25.43,25.6,25.04,25.23,2.487
2014-03-25,25.35,25.89,25.35,25.83,1.297
2014-03-26,25.91,25.98,25.52,25.58,1.402
2014-03-27,25.53,25.65,25.3,25.63,1.345
2014-03-28,25.71,25.82,25.56,25.68,1.04
2014-03-31,25.76,25.97,25.49,25.83,1.371
2014-04-01,25.83,25.86,25.48,25.86,1.752
2014-04-02,25.85,25.88,25.53,25.8,1.428
2014-04-03,25.82,25.97,25.65,25.71,1.01
2014-04-04,25.84,25.88,25.6,25.85,1.475
2014-04-07,25.6,25.88,25.53,25.62,1.446
2014-04-08,25.49,26.01,25.46,26.0,1.529
2014-04-09,26.02,26.02,25.6,25.83,1.528
2014-04-10,25.85,25.97,25.53,25.63,1.45
2014-04-11,25.5,25.7,25.27,25.28,2.058
2014-04-14,25.38,25.44,25.18,25.29,1.503
2014-04-15,25.3,25.57,25.29,25.48,1.358
2014-04-16,25.64,25.77,25.43,25.71,1.092
2014-04-17,25.61,25.68,25.28,25.43,1.293
2014-04-21,25.43,25.69,25.26,25.69,0.826
2014-04-22,25.7,25.77,25.39,25.75,0.874
2014-04-23,25.74,25.81,25.48,25.58,1.356
2014-04-24,25.62,25.86,25.56,25.84,0.794
