Date,Open,High,Low,Close,Volume
2014-01-02,84.2,84.91,83.32,83.56,4.692
2014-01-03,83.71,84.38,83.12,83.43,2.412
2014-01-06,83.58,83.81,82.49,82.58,3.741
2014-01-07,82.69,83.44,82.61,83.31,3.135
2014-01-08,83.93,84.5,83.25,83.46,4.463
2014-01-09,83.6,84.67,83.46,84.64,4.534
2014-01-10,84.42,85.44,84.29,85.19,5.088
2014-01-13,85.17,85.35,83.78,84.03,4.53
2014-01-14,84.11,84.74,83.77,84.41,3.145
2014-01-15,84.44,85.69,84.42,85.07,4.352
2014-01-16,83.79,84.21,83.28,83.98,4.837
2014-01-17,83.96,84.4,83.56,83.92,4.756
2014-01-21,84.79,84.79,83.59,84.06,3.099
2014-01-22,84.54,85.0,84.05,84.25,5.255
2014-01-23,86.19,87.41,86.03,87.06,7.353
2014-01-24,86.07,87.5,85.25,85.82,7.066
2014-01-27,86.03,86.26,85.15,85.61,5.459
2014-01-28,85.71,86.99,85.66,86.4,4.187
2014-01-29,86.08,86.59,85.6,85.97,5.526
2014-01-30,87.38,88.5,87.17,88.11,5.357
2014-01-31,87.34,87.91,86.59,87.12,5.034
2014-02-03,87.3,87.9,85.56,85.87,6.805
2014-02-04,86.54,86.83,85.72,86.62,4.055
2014-02-05,86.29,86.68,85.6,86.32,4.349
2014-02-06,86.45,87.81,86.36,87.56,3.998
2014-02-07,87.89,88.79,87.74,88.45,4.627
2014-02-10,88.32,88.39,87.28,87.39,5.165
2014-02-11,87.61,89.39,87.53,88.85,5.403
2014-02-12,88.94,89.69,88.67,89.43,3.269
2014-02-13,88.84,89.6,88.72,89.32,2.874
2014-02-14,89.14,90.25,89.1,90.07,3.817
2014-02-18,90.12,90.2,88.67,89.15,5.751
2014-02-19,88.69,89.18,87.79,87.93,3.777
2014-02-20,88.04,89.25,88.0,88.93,4.276
2014-02-21,89.25,90.1,89.04,89.56,4.103
2014-02-24,89.61,90.64,89.45,89.81,3.283
2014-02-25,89.99,90.04,89.01,89.35,2.795
2014-02-26,89.0,89.5,88.38,88.61,3.375
2014-02-27,88.44,89.54,88.39,89.25,2.951
2014-02-28,89.39,90.58,89.11,90.19,4.774
2014-03-03,89.58,89.97,89.14,89.75,3.857
2014-03-04,90.9,92.42,90.57,91.93,4.955
2014-03-05,92.15,92.99,91.89,92.17,4.432
2014-03-06,92.3,93.54,92.15,92.93,3.646
2014-03-07,93.29,94.29,93.03,93.79,3.818
2014-03-10,93.64,93.77,92.75,93.11,3.678
2014-03-11,93.26,93.35,92.65,92.89,2.856
2014-03-12,92.44,93.79,92.15,93.77,3.315
2014-03-13,93.98,94.73,92.73,92.93,4.766
2014-03-14,92.73,93.21,92.1,92.57,3.855
2014-03-17,93.24,93.94,92.98,93.68,3.464
2014-03-18,93.85,95.0,93.62,94.7,3.541
2014-03-19,94.92,95.12,93.11,93.43,4.158
2014-03-20,93.22,94.38,92.93,94.36,3.271
2014-03-21,94.99,95.24,93.53,93.67,5.736
2014-03-24,93.82,94.28,92.77,94.0,4.113
2014-03-25,94.24,94.65,93.49,93.49,4.307
2014-03-26,93.93,94.04,92.15,92.15,4.655
2014-03-27,91.78,92.62,91.43,91.65,4.266
2014-03-28,91.9,92.45,91.76,92.38,3.182
2014-03-31,92.89,94.33,92.54,93.83,3.263
2014-04-01,94.19,94.27,93.33,94.22,2.681
2014-04-02,94.18,94.99,94.07,94.54,3.648
2014-04-03,94.89,94.89,93.85,94.58,2.825
2014-04-04,94.85,95.0,93.75,94.03,3.306
2014-04-07,93.9,94.19,92.75,93.12,2.849
2014-04-08,92.91,93.36,92.34,92.67,4.223
2014-04-09,92.91,93.51,92.29,93.29,3.487
2014-04-10,93.34,93.63,91.75,91.79,3.483
2014-04-11,91.21,91.87,90.43,90.54,6.082
2014-04-14,91.31,91.74,90.36,91.05,4.537
2014-04-15,91.21,92.92,91.14,92.76,6.549
2014-04-16,92.72,94.27,92.25,94.07,7.272
2014-04-17,91.25,95.01,91.15,94.79,6.253
2014-04-21,95.0,96.0,94.81,95.77,4.141
2014-04-22,96.02,97.08,95.83,96.03,4.668
2014-04-23,96.03,96.31,95.6,95.95,2.982
2014-04-24,96.15,96.28,95.0,95.29,2.731
2014-04-25,95.3,95.3,93.71,93.89,4.433
2014-04-28,94.38,94.64,93.36,93.96,4.257
2014-04-29,94.18,95.04,93.9,94.94,3.375
2014-04-30,94.96,95.61,94.9,95.21,3.067
2014-05-01,95.15,95.62,94.36,94.4,2.657
2014-05-02,94.49,94.73,93.92,94.0,3.758
2014-05-05,93.87,94.21,93.4,93.88,3.696
2014-05-06,93.75,94.14,93.58,93.65,4.296
2014-05-07,93.81,94.43,93.43,94.18,5.312
2014-05-08,94.18,94.92,93.96,94.36,3.78
2014-05-09,94.22,94.97,93.85,94.66,3.323
2014-05-12,94.77,95.86,94.77,95.82,3.925
