Date,Open,High,Low,Close,Volume
2014-01-02,104.63,104.91,102.82,103.32,2.8
2014-01-03,103.48,103.94,103.05,103.09,3.72
2014-01-06,103.53,103.67,101.23,101.75,3.885
2014-01-07,101.84,102.89,101.8,102.08,3.386
2014-01-08,102.12,102.28,101.41,102.0,3.024
2014-01-09,102.27,102.54,101.53,102.12,2.352
2014-01-10,102.27,102.64,101.33,102.52,3.5
2014-01-13,101.64,102.53,100.03,100.23,3.51
2014-01-14,100.36,100.99,99.63,100.93,3.62
2014-01-15,101.22,101.44,100.71,101.05,2.028
2014-01-16,100.78,101.07,100.1,100.49,2.604
2014-01-17,97.51,100.31,97.0,99.91,10.136
2014-01-21,100.46,100.59,97.54,98.57,5.783
2014-01-22,99.26,99.36,98.5,98.99,3.234
2014-01-23,98.39,98.54,97.61,97.94,4.255
2014-01-24,97.58,97.69,96.28,96.33,5.252
2014-01-27,96.14,96.62,95.01,95.17,4.974
2014-01-28,95.31,95.81,95.17,95.81,3.882
2014-01-29,95.52,96.0,94.95,95.33,4.554
2014-01-30,96.72,97.0,95.65,95.78,4.01
2014-01-31,94.47,95.97,94.02,95.23,4.083
2014-02-03,95.1,95.92,93.52,93.62,5.449
2014-02-04,94.14,94.23,93.19,93.89,3.537
2014-02-05,93.85,94.33,93.5,93.76,4.591
2014-02-06,94.15,94.93,94.01,94.74,4.196
2014-02-07,95.3,95.6,94.57,95.37,2.89
2014-02-10,95.25,95.46,94.46,94.73,4.234
2014-02-11,94.71,96.47,94.71,96.16,3.265
2014-02-12,96.15,96.76,95.87,96.03,2.471
2014-02-13,95.69,96.74,95.44,96.56,2.376
2014-02-14,96.45,97.37,96.29,97.24,3.304
2014-02-18,97.15,97.91,96.18,96.49,3.038
2014-02-19,96.03,96.37,95.03,95.18,4.445
2014-02-20,94.85,96.24,94.12,95.67,4.909
2014-02-21,95.95,96.73,95.79,96.11,3.423
2014-02-24,96.21,97.0,95.92,95.95,2.763
2014-02-25,95.99,96.19,95.25,95.45,3.291
2014-02-26,95.5,95.85,94.91,95.2,2.916
2014-02-27,95.07,95.64,94.9,95.55,2.682
2014-02-28,95.42,96.34,95.05,95.77,4.097
2014-03-03,95.26,95.8,94.81,95.78,3.014
2014-03-04,96.45,97.2,96.43,96.98,3.31
2014-03-05,97.0,97.38,96.8,97.08,2.445
2014-03-06,97.37,97.99,97.16,97.86,3.229
2014-03-07,98.26,98.8,98.0,98.22,2.741
2014-03-10,98.2,98.75,98.0,98.74,2.63
2014-03-11,99.0,99.07,98.12,98.31,2.584
2014-03-12,98.0,98.59,97.49,98.52,2.625
2014-03-13,98.82,98.93,96.58,97.1,4.77
2014-03-14,97.08,97.23,96.08,96.27,4.129
2014-03-17,96.8,97.35,96.75,96.99,2.13
2014-03-18,96.85,97.82,96.85,97.41,2.023
2014-03-19,97.54,97.99,96.38,96.95,2.511
2014-03-20,96.79,96.95,96.23,96.91,1.942
2014-03-21,97.72,98.05,96.64,96.86,4.304
2014-03-24,97.07,97.46,96.33,97.34,3.5
2014-03-25,97.6,98.01,97.32,97.65,2.308
2014-03-26,98.0,98.24,96.72,96.75,3.253
2014-03-27,96.85,97.09,96.25,97.05,2.846
2014-03-28,97.15,97.78,97.08,97.34,1.937
2014-03-31,97.59,97.76,97.08,97.38,2.398
2014-04-01,97.74,97.8,97.09,97.34,2.552
2014-04-02,97.46,98.25,97.4,97.97,3.117
2014-04-03,98.07,98.82,97.98,98.52,2.183
2014-04-04,98.89,99.41,97.74,98.1,2.958
2014-04-07,98.35,98.43,97.34,97.36,2.899
2014-04-08,97.11,97.81,96.82,97.42,3.315
2014-04-09,97.51,98.11,97.16,97.85,2.985
2014-04-10,97.95,98.13,96.43,96.63,3.963
2014-04-11,96.42,96.9,96.19,96.27,2.899
2014-04-14,96.85,97.09,95.74,96.09,3.18
2014-04-15,96.4,96.58,95.45,95.78,6.511
2014-04-16,96.4,97.37,95.9,97.35,3.636
2014-04-17,97.05,98.12,96.8,98.0,3.261
2014-04-21,98.24,98.98,97.92,98.9,2.66
2014-04-22,99.15,99.39,98.8,99.0,2.156
2014-04-23,98.99,99.85,98.78,99.24,3.133
2014-04-24,99.1,99.79,98.5,98.64,3.568
2014-04-25,98.34,98.74,97.2,97.4,2.709
2014-04-28,97.8,98.48,97.44,98.26,3.387
2014-04-29,98.32,98.71,97.94,98.01,2.803
2014-04-30,98.17,98.8,97.92,98.5,2.546
2014-05-01,98.5,98.6,97.85,98.11,2.384
2014-05-02,98.08,99.18,98.02,98.56,2.28
