Date,Open,High,Low,Close,Volume
2014-01-02,77.27,77.73,75.51,76.49,1.292
2014-01-03,76.58,77.43,76.45,77.16,1.569
2014-01-06,77.18,78.37,77.05,77.37,1.254
2014-01-07,77.71,78.79,77.59,77.78,1.18
2014-01-08,77.74,79.36,77.47,78.78,1.713
2014-01-09,79.36,79.43,77.85,78.26,1.02
2014-01-10,78.18,79.33,78.07,79.15,1.036
2014-01-13,79.04,79.64,76.79,77.08,1.458
2014-01-14,77.99,78.82,77.16,78.82,1.14
2014-01-15,79.68,82.0,79.35,81.68,2.388
2014-01-16,81.74,82.57,81.31,82.01,1.677
2014-01-17,81.9,82.22,80.84,81.09,1.31
2014-01-21,82.29,82.29,80.45,81.51,1.298
2014-01-22,81.95,82.12,80.75,81.59,2.603
2014-01-23,80.92,84.2,80.38,83.32,4.13
2014-01-24,82.82,82.87,79.06,79.5,2.742
2014-01-27,79.86,80.3,76.12,78.23,1.914
2014-01-28,78.75,81.64,78.75,81.56,2.289
2014-01-29,80.72,81.31,79.09,79.99,1.964
2014-01-30,81.06,82.68,80.26,81.6,1.68
2014-01-31,80.7,82.14,80.12,80.94,1.193
2014-02-03,81.12,81.53,74.32,74.46,4.193
2014-02-04,74.95,78.14,74.88,76.87,2.38
2014-02-05,76.96,77.46,75.42,76.81,1.462
2014-02-06,77.34,79.95,77.31,79.45,1.713
2014-02-07,79.87,81.37,79.7,80.6,1.307
2014-02-10,80.44,80.56,78.73,79.18,1.259
2014-02-11,79.47,82.34,79.44,81.91,1.73
2014-02-12,82.7,83.57,81.91,82.63,1.253
2014-02-13,81.43,83.42,81.22,82.71,1.19
2014-02-14,82.46,83.7,82.31,83.31,1.026
2014-02-18,83.99,85.6,83.99,85.11,1.45
2014-02-19,85.36,85.71,84.27,84.59,1.255
2014-02-20,84.58,87.25,84.01,86.78,1.43
2014-02-21,86.77,87.82,86.55,86.59,1.233
2014-02-24,87.09,88.76,87.01,87.43,1.353
2014-02-25,87.31,89.1,86.99,87.9,1.07
2014-02-26,88.3,88.38,86.0,86.21,1.946
2014-02-27,86.22,88.55,86.07,88.08,2.023
2014-02-28,88.37,89.08,87.64,88.34,1.502
2014-03-03,86.81,88.26,86.2,87.5,1.289
2014-03-04,89.41,91.03,88.73,90.52,2.318
2014-03-05,90.26,90.69,89.17,89.33,1.472
2014-03-06,89.85,90.4,88.36,88.5,1.377
2014-03-07,89.91,89.91,88.17,88.49,1.849
2014-03-10,90.62,92.79,90.62,91.82,2.923
2014-03-11,91.99,92.6,89.63,89.95,1.296
2014-03-12,89.5,91.92,88.5,91.92,1.464
2014-03-13,92.22,92.45,88.6,89.31,1.785
2014-03-14,88.9,91.21,88.9,90.09,1.273
2014-03-17,91.04,92.84,90.76,90.91,1.478
2014-03-18,91.09,92.17,90.57,91.88,1.537
2014-03-19,91.99,93.32,91.35,92.66,1.044
2014-03-20,92.09,94.83,92.05,94.76,1.834
2014-03-21,95.14,96.51,94.5,94.91,3.168
2014-03-24,95.6,95.67,91.3,92.69,1.673
2014-03-25,93.85,94.0,91.76,93.13,1.392
2014-03-26,93.91,94.23,91.44,91.68,1.461
2014-03-27,91.54,92.13,89.7,90.83,1.752
2014-03-28,91.32,93.14,90.5,92.43,1.351
