Date,Open,High,Low,Close,Volume
2014-01-02,55.38,55.51,54.88,55.25,10.654
2014-01-03,55.44,55.62,55.06,55.29,7.81
2014-01-06,55.29,55.58,54.9,54.96,8.578
2014-01-07,55.19,55.53,55.12,55.38,8.178
2014-01-08,55.35,55.75,55.16,55.56,8.487
2014-01-09,55.89,56.13,55.42,55.48,8.386
2014-01-10,55.46,55.69,55.0,55.28,6.43
2014-01-13,55.51,56.05,54.65,54.72,13.554
2014-01-14,54.69,55.66,54.58,55.66,10.852
2014-01-15,55.71,56.22,55.46,55.94,11.288
2014-01-16,55.8,55.94,55.32,55.44,13.514
2014-01-17,55.51,58.06,55.51,58.04,38.344
2014-01-21,58.6,58.88,57.71,57.98,19.752
2014-01-22,58.1,58.46,57.92,58.25,7.254
2014-01-23,57.92,58.08,56.92,57.06,13.662
2014-01-24,56.6,56.74,55.31,55.31,16.043
2014-01-27,55.52,55.52,53.78,54.06,19.471
2014-01-28,54.4,55.59,54.35,55.24,17.852
2014-01-29,54.78,55.19,54.12,54.28,16.8
2014-01-30,56.44,56.5,54.08,55.22,20.04
2014-01-31,54.03,54.72,53.78,53.86,24.457
2014-02-03,54.13,54.46,53.02,53.37,21.662
2014-02-04,53.54,53.97,52.85,53.63,14.914
2014-02-05,53.31,54.19,53.28,53.9,13.521
2014-02-06,54.02,54.75,53.94,54.75,12.722
2014-02-07,55.05,55.5,54.62,55.44,12.537
2014-02-10,55.47,55.53,55.0,55.14,10.317
2014-02-11,55.28,55.72,55.01,55.58,9.81
2014-02-12,55.86,56.22,55.72,56.04,14.651
2014-02-13,55.71,56.19,55.62,56.01,13.159
2014-02-14,56.07,56.56,55.88,56.5,12.682
2014-02-18,56.62,57.12,56.4,56.51,13.427
2014-02-19,56.47,56.95,55.92,55.97,9.322
2014-02-20,56.04,56.24,55.65,55.87,8.81
2014-02-21,55.93,56.17,55.74,55.84,9.136
2014-02-24,55.93,56.86,55.87,56.55,10.817
2014-02-25,56.55,57.11,56.37,56.78,11.34
2014-02-26,56.81,56.97,56.31,56.53,10.414
2014-02-27,56.55,56.95,56.4,56.57,8.098
2014-02-28,56.62,57.0,55.17,56.49,14.004
2014-03-03,55.81,56.01,54.9,55.36,16.423
2014-03-04,56.29,56.49,55.65,56.38,14.885
2014-03-05,56.4,56.45,55.58,55.7,11.328
2014-03-06,55.94,56.52,55.83,55.97,9.12
2014-03-07,56.24,56.43,55.88,56.39,8.971
2014-03-10,56.38,56.59,56.18,56.38,7.35
2014-03-11,56.49,57.1,56.16,56.79,11.063
2014-03-12,56.53,56.92,56.32,56.53,9.395
2014-03-13,56.67,56.87,55.11,55.19,11.996
2014-03-14,55.15,55.48,54.64,55.19,13.692
2014-03-17,55.5,55.97,55.35,55.94,8.8
2014-03-18,56.15,56.69,55.81,56.6,8.305
