Date,Open,High,Low,Close,Volume
2014-01-02,59.34,59.75,58.38,58.74,1.879
2014-01-03,58.51,58.84,58.14,58.48,1.881
2014-01-06,58.59,58.78,57.82,58.11,2.32
2014-01-07,58.38,58.65,58.01,58.23,1.918
2014-01-08,58.15,58.19,57.51,58.07,2.254
2014-01-09,58.31,58.73,57.87,58.65,1.71
2014-01-10,58.66,58.83,58.19,58.82,1.248
2014-01-13,58.43,58.57,56.47,56.71,3.098
2014-01-14,56.89,57.49,56.53,56.91,2.179
2014-01-15,56.97,57.33,56.65,56.7,1.938
2014-01-16,56.47,56.69,55.37,55.75,3.478
2014-01-17,57.8,57.8,55.36,55.36,3.996
2014-01-21,55.9,55.9,54.63,55.35,3.007
2014-01-22,55.59,55.72,55.38,55.56,2.041
2014-01-23,55.12,55.34,54.53,54.76,2.371
2014-01-24,54.39,55.03,54.34,54.4,2.268
2014-01-27,54.36,54.89,54.24,54.53,2.467
2014-01-28,54.61,55.52,54.48,55.25,1.955
2014-01-29,54.97,55.37,54.12,54.22,2.44
2014-01-30,55.26,56.46,55.26,55.94,2.436
2014-01-31,55.24,55.37,54.89,55.04,2.782
2014-02-03,55.03,55.04,53.07,53.19,2.52
2014-02-04,53.59,53.72,52.9,53.08,2.461
2014-02-05,53.06,53.24,52.09,52.72,3.77
2014-02-06,52.95,54.25,52.19,54.08,2.295
2014-02-07,54.4,55.4,54.4,55.32,1.893
2014-02-10,55.16,55.81,55.09,55.65,1.932
2014-02-11,55.59,56.91,55.47,56.88,2.764
2014-02-12,57.08,57.27,55.73,55.87,3.372
2014-02-13,55.61,56.5,55.51,56.39,3.502
2014-02-14,52.94,53.78,51.92,53.53,8.786
2014-02-18,53.52,53.62,52.82,53.16,4.34
2014-02-19,53.13,53.86,53.09,53.36,3.1
2014-02-20,53.46,54.72,53.46,54.64,2.829
2014-02-21,54.6,55.34,54.6,55.08,3.773
2014-02-24,55.05,55.73,55.05,55.4,2.933
2014-02-25,55.56,55.77,55.22,55.56,2.249
2014-02-26,55.81,56.72,55.62,56.34,3.588
2014-02-27,55.4,55.95,55.09,55.55,3.197
2014-02-28,55.4,55.5,54.81,55.17,3.58
2014-03-03,54.52,55.22,54.5,55.14,1.795
2014-03-04,55.7,56.48,55.7,56.27,1.887
2014-03-05,56.37,56.66,56.06,56.37,1.84
2014-03-06,56.27,56.65,56.01,56.51,1.669
2014-03-07,56.8,58.37,56.71,57.8,4.043
2014-03-10,57.73,58.3,57.72,58.18,3.009
2014-03-11,58.18,58.33,57.67,57.86,2.38
2014-03-12,57.5,57.81,57.28,57.75,1.969
2014-03-13,57.87,58.35,57.34,57.54,3.324
2014-03-14,57.24,58.11,57.12,57.18,2.807
2014-03-17,57.6,58.84,57.6,58.69,2.132
2014-03-18,58.71,59.36,58.49,58.51,2.916
2014-03-19,58.59,58.79,57.62,58.09,2.286
2014-03-20,57.9,58.83,57.64,58.64,2.141
2014-03-21,59.13,59.52,58.59,58.66,3.369
2014-03-24,58.79,59.18,57.99,58.29,1.469
2014-03-25,58.54,58.62,57.28,57.42,2.084
2014-03-26,57.36,57.99,57.07,57.09,1.553
2014-03-27,57.16,57.61,56.88,57.31,1.493
2014-03-28,57.49,58.1,57.21,57.79,1.27
2014-03-31,58.33,58.58,58.1,58.27,1.836
2014-04-01,58.45,59.16,58.32,58.55,1.688
2014-04-02,58.62,59.29,58.5,58.97,1.609
2014-04-03,59.0,59.21,57.81,58.0,2.397
2014-04-04,58.34,58.39,56.64,56.84,3.278
2014-04-07,56.78,56.99,55.8,56.03,2.05
2014-04-08,55.82,56.67,55.58,56.32,1.878
2014-04-09,55.83,55.92,54.8,55.57,4.772
2014-04-10,55.66,56.41,54.9,55.02,2.654
2014-04-11,54.61,55.11,54.21,54.33,2.642
2014-04-14,54.65,55.15,54.51,54.96,1.985
2014-04-15,55.08,55.79,54.78,55.72,1.873
2014-04-16,56.15,56.63,56.05,56.62,1.895
2014-04-17,56.6,56.94,56.27,56.36,1.174
2014-04-21,56.55,57.11,56.26,56.56,1.376
2014-04-22,56.7,56.96,56.2,56.49,2.498
2014-04-23,56.62,57.2,56.56,56.98,1.479
2014-04-24,57.03,57.07,56.09,56.6,2.069
2014-04-25,56.97,58.59,56.93,57.85,3.179
2014-04-28,58.31,58.62,56.2,57.27,3.165
2014-04-29,57.35,57.93,57.26,57.72,1.621
2014-04-30,57.62,57.75,57.15,57.52,2.317
2014-05-01,57.53,57.94,57.03,57.61,1.531
2014-05-02,57.79,58.32,57.47,57.59,1.508
2014-05-05,57.4,57.91,56.95,57.74,1.18
2014-05-06,57.67,57.97,57.31,57.56,1.513
2014-05-07,57.74,57.8,56.67,57.39,1.28
2014-05-08,57.42,58.51,57.16,58.15,2.184
2014-05-09,57.85,58.27,57.02,58.15,1.912
2014-05-12,58.42,59.36,58.15,59.14,1.736
2014-05-13,59.66,60.25,59.66,59.83,1.886
2014-05-14,59.99,60.04,59.28,59.4,1.463
2014-05-15,59.2,59.2,58.19,58.72,1.253
2014-05-16,58.65,59.12,58.37,59.11,1.414
2014-05-19,59.02,59.66,59.02,59.41,1.096
2014-05-20,59.12,59.24,58.2,58.38,2.084
2014-05-21,58.47,58.77,58.2,58.49,1.041
2014-05-22,58.56,58.91,58.29,58.78,1.092
2014-05-23,58.88,59.14,58.77,59.06,0.968
2014-05-27,59.41,59.77,59.12,59.22,1.013
2014-05-28,59.32,59.37,58.64,59.02,1.428
2014-05-29,59.27,59.27,58.83,59.02,0.809
2014-05-30,59.12,59.72,58.99,59.34,1.462
2014-06-02,59.42,59.87,59.15,59.72,0.936
2014-06-03,59.71,59.84,59.4,59.77,1.173
2014-06-04,59.7,60.12,59.38,59.98,0.969
2014-06-05,59.72,60.31,59.13,60.24,1.978
2014-06-06,60.25,60.34,59.63,59.67,1.432
2014-06-09,59.7,59.99,59.67,59.83,1.07
2014-06-10,59.78,59.92,59.46,59.5,0.957
2014-06-11,59.27,59.39,58.95,59.19,1.409
2014-06-12,58.94,59.09,58.18,58.31,1.337
2014-06-13,58.29,58.29,57.86,58.04,1.241
2014-06-16,57.79,58.51,57.7,58.1,1.574
2014-06-17,57.95,58.47,57.81,58.23,1.541
2014-06-18,58.42,58.84,58.0,58.72,1.653
2014-06-19,58.82,58.85,58.17,58.47,1.473
2014-06-20,58.69,58.79,58.37,58.52,2.869
2014-06-23,58.64,59.05,58.39,58.99,1.642
2014-06-24,58.86,59.29,58.56,58.61,1.115
2014-06-25,58.43,59.3,58.43,59.17,1.195
2014-06-26,59.16,59.22,58.51,58.79,1.305
2014-06-27,58.74,59.24,58.55,59.06,1.278
2014-06-30,59.08,59.42,58.89,59.32,1.666
2014-07-01,59.35,59.92,59.29,59.67,1.224
2014-07-02,59.53,59.76,59.23,59.37,1.443
2014-07-03,59.39,59.84,59.37,59.67,0.845
2014-07-07,59.27,59.7,59.21,59.41,0.927
2014-07-08,59.3,59.36,58.72,58.94,1.205
2014-07-09,59.04,59.65,58.95,59.44,2.147
2014-07-10,58.98,59.52,58.62,59.16,1.811
2014-07-11,59.13,59.26,58.47,58.57,2.569
2014-07-14,58.85,59.59,58.71,58.95,1.782
2014-07-15,58.74,59.08,58.52,58.95,1.512
2014-07-16,59.11,59.38,58.52,59.01,2.154
2014-07-17,58.73,59.05,58.0,58.0,2.807
2014-07-18,58.09,58.28,56.61,57.39,3.772
2014-07-21,57.34,57.44,57.09,57.19,1.804
2014-07-22,57.28,57.39,56.91,57.12,1.808
2014-07-23,57.19,57.72,57.09,57.62,1.896
2014-07-24,57.82,59.2,57.82,58.84,2.946
2014-07-25,58.63,58.99,58.07,58.2,1.143
2014-07-28,58.21,58.46,57.95,58.33,1.152
2014-07-29,58.38,58.62,57.88,57.9,0.845
2014-07-30,58.08,58.82,57.93,58.79,1.994
2014-07-31,58.43,58.63,57.65,57.69,1.86
2014-08-01,57.22,57.91,57.01,57.12,1.477
2014-08-04,57.05,57.9,56.33,57.7,2.07
2014-08-05,57.51,57.95,57.05,57.51,1.571
2014-08-06,57.25,58.21,57.08,58.13,1.376
2014-08-07,58.38,58.56,57.9,58.14,1.492
2014-08-08,58.24,58.88,57.88,58.84,0.826
2014-08-11,59.01,59.18,58.84,58.96,1.004
2014-08-12,59.02,59.21,58.43,58.5,1.023
2014-08-13,58.53,58.64,57.96,58.05,1.772
2014-08-14,58.31,58.39,57.97,58.32,1.018
2014-08-15,58.56,58.77,57.54,57.92,1.39
2014-08-18,58.44,58.88,58.22,58.74,1.11
2014-08-19,59.03,59.23,58.82,59.09,1.141
2014-08-20,59.04,59.91,58.86,59.72,1.568
2014-08-21,59.83,60.02,59.57,59.81,1.589
2014-08-22,59.79,60.36,59.64,60.14,1.615
2014-08-25,60.4,60.67,60.21,60.56,1.292
2014-08-26,60.74,60.96,60.48,60.56,0.967
2014-08-27,60.69,60.89,60.21,60.56,1.044
2014-08-28,60.17,60.33,59.77,60.09,0.865
2014-08-29,60.1,60.39,59.84,60.38,1.169
2014-09-02,60.4,60.9,60.23,60.84,1.166
2014-09-03,60.94,61.08,60.55,60.74,1.223
2014-09-04,61.1,61.77,61.07,61.54,1.29
2014-09-05,61.18,61.54,60.62,61.51,1.698
2014-09-08,61.51,61.97,61.09,61.52,1.084
2014-09-09,61.53,61.63,60.89,60.95,0.877
2014-09-10,61.01,61.13,60.44,61.05,1.261
2014-09-11,60.99,61.37,60.73,60.89,1.454
2014-09-12,61.11,62.23,61.01,62.02,2.72
2014-09-15,62.01,62.37,61.73,62.17,1.822
2014-09-16,62.06,62.74,61.96,62.47,2.173
2014-09-17,62.72,62.82,61.85,62.34,1.435
2014-09-18,63.07,63.29,62.53,63.13,1.352
2014-09-19,63.74,63.86,63.15,63.25,2.431
2014-09-22,63.17,63.47,62.65,62.96,1.966
2014-09-23,62.82,63.04,62.34,62.36,1.208
2014-09-24,62.36,62.97,62.01,62.95,1.51
2014-09-25,62.73,62.77,61.68,61.78,2.06
2014-09-26,62.04,62.52,61.93,62.4,1.035
2014-09-29,61.84,62.41,61.71,62.27,1.304
