Date,Open,High,Low,Close,Volume
2014-01-02,59.34,59.41,58.51,58.68,0.497
2014-01-03,58.74,59.65,58.55,58.59,0.437
2014-01-06,58.76,58.8,57.55,58.06,0.616
2014-01-07,58.27,59.04,58.25,58.84,0.901
2014-01-08,58.71,59.59,58.59,59.35,0.702
2014-01-09,59.56,59.93,58.8,59.82,0.716
2014-01-10,60.0,60.06,59.1,59.42,1.12
2014-01-13,59.19,59.97,58.38,58.66,0.902
2014-01-14,58.96,59.32,58.68,59.21,1.539
2014-01-15,59.18,59.68,58.81,59.68,2.009
2014-01-16,59.6,60.27,59.32,59.91,1.272
2014-01-17,59.93,59.98,59.3,59.65,0.842
2014-01-21,59.96,60.15,59.34,59.98,1.088
2014-01-22,60.1,60.17,59.49,59.6,0.459
2014-01-23,60.78,62.4,60.12,61.31,1.836
2014-01-24,60.89,61.34,58.8,59.57,1.887
2014-01-27,60.14,60.14,57.86,58.04,1.468
2014-01-28,59.27,63.05,59.2,61.58,2.675
2014-01-29,60.67,62.91,60.42,62.26,1.284
2014-01-30,62.65,62.81,61.32,61.68,1.08
2014-01-31,60.4,62.73,60.24,61.73,0.866
2014-02-03,61.68,62.31,58.68,59.05,1.302
2014-02-04,59.1,60.42,58.93,59.88,1.15
2014-02-05,59.88,61.39,59.45,60.19,1.775
2014-02-06,61.58,67.97,61.58,65.66,4.068
2014-02-07,66.0,66.35,63.84,64.76,2.059
2014-02-10,65.46,66.38,64.71,65.18,1.146
2014-02-11,65.11,66.09,64.55,65.54,1.238
2014-02-12,65.95,66.25,65.07,65.38,0.719
2014-02-13,64.99,66.2,64.41,66.0,1.055
2014-02-14,66.05,66.8,65.47,66.33,0.744
2014-02-18,66.53,67.38,65.97,66.44,0.87
2014-02-19,66.03,67.15,64.68,64.92,0.957
2014-02-20,64.93,65.46,64.23,65.3,0.663
2014-02-21,65.41,66.19,65.41,65.73,0.707
2014-02-24,65.89,66.48,65.0,65.03,0.593
2014-02-25,65.01,65.99,64.57,65.55,0.564
2014-02-26,65.78,68.11,65.52,66.96,1.209
2014-02-27,66.95,68.45,66.95,67.93,0.802
2014-02-28,67.88,68.59,67.28,67.93,0.811
2014-03-03,67.54,68.55,67.34,68.36,0.974
2014-03-04,69.31,69.5,68.46,69.01,0.84
2014-03-05,68.88,69.22,67.93,68.2,0.768
2014-03-06,68.36,68.86,67.72,67.99,0.726
2014-03-07,68.42,69.18,68.14,68.85,0.831
2014-03-10,68.58,68.75,67.24,68.14,0.625
2014-03-11,68.49,68.77,67.2,67.48,0.683
2014-03-12,66.95,67.37,66.88,66.93,0.81
2014-03-13,67.35,67.35,65.61,65.79,0.652
2014-03-14,65.72,66.7,65.61,66.23,0.606
2014-03-17,66.49,67.29,66.22,66.73,0.707
2014-03-18,66.8,67.54,66.67,67.4,0.927
2014-03-19,67.69,68.31,66.66,67.2,0.673
2014-03-20,66.93,67.18,66.1,67.01,0.673
2014-03-21,67.44,67.44,66.08,66.11,1.293
2014-03-24,66.27,66.6,64.8,65.12,0.658
2014-03-25,65.56,66.09,65.38,65.91,0.487
2014-03-26,66.17,66.46,64.56,64.61,0.661
2014-03-27,64.56,65.22,63.83,65.11,0.656
2014-03-28,65.52,66.97,65.26,66.39,0.703
2014-03-31,66.86,67.54,66.17,66.45,1.019
2014-04-01,66.87,66.87,65.87,66.48,0.763
2014-04-02,66.32,66.59,65.51,65.72,0.782
2014-04-03,66.05,67.0,65.6,66.34,0.891
2014-04-04,66.8,68.29,65.67,66.33,1.42
2014-04-07,66.47,66.92,63.82,64.07,1.056
2014-04-08,64.04,64.57,63.18,63.96,0.97
2014-04-09,64.33,65.41,63.8,65.11,0.872
2014-04-10,65.2,66.44,64.49,64.82,1.276
2014-04-11,64.78,64.85,63.63,63.72,0.872
2014-04-14,64.16,64.63,62.95,63.56,0.607
2014-04-15,63.61,63.89,62.22,63.65,0.9
2014-04-16,63.98,64.95,63.7,64.88,0.618
2014-04-17,64.57,65.04,62.98,64.75,1.915
2014-04-21,64.78,65.57,64.44,65.22,0.715
2014-04-22,65.22,65.8,64.55,64.61,1.277
2014-04-23,64.58,65.02,63.97,64.41,0.773
2014-04-24,65.0,65.27,63.54,65.25,0.98
2014-04-25,64.99,65.0,63.54,64.07,0.768
2014-04-28,64.15,64.36,61.38,61.89,1.581
2014-04-29,62.07,64.2,61.78,64.0,1.547
2014-04-30,63.98,64.81,63.19,64.53,1.181
2014-05-01,64.56,66.14,64.38,64.78,2.268
2014-05-02,65.25,65.67,64.74,65.15,0.934
2014-05-05,64.89,65.09,63.87,65.01,1.236
2014-05-06,63.5,65.97,63.29,63.32,1.328
2014-05-07,63.4,64.1,62.03,62.23,1.627
2014-05-08,62.25,63.26,60.91,61.1,1.332
2014-05-09,61.12,61.26,59.52,59.92,1.367
2014-05-12,60.58,62.33,60.52,62.14,1.056
2014-05-13,62.04,62.86,61.41,61.66,0.98
2014-05-14,61.55,61.55,60.88,60.88,0.682
2014-05-15,60.56,60.57,58.94,59.74,1.196
2014-05-16,59.68,60.65,59.54,60.43,0.958
2014-05-19,60.5,60.63,59.86,60.58,0.986
2014-05-20,60.4,60.6,59.23,59.57,0.482
2014-05-21,59.7,60.33,58.96,59.17,0.918
2014-05-22,59.28,60.02,58.88,59.91,0.995
2014-05-23,59.95,61.35,59.62,61.19,0.74
2014-05-27,61.4,61.72,61.04,61.35,0.756
2014-05-28,61.47,61.97,61.25,61.41,0.891
2014-05-29,61.83,62.1,60.14,60.93,0.601
2014-05-30,60.84,61.02,60.37,60.97,0.509
2014-06-02,60.93,61.42,60.47,61.27,0.696
2014-06-03,60.91,61.37,60.57,60.99,0.675
2014-06-04,60.78,61.39,60.59,61.28,0.432
2014-06-05,61.23,63.1,61.15,62.8,1.073
2014-06-06,63.02,63.8,63.01,63.53,0.543
2014-06-09,63.37,64.27,63.2,63.4,0.529
2014-06-10,63.35,65.05,63.35,64.91,0.789
2014-06-11,64.69,64.91,63.63,64.09,0.563
2014-06-12,64.2,64.44,63.53,63.94,0.846
2014-06-13,63.78,64.79,63.55,64.75,0.709
2014-06-16,64.55,65.18,64.26,64.54,0.668
2014-06-17,63.74,64.8,63.59,63.85,0.638
2014-06-18,63.83,65.4,63.34,65.19,0.818
2014-06-19,65.16,65.42,64.5,65.01,0.552
2014-06-20,65.06,65.33,64.58,65.24,1.254
2014-06-23,65.19,66.17,64.84,65.0,0.72
