Date,Open,High,Low,Close,Volume
2014-01-02,59.74,60.16,59.41,60.02,1.872
2014-01-03,60.09,60.51,59.68,59.84,2.204
2014-01-06,60.0,60.12,59.29,59.46,1.144
2014-01-07,59.49,61.33,59.48,61.14,1.696
2014-01-08,60.36,61.29,60.36,61.24,1.477
2014-01-09,61.5,61.93,60.79,60.98,2.238
2014-01-10,60.97,61.5,60.97,61.46,1.383
2014-01-13,61.55,61.8,60.17,60.33,1.1
2014-01-14,60.64,61.53,60.48,61.53,0.804
2014-01-15,61.71,62.65,61.57,62.61,1.194
2014-01-16,62.81,62.96,61.56,61.62,4.45
2014-01-17,61.5,61.96,61.01,61.89,1.266
2014-01-21,62.6,62.61,61.59,61.96,0.724
2014-01-22,61.97,62.21,61.54,62.21,0.718
2014-01-23,61.86,62.48,61.75,62.47,0.829
2014-01-24,61.94,61.95,60.37,60.37,1.106
2014-01-27,60.4,60.64,59.3,59.38,1.816
2014-01-28,59.34,60.09,59.32,59.6,1.736
2014-01-29,59.17,59.65,58.67,59.01,1.032
2014-01-30,59.45,59.84,59.36,59.44,1.031
2014-01-31,58.83,59.41,58.47,58.75,2.605
2014-02-03,58.4,58.73,56.21,56.28,2.72
2014-02-04,56.34,56.99,55.43,56.1,6.082
2014-02-05,56.37,56.8,55.49,55.52,4.027
2014-02-06,55.42,56.49,55.38,55.42,6.766
2014-02-07,53.01,53.14,50.49,52.68,6.534
2014-02-10,52.68,53.87,52.68,53.87,2.46
2014-02-11,53.65,54.07,53.34,53.96,1.94
2014-02-12,54.08,54.23,53.83,54.08,2.31
2014-02-13,51.41,54.57,51.41,54.42,1.19
2014-02-14,54.42,54.79,53.95,54.52,1.721
2014-02-18,54.45,55.52,54.32,55.51,2.046
2014-02-19,55.31,55.92,55.14,55.24,1.698
2014-02-20,55.3,55.75,54.84,55.7,1.374
2014-02-21,55.82,55.99,54.98,54.99,2.411
2014-02-24,53.9,55.61,53.9,54.72,1.09
2014-02-25,54.87,55.25,54.77,55.04,1.933
2014-02-26,55.24,55.48,54.75,55.03,0.846
2014-02-27,54.76,55.5,54.53,55.23,1.43
2014-02-28,55.07,55.63,54.7,55.11,1.505
2014-03-03,54.71,55.29,54.66,55.19,1.132
2014-03-04,55.79,56.23,55.65,56.22,1.202
2014-03-05,56.08,56.66,55.78,56.22,2.246
2014-03-06,56.19,56.55,56.05,56.17,0.812
2014-03-07,56.17,56.41,55.66,55.88,0.777
2014-03-10,55.83,55.93,55.0,55.15,0.897
2014-03-11,55.2,55.57,54.53,54.71,1.474
2014-03-12,54.56,54.9,54.38,54.6,0.783
2014-03-13,54.82,54.97,54.1,54.35,1.23
