Date,Open,High,Low,Close,Volume
2014-01-02,43.38,43.42,42.55,42.58,2.625
2014-01-03,42.4,42.92,42.35,42.72,1.877
2014-01-06,42.83,43.23,41.97,42.26,5.117
2014-01-07,42.37,43.47,42.3,42.98,3.109
2014-01-08,43.1,45.12,43.01,44.73,5.938
2014-01-09,44.83,45.28,44.45,45.1,3.081
2014-01-10,45.24,46.01,45.01,45.97,3.632
2014-01-13,45.76,46.2,45.14,45.24,4.486
2014-01-14,45.41,46.38,45.2,46.22,2.956
2014-01-15,45.94,46.12,45.31,45.46,3.243
2014-01-16,45.48,45.75,45.24,45.41,2.474
2014-01-17,45.54,46.21,45.41,45.75,3.392
2014-01-21,46.13,46.63,45.93,46.45,2.98
2014-01-22,46.62,46.73,45.87,45.91,2.482
2014-01-23,45.55,45.74,44.89,45.26,2.745
2014-01-24,44.99,45.22,44.21,44.31,3.138
2014-01-27,44.2,44.64,43.92,44.01,4.867
2014-01-28,44.27,44.98,44.09,44.7,2.851
2014-01-29,44.2,45.0,44.07,44.48,2.834
2014-01-30,44.73,45.77,44.66,45.55,2.46
2014-01-31,44.85,45.8,44.75,45.41,4.195
2014-02-03,46.13,46.13,43.49,43.65,4.583
2014-02-04,43.79,44.05,43.14,43.65,2.858
2014-02-05,43.55,43.68,42.43,43.44,5.018
2014-02-06,43.44,43.93,43.04,43.49,2.406
2014-02-07,43.65,45.15,43.5,45.08,3.008
2014-02-10,44.97,45.44,44.37,44.84,3.463
2014-02-11,44.92,45.81,44.54,45.49,3.575
2014-02-12,45.43,45.74,45.21,45.65,2.142
2014-02-13,45.26,46.32,45.0,46.19,3.028
2014-02-14,45.98,46.48,45.78,46.1,2.314
2014-02-18,48.01,50.46,47.22,48.3,7.479
2014-02-19,48.31,51.2,48.27,51.15,12.674
2014-02-20,50.98,52.44,50.55,52.26,8.81
2014-02-21,52.4,52.4,51.26,51.92,4.696
2014-02-24,52.0,52.1,50.65,51.05,6.253
2014-02-25,51.0,51.93,50.3,51.33,4.037
2014-02-26,51.17,52.23,51.02,51.42,6.905
2014-02-27,54.14,57.07,53.64,56.27,12.89
2014-02-28,56.02,56.92,54.88,55.57,6.043
2014-03-03,54.77,55.8,54.52,55.52,3.234
2014-03-04,56.15,57.52,56.11,57.2,4.826
2014-03-05,57.06,57.41,55.5,55.84,4.972
2014-03-06,56.35,56.35,53.65,54.54,6.511
2014-03-07,54.78,55.16,53.7,54.86,5.204
2014-03-10,54.79,54.84,53.31,53.41,5.608
2014-03-11,53.47,54.18,53.22,53.99,4.92
2014-03-12,53.49,53.89,52.47,53.06,5.249
2014-03-13,53.1,53.61,51.87,52.02,4.864
2014-03-14,52.3,53.46,51.86,52.63,7.394
2014-03-17,52.97,54.22,52.86,53.52,4.232
2014-03-18,53.44,54.38,53.31,53.9,2.688
2014-03-19,54.03,54.16,52.94,53.3,2.756
2014-03-20,52.33,53.08,52.02,52.61,4.51
2014-03-21,53.49,53.49,52.03,52.14,10.806
2014-03-24,52.2,52.41,49.26,49.97,7.759
2014-03-25,50.57,51.5,49.76,50.71,5.157
2014-03-26,50.7,51.56,49.12,49.16,3.79
2014-03-27,47.72,49.35,47.72,48.58,4.503
2014-03-28,48.75,50.36,48.41,48.83,3.945
2014-03-31,49.2,49.2,47.36,48.83,7.881
2014-04-01,49.08,49.49,48.63,49.31,6.002
2014-04-02,49.68,50.98,49.61,50.77,5.446
2014-04-03,50.67,50.95,49.27,49.86,6.226
2014-04-04,53.0,55.3,50.57,50.63,17.748
2014-04-07,50.95,51.81,48.29,48.4,10.579
2014-04-08,48.17,48.27,45.8,47.64,15.091
2014-04-09,47.53,48.76,46.48,48.57,12.166
2014-04-10,48.74,48.92,46.29,47.07,8.844
2014-04-11,46.21,47.03,45.41,45.72,7.297
2014-04-14,46.05,47.03,45.31,46.03,4.857
2014-04-15,46.12,47.17,44.74,46.23,4.384
2014-04-16,46.88,47.31,46.35,47.21,4.055
2014-04-17,47.01,47.13,46.0,46.92,4.913
2014-04-21,47.92,48.34,47.1,48.32,3.596
2014-04-22,48.93,50.4,48.93,49.85,6.789
2014-04-23,49.92,50.45,49.45,50.28,4.935
2014-04-24,50.95,51.44,49.87,50.35,6.854
2014-04-25,49.86,53.57,49.06,52.1,15.89
2014-04-28,50.45,50.99,49.11,50.67,8.902
2014-04-29,51.02,51.5,50.26,50.88,5.415
2014-04-30,50.76,51.17,49.86,50.78,6.871
2014-05-01,51.44,52.0,49.35,49.74,8.179
2014-05-02,49.97,50.01,49.09,49.82,4.114
2014-05-05,49.66,50.2,48.95,49.89,3.191
2014-05-06,49.44,49.81,48.4,48.48,4.054
2014-05-07,48.62,48.97,47.22,48.15,5.709
2014-05-08,48.16,49.06,47.01,47.33,5.239
2014-05-09,46.87,46.97,45.11,46.14,8.768
2014-05-12,46.26,47.69,46.18,47.57,5.468
2014-05-13,47.64,48.09,47.51,47.57,2.784
2014-05-14,47.62,48.19,47.4,47.46,2.443
2014-05-15,47.54,48.11,46.66,48.02,4.497
2014-05-16,48.41,48.41,46.83,46.96,3.96
2014-05-19,46.31,47.63,46.21,47.14,3.723
2014-05-20,47.19,47.27,45.8,46.19,5.056
2014-05-21,46.31,46.8,46.21,46.46,2.648
2014-05-22,46.37,47.51,46.1,47.41,2.712
2014-05-23,47.59,48.35,47.26,48.02,3.106
2014-05-27,48.6,48.64,48.08,48.42,3.605
2014-05-28,48.44,49.56,48.44,48.87,5.252
2014-05-29,49.07,49.78,49.0,49.73,3.461
2014-05-30,49.93,50.4,49.58,49.84,3.835
2014-06-02,49.96,50.16,49.37,49.98,2.335
2014-06-03,49.68,50.09,49.5,49.9,3.139
2014-06-04,49.93,49.93,49.46,49.59,2.676
2014-06-05,49.81,50.16,49.1,49.84,3.058
2014-06-06,50.08,50.09,49.37,49.73,2.112
2014-06-09,49.8,49.96,49.01,49.42,1.439
2014-06-10,49.22,49.37,48.42,49.22,2.304
2014-06-11,49.32,49.88,48.81,49.68,3.246
2014-06-12,49.64,50.35,48.5,49.64,2.184
2014-06-13,49.58,50.57,49.26,50.2,2.915
2014-06-16,50.06,50.76,50.02,50.4,3.027
2014-06-17,50.11,51.22,50.1,50.7,2.061
2014-06-18,50.74,50.85,50.36,50.62,2.558
2014-06-19,50.95,50.95,50.18,50.41,2.033
2014-06-20,50.73,51.23,50.12,51.12,4.912
2014-06-23,51.0,51.68,50.73,50.78,2.417
2014-06-24,50.88,51.81,50.57,51.58,3.354
2014-06-25,51.36,52.05,51.36,51.63,2.499
2014-06-26,53.56,53.56,50.9,51.87,2.119
2014-06-27,51.75,52.12,51.05,51.51,3.53
2014-06-30,51.91,52.0,50.81,51.56,3.942
2014-07-01,51.86,53.05,51.67,51.89,3.455
2014-07-02,52.13,52.47,50.04,52.14,2.926
2014-07-03,52.34,52.34,51.22,51.79,1.785
2014-07-07,51.67,51.67,50.18,50.56,4.339
2014-07-08,50.53,50.64,49.78,50.27,3.683
2014-07-09,50.65,50.65,49.69,50.06,2.644
2014-07-10,49.7,50.91,49.31,50.71,2.754
2014-07-11,50.62,50.8,49.95,50.2,2.648
2014-07-14,52.5,53.0,50.34,51.24,20.024
2014-07-15,51.14,52.9,51.06,52.17,10.598
2014-07-16,51.39,52.34,51.27,51.63,7.198
2014-07-17,51.28,51.75,51.0,51.43,4.854
2014-07-18,51.6,52.03,51.01,51.9,3.66
2014-07-21,51.73,51.84,51.12,51.39,2.852
2014-07-22,51.68,52.34,51.58,52.06,3.493
2014-07-23,52.36,52.93,52.28,52.34,5.775
2014-07-24,52.64,52.9,51.88,51.9,3.014
2014-07-25,51.29,51.88,51.1,51.74,3.938
2014-07-28,51.62,52.48,50.45,50.53,5.228
2014-07-29,50.62,51.0,49.97,50.4,8.785
2014-07-30,50.77,50.96,49.89,50.55,4.336
2014-07-31,50.26,50.36,48.95,49.37,4.39
2014-08-01,49.32,49.79,48.68,49.23,3.852
2014-08-04,49.52,49.52,48.83,49.1,2.755
2014-08-05,48.71,48.93,48.02,48.47,9.437
2014-08-06,47.83,48.04,47.53,47.92,6.778
2014-08-07,47.0,47.82,45.36,46.49,11.594
2014-08-08,46.11,47.34,45.23,45.85,8.791
2014-08-11,46.03,46.15,45.21,45.36,4.982
2014-08-12,45.35,45.76,44.85,44.97,6.343
2014-08-13,44.97,45.55,44.8,45.39,5.426
2014-08-14,45.42,46.42,45.41,46.15,4.487
2014-08-15,46.32,46.84,45.96,46.45,6.054
2014-08-18,46.88,46.98,46.33,46.48,3.923
2014-08-19,46.51,47.07,46.14,47.04,4.564
2014-08-20,47.1,48.85,46.86,48.59,7.589
2014-08-21,48.52,48.74,47.66,47.75,3.787
2014-08-22,48.15,49.0,47.87,48.21,2.788
2014-08-25,48.49,48.82,48.33,48.51,2.506
2014-08-26,48.63,48.83,48.27,48.3,2.404
2014-08-27,48.48,48.63,47.9,48.08,3.03
2014-08-28,48.1,48.16,47.56,48.13,1.986
2014-08-29,48.43,48.63,48.2,48.6,3.027
2014-09-02,48.77,49.0,48.46,48.68,2.358
2014-09-03,48.73,48.99,47.65,47.81,3.833
2014-09-04,48.09,48.12,45.66,46.94,4.654
2014-09-05,46.85,47.22,46.27,46.98,6.313
2014-09-08,46.79,48.58,46.79,47.96,6.435
2014-09-09,48.09,48.13,47.38,47.47,4.376
2014-09-10,47.63,47.79,47.2,47.44,3.614
2014-09-11,47.39,47.9,46.8,47.79,3.472
2014-09-12,47.94,47.94,46.99,47.06,2.098
2014-09-15,47.26,47.63,46.48,46.75,2.28
2014-09-16,46.7,48.01,46.56,47.96,3.261
2014-09-17,48.11,48.28,47.57,48.0,2.11
2014-09-18,48.3,48.96,48.01,48.43,3.152
2014-09-19,48.67,48.97,47.31,47.36,6.687
2014-09-22,47.4,47.45,46.29,46.53,2.914
2014-09-23,45.52,46.9,44.81,46.61,7.162
2014-09-24,46.78,46.97,46.15,46.44,4.507
2014-09-25,46.15,46.64,45.64,45.95,5.184
2014-09-26,45.93,46.4,45.44,46.29,2.99
2014-09-29,45.95,46.39,45.59,45.79,3.046
2014-09-30,45.95,46.14,44.8,45.49,3.842
2014-10-01,45.64,45.73,45.02,45.27,3.443
2014-10-02,45.17,51.0,45.12,46.5,15.729
2014-10-03,48.95,51.19,48.11,50.23,15.981
2014-10-06,50.62,52.1,50.41,50.98,7.862
2014-10-07,51.09,51.09,49.77,50.14,4.063
2014-10-08,50.29,51.33,49.35,51.23,3.694
2014-10-09,51.05,51.64,50.05,50.12,3.552
2014-10-10,50.1,50.46,49.19,49.35,2.977
2014-10-13,49.26,49.74,47.57,47.64,3.242
2014-10-14,47.75,48.08,46.73,46.82,4.444
2014-10-15,46.1,48.13,45.1,47.38,7.089
2014-10-16,46.45,49.2,46.23,48.77,5.011
2014-10-17,49.95,50.12,48.63,49.46,4.412
